,Concept_ID,hu,ar
0,Auge::N,szem,عين
1,Ohr::N,fül,أذن
2,Nase::N,orr,أنف
3,Mund::N,száj,فم
4,Zahn::N,fog,سن
5,Zunge::N,nyelv,لسان
6,Lippe::N,ajak,شفة
7,Wange::N,orca,خد
8,Wange::N,orca,وجنة
9,Gesicht::N,arc,وجه
10,Stirn::N,homlok,جبين
11,Haar::N,haj,شعر
12,Schnurrbart::N,bajusz,شارب
13,Bart::N,szakáll,لحية
14,Kinn::N,áll,ذقن
15,Kiefer[Anatomie]::N,állkapocs,فك
16,Kehle::N,gége,حلق
17,Kehle::N,torok,حلق
18,Hals::N,nyak,عنق
19,Hals::N,nyak,رقبة
20,Genick::N,tarkó,قفا
21,Kopf::N,fő,رأس
22,Kopf::N,fej,رأس
23,Rücken::N,hát,ظهر
24,Bauch::N,has,بطن
25,Nabel::N,köldök,سرة
26,Busen::N,mell,ثدي
27,Busen::N,kebel,ثدي
28,Brust::N,mell,صدر
29,Schulter::N,váll,كتف
30,Arm::N,kar,ذراع
31,Ellenbogen::N,könyök,كوع
32,Hand::N,kéz,يد
33,Handfläche::N,tenyér,كف
34,Finger::N,ujj,إصبع
35,Fingernagel::N,köröm,ظفر
36,Nagel[Anatomie]::N,köröm,ظفر
37,Zeh::N,lábujj,إصبع القدم
38,Fuß::N,láb,قدم
39,Ferse::N,sarok,كعب
40,Knie::N,térd,ركبة
41,Oberschenkel::N,comb,فخذ
42,Bein::N,láb,ساق
43,Bein::N,lábszár,ساق
44,Körper::N,test,جسم
45,Haut::N,bőr,بشرة
46,Blut::N,vér,دم
47,Ader::N,ér,عرق
48,Sehne::N,ín,طنب
49,Knochen::N,csont,عظم
50,Gehirn::N,agy,دماغ
51,Gehirn::N,agyvelő,دماغ
52,Herz::N,szív,قلب
53,Magen::N,gyomor,معدة
54,Leber::N,máj,كبد
55,Atem::N,lehelet,نفس
56,Atem::N,lélegzet,نفس
57,Hunger::N,éhség,جوع
58,Träne::N,könny,دمعة
59,Geschmack::N,íz,طعم
60,Geschmack::N,íz,مذاق
