,Concept_ID,pl,da
0,Auge::N,oko,øje
1,Ohr::N,ucho,øre
2,Nase::N,nos,næse
3,Mund::N,usta,mund
4,Zahn::N,ząb,tand
5,Zunge::N,język,tunge
6,Lippe::N,warga,læbe
7,Wange::N,policzek,kind
8,Gesicht::N,twarz,ansigt
9,Stirn::N,czoło,pande
10,Haar::N,włos,hår
11,Haar::N,włosy,hår
12,Schnurrbart::N,wąsy,overskæg
13,Bart::N,broda,skæg
14,Kinn::N,podbródek,hage
15,Kiefer[Anatomie]::N,czeluść,kæbe
16,Kehle::N,gardło,strube
17,Hals::N,szyja,hals
18,Genick::N,kark,nakke
19,Kopf::N,głowa,hoved
20,Rücken::N,plecy,ryg
21,Rücken::N,grzbiet,ryg
22,Bauch::N,brzuch,mave
23,Nabel::N,pępek,navle
24,Busen::N,biust,barm
25,Brust::N,pierś,bryst
26,Schulter::N,bark,skulder
27,Schulter::N,ramię,skulder
28,Arm::N,ręka,arm
29,Arm::N,ramię,arm
30,Ellenbogen::N,łokieć,albue
31,Hand::N,dłoń,hånd
32,Handfläche::N,dłoń,håndflade
33,Finger::N,palec,finger
34,Fingernagel::N,paznokieć,fingernegl
35,Nagel[Anatomie]::N,paznokieć,negl
36,Zeh::N,palec,tå
37,Fuß::N,stopa,fod
38,Ferse::N,pięta,hæl
39,Knie::N,kolano,knæ
40,Oberschenkel::N,udo,lår
41,Bein::N,noga,ben
42,Körper::N,ciało,krop
43,Körper::N,ciało,legeme
44,Haut::N,skóra,hud
45,Blut::N,krew,blod
46,Ader::N,żyła,åre
47,Sehne::N,ścięgno,sene
48,Knochen::N,kość,ben
49,Gehirn::N,mózg,hjerne
50,Herz::N,serce,hjerte
51,Magen::N,żołądek,mave
52,Leber::N,wątroba,lever
53,Atem::N,dech,ånde
54,Atem::N,oddech,ånde
55,Hunger::N,głód,sult
56,Träne::N,łza,tåre
57,Geschmack::N,smak,smag
58,Geruch::N,woń,lugt
59,Geruch::N,zapach,lugt
60,Schlaf::N,sen,søvn
61,Traum::N,sen,drøm
62,Himmel::N,niebo,himmel
63,Sonne::N,słońce,sol
64,Mond::N,księżyc,måne
65,Stern::N,gwiazda,stjerne
66,Luft::N,powietrze,luft
67,Wind::N,wiatr,vind
68,Welle::N,fala,bølge
69,Wasser::N,woda,vand
70,Stein::N,kamień,sten
71,Boden::N,grunt,jord
72,Erde::N,ziemia,jord
73,Staub::N,pył,støv
74,Staub::N,kurz,støv
75,Rauch::N,dym,røg
76,Funke::N,iskra,gnist
77,Feuer::N,ogień,ild
78,Licht::N,światło,lys
79,Schatten::N,cień,skygge
80,Wetter::N,pogoda,vejr
81,Nebel::N,mgła,tåge
82,Wolke::N,obłok,sky
83,Wolke::N,chmura,sky
84,Regen::N,deszcz,regn
85,Schnee::N,śnieg,sne
86,Eis::N,lód,is
87,Frost::N,mróz,frost
88,Kälte::N,chłód,kulde
89,Hitze::N,gorąco,hede
90,Raureif::N,szron,rimfrost
91,Regenbogen::N,tęcza,regnbue
92,Donner::N,grzmot,torden
93,Strömung::N,nurt,strømning
94,Tropfen::N,kropla,dråbe
95,Schaum::N,piana,skum
96,Schmutz::N,brud,snavs
97,See::N,jezioro,sø
98,Sumpf::N,bagno,sump
99,Moor::N,bagno,mose
100,Wiese::N,łąka,eng
101,Wald::N,las,skov
102,Hügel::N,pagórek,høj
103,Hügel::N,pagórek,bakke
104,Anhöhe::N,wzgórze,høj
105,Anhöhe::N,wzgórze,bakke
106,Berg::N,góra,bjerg
107,Gipfel::N,szczyt,top
108,Gipfel::N,wierzchołek,top
109,Höhle::N,pieczara,hule
110,Abhang::N,stok,skrænt
111,Abhang::N,stok,skråning
112,Abhang::N,zbocze,skrænt
113,Abhang::N,zbocze,skråning
114,Quelle::N,zdrój,kilde
115,Quelle::N,źródło,kilde
116,Bach::N,potok,bæk
117,Bach::N,strumień,bæk
118,Fluss::N,rzeka,flod
119,Ufer::N,brzeg,bred
120,Küste::N,wybrzeże,kyst
121,Festland::N,ląd,fastland
122,Meer::N,morze,hav
123,Bucht::N,zatoka,bugt
124,Insel::N,wyspa,ø
125,Blume::N,kwiat,blomst
126,Gras::N,trawa,græs
127,Wurzel::N,korzeń,rod
128,Baum::N,drzewo,træ
129,Stamm::N,pień,stamme
130,Rinde::N,kora,bark
131,Ast::N,gałąź,gren
132,Zweig::N,gałąź,kvist
133,Blatt::N,liść,blad
134,Birke::N,brzoza,birk
135,Kiefer[Baum]::N,sosna,fyrretræ
136,Weide[Baum]::N,wierzba,piletræ
137,Tanne::N,jodła,gran
138,Horn::N,róg,horn
139,Feder::N,pióro,fjer
140,Fell::N,futro,skind
141,Flügel::N,skrzydło,vinge
142,Klaue::N,szpon,klov
143,Kralle::N,pazur,klo
144,Schwanz::N,ogon,hale
145,Ei::N,jajko,æg
146,Nest::N,gniazdo,rede
147,Bau::N,nora,bo
148,Tier::N,zwierzę,dyr
149,Herde::N,stado,flok
150,Herde::N,trzoda,flok
151,Kuh::N,krowa,ko
152,Bulle::N,byk,tyr
153,Pferd::N,koń,hest
154,Schaf::N,owca,får
155,Schwein::N,świnia,gris
156,Hund::N,pies,hund
157,Katze::N,kot,kat
158,Katze::N,kotka,kat
159,Bär::N,niedźwiedż,bjørn
160,Eichhörnchen::N,wiewiórka,egern
161,Elch::N,łóś,elg
162,Fuchs::N,lis,ræv
163,Hase::N,zając,hare
164,Maus::N,mysz,mus
165,Wolf::N,wilk,ulv
166,Vogel::N,ptak,fugl
167,Schwarm::N,stado,sværm
168,Huhn::N,kura,høne
169,Hahn::N,kogut,hane
170,Gans::N,gęś,gås
171,Adler::N,orzeł,ørn
172,Ente::N,kaczka,and
173,Eule::N,sowa,ugle
174,Kranich::N,żuraw,trane
175,Krähe::N,wrona,krage
176,Kuckuck::N,kukułka,gøg
177,Schwan::N,łabędż,svane
178,Fisch::N,ryba,fisk
179,Barsch::N,okoń,aborre
180,Hecht::N,szczupak,gedde
181,Schlange[Tier]::N,wąż,slange
182,Schlange[Tier]::N,żmija,slange
183,Wurm::N,robak,orm
184,Spinne::N,pająk,edderkop
185,Ameise::N,mrówka,myre
186,Laus::N,wesz,lus
187,Mücke::N,komar,myg
188,Fliege::N,mucha,flue
189,Schmetterling::N,motyl,sommerfugl
190,Beere::N,jagoda,bær
191,Apfel::N,jabłko,æble
192,Pilz::N,grzyb,svamp
193,Zwiebel::N,cebula,løg
194,Saat::N,siew,sæd
195,Korn::N,ziarno,korn
196,Heu::N,siano,hø
197,Schale::N,łupina,skræl
198,Grube::N,dół,grav
199,Grube::N,jama,grav
200,Falle::N,pułapka,fælde
201,Schlinge::N,sidła,snare
202,Spur::N,ślad,spor
