,Concept_ID,bn,te
0,Auge::N,চক্ষু,కన్ను
1,Ohr::N,কর্ণ,చెవి
2,Nase::N,নাক,ముక్కు
3,Mund::N,মুখ,నోరు
4,Zahn::N,দাঁত,పల్లు
5,Zunge::N,জিহবা,నాలుక
6,Lippe::N,অধর,పెదవి
7,Wange::N,গণ্ড,చెంప
8,Gesicht::N,মুখমণ্ডল,ముఖము
9,Stirn::N,কপাল,నుదురు
10,Haar::N,চুল,వెండ్రుక
11,Schnurrbart::N,গোঁফ,మీసము
12,Bart::N,শ্মশ্রু,గడ్డము
13,Kinn::N,চিবুক,గడ్డము
14,Kiefer[Anatomie]::N,চোয়াল,దౌడ
15,Kehle::N,কণ্ঠ,గొంతు
16,Hals::N,গল,మెడ
17,Genick::N,ঘাড়,మూపు
18,Kopf::N,মাথা,తల
19,Rücken::N,পৃষ্ঠ,వెన్ను
20,Bauch::N,উদর,కడుపు
21,Nabel::N,নাভি,బొడ్డు
22,Busen::N,স্তন,స్తనము
23,Brust::N,বুক,ఱొమ్ము
24,Schulter::N,স্কন্ধ,భుజము
25,Arm::N,বাহু,చేయి
26,Ellenbogen::N,কনুই,మోచేయి
27,Hand::N,হাত,చేయి
28,Handfläche::N,করতল,అరచేయు
29,Finger::N,আঙ্গুল,చేతిప్రేలు
30,Fingernagel::N,হাতের নখ,గోరు
31,Nagel[Anatomie]::N,নখ,గోరు
32,Zeh::N,আঙ্গুল,కాలిప్రేలు
33,Fuß::N,পা,అడుగు
34,Ferse::N,গোড়ালি,మడమ
35,Knie::N,হাঁটু,మోకాలు
36,Oberschenkel::N,ঊরু,తొడ
37,Bein::N,পা,కాలు
38,Körper::N,দেহ,కాయము
39,Haut::N,ত্বক,చర్మము
40,Blut::N,রক্ত,రక్తము
41,Ader::N,শিরা,సిర
42,Sehne::N,কণ্ডরা,స్నాయువు
43,Knochen::N,অস্থি,ఎముక
44,Gehirn::N,মস্তিষ্ক,మెదడు
45,Herz::N,হৃৎপিণ্ড,హృదయము
46,Magen::N,পাকস্থলী,కడుపు
47,Leber::N,যকৃৎ,కాలేయము
48,Atem::N,শ্বাস,ఉపిరి
49,Hunger::N,ক্ষুধা,ఆకలి
50,Träne::N,অশ্রু,కన్నీటిచుక్క
51,Geschmack::N,স্বাদ,రుచి
52,Geruch::N,গন্ধ,వాసన
53,Schlaf::N,ঘুম,నిద్ర
54,Traum::N,স্বপ্ন,కల
55,Himmel::N,আকাশ,ఆకాశము
56,Sonne::N,সূর্য,సూర్యుడు
57,Mond::N,চন্দ্র,చంద్రుడు
58,Stern::N,নক্ষত্র,నక్షత్రము
59,Luft::N,বায়ু,గాలి
60,Wind::N,বাতাস,వీచుచున్నగాలి
61,Welle::N,ঢেউ,అల
62,Welle::N,তরঙ্গ,అల
63,Wasser::N,জল,నీరు
64,Stein::N,ঢিল,ఱాయి
65,Stein::N,প্রস্তর,ఱాయి
66,Boden::N,ভূতল,నేల
67,Erde::N,ভূমি,మన్ను
68,Staub::N,ধুলা,దుమ్ము
69,Rauch::N,ধোঁয়া,పొగ
70,Funke::N,স্ফুলিঙ্গ,అగ్నికణము
71,Feuer::N,অগ্নি,అగ్ని
72,Licht::N,আলো,కాంతి
73,Schatten::N,ছায়া,నీడ
74,Wetter::N,আবহাওয়া,వాతావరణ స్థితి
75,Nebel::N,কুহেলিকা,పొగమంచు
76,Wolke::N,মেঘ,మేఘము
77,Regen::N,বৃষ্টি,వాన
78,Schnee::N,তুষার,హిమము
79,Eis::N,বরফ,మంచుగడ్డ
80,Frost::N,তুষার,పేరిన మంచు
81,Kälte::N,শৈত্য,చలి
82,Hitze::N,তাপ,వేడిమి
83,Raureif::N,তুহিন,మంచు
84,Regenbogen::N,রামধনু,ఇంద్రధనుస్సు
85,Donner::N,বজ্রধ্বনি,ఉరుము
86,Strömung::N,স্রোত,ప్రవాహము
87,Tropfen::N,ফোঁটা,చుక్క
88,Schaum::N,ফেনা,నురుగు
89,Schmutz::N,ধুলা,మైల
90,See::N,হ্রদ,సరస్సు
91,Sumpf::N,জলা,చిత్తడినేల
92,Moor::N,মাঠ,చిత్తడినేల
93,Wiese::N,তৃণভূমি,పచ్చిక బయలు
94,Wald::N,বন,అడవి
95,Hügel::N,পাহাড়,చివ్నకొండ
96,Anhöhe::N,টিলা,కొండ
97,Berg::N,পর্বত,పర్వతము
98,Gipfel::N,শীর্ষ,శిఖరము
99,Höhle::N,গুহা,గుహ
100,Abhang::N,ঢাল,ఏటవాలు
101,Quelle::N,উৎস,మూలము
102,Bach::N,ক্ষুদ্র নদী,కాలువ
103,Fluss::N,নদী,నది
104,Ufer::N,উপকূল,తీరము
105,Küste::N,তীর,తీరము
106,Festland::N,ভূমি,భూమి
107,Meer::N,সমুদ্র,సముద్రము
108,Bucht::N,উপসাগর,మరుగు
109,Insel::N,দ্বীপ,దీవి
110,Blume::N,ফুল,పుష్పము
111,Gras::N,ঘাস,పచ్చగడ్డి
112,Wurzel::N,শিকড়,వేరు
113,Baum::N,গাছ,చెట్టు
114,Stamm::N,স্কন্ধ,చెట్టుబోదె
115,Rinde::N,বল্কল,చెట్టుపట్ట
116,Ast::N,শাখা,కొమ్మ
117,Zweig::N,ডাল,చివుకు
118,Blatt::N,পর্ণ,ఆకు
119,Birke::N,ভুর্জ,తరహా చెట్టు
120,Kiefer[Baum]::N,পাইন গাছ,దేవదారు చెట్టు
121,Weide[Baum]::N,উইলো,జాతిచెట్టు
122,Tanne::N,দেবদারূ গাছ,దేవదారుచెట్టు
123,Horn::N,শিং,కొమ్ము
124,Feder::N,পালক,ఈక
125,Fell::N,রোম,తోలు
126,Flügel::N,ডানা,ఱెక్క
127,Klaue::N,নখর,వంకరగోరు
128,Kralle::N,নখর,వంకరగోరు
129,Schwanz::N,লেজ,తోక
130,Ei::N,ডিম,గ్రుడ్డు
131,Nest::N,কুলায়,పక్షిగూడు
132,Bau::N,ডেরা,గుహ
133,Tier::N,জন্তু,జంతువు
134,Herde::N,ঝাঁক,మంద
135,Kuh::N,গোরু,ఆవు
136,Bulle::N,বৃষ,గిత్త
137,Pferd::N,ঘোড়া,గుఱ్ఱము
138,Schaf::N,ভেড়া,గొఱ్ఱె
139,Schwein::N,শূকর,పంది
140,Hund::N,কুকুর,కుక్క
141,Katze::N,বেড়াল,పిల్లి
142,Bär::N,ভল্লুক,ఎలుగుబంటి
143,Eichhörnchen::N,কাঠবিড়াল,ఉడుత
144,Elch::N,হরিণবিশেষ,కణంజు
145,Fuchs::N,পাঁতিশিয়াল,గుంటనక్క
146,Hase::N,শশক,కుందేలు
147,Maus::N,নেংটি ইঁদুর,చిట్టెలుక
148,Wolf::N,নেকড়ে,తోడేలు
149,Vogel::N,পক্ষী,పక్షి
150,Schwarm::N,ঝাঁক,గుంపు
151,Huhn::N,মোরগ,కోడిపిల్ల
152,Hahn::N,কুক্কুট,కోడివుంజు
153,Gans::N,হংসী,ఆడుబాతు
154,Adler::N,ইগল,గ్రద్ద
155,Ente::N,হংসী,పాట్టిబాతు
156,Eule::N,পেচক,గ్రుడ్లగూబ
157,Kranich::N,সারস,కొంగ
158,Krähe::N,কাক,కాకి
159,Kuckuck::N,কোকিল,కోయల
160,Schwan::N,মরাল,హంస
161,Fisch::N,মাছ,చేప
162,Barsch::N,মৎন্যবিশেষ,ఒకచేఁప
163,Hecht::N,বানমাছ,గండుమీను
164,Schlange[Tier]::N,সর্প,పాము
165,Wurm::N,কীট,పురుగు
166,Spinne::N,মাকড়সা,సాలె పురుగు
167,Ameise::N,পিপীলিকা,చీమ
168,Laus::N,উকুন,పేను
169,Mücke::N,মশা,చీకటీగ
170,Fliege::N,মাছি,ఈగ
171,Schmetterling::N,প্রজাপতি,సీతాకోకచిలుక
172,Beere::N,বেরি,కాయ
173,Apfel::N,আপেল,ఆపిల్ పండు
174,Pilz::N,ছত্রক,కుక్కగొడుగు
175,Zwiebel::N,পিয়াজ,నీరుల్లి
176,Saat::N,বীজ,విత్తనము
177,Korn::N,শস্য,గింజ
178,Heu::N,খড়,ఎండుగడ్డి
179,Schale::N,খোসা,పొట్టు
180,Grube::N,গর্ত,గొయ్యి
181,Falle::N,ফাঁদ,బోను
182,Schlinge::N,পাশ,ఉరి
183,Spur::N,চিহ্ন,జాడ
184,Asche::N,ভস্ম,బూడిద
185,Dreck::N,ময়লা,ముఱికి
186,Eisen::N,লোহা,ఇనుము
187,Gold::N,স্বর্ণ,బంగారము
188,Silber::N,রৌপ্য,వెండి
189,Kohle::N,অঙ্গার,నేలబొగ్గు
190,Glas::N,কাচ,గాజు
191,Lehm::N,মৃত্তিকা,బంకమన్ను
192,Sand::N,বালি,ఇసుక
193,Mensch::N,নর,నరుడు
194,Mensch::N,মানুষ,నరుడు
195,Mann::N,মানুষ,పురుమడు
196,Frau::N,নারী,ఆడుది
197,Kind::N,বাচ্চা,బిడ్డ
198,Junge::N,ছেলে,బాలుడు
199,Mädchen::N,মেয়ে,బాలిక
200,Familie::N,পরিবার,కుటుంబము
201,Großvater::N,মাতামহ,తాత
202,Großmutter::N,মাতামহী,అయ్యమ్మ
203,Eltern::N,মাতাপিতা,తల్లితండ్రులు
204,Vater::N,পিতা,తండ్రి
205,Mutter::N,মাতা,తల్లి
206,Sohn::N,ছেলে,కొడుకు
207,Tochter::N,মেয়ে,కూతురు
208,Bruder::N,দাদা,పోదరుడు
209,Schwester::N,বোন,సోదరి
210,Schwester::N,দিদি,సోదరి
211,Onkel::N,মামা,మేనమామ
212,Tante::N,মাসী,మేనత్త
213,Tante::N,মাসী,పినతల్లి
214,Ehemann::N,স্বামী,భర్త
215,Ehefrau::N,পত্নী,భార్య
216,Freude::N,উল্লাস,సంతోషము
217,Gelächter::N,হাসি,నవ్వు
218,Glück::N,সুখ,సంతోషము
219,Kummer::N,দুঃখ,దుఃఖము
220,Wunsch::N,আকাঙ্ক্ষা,కోరిక
221,Lust::N,বাসনা,కోరిక
222,Geist::N,আত্না,ఆత్మ
223,Gedanke::N,চিন্তা,ఆలోచన
224,Gedächtnis::N,স্মরণশক্তি,జ్ఞాపకము
225,Verstand::N,মন,మనస్సు
226,Sinn::N,পদার্থ,అర్థము
227,Grund::N,কারণ,కారణము
228,Wahrheit::N,সত্য,సత్యము
229,Gespräch::N,কথাবার্তা,పంభాషణ
230,Märchen::N,রূপকথা,అద్భుతకథ
231,Erzählung::N,গল্প,కథ
232,Nachricht::N,তথ্য,వార్త
233,Neuigkeit::N,খবরাখবর,వార్త
234,Name::N,নাম,పేరు
235,Rätsel::N,ধাঁধা,చిక్కు
236,Rede::N,বক্তৃতা,ఉపన్యాసము
237,Sprache::N,ভাষা,భాష
238,Stimme::N,স্বর,కంరథ్సని
239,Wort::N,শব্দ,మాట
240,Zeichen::N,প্রতীক,గుర్తు
241,Ruf::N,ডাক,పిలువు
242,Lärm::N,হৈচৈ,సందడి
243,Laut::N,ধ্বনি,ధ్వని
244,Ton::N,স্বর,స్వరము
245,Lied::N,গান,పాట
246,Ruhe::N,শান্তি,గాలిలేమి
247,Leute::N,প্রজাপুঞ্জ,జనులు
248,Volk::N,জাতি,జాతి
249,Arbeit::N,চাকরি,పని
250,Gast::N,অতিথি,అతిధి
251,Geschenk::N,উপহার,దానము
252,Spiel::N,খেলা,ఆట
253,Gesellschaft::N,সঙ্গিগণ,జట్టు
254,Hilfe::N,সাহায্য,సాహాయ్యము
255,Freund::N,বন্ধু,స్నేహితుడు
256,Kamerad::N,সঙ্গী,చెలికాడు
257,Angelegenheit::N,বিষয়,విషయము
258,Anzahl::N,পরিমাণ,లెక్క
259,Art::N,রকম,జాతి
260,Stück::N,টুকরো,తునుక
261,Teil::N,অংশ,భాగము
262,Hälfte::N,অর্ধেক,సగము
263,Kreis::N,বৃত্ত,వృత్తము
264,Kreuz::N,ক্রুশ,సిలువ
265,Linie::N,রেখা,గీత
266,Strich::N,কষি,గీత
267,Abstand::N,ফাঁক,సందు
268,Entfernung::N,ব্যবধান,దూరము
269,Gegend::N,ক্ষেত্র,విస్తీర్ణము
270,Platz::N,জায়গা,ఎడము
271,Ort::N,স্থান,స్థలము
272,Seite::N,পার্শ্ব,ప్రక్క
273,Mitte::N,মধ্য,నడిమి
274,Gegenstand::N,জিনিস,పద్దు
275,Sache::N,বস্তু,వస్తువు
276,Rand::N,কানা,అంచు
277,Kante::N,ধার,అంచు
278,Ecke::N,কোণ,మూల
279,Spitze::N,ডগা,మొన
280,Ende::N,প্রান্ত,కొన
281,Loch::N,গর্ত,రంధ్రము
282,Winkel::N,কোণ,కోణము
283,Muster::N,নমুন্,మాదిరి
284,Größe::N,আয়তন,పరిమాణము
285,Länge::N,দৈর্ঘ্য,పొడుగు
286,Höhe::N,উচ্চতা,పొడుగు
287,Gewicht::N,ওজন,భారము
288,Menge::N,পরিমাণ,మొత్తము
289,Haufen::N,পুঞ্জ,రాశి
290,Reihe::N,শ্রেণী,వరుస
291,Boot::N,নৌকা,పడవ
292,Ruder::N,দাঁড়,అడక
293,Schlitten::N,স্নেজ্-গাড়ি,సరవండ్లు
294,Ski::N,শী,స్కీ
295,Lagerfeuer::N,অগ্নি,నెగడు
296,Last::N,বোঝা,బరువు
297,Gang::N,হণ্টন,నడక
298,Schritt::N,পদ,అడుగు
299,Norden::N,উত্তরদিক্,ఉత్తరదిక్కు
300,Süden::N,দক্ষিণদিক,దక్షిణము
301,Westen::N,পশ্চিমদিক্,పడమర
302,Osten::N,পূর্বদিক,తూర్పు
303,Holz::N,কাঠ,కొయ్య
304,Brett::N,তক্তা,పలక
305,Platte::N,ফলক,పలక
306,Stütze::N,নাগদণ্ড,వాల్సేడ్లు
307,Stange::N,দণ্ড,స్తంభము
308,Stock::N,ছড়ি,కఱ్ఱ
309,Stab::N,যষ্টি,కఱ్ఱ
310,Rohr::N,নল,గొట్టము
311,Haus::N,ঘর,ఇల్లు
312,Heim::N,বাসা,స్వగృహము
313,Ofen::N,স্টোভ্,పొయ్యి
314,Fußboden::N,গহতল,నేల
315,Tisch::N,মেজ,మేజా
316,Tisch::N,টেবিল,మేజా
317,Stuhl::N,চেয়ার,కుర్చీ
318,Stuhl::N,কেদারা,కుర్చీ
319,Wiege::N,দোলনা,ఉయ్యాల
320,Bett::N,শয্যা,పడక
321,Bett::N,শয্যা,మంచం
322,Regal::N,তাক,అటక
323,Kiste::N,বাক্স,వెట్టె
324,Fenster::N,জানালা,కిటికి
325,Tür::N,দ্বার,ద్వారము
326,Tor::N,দ্বার,ద్వారము
327,Zaun::N,বেড়া,కంచె
328,Dach::N,ছাদ,ఇంటివైకప్పు
329,Leiter::N,মই,నిచ్చెన
330,Besen::N,গুল্মবিশেষ,చీపురుకట్ట
331,Spaten::N,কোদাল,పాఱ
332,Schaufel::N,বেলচা,పాఱ
333,Gabel::N,কাঁটা,ముండ్లగరిటె
334,Löffel::N,চামচ,గరిటె
335,Messer::N,ছুরি,కత్తి
336,Nagel::N,পেরেক,మేకు
337,Netz::N,জাল,వల
338,Haken::N,কাচি,కొక్కెము
339,Griff::N,হাতল,పిడి
340,Schloss::N,তালা,తాళము
341,Bild::N,ছবি,చిత్రము
342,Bild::N,চিত্র,చిత్రము
343,Figur::N,আকার,రూపము
344,Puppe::N,পুতুল,బొమ్మ
345,Beutel::N,বটুয়া,సంచి
346,Bündel::N,আঁটি,మూట
347,Tasche::N,থলি,సంచి
348,Eimer::N,বাল্তি,చేద
349,Deckel::N,আবরণ,మూత
350,Geschirr::N,থালা-বাসন,వంటకాలు
351,Sack::N,বস্তা,గోనెసంచి
352,Tasse::N,কাপ,గిన్నె
353,Topf::N,পাত্র,కుండ
354,Kessel::N,কেটলি,నీరుకాచుపాత్ర
355,Essen::N,আহার,ఆహారము
356,Nahrung::N,খাদ্য,ఆహారము
357,Speise::N,খাদ্য,ఆహారము
358,Fleisch::N,মাংস,మాంసము
359,Getreide::N,শস্য,ధాన్యము
360,Brei::N,মণ্ড,గుజ్జు
361,Brot::N,রুটি,రొట్టె
362,Scheibe::N,ফালি,బద్ద
363,Fett::N,মেদ,క్రొవ్వు
364,Butter::N,মাখন,వెన్న
365,Öl::N,তৈল,నూనె
366,Salz::N,নুন,ఉప్పు
367,Suppe::N,শুরুয়া,చారు
368,Honig::N,মধু,తెనె
369,Milch::N,দুধ,పాలు
370,Tee::N,চা,తేనీరు
371,Leder::N,পাকা চামড়া,బాగుచేసివతోలు
372,Wolle::N,পশম,ఉన్ని
373,Stoff::N,বস্ত্র,బట్ట
374,Nadel::N,সুচ,సూది
375,Faden::N,সূত্র,దారము
376,Knopf::N,বোতাম,బొత్తాము
377,Knoten::N,গিঁট,ముడి
378,Farbe::N,রং,రంగు
379,Kleidung::N,কাপড়,బట్టలు
380,Hemd::N,শার্ট,చొక్కాయ
381,Kragen::N,গলবন্ধ,మాల
382,Ärmel::N,আস্তিন্,చొక్కాయచెయ్యి
383,Hose::N,ট্রাউজার,ఇజారు
384,Gürtel::N,কটিবন্ধ,పటకా
385,Mütze::N,টুপি,టోపి
386,Schuh::N,জুতো,పాదరక్ష
387,Stiefel::N,বুট,బూటు
388,Ring::N,আংটি,ఉంగరము
389,Band::N,ফিতা,నాడా
390,Kamm::N,চিরুনি,దువ్వెన
391,Spiegel::N,আয়না,అద్దము
392,Riemen::N,চাবুক,వాడా
393,Schnur::N,দড়ি,దారము
394,Leine::N,শিকল,వారు
395,Decke::N,কম্বল,కంబళి
396,Kissen::N,উপাধান,తలగడ
397,Tuch::N,বস্ত্র,బట్ట
398,Handtuch::N,তোয়ালে,తువాలు
399,Kraft::N,জোর,బలము
400,Stärke::N,শক্তি,శక్తి
401,Gesundheit::N,স্বাস্থ্য,ఆరోగ్యము
402,Krankheit::N,অসুখ,రోగము
403,Krankheit::N,ব্যামো,రోగము
404,Schmerz::N,যন্ত্রণা,నొప్పి
405,Wunde::N,ক্ষত,గాయము
406,Fieber::N,জ্বর,జ్వరము
407,Arznei::N,ঔষধ,మందు
408,Brücke::N,সেতু,వంతెన
409,Brunnen::N,কূপ,బావి
410,Brunnen::N,কূপ,కూపము
411,Brunnen::N,কূপ,నుయ్యి
412,Weide::N,পশুচারণভূমি,పచ్చికబయలు
413,Pfad::N,পথ,కాలిత్రోవ
414,Weg::N,পথ,మార్గము
415,Straße::N,রাস্তা,బాట
416,Dorf::N,গ্রাম,గ్రామము
417,Stadt::N,শহর,పట్టణము
418,Brief::N,চিঠি,జాబు
419,Buch::N,বই,పుస్తకము
420,Buchstabe::N,অক্ষর,అక్షరము
421,Zeitung::N,সংবাদপত্র,వార్తాపత్రిక
422,Leben::N,জীবন,ప్రాణము
423,Tod::N,মৃত্যু,మరణము
424,Grab::N,কবর,సమాధి
425,Kirche::N,গির্জা,క్రెస్తవులగుడి
426,Sünde::N,পাপ,పాపము
427,Gott::N,দেবতা,దేవుడు
428,Arbeiter::N,শ্রমিক,పనిపాటుచేశేవాడు
429,Chef::N,নেতা,యజమానుడు
430,Meister::N,ব্যক্তি,కళాకారుడు
431,Arzt::N,চিকিৎসক,వైద్యుడు
432,Lehrer::N,অধ্যাপক,ఉపాధ్యాయుడు
433,Geld::N,মুদ্রা,ద్రవ్యము
434,Geld::N,টাকাপয়সা,ద్రవ్యము
435,Geschäft::N,ব্যস্ততা,వ్యాపారము
436,Laden::N,দোকান,అంగడి
437,Preis::N,মূল্য,వెల
438,Ware::N,পণ্যদ্রব্য,సరకులు
439,Nutzen::N,সুবিধা,ప్రయోజనము
440,Reichtum::N,ধনদৌলত,ధనము
441,Welt::N,জগৎ,ప్రపంచము
442,Land::N,খেত,దేశము
443,Staat::N,রাষ্ট্র,రాజ్యము
444,König::N,রাজা,రాజు
445,Macht::N,প্রভাব,అధికారము
