,Concept_ID,ro,mhr
0,Auge::N,ochi,шинча́
1,Ohr::N,ureche,пы́лыш
2,Nase::N,nas,нер
3,Mund::N,gură,умша́
4,Zahn::N,dinte,пӱй
5,Zunge::N,limbă,йы́лме
6,Lippe::N,buză,тӱ́рвӧ
7,Wange::N,bucă,шӱ́ргӧ
8,Wange::N,obraz,шӱ́ргӧ
9,Gesicht::N,față,чури́й
10,Gesicht::N,figură,чури́й
11,Stirn::N,frunte,саҥга́
12,Haar::N,păr,ӱп
13,Schnurrbart::N,mustață,ӧ́рыш
14,Bart::N,barbă,понда́ш
15,Kinn::N,bărbie,оҥыла́ш
16,Kiefer[Anatomie]::N,falcă,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,falcă,пӱйората́
18,Kehle::N,beregată,лога́р
19,Hals::N,gât,шӱй
20,Genick::N,ceafă,шӱйло́дыш
21,Kopf::N,cap,вуй
22,Rücken::N,dos,туп
23,Rücken::N,spate,туп
24,Rücken::N,spinare,туп
25,Bauch::N,burtă,мӱ́шкыр
26,Bauch::N,pântece,мӱ́шкыр
27,Nabel::N,buric,кы́лымде
28,Busen::N,sân,чы́зе
29,Brust::N,piept,оҥ
30,Schulter::N,umăr,ва́че
31,Schulter::N,spate,ва́че
32,Arm::N,braț,кид
33,Ellenbogen::N,cot,кынерву́й
34,Hand::N,mână,кид
35,Hand::N,mână,копа́
36,Handfläche::N,palmă,со́во
37,Finger::N,deget,парня́
38,Fingernagel::N,unghie,кидкӱ́ч
39,Fingernagel::N,unghie,парнягӱ́ч
40,Nagel[Anatomie]::N,unghie,кӱч
41,Zeh::N,deget de la picior,йолварня́
42,Fuß::N,picior,йол
43,Fuß::N,picior,йолкопа́
44,Ferse::N,călcâi,тага́н
45,Knie::N,genunchi,пулву́й
46,Oberschenkel::N,coapsă,э́рде
47,Bein::N,picior,йол
48,Körper::N,corp,кап
49,Haut::N,piele,кова́ште
50,Blut::N,sânge,вӱр
51,Ader::N,vână,шӧн
52,Ader::N,arteră,шӧн
53,Sehne::N,tendon,шӧн
54,Sehne::N,tendon,кӱсе́н
55,Knochen::N,os,лу
56,Gehirn::N,creier,вем
57,Gehirn::N,creier,вуйве́м
58,Herz::N,inimă,шӱм
59,Magen::N,stomac,пага́р
60,Leber::N,ficat,мокш
61,Atem::N,răsuflare,шӱ́лыш
62,Atem::N,respirație,шӱ́лыш
63,Hunger::N,foame,шужыма́ш
64,Träne::N,lacrimă,шинчавӱ́д
65,Geschmack::N,gust,там
66,Geruch::N,miros,пуш
67,Schlaf::N,somn,о́мо
68,Traum::N,vis,йӱдо́мо
69,Himmel::N,cer,кава́
70,Sonne::N,soare,ке́че
71,Mond::N,lună,ты́лзе
72,Stern::N,stea,шӱ́дыр
73,Luft::N,aer,юж
74,Wind::N,vânt,марде́ж
75,Welle::N,val,то́лкын
76,Welle::N,undă,то́лкын
77,Wasser::N,apă,вӱд
78,Stein::N,piatră,кӱ
79,Boden::N,sol,рок
80,Boden::N,pământ,рок
