,Concept_ID,os,nl
0,Auge::N,цӕст,oog
1,Ohr::N,хъус,oor
2,Nase::N,фындз,neus
3,Mund::N,дзых,mond
4,Zahn::N,дӕндаг,tand
5,Zunge::N,ӕвзаг,tong
6,Lippe::N,был,lip
7,Wange::N,рус,wang
8,Wange::N,уадул,wang
9,Wange::N,ӕхсӕрфарс,wang
10,Gesicht::N,цӕсгом,gelaat
11,Gesicht::N,цӕсгом,gezicht
12,Stirn::N,ных,voorhoofd
13,Haar::N,хил,haar
14,Schnurrbart::N,рихи,snor
15,Bart::N,зачъе,baard
16,Kinn::N,роцъо,kin
17,Kiefer[Anatomie]::N,ӕфсӕр,kaak
18,Kehle::N,хъуыр,keel
19,Kehle::N,хъуыр,strot
20,Hals::N,къубал,hals
21,Genick::N,къӕбут,nek
22,Kopf::N,сӕр,hoofd
23,Rücken::N,фӕсонтӕ,rug
24,Bauch::N,гуыбын,buik
25,Nabel::N,бикъ,navel
26,Busen::N,дзидзи,boezem
27,Brust::N,риу,borst
28,Schulter::N,уӕхск,schouder
29,Arm::N,цонг,arm
30,Ellenbogen::N,рæмбын,elleboog
31,Hand::N,къух,hand
32,Handfläche::N,армытъӕпӕн,handpalm
33,Finger::N,ӕнруылдз,vinger
34,Fingernagel::N,ных,nagel
35,Nagel[Anatomie]::N,ных,nagel
36,Zeh::N,къух,teen
37,Fuß::N,фад,voet
38,Ferse::N,зӕвӕт,hak
39,Ferse::N,зӕвӕт,hiel
40,Knie::N,уӕраг,knie
41,Oberschenkel::N,агъд,dij
42,Bein::N,зӕнг,been
43,Körper::N,буар,lichaam
44,Haut::N,царм,huid
45,Blut::N,туг,bloed
46,Ader::N,дадзин,ader
47,Ader::N,тугдадзин,ader
48,Sehne::N,хъиутæ,pees
49,Sehne::N,нуар,pees
50,Knochen::N,стӕг,bot
51,Knochen::N,стӕг,been
52,Knochen::N,стӕг,knook
53,Gehirn::N,магъз,hersenen
54,Herz::N,зӕрдӕ,hart
55,Magen::N,ахсӕн,maag
56,Leber::N,игæр,lever
57,Atem::N,улӕфт,adem
58,Hunger::N,стонг,honger
59,Träne::N,цæссыг,traan
60,Geschmack::N,ад,smaak
61,Geruch::N,смаг,geur
62,Schlaf::N,хуыссӕг,slaap
63,Traum::N,фын,droom
64,Himmel::N,арв,hemel
65,Himmel::N,уӕларв,hemel
66,Sonne::N,хур,zon
67,Mond::N,мӕй,maan
68,Stern::N,стъалы,ster
69,Luft::N,уӕлдӕф,lucht
70,Wind::N,дымгӕ,wind
71,Welle::N,уылӕн,golf
72,Wasser::N,дон,water
73,Stein::N,дур,steen
74,Boden::N,зӕхх,grond
75,Erde::N,сыджыт,aarde
76,Staub::N,рыг,stof
77,Rauch::N,фӕздӕг,rook
78,Funke::N,цӕхӕр,vonk
79,Feuer::N,зынг,vuur
80,Licht::N,рухс,licht
81,Schatten::N,аууон,schaduw
82,Wetter::N,боныхъӕд,weer
83,Nebel::N,мигъ,mist
84,Nebel::N,мигъ,nevel
85,Wolke::N,ӕврагъ,wolk
86,Regen::N,уарын,regen
87,Schnee::N,мит,sneeuw
88,Eis::N,их,ijs
89,Frost::N,ихæн,vorst
90,Kälte::N,уазал,kou
91,Kälte::N,уазал,koude
92,Hitze::N,ӕнтӕф,hitte
93,Raureif::N,халас,rijp
94,Regenbogen::N,арвырон,regenboog
95,Regenbogen::N,арвырдын,regenboog
96,Donner::N,æрвнæрын,donder
97,Strömung::N,цыд,stroming
98,Tropfen::N,æртах,druppel
99,Schaum::N,фынк,schuim
100,Schmutz::N,цъыф,vuil
101,See::N,цад,meer
102,Sumpf::N,цъыфдзаст,moeras
103,Moor::N,цъыфдзаст,veen
104,Wiese::N,уыгӕрдӕн,wei
105,Wiese::N,уыгӕрдӕн,weide
106,Wald::N,хъӕд,bos
107,Hügel::N,обау,heuvel
108,Hügel::N,къуыбыр,heuvel
109,Anhöhe::N,уæлвæз,hoogte
110,Anhöhe::N,уæлхох,hoogte
111,Berg::N,хох,berg
112,Gipfel::N,цъупп,top
113,Höhle::N,лӕгӕт,hol
114,Abhang::N,къул,helling
115,Quelle::N,суадон,bron
116,Bach::N,мӕсчъыдон,beek
117,Fluss::N,дон,stroom
118,Fluss::N,цӕугӕдон,stroom
119,Ufer::N,был,wal
120,Ufer::N,был,oever
121,Küste::N,донбыл,kust
122,Festland::N,сурзæхх,vasteland
123,Meer::N,денджыз,zee
124,Bucht::N,донбакæлæн,baai
125,Bucht::N,донбакæлæн,inham
126,Insel::N,сакъадах,eiland
127,Blume::N,дидинӕг,bloem
128,Gras::N,кӕрдӕг,gras
129,Wurzel::N,уидаг,wortel
130,Baum::N,бӕлас,boom
131,Stamm::N,хӕтӕл,stam
132,Rinde::N,цъар,schors
133,Ast::N,арх,tak
134,Zweig::N,къалиу,twijg
135,Blatt::N,сыф,blad
136,Birke::N,бæрз,berk
137,Kiefer[Baum]::N,нӕзы,den
138,Weide[Baum]::N,хӕрис,wilg
139,Tanne::N,наз,spar
140,Horn::N,сыкъа,hoorn
141,Feder::N,сис,veer
142,Feder::N,сис,pluim
143,Fell::N,царм,vel
144,Flügel::N,базыр,vleugel
145,Klaue::N,ных,klauw
146,Kralle::N,дзӕмбы,klauw
147,Schwanz::N,къӕдзил,staart
148,Ei::N,айк,ei
149,Nest::N,ахстон,nest
150,Bau::N,хуынкъ,hol
151,Tier::N,сырд,dier
152,Tier::N,цӕрӕгой,dier
153,Herde::N,дзуг,kudde
154,Herde::N,рӕгъау,kudde
155,Kuh::N,хъуг,koe
156,Bulle::N,гал,stier
157,Pferd::N,бӕх,paard
158,Schaf::N,фыс,schaap
159,Schwein::N,хуы,varken
160,Hund::N,куыдз,hond
161,Katze::N,гӕды,kat
162,Bär::N,арс,beer
163,Eichhörnchen::N,æхсæрæг,eekhoorntje
164,Elch::N,цæгатаг саг,eland
165,Fuchs::N,рувас,vos
166,Hase::N,тæрхъус,haas
167,Maus::N,мыст,muis
168,Wolf::N,бирӕгъ,wolf
169,Vogel::N,цъиу,vogel
170,Vogel::N,маргъ,vogel
171,Schwarm::N,бал,zwerm
172,Huhn::N,карк,kip
173,Huhn::N,карк,hoen
174,Hahn::N,уасӕг,haan
175,Gans::N,хъаз,gans
176,Adler::N,цӕргӕс,arend
177,Ente::N,ацц,eend
178,Eule::N, уыг,uil
179,Eule::N,сидахъ,uil
180,Kranich::N,зырнæг,kraanvogel
181,Kranich::N,хърихъупп,kraanvogel
182,Krähe::N,халон,kraai
183,Kuckuck::N,гаккук,koekoek
184,Schwan::N,доныхъаз,zwaan
185,Fisch::N,кӕсаг,vis
186,Barsch::N,окунь,baars
187,Hecht::N,хихор кӕсаг,snoek
188,Schlange[Tier]::N,калм,slang
189,Wurm::N,зулкъ,worm
190,Wurm::N,къуыдыргалм,worm
191,Spinne::N,хӕлуарӕг,spin
192,Ameise::N,мæлдзыг,mier
193,Laus::N,сыст,luis
194,Mücke::N,къогъо,mug
195,Fliege::N,бындз,vlieg
196,Schmetterling::N,гæлæбу,vlinder
197,Beere::N,гагадыргъ,bes
198,Apfel::N,фӕткъуы,appel
199,Pilz::N,зокъо,paddestoel
200,Pilz::N,къозо,paddestoel
201,Zwiebel::N,хъӕдындз,ui
202,Saat::N,тауинаг,zaad
203,Saat::N,мыггаг,zaad
204,Korn::N,мыггаг,graan
205,Korn::N,мыггаг,korrel
206,Korn::N,тауинаг,graan
207,Korn::N,тауинаг,korrel
208,Heu::N,хос,hooi
209,Schale::N,цъар,schil
210,Grube::N,урм,kuil
211,Grube::N,къахт,kuil
212,Grube::N,дзыхъхъ,kuil
213,Falle::N,цъысым,val
214,Falle::N,къӕппӕг,val
215,Schlinge::N,цасм,strop
216,Spur::N,фæд,spoor
217,Asche::N,фӕнык,as
218,Asche::N,ӕртхутӕг,as
219,Dreck::N,цъыф,drek
220,Eisen::N,ӕфсӕйнаг,ijzer
221,Gold::N,сыгъзӕрин,goud
222,Silber::N,ӕвзист,zilver
223,Kohle::N,ӕвзалы,kool
224,Glas::N,авг,glas
225,Lehm::N,ӕлыг,klei
226,Sand::N,змис,zand
227,Mensch::N,лӕг,mens
228,Mensch::N,адӕймаг,mens
229,Mensch::N,удгоймаг,mens
230,Mann::N,лӕг,man
231,Mann::N,нӕлгоймаг,man
232,Frau::N,сылгоймаг,vrouw
233,Kind::N,сывӕллон,kind
234,Junge::N,лӕппу,jongen
235,Mädchen::N,чызг,meisje
236,Familie::N,бинонтæ,gezin
237,Familie::N,бинонтæ,familie
238,Großvater::N,фыдыфыд,grootvader
239,Großvater::N,мадыфыд,grootvader
240,Großmutter::N,фыды мад,grootmoeder
241,Großmutter::N,мады мад,grootmoeder
242,Eltern::N,ныййарджытæ,ouders
243,Vater::N,фыд,vader
244,Mutter::N,мад,moeder
245,Sohn::N,фырт,zoon
246,Tochter::N,чызг,dochter
247,Bruder::N,ӕфсымӕр,broer
248,Bruder::N,ӕфсымӕр,broeder
249,Schwester::N,хо,zus
250,Schwester::N,хо,zuster
251,Onkel::N,фыдыфсымӕр,oom
252,Tante::N,мадыхо,tante
253,Ehemann::N,мой,echtgenoot
254,Ehefrau::N,ус,echtgenote
255,Freude::N,цин,vreugde
256,Freude::N,циндзинад,vreugde
257,Gelächter::N,худын,gelach
258,Gelächter::N,худт,gelach
259,Gelächter::N,худæг,gelach
260,Glück::N,амонд,geluk
261,Kummer::N,хъыг,verdriet
262,Wunsch::N,бӕллиц,wens
263,Wunsch::N,бӕллиц,verlangen
264,Lust::N,монц,zin
265,Lust::N,монц,lust
266,Geist::N,уд,geest
267,Gedanke::N,хъуыды,gedachte
268,Gedächtnis::N,мысæн,geheugen
269,Gedächtnis::N,мысын,geheugen
270,Gedächtnis::N,зæрдылдарын,geheugen
271,Verstand::N,зонд,verstand
272,Sinn::N,нысаниуæг,betekenis
273,Grund::N,ӕфсон,reden
274,Wahrheit::N,æцæг,waarheid
275,Gespräch::N,ныхас,gesprek
276,Märchen::N,аргъау,sprookje
277,Erzählung::N,радзырд,verhaal
278,Nachricht::N,уац,tijding
279,Neuigkeit::N,хабар,nieuws
280,Neuigkeit::N,хабар,nieuwtje
281,Name::N,ном,naam
282,Rätsel::N,уыци-уыци,raadsel
283,Rätsel::N,базон-базон,raadsel
284,Rede::N,раныхас,rede
285,Sprache::N,ӕвзаг,taal
286,Stimme::N,хъӕлӕс,stem
287,Wort::N,дзырд,woord
288,Zeichen::N,нысан,teken
289,Ruf::N,сидт,roep
290,Lärm::N,уынæр,lawaai
291,Laut::N,зӕл,klank
292,Laut::N,зӕл,geluid
293,Laut::N,мыр,klank
