,Concept_ID,ja,is
0,Auge::N,目,auga
1,Ohr::N,耳,eyra
2,Nase::N,鼻,nef
3,Mund::N,口,munnur
4,Zahn::N,歯,tönn
5,Zunge::N,舌,tunga
6,Lippe::N,唇,vör
7,Wange::N,頬,kinn
8,Wange::N,頬,vangi
9,Gesicht::N,顔,andlit
10,Stirn::N,額,enni
11,Haar::N,髪,hár
12,Schnurrbart::N,口髭,yfirskegg
13,Bart::N,髭,skegg
14,Kinn::N,顎,haka
15,Kiefer[Anatomie]::N,顎,kjálki
16,Kiefer[Anatomie]::N,顎,skoltur
17,Kehle::N,喉,kverk
18,Hals::N,首,háls
19,Genick::N,首,hnakki
20,Kopf::N,頭,höfuð
21,Rücken::N,背中,hryggur
22,Bauch::N,腹,kviður
23,Bauch::N,お腹,kviður
24,Nabel::N,へそ,nafli
25,Busen::N,乳房,barmur
26,Brust::N,胸,brjóst
27,Schulter::N,肩,öxl
28,Arm::N,腕,armur
29,Ellenbogen::N,肘,olnbogi
30,Hand::N,手,hönd
31,Handfläche::N,手のひら,lófi
32,Finger::N,指,fingur
33,Fingernagel::N,爪,fingurnögl
34,Nagel[Anatomie]::N,爪,nögl
35,Zeh::N,足の指,tá
36,Fuß::N,足,fótur
37,Ferse::N,かかと,hæll
38,Knie::N,膝,kné
39,Oberschenkel::N,上腿,læri
40,Bein::N,足,fótleggur
41,Körper::N,体,búkur
42,Körper::N,体,líkami
43,Haut::N,皮膚,húð
44,Haut::N,皮膚,skinn
45,Blut::N,血,blóð
46,Ader::N,血管,æð
47,Sehne::N,腱,sin
48,Knochen::N,骨,bein
49,Gehirn::N,脳,heili
50,Herz::N,心,hjarta
51,Herz::N,心臓,hjarta
52,Magen::N,胃,magi
53,Leber::N,肝臓,lifur
54,Atem::N,息,andi
55,Atem::N,息,andardráttur
56,Atem::N,呼吸,andi
57,Atem::N,呼吸,andardráttur
58,Hunger::N,空腹,hungur
59,Träne::N,涙,tár
60,Geschmack::N,味,smekkur
61,Geruch::N,匂い,lykt
62,Schlaf::N,睡眠,svefn
63,Traum::N,夢,draumur
64,Himmel::N,空,himinn
65,Sonne::N,太陽,sól
66,Mond::N,月,tungl
67,Stern::N,星,stjarna
68,Luft::N,空気,loft
69,Wind::N,風,vindur
70,Welle::N,波,alda
71,Welle::N,波,bylgja
72,Wasser::N,水,vatn
73,Stein::N,石,steinn
74,Boden::N,土地,botn
75,Erde::N,土,jörð
76,Staub::N,埃,ryk
77,Staub::N,埃,duft
78,Rauch::N,煙,reykur
79,Funke::N,火花,neisti
80,Feuer::N,火,eldur
81,Licht::N,光,ljós
82,Schatten::N,陰,skuggi
83,Wetter::N,天気,veður
84,Nebel::N,霧,þoka
85,Wolke::N,雲,ský
86,Regen::N,雨,regn
87,Schnee::N,雪,snjór
88,Eis::N,氷,ís
89,Frost::N,霜,frost
90,Kälte::N,寒さ,kuldi
91,Hitze::N,暑さ,hiti
92,Raureif::N,霧氷,hrím
93,Regenbogen::N,虹,regnbogi
94,Donner::N,雷,þruma
95,Strömung::N,流れ,straumur
96,Tropfen::N,滴,dropi
97,Schaum::N,泡,froða
98,Schmutz::N,汚れ,óhreinindi
99,See::N,湖,stöðuvatn
100,Sumpf::N,沼,fen
101,Moor::N,湿原,mýri
102,Wiese::N,草原,engi
103,Wald::N,森,skógur
104,Hügel::N,丘,hæð
105,Hügel::N,丘,hóll
106,Anhöhe::N,高み,hæð
107,Anhöhe::N,高み,hóll
108,Berg::N,山,fell
109,Berg::N,山,fjall
110,Gipfel::N,頂上,tindur
111,Höhle::N,洞窟,hellir
112,Abhang::N,斜面,hlíð
113,Abhang::N,斜面,brekka
114,Quelle::N,泉,lind
115,Quelle::N,泉,uppspretta
116,Bach::N,小川,lækur
117,Fluss::N,川,á
118,Fluss::N,川,fljót
119,Ufer::N,岸,árbakki
120,Ufer::N,岸,sjávarbakki
121,Küste::N,海岸,strönd
122,Festland::N,陸,meginland
123,Meer::N,海,haf
124,Meer::N,海,sjór
125,Bucht::N,湾,vík
126,Insel::N,島,eyja
127,Blume::N,花,blóm
