,Concept_ID,lez,es
0,Auge::N,вил,ojo
1,Ohr::N,яб,oreja
2,Nase::N,нер,nariz
3,Mund::N,сив,boca
4,Zahn::N,сас,diente
5,Zahn::N,свах,diente
6,Zunge::N,мез,lengua
7,Lippe::N,пӏуз,labio
8,Wange::N,хъвехъ,mejilla
9,Gesicht::N,ччин,cara
10,Stirn::N,пел,frente
11,Haar::N,чӏар,cabello
12,Schnurrbart::N,спел,bigote
13,Schnurrbart::N,спелар,bigote
14,Bart::N,ччуру,barba
15,Kinn::N,чене,barbilla
16,Kiefer[Anatomie]::N,чене,mandíbula
17,Kehle::N,туьд,garganta
18,Hals::N,гардан,cuello
19,Genick::N,кьам,nuca
20,Genick::N,кьам,cerviz
21,Kopf::N,кьил,cabeza
22,Rücken::N,далу,espalda
23,Bauch::N,руфун,vientre
24,Nabel::N,пицӏ,ombligo
25,Busen::N,мам,pecho
26,Brust::N,хур,pecho
27,Schulter::N,къуьн,hombro
28,Arm::N,гъил,brazo
29,Ellenbogen::N,кьуьнт,codo
30,Hand::N,капаш,mano
31,Handfläche::N,капан юкь,palma
32,Finger::N,тӏуб,dedo
33,Fingernagel::N,кек,uña
34,Nagel[Anatomie]::N,кек,uña
35,Zeh::N,кул,dedo del pie
36,Fuß::N,кӏвач,pie
37,Ferse::N,дабан,talón
38,Knie::N,мет,rodilla
39,Bein::N,кӏвач,pierna
40,Körper::N,беден,cuerpo
41,Haut::N,хам,piel
42,Blut::N,иви,sangre
43,Ader::N,дамар,vena
44,Sehne::N,кьуру дамар,tendón
45,Knochen::N,кӏараб,hueso
46,Gehirn::N,мефт,cerebro
47,Gehirn::N,мефт,encéfalo
48,Herz::N,рикӏ,corazón
49,Magen::N,хук,estómago
50,Leber::N,лекь,hígado
51,Atem::N,ял,aliento
52,Atem::N,нефес,aliento
53,Hunger::N,каш,hambre
54,Träne::N,вилин нагъв,lágrima
55,Geschmack::N,дад,gusto
56,Geschmack::N,тӏям,gusto
57,Geruch::N,ни,olor
58,Schlaf::N,ахвар,sueño
59,Traum::N,ахвар,sueño
60,Traum::N,ахвар,ensueño
61,Himmel::N,цав,cielo
62,Sonne::N,рагъ,sol
63,Mond::N,варз,luna
64,Stern::N,гъед,estrella
65,Luft::N,гьава,aire
66,Wind::N,гар,viento
67,Welle::N,лепе,ola
68,Welle::N,лепе,onda
69,Wasser::N,яд,agua
70,Stein::N,къван,piedra
71,Boden::N,накьв,suelo
72,Erde::N,ччил,tierra
73,Staub::N,руг,polvo
74,Rauch::N,гум,humo
75,Funke::N,цӏелхем,chispa
76,Feuer::N,цӏай,fuego
77,Licht::N,экв,luz
78,Schatten::N,серин,sombra
79,Wetter::N,гьава,tiempo
80,Nebel::N,ччилин циф,niebla
81,Wolke::N,циф,nube
82,Regen::N,марф,lluvia
83,Schnee::N,жив,nieve
84,Eis::N,мурк,hielo
85,Frost::N,аяз,helada
86,Kälte::N,мекь,frío
87,Kälte::N,мекьивал,frío
88,Hitze::N,зегьем,calor
89,Raureif::N,къирав,escarcha
90,Regenbogen::N,яргъируш,arco iris
91,Donner::N,цавун ван,trueno
92,Tropfen::N,стӏал,gota
93,Schaum::N,каф,espuma
94,Schmutz::N,чирк,suciedad
95,Schmutz::N,кьуруш,suciedad
