,Concept_ID,udm,ca
0,Auge::N,син,ull
1,Ohr::N,пель,orella
2,Nase::N,ныр,nas
3,Mund::N,ым,boca
4,Zahn::N,пинь,dent
5,Zunge::N,кыл,llēngua
6,Lippe::N,ымдур,llavi
7,Wange::N,бам,galta
8,Gesicht::N,ымныр,cara
9,Stirn::N,кымес,front
10,Haar::N,йырси,cabēll
11,Schnurrbart::N,мыйык,bigoti
12,Bart::N,туш,barba
13,Kinn::N,ангес,mentó
14,Kinn::N,ангес,barbeta
15,Kiefer[Anatomie]::N,ан,queix
16,Kiefer[Anatomie]::N,ан,mandíbula
17,Kiefer[Anatomie]::N,анлы,queix
18,Kiefer[Anatomie]::N,анлы,mandíbula
19,Kehle::N,гульым,gola
20,Kehle::N,гульым,gorja
21,Hals::N,чырты,coll
22,Genick::N,йырбер,nuca
23,Kopf::N,йыр,cap
24,Rücken::N,мыш,esquena
25,Bauch::N,кӧт,panxa
26,Nabel::N,гогы,llombrígol
27,Busen::N,ноны,pit
28,Busen::N,ноны,mama
29,Brust::N,мӧля,pit
30,Schulter::N,пельпум,espatlla
31,Arm::N,суй,braç
32,Ellenbogen::N,гырпум,colze
33,Hand::N,ки,mà
34,Handfläche::N,ки пыдэс,palma
35,Handfläche::N,кырым пыдэс,palma
36,Finger::N,чиньы,dit
37,Fingernagel::N,гижы,ungla
38,Fingernagel::N,гиждӥнь,ungla
39,Nagel[Anatomie]::N,гижы,ungla
40,Zeh::N,пыдчиньы,dit del peu
41,Fuß::N,пыд,peu
42,Ferse::N,пыдбер,taló
43,Knie::N,пыдес,genoll
44,Oberschenkel::N,макес,cuixa
45,Bein::N,пыд,cama
46,Körper::N,мугор,cos
47,Körper::N,вылтыр,cos
48,Haut::N,ку,pell
49,Blut::N,вир,sang
50,Ader::N,вирсэр,vena
51,Sehne::N,вуж,tendó
52,Knochen::N,лы,os
53,Gehirn::N,вим,cervell
54,Herz::N,сюлэм,cor
55,Magen::N,ӝуш,estómac
56,Leber::N,мус,fetge
57,Atem::N,лул,alè
58,Atem::N,лул,hàlit
59,Atem::N,шокан,alè
60,Atem::N,шокан,hàlit
61,Hunger::N,кӧтсюман,fam
62,Hunger::N,кӧтсюман,gana
63,Träne::N,синкыли,llàgrima
64,Geschmack::N,шӧм,gust
65,Geschmack::N,шӧм,sabor
66,Geruch::N,зын,olor
67,Schlaf::N,вӧт,son
68,Traum::N,уйвӧт,somni
69,Himmel::N,ин,celm
70,Sonne::N,шунды,sol
71,Mond::N,толэзь,lluna
72,Stern::N,кизили,estel
73,Stern::N,кизили,estrella
74,Luft::N,омыр,aire
75,Wind::N,тӧл,vent
76,Welle::N,тулкым,ona
77,Wasser::N,ву,āigua
78,Stein::N,из,pedra
79,Boden::N,музъем,sòl
80,Erde::N,му,terra
81,Staub::N,пыль,pols
82,Rauch::N,ӵын,fum
83,Funke::N,гизьы,guspira
84,Funke::N,гизьы,centella
85,Feuer::N,тыл,foc
86,Licht::N,тыл,llum
87,Schatten::N,вужер,ombra
88,Wetter::N,куазь,temps
89,Nebel::N,бус,boira
90,Wolke::N,пилем,núvol
91,Regen::N,зор,pluja
92,Schnee::N,лымы,neu
93,Eis::N,йӧ,gel
94,Eis::N,йӧ,glaç
95,Frost::N,кезьыт,glaçada
96,Kälte::N,кезьыт,fred
97,Hitze::N,пӧсь,calor
98,Raureif::N,гӧр,gebre
99,Regenbogen::N,вуюись,arc iris
100,Donner::N,гудыри,tro
101,Strömung::N,бызён,corrent
102,Tropfen::N,шапык,gota
103,Schaum::N,шукы,escuma
104,Schmutz::N,нӧд,brutícia
105,Schmutz::N,дэри,brutícia
106,See::N,ты,llac
107,Sumpf::N,нюр,pantà
108,Moor::N,нюр,pantà
109,Wiese::N,возь,prat
110,Wiese::N,возь,prada
111,Wiese::N,возьвыл,prat
112,Wiese::N,возьвыл,prada
113,Wald::N,сик,bosc
114,Wald::N,нюлэс,bosc
115,Hügel::N,выр,puig
116,Hügel::N,выр,pujol
117,Hügel::N,вырйыл,puig
118,Hügel::N,вырйыл,pujol
119,Anhöhe::N,выр,turó
120,Anhöhe::N,вырйыл,turó
121,Berg::N,гурезь,muntanya
122,Gipfel::N,йыл,cim
123,Höhle::N,гу,cova
124,Abhang::N,бам,coster
125,Quelle::N,ошмес,font
126,Bach::N,пичи шур,riera
127,Fluss::N,шур,riu
128,Ufer::N,ярдур,riba
129,Küste::N,вудур,costa
130,Festland::N,мувыр,terra ferma
131,Meer::N,зарезь,mar
132,Bucht::N,вукож,cala
133,Bucht::N,вукож,badia
134,Insel::N,вумуӵ,illa
135,Insel::N,шормуӵ,illa
136,Blume::N,сяська,flor
137,Gras::N,турын,herba
138,Wurzel::N,выжы,rel
139,Wurzel::N,выжы,arrel
140,Baum::N,пу,arbre
141,Stamm::N,модос,tronc
142,Rinde::N,сул,escorça
143,Ast::N,ул,branca
144,Zweig::N,вай,ram
145,Blatt::N,куар,fulla
146,Birke::N,кызьпу,bedoll
147,Kiefer[Baum]::N,пужым,pi
148,Weide[Baum]::N,бадьпу,salze
149,Tanne::N,кыз,avet
150,Horn::N,сюр,corn
151,Horn::N,сюр,banya
152,Feder::N,тылы,ploma
153,Fell::N,ку,pell
154,Flügel::N,бурд,ala
155,Klaue::N,гижы,urpa
156,Kralle::N,пыд,grapa
157,Schwanz::N,быж,cua
158,Ei::N,пуз,ou
159,Ei::N,кукей,ou
160,Nest::N,кар,niu
161,Nest::N,пузкар,niu
162,Bau::N,кар,cau
163,Bau::N,гу,cau
164,Tier::N,пӧйшур,animāl
165,Herde::N,уллё,ramat
166,Kuh::N,скал,vaca
167,Bulle::N,ош,toro
168,Bulle::N,пороз,toro
169,Pferd::N,вал,cavāll
170,Schaf::N,ыж,be
171,Schaf::N,ыж,ovella
172,Schwein::N,парсь,bacó
173,Hund::N,пуны,ca
174,Hund::N,пуны,gos
175,Katze::N,коӵыш,gat
176,Bär::N,гондыр,ós
177,Eichhörnchen::N,коньы,esquirol
178,Elch::N,койык,ant
179,Fuchs::N,ӟичы,guilla
180,Hase::N,кеч,llebre
181,Maus::N,шыр,ratolí
182,Wolf::N,кион,llop
183,Vogel::N,тылобурдо,au
184,Vogel::N,тылобурдо,ocēll
185,Schwarm::N,уллё,bandada
186,Huhn::N,курег,gallina
187,Hahn::N,атас,gall
188,Gans::N,ӟазег,oca
189,Adler::N,ӧрзи,àguila
190,Ente::N,ӵӧж,ànec
191,Eule::N,кучыран,òliba
192,Eule::N,кучыран,mussol
193,Kranich::N,тури,grua
194,Krähe::N,куака,cornella
195,Kuckuck::N,кикы,cucut
196,Schwan::N,юсь,cigne
197,Fisch::N,чорыг,peix
198,Barsch::N,юш,perca
199,Hecht::N,чипей,lluç
200,Schlange[Tier]::N,кый,serp
201,Wurm::N,нумыр,cuc
202,Spinne::N,чонари,aranya
203,Ameise::N,кузьыли,formiga
204,Laus::N,тэй,poll
205,Mücke::N,нымы,mosquit
206,Mücke::N,чибинь,mosquit
207,Fliege::N,кут,mosca
208,Schmetterling::N,бубыли,papallona
209,Beere::N,узы-боры,baia
210,Apfel::N,яблок,poma
211,Pilz::N,губи,bolet
212,Zwiebel::N,сугон,ceba
213,Saat::N,кидыс,sembra
214,Korn::N,тысь,gra
215,Heu::N,турын,fenc
216,Schale::N,кыд,closca
217,Grube::N,гу,sot
218,Grube::N,гу,clot
219,Grube::N,гоп,sot
220,Grube::N,гоп,clot
221,Falle::N,налик,trampa
222,Schlinge::N,гиӟ,baga
223,Schlinge::N,герд,baga
224,Spur::N,пытьы,traça
225,Spur::N,бервыл,traça
226,Asche::N,пень,cendra
227,Dreck::N,дэри,llot
228,Eisen::N,корт,ferro
229,Gold::N,зарни,or
230,Silber::N,азвесь,plata
231,Kohle::N,эгыр,carbó
232,Glas::N,стекло,vidre
233,Glas::N,пияла,vidre
234,Lehm::N,сюй,fang
235,Lehm::N,сюй,argila
236,Sand::N,луо,arena
237,Mensch::N,мурт,humà
238,Mensch::N,мурт,persona
239,Mensch::N,адями,humà
240,Mensch::N,адями,persona
241,Mann::N,воргорон,home
242,Frau::N,кышномурт,dona
243,Kind::N,нуны,nen
244,Kind::N,пинал,nen
245,Junge::N,пи,noi
246,Mädchen::N,ныл,noia
247,Familie::N,семья,família
248,Großvater::N,песятай,avi
249,Großvater::N,пересь атай,avi
250,Großmutter::N,песянай,àvia
251,Großmutter::N,пересь анай,àvia
252,Eltern::N,атай-анай,pares
253,Eltern::N,бубы-мумы,pares
254,Vater::N,айы,pare
255,Vater::N,атай,pare
256,Mutter::N,мумы,mare
257,Sohn::N,пи,fill
258,Tochter::N,ныл,filla
259,Bruder::N,агай,germà
260,Schwester::N,апа,germana
261,Schwester::N,сузэр,germana
262,Onkel::N,агай,oncle
263,Tante::N,апа,tia
264,Tante::N,кенак,tia
265,Ehemann::N,карт,espòs
266,Ehefrau::N,кышно,muller
267,Freude::N,шумпотон,goig
268,Freude::N,шумпотон,alegria
269,Gelächter::N,горем,riallada
270,Glück::N,шуд,felicitat
271,Kummer::N,кайгу,pena
272,Kummer::N,куректон,pena
273,Wunsch::N,мылпотон,desig
274,Lust::N,потон,ganes
275,Geist::N,лул,ment
276,Geist::N,лул,esperit
277,Gedanke::N,малпан,pensament
278,Gedächtnis::N,йырсазь,memòria
279,Gedächtnis::N,тодэваён,memòria
280,Verstand::N,йырвизь,raó
281,Verstand::N,йырвизь,seny
282,Sinn::N,смысл,solta
283,Sinn::N,смысл,sentit
284,Grund::N,муг,raó
285,Grund::N,муг,causa
286,Grund::N,ньӧм,raó
287,Grund::N,ньӧм,causa
288,Wahrheit::N,зэм,veritāt
289,Wahrheit::N,шонер,veritāt
290,Gespräch::N,вераськон,conversa
291,Märchen::N,выжыкыл,conte
292,Erzählung::N,верос,narració
293,Nachricht::N,ивор,missatge
294,Neuigkeit::N,выльивор,novetat
295,Name::N,ним,nom
296,Rätsel::N,мадькыл,endevinalla
297,Rede::N,верам,discurs
298,Sprache::N,кыл,llēngua
299,Stimme::N,куара,veu
300,Wort::N,кыл,mot
