,Concept_ID,ab,zh
0,Auge::N,ала,眼睛
1,Ohr::N,алымҳа,耳朵
2,Nase::N,аҧынҵа,鼻子
3,Mund::N,аҧышə,嘴
4,Zahn::N,ахаҧыц,牙齿
5,Zunge::N,абз,舌头
6,Lippe::N,ақьышə,嘴唇
7,Wange::N,аӡамҩа,面颊
8,Gesicht::N,аҿы,脸
9,Stirn::N,алахь,额
10,Haar::N,ахəыц,头发
11,Schnurrbart::N,аҧаҵа,髭须
12,Bart::N,ажакьа,胡子
13,Kinn::N,ацламкəыгə,下巴
14,Kiefer[Anatomie]::N,ацламҳəа,颌
15,Kehle::N,ахəда,嗓子
16,Hals::N,ахəда,颈
17,Genick::N,ахəдаџьал,后颈
18,Kopf::N,ахы,头
19,Rücken::N,азқəа,背
20,Bauch::N,амгəа,肚子
21,Nabel::N,аҷапан,肚脐
22,Busen::N,агəыҧҳəы,胸脯
23,Brust::N,агəышҧы,胸
24,Schulter::N,ажəҩахыр,肩膀
25,Arm::N,амахəар,臂膀
26,Ellenbogen::N,амашьхəылҵ,肘
27,Hand::N,анапы,手
28,Handfläche::N,анапсаргəыҵа,手掌
29,Finger::N,анацəа,手指
30,Fingernagel::N,анапхыц,指甲
31,Nagel[Anatomie]::N,ашьапхыц,指甲
32,Zeh::N,ашьацəа,脚趾
33,Fuß::N,ашьапсыргəыҵа,脚
34,Ferse::N,ашьхəа,后跟
35,Knie::N,ашьамхы,膝
36,Oberschenkel::N,ауаҭəа,大腿
37,Bein::N,ашьапы,腿
38,Körper::N,ацəеижь,身体
39,Haut::N,ацəа,皮肤
40,Blut::N,ашьа,血
41,Ader::N,ада,血管
42,Sehne::N,адаш,腱
43,Knochen::N,абаҩ,骨
44,Gehirn::N,ахшлыбаҩ,脑
45,Gehirn::N,ахшыбаҩ,脑
46,Herz::N,агəы,心
47,Magen::N,аца,胃
48,Magen::N,ацар,胃
49,Leber::N,агəаҵəа,肝
50,Atem::N,аҧсыҧлагаҩгара,呼吸
51,Hunger::N,амла,饿
52,Träne::N,алабжыш,眼泪
53,Geschmack::N,агьама,味道
54,Geruch::N,афҩы,气味
55,Schlaf::N,ацəа,睡眠
56,Traum::N,аҧхыӡ,梦
57,Himmel::N,ажəҩан,天空
58,Sonne::N,амра,太阳
59,Mond::N,амза,月亮
60,Stern::N,аеҵəа,星
61,Luft::N,аҳаир,空气
62,Wind::N,аҧша,风
63,Welle::N,ацəқəырҧа,波
64,Wasser::N,аӡы,水
65,Stein::N,ахаҳə,石头
66,Boden::N,адгьыл,地面
67,Erde::N,адгьыл,地
68,Staub::N,асаба,灰尘
69,Rauch::N,алҩа,烟
70,Funke::N,акəиц,火花
71,Funke::N,ацҧхь,火花
72,Feuer::N,амца,火
73,Licht::N,алашара,光
74,Schatten::N,ашəшьыра,影子
75,Wetter::N,амш,天气
76,Nebel::N,анаҟəа,雾
77,Wolke::N,аҧсҭҳəа,云
78,Regen::N,ақəа,雨
79,Schnee::N,асы,雪
80,Eis::N,аҵаа,冰
81,Frost::N,аҵаа,霜冻
82,Kälte::N,ахьҭа,寒冷
83,Hitze::N,ашоура,炎热
84,Raureif::N,аҵааҧшқа,霜
85,Regenbogen::N,ацəаҟəа,虹
86,Donner::N,адыд,雷
87,Strömung::N,аиасра,水流
88,Strömung::N,амҩасра,水流
89,Tropfen::N,ацəыкəбар,滴
90,Schaum::N,ашəах,泡沫
91,Schmutz::N,алымт,赃物
92,See::N,аӡиа,湖
93,Sumpf::N,аӡмах,沼泽
94,Wiese::N,адəы,草地
95,Wald::N,абна,森林
96,Hügel::N,ахəы,丘陵
97,Anhöhe::N,аҳаракыра,山丘
98,Berg::N,ашьха,山
99,Gipfel::N,ацəқəа,峰
100,Höhle::N,аҳаҧы,洞穴
101,Abhang::N,анаара,斜坡
102,Quelle::N,аҵҵырҭа,泉
103,Bach::N,акəараҷҷа,溪
104,Fluss::N,аӡиас,河流
105,Ufer::N,ахықə,岸
106,Küste::N,ахықə,海岸
107,Festland::N,абарра,大陆
108,Meer::N,амшын,海
109,Bucht::N,аӡбжьахала,海湾
110,Insel::N,адгьылбжьаха,岛
111,Blume::N,ашəҭ,花
112,Gras::N,аҳасакьын,草
113,Wurzel::N,адац,根
114,Baum::N,аҵла,树
115,Stamm::N,ашьапы,树干
116,Rinde::N,ацəа,树皮
117,Ast::N,амахə,树枝
