,Concept_ID,sq,ca
0,Auge::N,sy,ull
1,Ohr::N,vesh,orella
2,Nase::N,hundë,nas
3,Mund::N,gojë,boca
4,Zahn::N,dhëmb,dent
5,Zunge::N,gjuhë,llēngua
6,Lippe::N,buzë,llavi
7,Wange::N,faqe,galta
8,Wange::N,mollëz,galta
9,Gesicht::N,fytyrë,cara
10,Stirn::N,ballë,front
11,Haar::N,flokë,cabēll
12,Schnurrbart::N,mustaqe,bigoti
13,Bart::N,mjekër,barba
14,Kinn::N,mjekër,mentó
15,Kinn::N,mjekër,barbeta
16,Kiefer[Anatomie]::N,nofull,queix
17,Kiefer[Anatomie]::N,nofull,mandíbula
18,Kehle::N,fyt,gola
19,Kehle::N,fyt,gorja
20,Kehle::N,grykë,gola
21,Kehle::N,grykë,gorja
22,Hals::N,qafë,coll
23,Genick::N,arrëz,nuca
24,Kopf::N,kokë,cap
25,Rücken::N,kurriz,esquena
26,Bauch::N,bark,panxa
27,Nabel::N,kërthizë,llombrígol
28,Busen::N,gji,pit
29,Busen::N,gji,mama
30,Brust::N,gjoks,pit
31,Brust::N,kraharor,pit
32,Schulter::N,sup,espatlla
33,Schulter::N,krah,espatlla
34,Arm::N,krah,braç
35,Ellenbogen::N,bërryl,colze
36,Hand::N,dorë,mà
37,Handfläche::N,pëllëmbë,palma
38,Finger::N,gisht,dit
39,Fingernagel::N,thua,ungla
40,Nagel[Anatomie]::N,thua,ungla
41,Zeh::N,gisht i këmbës,dit del peu
42,Fuß::N,këmbë,peu
43,Ferse::N,thembër,taló
44,Knie::N,gju,genoll
45,Oberschenkel::N,kofshë,cuixa
46,Bein::N,këmbë,cama
47,Körper::N,trup,cos
48,Haut::N,lëkurë,pell
49,Blut::N,gjak,sang
50,Ader::N,venë,vena
51,Sehne::N,dell,tendó
52,Knochen::N,asht,os
53,Knochen::N,kockë,os
54,Gehirn::N,tru,cervell
55,Herz::N,zemër,cor
56,Magen::N,stomak,estómac
57,Leber::N,mëlçi,fetge
58,Atem::N,frymë,alè
59,Atem::N,frymë,hàlit
60,Hunger::N,uri,fam
61,Hunger::N,uri,gana
62,Träne::N,lot,llàgrima
63,Geschmack::N,shije,gust
64,Geschmack::N,shije,sabor
65,Geruch::N,erë,olor
66,Schlaf::N,gjumë,son
67,Traum::N,ëndërr,somni
68,Himmel::N,qiell,celm
69,Sonne::N,diell,sol
70,Mond::N,hënë,lluna
71,Stern::N,yll,estel
72,Stern::N,yll,estrella
73,Luft::N,ajër,aire
74,Wind::N,erë,vent
75,Welle::N,valë,ona
76,Welle::N,dallgë,ona
77,Wasser::N,ujë,āigua
78,Stein::N,gur,pedra
79,Boden::N,tokë,sòl
80,Boden::N,truall,sòl
81,Erde::N,dhe,terra
82,Erde::N,baltë,terra
83,Staub::N,pluhur,pols
84,Rauch::N,tym,fum
85,Funke::N,xixë,guspira
86,Funke::N,xixë,centella
87,Funke::N,shkëndijë,guspira
88,Funke::N,shkëndijë,centella
89,Feuer::N,zjarr,foc
90,Licht::N,dritë,llum
91,Schatten::N,hije,ombra
