,Concept_ID,kv,mn
0,Auge::N,син,нүд
1,Ohr::N,пель,чих
2,Nase::N,ныр,хамар
3,Mund::N,ӧм,ам
4,Zahn::N,пинь,шүд
5,Zunge::N,кыв,хэл
6,Lippe::N,тырп,уруул
7,Wange::N,рожабан,хацар
8,Gesicht::N,бан,царай
9,Gesicht::N,бан,нүүр
10,Stirn::N,кымӧс,дух
11,Haar::N,юрси,үс
12,Schnurrbart::N,уссэз,дээд сахал
13,Schnurrbart::N,уссэз,живэр сахал
14,Bart::N,тош,сахал
15,Kinn::N,тшӧка,эрүү
16,Kiefer[Anatomie]::N,ан,эрүү
17,Kehle::N,юан,хоолой
18,Hals::N,юан,хүзүү
19,Genick::N,юр бӧр,шил
20,Genick::N,юр бӧр,хүзүү
21,Kopf::N,юр,толгой
22,Rücken::N,мышк,ар
23,Rücken::N,мышк,нуруу
24,Bauch::N,кынӧм,хэвлий
25,Bauch::N,кынӧм,гэдэс
26,Nabel::N,гӧг,хүйс
27,Busen::N,морос,хөх
28,Brust::N,морос,цээж
29,Schulter::N,пельпон,мөр
30,Schulter::N,пельпон,бугалга
31,Arm::N,ки,гар
32,Ellenbogen::N,гырдзза,тохой
33,Hand::N,кикар,гар
34,Hand::N,кикар,алга
35,Handfläche::N,ки пыдӧс,алга
36,Finger::N,чунь,хуруу
37,Fingernagel::N,гыж,хурууны хумс
38,Nagel[Anatomie]::N,гыж,хумс
39,Zeh::N,чунь,хуруу
40,Fuß::N,кокпыдӧс,хөл
41,Ferse::N,кокдзир,өсгий
42,Knie::N,пидзӧс,өвдөг
43,Oberschenkel::N,лядьбей,гуя
44,Bein::N,кок,хөл
45,Körper::N,вывтыр,бие
46,Haut::N,кучик,арьс
47,Blut::N,вир,цус
48,Ader::N,сӧн,судас
49,Sehne::N,жила,бүлх
50,Sehne::N,жила,шандас
51,Knochen::N,коска,яс
52,Gehirn::N,вем,тархи
53,Herz::N,сьӧлӧм,зүрх
54,Magen::N,жӧвдӧк,ходоод
55,Leber::N,мус,элэг
56,Atem::N,лолалӧм,амьсгаа
57,Hunger::N,тшыг,өлсгөлөн
58,Träne::N,синва,нулимс
59,Geschmack::N,кӧр,амт
60,Geruch::N,дук,үнэр
61,Schlaf::N,он,нойр
62,Traum::N,вӧт,зүүд
63,Himmel::N,небо,тэнгэр
64,Himmel::N,небо,огторгуй
65,Sonne::N,шондi,нар
66,Mond::N,тӧлiсь,сар
67,Stern::N,кӧдзыв,од
68,Luft::N,ру,агаар
69,Wind::N,тӧв,салхи
70,Welle::N,гы,долгио
71,Welle::N,гы,давалгаа
72,Wasser::N,ва,ус
73,Stein::N,из,чулуу
74,Boden::N,му,хөрс
75,Erde::N,му,газар
76,Erde::N,му,шороо
77,Staub::N,бус,тоос
78,Rauch::N,тшын,утаа
79,Funke::N,бичир,оч
80,Feuer::N,би,гал
81,Licht::N,би,гэрэл
82,Licht::N,би,гэгээ
83,Schatten::N,вуджӧр,сүүдэр
84,Wetter::N,погоддя,тэнгэр
85,Wetter::N,погоддя,цаг уур
86,Nebel::N,туман,будан
87,Wolke::N,кымӧр,үүл
88,Regen::N,зэр,бороо
89,Schnee::N,лым,цас
90,Eis::N,йы,мөс
91,Frost::N,мороз,хүйт
92,Kälte::N,кӧдзыт,хүйт
93,Hitze::N,ӧд,халуун
94,Raureif::N,кижа,цан
95,Raureif::N,кижа,хяруу
96,Regenbogen::N,енӧшка,солонго
97,Donner::N,гым,тэнгэрийн дуу
98,Strömung::N,визывтӧм,урсгал
99,Tropfen::N,тёп,дусал
100,Schaum::N,быг,хөөс
101,Schmutz::N,нять,хир
102,Schmutz::N,нять,шавхай
103,See::N,ты,нуур
104,Sumpf::N,арай,намаг
105,Sumpf::N,арай,балчиг
106,Moor::N,нюр,хүлрийн намаг
107,Wiese::N,видз,нуга
108,Wald::N,вӧр,ой
109,Hügel::N,мыльк,болдог
110,Anhöhe::N,вывтас,гүвээ
111,Anhöhe::N,вылынін,гүвээ
112,Berg::N,керӧс,уул
113,Gipfel::N,йыв,орой
114,Gipfel::N,йыв,оргил
115,Höhle::N,нора,агуй
116,Abhang::N,покат,хүр
117,Quelle::N,больган,булаг
118,Bach::N,шор,горхи
119,Fluss::N,ю,гол
120,Fluss::N,ю,мөрөн
121,Ufer::N,берег,эрэг
122,Küste::N,берег,эрэг
123,Festland::N,му,хуурай газар
124,Meer::N,море,далай
125,Meer::N,море,тэнгис
126,Bucht::N,курья,булан
127,Bucht::N,курья,далайн тохой
128,Blume::N,цветок,цэцэг
129,Gras::N,турун,өвс
130,Gras::N,турун,ногоо
131,Wurzel::N,вуж,үндэс
132,Baum::N,пу,мод
133,Stamm::N,мыр,иш
134,Stamm::N,мыр,гуалин
135,Stamm::N,кер,иш
136,Stamm::N,кер,гуалин
137,Rinde::N,кач,холтос
138,Ast::N,ув,гишүү
139,Zweig::N,ув,салаа
140,Blatt::N,лист,навч
141,Birke::N,кыдз,хус
142,Kiefer[Baum]::N,пожум,нарс
143,Weide[Baum]::N,бадь,уд
144,Weide[Baum]::N,бадь,бургас
145,Tanne::N,кӧз,гачуур
146,Horn::N,сюр,эвэр
147,Feder::N,гӧн,өд
148,Fell::N,кучик,арьс
149,Flügel::N,борд,жигүүр
150,Flügel::N,борд,далавч
151,Klaue::N,гыж,савар
152,Klaue::N,гыж,хумс
153,Kralle::N,кабыр,савар
154,Schwanz::N,бӧж,сүүл
155,Ei::N,кольть,өндөг
156,Nest::N,поз,үүр
157,Bau::N,осьта,нүх
158,Bau::N,осьта,элүү
159,Bau::N,нора,нүх
160,Bau::N,нора,элүү
161,Tier::N,зверь,амьтан
162,Tier::N,зверь,адгуус
163,Herde::N,гурт,сүрэг
164,Kuh::N,мӧс,үнээ
165,Bulle::N,ӧшка,бух
166,Pferd::N,вӧв,морь
167,Pferd::N,вӧв,адуу
168,Schaf::N,баля,хонь
169,Schwein::N,порсь,гахай
170,Hund::N,пон,нохой
171,Katze::N,кань,муур
172,Katze::N,кань,мигуй
173,Bär::N,ош,баавгай
174,Eichhörnchen::N,ур,хэрэм
175,Elch::N,вӧр мӧс,хандгай
176,Fuchs::N,руч,үнэг
177,Hase::N,кӧч,туулай
178,Maus::N,шыр,хулгана
179,Wolf::N,кӧин,чоно
180,Vogel::N,кай,шувуу
181,Schwarm::N,стая,сүрэг
182,Schwarm::N,чукӧр,сүрэг
183,Huhn::N,курӧг,тахиа
184,Hahn::N,петух,эр тахиа
185,Hahn::N,ай курӧг,эр тахиа
186,Gans::N,дзодзог,галуу
187,Adler::N,куч,бүргэд
188,Adler::N,кутш,бүргэд
189,Ente::N,утка,нугас
190,Eule::N,тупка,ууль
191,Kranich::N,тури,тогоруу
192,Krähe::N,рака,хэрээ
193,Kuckuck::N,кӧк,хөхөө
194,Schwan::N,юсь,хун
195,Fisch::N,чери,загас
196,Barsch::N,ёкыш,алгана
197,Hecht::N,сирпинь,цурхай
198,Schlange[Tier]::N,змей,могой
199,Wurm::N,номыр,өт
200,Wurm::N,номыр,хорхой
201,Spinne::N,черань,аалз
202,Ameise::N,кӧдзывкар,шоргоолж
203,Laus::N,ляпа той,бөөс
204,Mücke::N,ном,шумуул
205,Fliege::N,гут,ялаа
206,Schmetterling::N,бабыв,эрвээхэй
207,Beere::N,ягӧд,жимсгэнэ
208,Apfel::N,яблоко,алим
209,Pilz::N,тшак,мөөг
210,Zwiebel::N,грез,сонгино
211,Saat::N,кӧдзыс,тариа
212,Korn::N,сю,үр
213,Korn::N,сю,мөхлөг
214,Heu::N,турун,өвс
215,Schale::N,кыш,хальс
216,Schale::N,киль,хальс
217,Grube::N,яма,алам
218,Grube::N,яма,нүх
219,Falle::N,нальк,хавх
220,Falle::N,нальк,занга
221,Falle::N,кляпча,хавх
222,Falle::N,кляпча,занга
223,Schlinge::N,лӧч,урхи
224,Spur::N,туй,мөр
225,Asche::N,пӧим,үнс
226,Dreck::N,нять,хир
227,Eisen::N,кӧрт,төмөр
228,Gold::N,зарни,алт
229,Silber::N,язісь,мөнгө
230,Kohle::N,шом,нүүрс
231,Kohle::N,уголь,нүүрс
232,Glas::N,стекло,шил
233,Lehm::N,сёй,шавар
234,Sand::N,лыа,элс
235,Mensch::N,морт,хүн
236,Mann::N,мужик,эр
237,Mann::N,мужик,эрэгтэй
238,Frau::N,инька,эмэгтэй
239,Frau::N,инька,хатагтай
