,Concept_ID,ab,tt
1070,heben::V,аҩахара,күтәрү
1071,heben::V,араҳара,күтәрү
1072,hochheben::V,ахагалара,күтәрү
1073,hochheben::V,ашьҭҳəара,күтәрү
1074,halten::V,акра,тоту
1075,drücken::V,ақəрӷəӷəара,кысу
1076,schieben::V,аҵгəара,кузгату
1077,schieben::V,агəара,кузгату
1078,kratzen::V,ацəҟьара,тырнау
1079,lecken::V,арбзара,ялау
1080,beißen::V,ацҳара,тешләү
1081,abreißen::V,амжəара,өзү
1082,abschneiden::V,ахҵəара,кыю
1083,abschneiden::V,ахҵəара,кисү
1084,abschneiden::V,аҿахҵəара,кыю
1085,abschneiden::V,аҿахҵəара,кисү
1086,binden::V,аҿаҳəара,бәйләү
1087,stecken::V,алаҵара,төртү
1088,stecken::V,алаҵара,тыгу
1089,brechen::V,аҧҵəара,сындыру
1090,klopfen::V,асра,шаку
1091,klopfen::V,асра,шакылдау
1092,hauen::V,ақəкшара,кыйнау
1093,kleben::V,аҷабра,ябыштыру
1094,reiben::V,арҟəыҷра,ышку
1095,streichen::V,ахьшьра,ягу
1096,schleifen::V,ахра,кайрау
1097,schneiden::V,аҧҟара,кисү
1098,rütteln::V,арҵысра,селкетү
1099,schütteln::V,аршəшəара,селкетү
1100,schwenken::V,аҟьара,болгау
1101,schütten::V,аҭаҭəара,кою
1102,füllen::V,арҭəра,тутыру
1103,einwickeln::V,алаҳəара,төрү
1104,tragen::V,аҩагара,ташу
1105,schleppen::V,арҳəазара,сөйрәү
1106,schleppen::V,арҳəазара,өстерәү
1107,ziehen::V,ахара,тарту
1108,aufbewahren::V,аҵəахра,саклау
1109,werfen::V,аршəра,ыргыту
1110,fangen::V,акра,тоту
1111,packen::V,анкра,эләктерү
1112,packen::V,аҵкаара,эләктерү
1113,verstecken::V,аҵəахра,яшерү
1114,teilen::V,ашара,бүлү
1115,schicken::V,ашьҭра,җибәрү
1116,bringen::V,аагара,китерү
1117,hinzufügen::V,ацҵара,өстәү
1118,bekommen::V,аҧшаара,алу
1119,bekommen::V,архиара,алу
1120,bekommen::V,аура,алу
1121,erhalten::V,аиура,алу
1122,nehmen::V,агара,алу
1123,wählen::V,алҧшаара,сайлау
1124,auswählen::V,алхра,сайлау
1125,behindern::V,аҧырхагахара,комачаулау
1126,verderben::V,алгара,бозу
1127,verderben::V,абжьыхра,бозу
1128,verderben::V,аҧхасҭатəра,бозу
1129,beschädigen::V,аҧхасҭатəра,бозу
1130,zerbrechen::V,аҧҽра,вату
1131,zerreißen::V,аҧжəара,өзү
1132,zerreißen::V,аҧжəара,ерту
1133,zerstören::V,аилаҧыххаара,җимерү
1134,verbrennen::V,абылра,яндыру
1135,verbrennen::V,абылра,көйдерү
1136,geben::V,аҭара,бирү
1137,reichen::V,аҭара,тапшыру
1138,schenken::V,аҩгара,бүләкләү
1139,versprechen::V,ақəргəыӷра,вәгъдә бирү
1140,loben::V,арҽхəара,мактау
1141,küssen::V,агəӡра,үбү
1142,zudecken::V,аҵахҩара,ябу
1143,zudecken::V,аҵахҩара,бөркәү
1144,zudecken::V,ақəршəра,ябу
1145,zudecken::V,ақəршəра,бөркәү
1146,wecken::V,арҿыхара,уяту
1147,zeigen::V,арбара,күрсәтү
1148,führen::V,аныҟəгара,йөртү
1149,lehren::V,арҵара,өйрәтү
1150,unterrichten::V,арҧхьара,укыту
1151,aufziehen::V,ааӡара,асрау
1152,leiten::V,ахагылазаара,җитәкләү
1153,antreiben::V,арццакра,куалау
1154,antreiben::V,арццакра,әйдәләү
1155,antreiben::V,арццакра,ашыктыру
1156,lassen::V,арҟаҵара,мәҗбүр итү
1157,einladen::V,ааҕхьара,чакыру
1158,einladen::V,анаҧхьара,чакыру
1159,vereinigen::V,аилаҵара,берләштерү
1160,besuchen::V,абара,керешү
1161,treffen::V,аҧылара,очрату
1162,sich versammeln::V,аизара,җыелышу
1163,spielen::V,ахəмарра,уйнау
1164,singen::V,ашəаҳəара,җырлау
1165,tanzen::V,акəашара,бию
1166,sich trennen::V,аилыҵра,аерылу
1167,sich trennen::V,аилыҵра,ташлашу
1168,verlassen::V,акажьра,ташлау
1169,verlassen::V,акажьра,калдыру
1170,retten::V,Аиқəрхара,коткару
1171,bewachen::V,ахьчара,каравыллау
1172,schützen::V,ацəыхьчара,ышыклау
1173,verteidigen::V,ахьчара,яклау
1174,verteidigen::V,ахьчара,саклау
1175,sich schlagen::V,аисра,сугышу
1176,schießen::V,ахысра,ату
1177,siegen::V,аиааира,җиңү
1178,ärgern::V,аргəаара,ачуландыру
1179,schlagen::V,асра,ору
1180,schlagen::V,асра,бәрү
1181,schlagen::V,асра,тукмау
1182,schlagen::V,аҭасра,ору
1183,schlagen::V,аҭасра,бәрү
1184,schlagen::V,аҭасра,тукмау
1185,stechen::V,алакшара,кадау
1186,stoßen::V,агəҭасра,этү
1187,stehlen::V,аӡара,урлау
1188,stören::V,аҧырхагахара,комачаулау
1189,belästigen::V,аргəамҵра,борчу
1190,belästigen::V,аргəамҵра,билмазалау
1191,verbergen::V,аӡара,яшерү
1192,täuschen::V,ажьара,алдату
1193,betrügen::V,ажьара,хәрәмләшү
1194,töten::V,ашьра,үтерү
1195,wohnen::V,анхара,яшәү
1196,arbeiten::V,аусура,эшләү
1197,sammeln::V,аҟəшəара,туплау
