,Concept_ID,myv,ab
165,Bär::N,овто,амшə
166,Eichhörnchen::N,ур,аеш
167,Elch::N,сярдо,аҽаҩа
168,Fuchs::N,ривезь,абгахəыҷы
169,Hase::N,нумоло,ажьа
170,Maus::N,чеерь,аҳəынаҧ
171,Wolf::N,верьгиз,абгаду
172,Vogel::N,нармунь,аҧсаатə
173,Schwarm::N,полк,
174,Schwarm::N,стада,
175,Huhn::N,сараз,акəты
176,Hahn::N,атякш,арбаҕь
177,Gans::N,гала,аҟыз
178,Gans::N,мацей,аҟыз
179,Adler::N,куцькан,ауарба
180,Adler::N,тумоатякш,ауарба
181,Ente::N,яксярго,акəата
182,Eule::N,корж,аты
183,Kranich::N,карго,апҟа
184,Krähe::N,варака,аҟəараан
185,Kuckuck::N,куко,акəыкəу
186,Schwan::N,локсей,агьад
187,Fisch::N,кал,аҧсыӡ
188,Barsch::N,окунь,ацəыбла
189,Hecht::N,щука,ахиаала
190,Schlange[Tier]::N,гуй,амаҭ
191,Wurm::N,сукс,ахəа
192,Wurm::N,сукс,ахəац
193,Spinne::N,шанжав,абызкаҭаҳа
194,Ameise::N,коткудав,ашышкамс
195,Laus::N,сий,аҵа
196,Mücke::N,сеське,акəыбры
197,Fliege::N,карво,амҵ
198,Schmetterling::N,нимиляв,аҧарҧалыкь
199,Beere::N,умарь,аргуц
200,Apfel::N,умарь,аҵəа
201,Pilz::N,панго,акəкəбаа
202,Zwiebel::N,чурька,аџьымшьы
203,Zwiebel::N,чурька,аџьымшьхы
204,Saat::N,видьметь,ажəла
205,Korn::N,сюро,арыц
206,Heu::N,тикше,аҭəа
207,Schale::N,кедь,ацəа
208,Schale::N,ваткавкс,ацəа
209,Grube::N,латко,ажра
210,Grube::N,латко,атыша
211,Falle::N,тувор,арыҧҟьа
212,Falle::N,кундамка,арыҧҟьа
213,Schlinge::N,килькш,аҟəараҟəантə
214,Spur::N,челькс,ашьҭа
215,Spur::N,пильгеки,ашьҭа
216,Asche::N,кулов,ахəа
217,Dreck::N,рудаз,аҳəынҵəа
218,Dreck::N,рудаз,аҟьамсар
219,Eisen::N,кшни,аиха
220,Gold::N,сырне,ахьы
221,Silber::N,сия,аразны
222,Kohle::N,сэдь,арацəа
223,Kohle::N,уголия,арацəа
224,Glas::N,сулика,асаркьа
225,Lehm::N,сёвонь,анышəаҧшь
226,Sand::N,човар,аҧслымӡ
227,Mensch::N,ломань,ауаҩы
228,Mann::N,аля,ахаҵа
229,Mann::N,цёраломань,ахаҵа
230,Frau::N,ава,аҧҳəыс
231,Kind::N,эйкакш,ахəыҷы
232,Junge::N,цёрыне,аҷкəын
233,Junge::N,цёрыне,ахаҵарҧыс
234,Mädchen::N,тейтерне,аӡӷаб
235,Familie::N,семия,аҭаацəа
236,Großvater::N,покштя,абду
237,Großmutter::N,баба,анду
238,Eltern::N,тетят-ават,ани аби
239,Vater::N,тетя,аб
240,Mutter::N,ава,ан
241,Sohn::N,цёра,аҧа
242,Tochter::N,тейтерь,аҧҳа
243,Bruder::N,леля,аиашьа
244,Bruder::N,ялакс,аиашьа
245,Schwester::N,сазор,Аҳəшьа
246,Onkel::N,леля,абиашьа
247,Onkel::N,леля,аншьа
248,Tante::N,патя,абиаҳəшьа
249,Ehemann::N,мирде,ахаҵа
250,Ehemann::N,мирде,аҧшəма
251,Ehefrau::N,ни,аҧҳəыс
252,Freude::N,кеняркс,агəырӷьара
253,Gelächter::N,ракамо,ачча
254,Gelächter::N,ракамо,аччара
255,Gelächter::N,пейдема,ачча
256,Gelächter::N,пейдема,аччара
257,Glück::N,уцяска,аразҟы
258,Kummer::N,рискс,агəырҩа
259,Kummer::N,мелявкс,агəырҩа
260,Wunsch::N,мель,агəхəтəы
261,Wunsch::N,мель,аҭахра
262,Wunsch::N,бажамо,агəхəтəы
263,Wunsch::N,бажамо,аҭахра
264,Lust::N,бажамо,агəазыҳəара
265,Geist::N,ойме,аҧсы
266,Gedanke::N,мель,ахəыцырҭа
267,Gedächtnis::N,мель,агəынкылара
268,Verstand::N,прев,ахшыҩ
269,Sinn::N,толк,аҵакы
270,Sinn::N,смысла,аҵакы
271,Grund::N,тувтал,амзыз
272,Wahrheit::N,видечи,аиаша
273,Gespräch::N,кортнема,аиҿцәажәара
274,Märchen::N,ёвкс,алакə
275,Erzählung::N,ёвтнема,ажәабжь
276,Nachricht::N,куля,адырраҭара
277,Neuigkeit::N,куля,ажәабжь ҿыц
278,Name::N,лем,ахьӡ
279,Rätsel::N,содамоёвкс,ацуфара
280,Rede::N,кортамо,ажәа
281,Sprache::N,кель,абызшəа
282,Stimme::N,ваигель,абжьы
283,Wort::N,вал,ажәа
284,Zeichen::N,теште,адырга
285,Ruf::N,тердема,аҿҭы
286,Lärm::N,шалнома,ашьҭыбжь
287,Laut::N,вайгель,ашьҭыбжь
288,Ton::N,гайнема,атон
289,Lied::N,моро,ашəа
290,Ruhe::N,оймамо,аҭынчра
291,Leute::N,ломанть,ауаа
292,Volk::N,народ,ажəлар
293,Arbeit::N,тев,аусура
294,Gast::N,инже,асас
295,Geschenk::N,казне,аҳамҭа
296,Geschenk::N,казне,аҿанҵа
297,Spiel::N,налксема,ахəмарра
298,Gesellschaft::N,община,агəыҧ
299,Hilfe::N,лездамо,ацхыраара
300,Freund::N,оя,аҩыза
301,Freund::N,ялга,аҩыза
302,Kamerad::N,оя,Аҧхнагьла
303,Kamerad::N,ялга,Аҧхнагьла
304,Angelegenheit::N,тев,аус
305,Anzahl::N,ламоксчи,ахыҧхьаӡара
306,Art::N,вид,ахкы
307,Stück::N,пакш,аҽыҭ
308,Stück::N,пелькс,аҽыҭ
309,Teil::N,часть,ахəҭа
310,Teil::N,пелькс,ахəҭа
311,Hälfte::N,пель,абжа
312,Hälfte::N,пелькс,абжа
313,Kreis::N,кирькс,агьагьа
314,Kreuz::N,крёст,аџьар
315,Linie::N,кикс,аицтәар
316,Strich::N,межа,ацəаҳəа
317,Abstand::N,ютко,абжьара
318,Entfernung::N,ютко,абжьара
319,Gegend::N,тарка,аҭыҧ
320,Gegend::N,пертьпелькс,аҭыҧ
321,Platz::N,васолкс,аҭыҧ
322,Ort::N,тарка,аҭыҧ
323,Seite::N,ён,аган
324,Seite::N,чире,аган
325,Mitte::N,куншка,агəҭа
326,Gegenstand::N,предмет,амаҭəар
327,Sache::N,тев,
328,Sache::N,веща,
329,Rand::N,пе,аҵкар
330,Rand::N,чире,аҵкар
331,Kante::N,ирдез,авардым
332,Ecke::N,ужо,акəакь
333,Spitze::N,пряне,аҧынҵа
334,Spitze::N,пе,аҧынҵа
335,Ende::N,пе,анаӡара
336,Loch::N,варя,акылҵəара
337,Winkel::N,ужо,агҿаҩра
338,Winkel::N,ужо,акəындхə
339,Winkel::N,ужо,акəакь
340,Muster::N,сёрма,аҟҟа
341,Größe::N,сэрь,изаҟароу
342,Größe::N,покшолма,изаҟароу
343,Länge::N,кувалмо,аура
344,Höhe::N,сэрь,агылара
345,Höhe::N,пандо,агылара
346,Gewicht::N,сталмо,акапан
347,Menge::N,лововкс,
348,Haufen::N,мар,ачаҟəа
349,Haufen::N,валявкс,ачаҟəа
350,Reihe::N,ряд,ацəаҳəа
351,Boot::N,венч,анышь
352,Ruder::N,милё,ажəҩа
353,Schlitten::N,нурдт,ашəаҩауардын
354,Ski::N,сокс,ашəаҩа
355,Ski::N,сокс,ашьахаха
356,Lagerfeuer::N,толбандя,еиқуу амца
357,Last::N,сталмо,ахьанҭара
358,Last::N,кандома,ахьанҭара
359,Gang::N,молема,аныҟəара
360,Gang::N,якамо,аныҟəара
361,Schritt::N,эскелькс,ашьаҿа
362,Norden::N,якшамо ёнкс,аҩада
363,Süden::N,лембе ёнкс,алада
364,Westen::N,чивалгома,амраҭашəара
365,Osten::N,чилисема,амрагылара
366,Holz::N,чувто,амҿымаҭəахə
367,Brett::N,лаз,аӷəы
368,Platte::N,плита,ахаҳәцәы
369,Stütze::N,неже,аҵаргəа
370,Stütze::N,неже,агəышьаҟа
371,Stange::N,олга,акьат
372,Stock::N,мандо,алаба
373,Stab::N,олога,акьат
374,Rohr::N,турба,абыкь
375,Haus::N,кудо,аҩны
376,Heim::N,кудо,аҭаацəа
377,Ofen::N,каштомо,аҳақə
378,Ofen::N,каштомо,ауаџьаҟ
379,Ofen::N,каштомо,афрына
380,Fußboden::N,киякс,адашьма
381,Tisch::N,столь,аишәа
382,Stuhl::N,стул,аҟəардə
383,Wiege::N,лавсь,агара
384,Wiege::N,нурямот,агара
385,Bett::N,ацамо,акаруаҭ
386,Regal::N,лався,акыӷəра
387,Regal::N,лавсяланго,акыӷəра
388,Kiste::N,горобия,аидчаҧала
389,Kiste::N,сундук,аидчаҧала
390,Fenster::N,вальма,аҧенџьыр
391,Tür::N,кенкш,ашə
392,Tor::N,ортат,агəашə
393,Zaun::N,пирявт,аанда
394,Zaun::N,пирвякс,аанда
395,Dach::N,кудопря,ахыб
396,Leiter::N,кузтема,амардуан
397,Besen::N,тенсть,аҧссага
398,Spaten::N,койме,ажыга
399,Schaufel::N,кече,аҭəарӷəы
400,Schaufel::N,келей койме,аҭəарӷəы
401,Gabel::N,сянгине,ачқьыҧ
402,Löffel::N,пенч,амҳаҵə
403,Messer::N,пеель,аҳəызба
404,Nagel::N,эске,аҵəымӷ
405,Netz::N,алтыма,акаҭа
406,Haken::N,кечказ,аҵəаҳə
407,Griff::N,кедне,амаа
408,Schloss::N,замок,асаҧаҭ
409,Schloss::N,панжома,асаҧаҭ
410,Bild::N,картина,асахьа
411,Figur::N,рунго,афигура
412,Puppe::N,няка,акьанџьа
413,Beutel::N,кескав,асакь
414,Bündel::N,керькс,аҿаҳəара
415,Tasche::N,юдма,арҭмаҟ
416,Eimer::N,ведра,аведра
417,Deckel::N,велькс,ахҩа
418,Geschirr::N,кедьге,ачысмаҭəа
419,Sack::N,кескав,асакь
420,Tasse::N,чакш,аҵəца
421,Topf::N,кастрюля,акаструлиа
422,Kessel::N,котёл,ачуан
423,Essen::N,ярсамо,
424,Nahrung::N,ярсамопель,афатə
425,Speise::N,ярсамопель,афатə
426,Fleisch::N,сывель,акəац
427,Getreide::N,сюро,ачакуа
428,Brei::N,каша,ақашь
429,Brot::N,кши,ача
430,Scheibe::N,кочом,аҽыҭ
431,Scheibe::N,кочом,аҿаҵа
432,Scheibe::N,сускомо,аҽыҭ
433,Scheibe::N,сускомо,аҿаҵа
434,Fett::N,куя,ашша
435,Butter::N,ой,ахəша
436,Öl::N,ой,азеҭ
437,Salz::N,сал,аџьыка
438,Suppe::N,ям,асуҧ
439,Honig::N,медь,ацха
440,Milch::N,ловсо,ахш
441,Tee::N,чай,ачаи
442,Leder::N,киське,ацəа
443,Wolle::N,пона,аласа
444,Stoff::N,коцт,Аба
445,Nadel::N,салмукс,агəыр
446,Faden::N,суре,арахəыц
447,Knopf::N,пов,аҳəынҵəра
448,Knoten::N,сюлмо,аиқəҳəала
449,Farbe::N,артомапель,ашəыга
450,Kleidung::N,оршамот,амаҭəа
451,Hemd::N,панар,акьаҿ
452,Kragen::N,сиве,ахəда
453,Ärmel::N,ожа,амаӷра
454,Hose::N,понкст,аиқəа
455,Gürtel::N,каркс,амаҟа
456,Mütze::N,чапка,ахылҧа
457,Schuh::N,туфля,аимаа
458,Stiefel::N,кем,амагə
459,Ring::N,суркс,амацəаз
460,Band::N,лента,алента
461,Kamm::N,сурсеме,ахҳəа
462,Spiegel::N,чавачамо,асаркьа
463,Riemen::N,кшнань каркс,аа
464,Schnur::N,пикс,ашаха
465,Leine::N,ведьме,аҕура
466,Decke::N,вельтямо,ахыза
467,Kissen::N,тодов,ахчы
468,Tuch::N,паця,акасы
469,Handtuch::N,нардамо,ампахьшьы
470,Kraft::N,вий,амч
471,Stärke::N,виевчи,амч
472,Gesundheit::N,шумбрачи,агəабзиара
473,Krankheit::N,орма,ачымазара
474,Krankheit::N,сэредема,ачымазара
475,Schmerz::N,сэредькс,ахьаа
476,Wunde::N,керявкс,ахəра
477,Fieber::N,маштыкс,ашоура
478,Arznei::N,ормаменькс,ахəшə
479,Brücke::N,сэдь,ацҳа
480,Brücke::N,мадамо,ацҳа
481,Brunnen::N,лисьма,аҵыџь
