,Concept_ID,ce,sq
0,Auge::N,бӏаьрг,sy
1,Ohr::N,лерг,vesh
2,Nase::N,мара,hundë
3,Mund::N,бага,gojë
4,Zahn::N,церг,dhëmb
5,Zunge::N,мотт,gjuhë
6,Lippe::N,балда,buzë
7,Wange::N,бесни,faqe
8,Wange::N,бесни,mollëz
9,Gesicht::N,юьхь,fytyrë
10,Stirn::N,хьаж,ballë
11,Haar::N,мас,flokë
12,Schnurrbart::N,мекх,mustaqe
13,Bart::N,маж,mjekër
14,Kinn::N,чӏениг,mjekër
15,Kiefer[Anatomie]::N,мочхал,nofull
16,Kehle::N,къамкъарг,fyt
17,Kehle::N,къамкъарг,grykë
18,Hals::N,ворта,qafë
19,Genick::N,кӏесаркӏаг,arrëz
20,Kopf::N,корта,kokë
21,Rücken::N,букъ,kurriz
22,Bauch::N,кийра,bark
23,Nabel::N,цӏонга,kërthizë
24,Busen::N,зударийн накха,gji
25,Brust::N,накха,gjoks
26,Brust::N,накха,kraharor
27,Schulter::N,белш,sup
28,Schulter::N,белш,krah
29,Arm::N,пхьарс,krah
30,Ellenbogen::N,пхьаьрсан гола,bërryl
31,Hand::N,куьг,dorë
32,Handfläche::N,кераюкъ,pëllëmbë
33,Finger::N,пӏелг,gisht
34,Fingernagel::N,мӏара,thua
35,Nagel[Anatomie]::N,мӏара,thua
36,Zeh::N,кога пӏелг,gisht i këmbës
37,Fuß::N,ког,këmbë
38,Ferse::N,кӏажа,thembër
39,Knie::N,гола,gju
40,Oberschenkel::N,варе,kofshë
41,Bein::N,ког,këmbë
42,Körper::N,хӏума,trup
43,Haut::N,чкъор,lëkurë
44,Blut::N,цӏий,gjak
45,Ader::N,пха,venë
46,Sehne::N,хьорзам,dell
47,Knochen::N,даьӏахк,asht
48,Knochen::N,даьӏахк,kockë
49,Gehirn::N,хье,tru
50,Herz::N,дог,zemër
51,Magen::N,зорх,stomak
52,Leber::N,доӏах,mëlçi
53,Atem::N,садеӏар,frymë
54,Hunger::N,мацалла,uri
55,Träne::N,бӏаьрхи,lot
56,Geschmack::N,чам,shije
57,Geruch::N,хьожа,erë
58,Schlaf::N,наб,gjumë
59,Traum::N,гӏан,ëndërr
60,Himmel::N,стигал,qiell
61,Sonne::N,малх,diell
62,Mond::N,бутт,hënë
63,Stern::N,седа,yll
64,Luft::N,xӏаваъ,ajër
65,Wind::N,мох,erë
66,Welle::N,тулгӏе,valë
67,Welle::N,тулгӏе,dallgë
68,Wasser::N,хи,ujë
69,Stein::N,тӏулг,gur
70,Boden::N,цӏенкъа,tokë
71,Boden::N,цӏенкъа,truall
72,Erde::N,латта,dhe
73,Erde::N,латта,baltë
74,Staub::N,чан,pluhur
75,Rauch::N,кӏур,tym
76,Funke::N,суй,xixë
77,Funke::N,суй,shkëndijë
78,Feuer::N,цӏе,zjarr
79,Licht::N,серло,dritë
80,Schatten::N,ӏиндагӏ,hije
