,Concept_ID,kk,ady
0,Auge::N,көз,нэ
1,Ohr::N,құлақ,тхьакӏу́м
2,Nase::N,мұрын,пэ
3,Mund::N,ауыз,жэ
4,Zahn::N,тіс,цэ
5,Zunge::N,тіл,бзэгу
6,Lippe::N,ерін,ӏупшӏэ́
7,Wange::N,ұрт,нэкӏу́шъу
8,Gesicht::N,бет-аузы,нэ́гу
9,Stirn::N,маңдай,натӏэ́
10,Haar::N,қыл,шъхьацы́
11,Schnurrbart::N,мұрт,
12,Bart::N,сақал,жакӏэ́
13,Kinn::N,иек,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,жақ,жэпкъы́
15,Kehle::N,алқым,чый
16,Hals::N,мойын,пшъэ
17,Genick::N,желке,шъхьэпхэтыку
18,Kopf::N,кәллә,шъхьэ́
19,Rücken::N,арқа,кӏыбы́
20,Bauch::N,қарын,ныбэ́
21,Nabel::N,кіндік,
22,Busen::N,омырау,бгъэ́
23,Brust::N,кеуде,бгъэ́
24,Schulter::N,иық,блыпкъ
25,Arm::N,қол,ӏэ
26,Ellenbogen::N,шынтақ,ӏэнтэ́гъу
27,Hand::N,қол,ӏэтхьэцу
28,Handfläche::N,алақан,ӏэ́гу
29,Finger::N,саусақ,ӏэхъуа́мб
30,Fingernagel::N,тырнақ,ӏэбжъа́н
31,Nagel[Anatomie]::N,тырнақ,ӏэбжъа́н
32,Zeh::N,тырнақ,ӏэхъуа́мб
33,Zeh::N,тұяқ,ӏэхъуа́мб
34,Fuß::N,аяқ-басы,лъэгу
35,Ferse::N,өкше,лъэдакъэ
36,Ferse::N,өкшелік,лъэдакъэ
37,Knie::N,тізе,лъагуа́ндж
38,Oberschenkel::N,жамбас,ко
39,Bein::N,аяқ,лъакъо́
40,Körper::N,дене,пкъышъол
41,Haut::N,тері,кӏы́шъу
42,Blut::N,қан,лъы
43,Ader::N,көктамыр,льытф
44,Ader::N,күретамыр,льытф
45,Sehne::N,сіңір,фэ
46,Knochen::N,жілік,къупшъхьэ́
47,Gehirn::N,ми,куцӏы
48,Herz::N,жүрек,гу
49,Magen::N,асқазан,мышкӏу
50,Leber::N,бауыр,шӏу
51,Atem::N,леп,къэщэныр
52,Hunger::N,ашаршылық,гъаблэ́
53,Träne::N,жас,нэпсы
54,Geschmack::N,дәм,ӏэшӏугъа́кӏ
55,Geschmack::N,татым,ӏэшӏугъа́кӏ
56,Geschmack::N,талғам,ӏэшӏугъа́кӏ
57,Geruch::N,иіс,мэ
58,Schlaf::N,ұйқы,пчыхьы́пӏ
59,Schlaf::N,ұйықтау,пчыхьы́пӏ
