,Concept_ID,ab,sk
0,Auge::N,ала,oko
1,Ohr::N,алымҳа,ucho
2,Nase::N,аҧынҵа,nos
3,Mund::N,аҧышə,ústa
4,Zahn::N,ахаҧыц,zub
5,Zunge::N,абз,jazyk
6,Lippe::N,ақьышə,pera
7,Wange::N,аӡамҩа,líce
8,Gesicht::N,аҿы,tvár
9,Gesicht::N,аҿы,obličaj
10,Stirn::N,алахь,čelo
11,Haar::N,ахəыц,vlas
12,Schnurrbart::N,аҧаҵа,fúzy
13,Bart::N,ажакьа,brada
14,Kinn::N,ацламкəыгə,brada
15,Kiefer[Anatomie]::N,ацламҳəа,čeľusť
16,Kehle::N,ахəда,hrdlo
17,Hals::N,ахəда,krk
18,Genick::N,ахəдаџьал,väzy
19,Kopf::N,ахы,hlava
20,Rücken::N,азқəа,chrbát
21,Bauch::N,амгəа,brucho
22,Nabel::N,аҷапан,pupok
23,Busen::N,агəыҧҳəы,prsia
24,Brust::N,агəышҧы,hruď
25,Schulter::N,ажəҩахыр,plece
26,Arm::N,амахəар,rameno
27,Ellenbogen::N,амашьхəылҵ,lakeť
28,Hand::N,анапы,ruka
29,Handfläche::N,анапсаргəыҵа,dlaň
30,Finger::N,анацəа,prst
31,Fingernagel::N,анапхыц,necht
32,Nagel[Anatomie]::N,ашьапхыц,necht
33,Zeh::N,ашьацəа,prst na nohe
34,Fuß::N,ашьапсыргəыҵа,noha
35,Ferse::N,ашьхəа,päta
36,Knie::N,ашьамхы,koleno
37,Oberschenkel::N,ауаҭəа,stehno
38,Bein::N,ашьапы,noha
39,Körper::N,ацəеижь,telo
40,Haut::N,ацəа,koža
41,Blut::N,ашьа,krv
42,Ader::N,ада,žila
43,Sehne::N,адаш,šľacha
44,Knochen::N,абаҩ,kosť
45,Gehirn::N,ахшлыбаҩ,mozog
46,Gehirn::N,ахшыбаҩ,mozog
47,Herz::N,агəы,srdce
48,Magen::N,аца,žalúdok
49,Magen::N,ацар,žalúdok
50,Leber::N,агəаҵəа,pečeň
51,Atem::N,аҧсыҧлагаҩгара,dych
52,Hunger::N,амла,hlad
53,Träne::N,алабжыш,slza
54,Geschmack::N,агьама,chuť
55,Geruch::N,афҩы,pach
56,Schlaf::N,ацəа,spánok
57,Traum::N,аҧхыӡ,sen
