,Concept_ID,kv,it
0,Auge::N,син,occhio
1,Ohr::N,пель,orecchio
2,Nase::N,ныр,naso
3,Mund::N,ӧм,bocca
4,Zahn::N,пинь,dente
5,Zunge::N,кыв,lingua
6,Lippe::N,тырп,labbro
7,Wange::N,рожабан,guancia
8,Gesicht::N,бан,viso
9,Gesicht::N,бан,faccia
10,Stirn::N,кымӧс,fronte
11,Haar::N,юрси,capello
12,Schnurrbart::N,уссэз,baffi
13,Schnurrbart::N,уссэз,mustacchi
14,Bart::N,тош,barba
15,Kinn::N,тшӧка,mento
16,Kiefer[Anatomie]::N,ан,mascella
17,Kehle::N,юан,gola
18,Hals::N,юан,collo
19,Genick::N,юр бӧр,nuca
20,Kopf::N,юр,capo
21,Kopf::N,юр,testa
22,Rücken::N,мышк,dorso
23,Rücken::N,мышк,schiena
24,Bauch::N,кынӧм,ventre
25,Nabel::N,гӧг,ombelico
26,Busen::N,морос,seno
27,Brust::N,морос,petto
28,Schulter::N,пельпон,spalla
29,Arm::N,ки,braccio
30,Ellenbogen::N,гырдзза,gomito
31,Hand::N,кикар,mano
32,Handfläche::N,ки пыдӧс,palma
33,Finger::N,чунь,dito
34,Fingernagel::N,гыж,unghia
35,Nagel[Anatomie]::N,гыж,unghia
36,Zeh::N,чунь,dito del piede
37,Fuß::N,кокпыдӧс,piede
38,Ferse::N,кокдзир,tallone
39,Ferse::N,кокдзир,calcagno
40,Knie::N,пидзӧс,ginocchio
41,Oberschenkel::N,лядьбей,fèmore
42,Bein::N,кок,gamba
43,Körper::N,вывтыр,corpo
44,Haut::N,кучик,pelle
45,Blut::N,вир,sangue
46,Ader::N,сӧн,vena
47,Sehne::N,жила,tèndine
48,Knochen::N,коска,osso
49,Gehirn::N,вем,cervello
50,Herz::N,сьӧлӧм,cuore
51,Magen::N,жӧвдӧк,stòmaco
52,Leber::N,мус,fegato
53,Atem::N,лолалӧм,fiato
54,Atem::N,лолалӧм,respiro
55,Hunger::N,тшыг,fame
56,Träne::N,синва,làcrima
57,Geschmack::N,кӧр,gusto
58,Geschmack::N,кӧр,sapore
59,Geruch::N,дук,odore
60,Schlaf::N,он,sonno
61,Traum::N,вӧт,sogno
62,Himmel::N,небо,cielo
63,Sonne::N,шондi,sole
64,Mond::N,тӧлiсь,luna
65,Stern::N,кӧдзыв,stella
66,Luft::N,ру,aria
67,Wind::N,тӧв,vento
68,Welle::N,гы,onda
69,Wasser::N,ва,acqua
70,Stein::N,из,sasso
71,Stein::N,из,pietra
72,Boden::N,му,suolo
73,Boden::N,му,terreno
74,Erde::N,му,terra
75,Staub::N,бус,polvere
76,Rauch::N,тшын,fumo
77,Funke::N,бичир,scintilla
78,Feuer::N,би,fuoco
79,Licht::N,би,luce
80,Schatten::N,вуджӧр,ombra
81,Wetter::N,погоддя,tempo
82,Nebel::N,туман,nebbia
83,Wolke::N,кымӧр,nube
84,Wolke::N,кымӧр,nùvola
85,Regen::N,зэр,pioggia
86,Schnee::N,лым,neve
87,Eis::N,йы,ghiaccio
88,Frost::N,мороз,gelo
89,Kälte::N,кӧдзыт,freddo
90,Hitze::N,ӧд,caldo
91,Hitze::N,ӧд,calura
92,Raureif::N,кижа,brina
93,Regenbogen::N,енӧшка,arcobaleno
94,Donner::N,гым,tuono
95,Strömung::N,визывтӧм,corrente
96,Tropfen::N,тёп,goccia
97,Schaum::N,быг,spuma
98,Schaum::N,быг,schiuma
99,Schmutz::N,нять,sudiciume
100,See::N,ты,lago
101,Sumpf::N,арай,palude
102,Moor::N,нюр,torbiera
103,Wiese::N,видз,prato
104,Wald::N,вӧр,bosco
105,Wald::N,вӧр,foresta
106,Hügel::N,мыльк,colle
107,Hügel::N,мыльк,collina
108,Anhöhe::N,вывтас,altura
109,Anhöhe::N,вылынін,altura
110,Berg::N,керӧс,monte
111,Berg::N,керӧс,montagna
112,Gipfel::N,йыв,cima
113,Höhle::N,нора,grotta
114,Höhle::N,нора,caverna
115,Abhang::N,покат,pendìo
116,Quelle::N,больган,sorgente
117,Bach::N,шор,ruscello
118,Fluss::N,ю,fiume
119,Ufer::N,берег,riva
120,Küste::N,берег,costa
121,Festland::N,му,terraferma
122,Meer::N,море,mare
123,Bucht::N,курья,cala
124,Blume::N,цветок,fiore
125,Gras::N,турун,erba
126,Wurzel::N,вуж,radice
127,Baum::N,пу,àlbero
128,Stamm::N,мыр,tronco
129,Stamm::N,кер,tronco
130,Rinde::N,кач,corteccia
131,Ast::N,ув,ramo
132,Zweig::N,ув,ramo
133,Blatt::N,лист,foglia
134,Birke::N,кыдз,betulla
135,Kiefer[Baum]::N,пожум,pino
136,Weide[Baum]::N,бадь,sàlice
137,Tanne::N,кӧз,abete
138,Horn::N,сюр,corno
139,Feder::N,гӧн,penna
140,Fell::N,кучик,manto
141,Fell::N,кучик,pelame
142,Flügel::N,борд,ala
143,Klaue::N,гыж,grinfia
144,Kralle::N,кабыр,unghia
145,Kralle::N,кабыр,artiglio
146,Schwanz::N,бӧж,coda
147,Ei::N,кольть,uovo
148,Nest::N,поз,nido
149,Bau::N,осьта,covo
150,Bau::N,нора,covo
151,Tier::N,зверь,bestia
152,Tier::N,зверь,animale
153,Herde::N,гурт,gregge
154,Kuh::N,мӧс,vacca
155,Bulle::N,ӧшка,toro
156,Pferd::N,вӧв,cavallo
157,Schaf::N,баля,pècora
158,Schwein::N,порсь,porco
159,Schwein::N,порсь,maiale
160,Hund::N,пон,cane
161,Katze::N,кань,gatta
162,Bär::N,ош,orso
163,Eichhörnchen::N,ур,scoiàttolo
164,Elch::N,вӧр мӧс,alce
165,Fuchs::N,руч,volpe
166,Hase::N,кӧч,lepre
167,Maus::N,шыр,topo
168,Maus::N,шыр,sorcio
169,Wolf::N,кӧин,lupo
170,Vogel::N,кай,uccello
171,Schwarm::N,стая,stormo
172,Schwarm::N,чукӧр,stormo
173,Huhn::N,курӧг,gallina
174,Hahn::N,петух,gallo
175,Hahn::N,ай курӧг,gallo
176,Gans::N,дзодзог,oca
177,Adler::N,куч,àquila
178,Adler::N,кутш,àquila
179,Ente::N,утка,ànatra
180,Eule::N,тупка,gufo
181,Eule::N,тупка,civetta
182,Kranich::N,тури,gru
183,Krähe::N,рака,cornacchia
184,Kuckuck::N,кӧк,cuccù
