,Concept_ID,az,la
0,Auge::N,göz,oculus
1,Ohr::N,qulaq,auris
2,Nase::N,burun,nasus
3,Mund::N,ağız,os
4,Zahn::N,diş,dens
5,Zunge::N,dil,lingua
6,Lippe::N,dodaq,labrum
7,Wange::N,yanaq,gena
8,Gesicht::N,üz,vultus
9,Stirn::N,alın,frons
10,Haar::N,saç,capillus
11,Schnurrbart::N,bığ,barba labri superioris
12,Bart::N,saqqal,barba
13,Kinn::N,çənə,mentum
14,Kiefer[Anatomie]::N,çənə,mala
15,Kehle::N,boğaz,iugulums
16,Hals::N,boyun,collum
17,Genick::N,ənsə,cervices
18,Kopf::N,baş,caput
19,Rücken::N,bel,tergum
20,Bauch::N,qarın,venter
21,Nabel::N,göbək,umbilicus
22,Busen::N,məmə,sinus
23,Brust::N,döş,pectus
24,Schulter::N,çiyin,umerus
25,Arm::N,qol,bracchium
26,Ellenbogen::N,dirsək,cubitum
27,Hand::N,əl,manus
28,Handfläche::N,ovuc,palma
29,Finger::N,barmaq,digitus
30,Fingernagel::N,barmaq dırnağı,unguiculus
31,Nagel[Anatomie]::N,dırnak,unguis
32,Zeh::N,ayaq barmağı,digitus
33,Fuß::N,ayaq,pes
34,Ferse::N,daban,calx
35,Knie::N,diz,genu
36,Oberschenkel::N,bud,femur
37,Bein::N,qıç,crus
38,Körper::N,əndam,corpus
39,Haut::N,dəri,cutis
40,Haut::N,dəri,pellis
41,Blut::N,qan,sanguis
42,Ader::N,damar,vena
43,Sehne::N,vətər,nervus
44,Knochen::N,sümük,os
45,Gehirn::N,beyin,cerebrum
46,Herz::N,ürək,cor
47,Herz::N,ürək,animus
48,Magen::N,mədə,stomachus
49,Leber::N,qara ciyər,iecur
50,Atem::N,nəfəs,spiritus
51,Hunger::N,aclıq,fames
52,Träne::N,göz yaşı,lacrima
53,Geschmack::N,tam,sapor
54,Geschmack::N,tam,gustus
55,Geschmack::N,ləzzət,sapor
56,Geschmack::N,ləzzət,gustus
57,Geruch::N,qoxu,odor
58,Schlaf::N,yuxu,somnus
59,Traum::N,röya,somnium
60,Himmel::N,göy,caelum
61,Himmel::N,səma,caelum
62,Sonne::N,günəş,sol
63,Mond::N,ay,luna
64,Stern::N,ulduz,sidus
65,Stern::N,ulduz,stella
66,Luft::N,hava,aer
67,Wind::N,yel,ventus
68,Wind::N,külək,ventus
69,Welle::N,dalğa,unda
70,Wasser::N,su,aqua
71,Stein::N,daş,lapis
72,Boden::N,yer,solum
73,Boden::N,zəmin,solum
74,Erde::N,yer torpaq,terra
75,Staub::N,toz,pulvis
76,Rauch::N,tüstü,fumus
77,Funke::N,qığılcım,scintilla
78,Feuer::N,od,ignis
79,Licht::N,işıq,lux
80,Licht::N,işıq,lumen
81,Schatten::N,kölgə,umbra
82,Wetter::N,hava,caelum
83,Wetter::N,hava,tempestas
84,Nebel::N,duman,nebula
85,Wolke::N,bulud,nubes
86,Regen::N,yağış,imber
87,Regen::N,yağış,pluvia
88,Regen::N,yağmur,imber
89,Regen::N,yağmur,pluvia
90,Schnee::N,qar,nix
91,Eis::N,buz,glacies
92,Frost::N,ayaz,gelu
93,Kälte::N,soyuq,frigus
94,Hitze::N,coşğunluq,calor
95,Hitze::N,coşğunluq,aestus
96,Raureif::N,qırov,pruina
97,Regenbogen::N,göy qurşağı,arcus
98,Donner::N,göy gurultusu,tonitrus
99,Strömung::N,axın,fluctus
100,Tropfen::N,damcı,gutta
101,Schaum::N,köpük,spuma
102,Schmutz::N,çamır,sordes
103,Schmutz::N,çamır,squalor
104,See::N,göl,lacus
105,Sumpf::N,bataqlıq,palus
106,Moor::N,bataqlıq,palus
107,Wiese::N,çəmən,pratum
108,Wald::N,meşə,silva
109,Hügel::N,təpə,collis
110,Anhöhe::N,təpə,specula
111,Berg::N,dağ,mons
112,Gipfel::N,zirvə,vertex
113,Höhle::N,mağara,caverna
114,Höhle::N,mağara,spelunca
115,Abhang::N,yamac,declivum
116,Quelle::N,bulaq,fons
117,Bach::N,kiçik çay,rivus
118,Fluss::N,çay,flumen
119,Ufer::N,kənar,ripa
120,Küste::N,sahil,litus
121,Festland::N,materik,continens
122,Meer::N,dəniz,mare
123,Bucht::N,körfəz,sinus
124,Insel::N,ada,insula
125,Blume::N,çiçək,flos
126,Gras::N,ot,herba
127,Gras::N,ot,gramen
128,Wurzel::N,kök,radix
129,Baum::N,ağac,arbor
130,Stamm::N,gövdə,truncus
131,Rinde::N,qabıq,cortex
132,Ast::N,şax,ramus
133,Zweig::N,budaq,ramus
134,Blatt::N,yarpaq,folium
135,Birke::N,tozağacı,betulla
136,Kiefer[Baum]::N,şam,pinus
137,Weide[Baum]::N,söyüd,salix
138,Tanne::N,küknar,abies
139,Horn::N,buynuz,cornu
140,Feder::N,tük,penna
141,Feder::N,lələk,penna
142,Fell::N,xəz,pellis
143,Flügel::N,qanad,ala
144,Klaue::N,pəncə,unguis
145,Kralle::N,dırnaq,unguis
146,Schwanz::N,quyruq,cauda
147,Ei::N,yumurta,ovum
148,Nest::N,yuva,nidus
149,Bau::N,yuva,cavum
150,Bau::N,yuva,latibulum
151,Tier::N,heyvan,bestia
152,Herde::N,sürü,grex
153,Kuh::N,inək,vacca
154,Bulle::N,öküz,taurus
155,Pferd::N,at,equus
156,Schaf::N,qoyun,ovis
157,Schwein::N,donuz,sus
158,Schwein::N,donuz,porcus
159,Hund::N,it,canis
160,Hund::N,köpək,canis
161,Katze::N,pişik,felis
162,Bär::N,ayı,ursus
163,Eichhörnchen::N,dələ,sciurus
164,Elch::N,sığın,alces
165,Fuchs::N,tülkü,vulpes
166,Hase::N,dovşan,lepus
167,Maus::N,siçan,mus
168,Wolf::N,qurd,lupus
169,Vogel::N,quş,avis
170,Schwarm::N,sürü,examen
171,Huhn::N,toyuq,gallina
172,Hahn::N,xoruz,gallus
173,Gans::N,qaz,anser
174,Adler::N,qartal,aquila
175,Adler::N,qaraquş,aquila
176,Ente::N,ördək,anas
177,Eule::N,bayquş,ulula
178,Eule::N,bayquş,noctua
179,Kranich::N,durna,grus
180,Krähe::N,qarğa,cornix
181,Kuckuck::N,ququ,cuculus
182,Schwan::N,qu quşu,olor
183,Schwan::N,qu quşu,cycnus
184,Fisch::N,balıq,piscis
185,Barsch::N,tar,perca
186,Hecht::N,durnabalığı,esox
187,Schlange[Tier]::N,ilan,serpens
188,Wurm::N,qurd,vermis
189,Spinne::N,hörümçək,aranea
190,Ameise::N,qarışqa,formica
191,Laus::N,bit,pediculus
192,Mücke::N,ağcaqanad,culex
193,Fliege::N,milçək,musca
194,Schmetterling::N,kəpənək,papilio
195,Beere::N,gilə,baca
196,Apfel::N,alma,malum
197,Pilz::N,göbələk,fungus
198,Zwiebel::N,soğan,cepa
199,Saat::N,əkin,seges
200,Korn::N,taxıl,granum
201,Heu::N,quru ot,faenum
202,Schale::N,qabıq,putamen
203,Grube::N,çuxur,fovea
204,Falle::N,tələ,pedica
205,Falle::N,duzaq,pedica
206,Schlinge::N,ilmək,laqueus
207,Spur::N,iz,vestigium
208,Asche::N,kül,cinis
209,Dreck::N,kir,lutum
210,Eisen::N,dəmir,ferrum
211,Gold::N,altun,aurum
212,Silber::N,gümüş,argentum
213,Kohle::N,kömür,carbo
214,Glas::N,şüşə,vitrum
215,Lehm::N,gil,lutum
216,Lehm::N,palçıq,lutum
217,Sand::N,qum,arena
218,Mensch::N,adam,homo
219,Mensch::N,insan,homo
220,Mann::N,kişi,vir
221,Frau::N,qadın,mulier
222,Kind::N,uşaq,puer
223,Kind::N,uşaq,infans
224,Junge::N,oğlan,puer
225,Mädchen::N,qız,puella
226,Familie::N,ailə,familia
227,Großvater::N,baba,avus
228,Großmutter::N,nənə,avia
229,Eltern::N,valideyn,parentes
230,Vater::N,ata,pater
231,Mutter::N,ana,mater
232,Sohn::N,oğul,filius
233,Tochter::N,qız,filia
234,Bruder::N,qardaş,frater
235,Schwester::N,bacı,soror
236,Onkel::N,əmi,patruus
237,Onkel::N,əmi,avunculus
238,Onkel::N,dayı,patruus
239,Onkel::N,dayı,avunculus
240,Tante::N,bibi,amita
241,Ehemann::N,ər,maritus
242,Ehefrau::N,arvad,uxor
243,Freude::N,nəşə,gaudium
244,Freude::N,nəşə,laetitia
245,Freude::N,sevinc,gaudium
246,Freude::N,sevinc,laetitia
247,Gelächter::N,gülüş,risus
248,Gelächter::N,qəhqəhə,risus
249,Glück::N,səadət,felicitas
250,Glück::N,xoşbəxtlik,felicitas
251,Kummer::N,qəm,aegritudo
252,Kummer::N,kədər,aegritudo
253,Wunsch::N,arzu,voluntas
254,Wunsch::N,arzu,desiderium
255,Lust::N,həvəs,libido
256,Lust::N,həvəs,voluptas
257,Geist::N,ruh,mens
258,Geist::N,ruh,animus
259,Gedanke::N,fikir,sententia
260,Gedanke::N,düşüncə,sententia
261,Gedächtnis::N,xatir,memoria
262,Gedächtnis::N,hafizə,memoria
263,Verstand::N,ağıl,ratio
264,Verstand::N,ağıl,ingenium
265,Sinn::N,məna,sensus
266,Grund::N,səbəb,causa
267,Wahrheit::N,haqq,veritas
268,Wahrheit::N,doğruluq,veritas
269,Gespräch::N,söhbət,sermo
270,Gespräch::N,qonuşma,sermo
271,Märchen::N,nağıl,fabula
272,Erzählung::N,hekayə,fabula
273,Erzählung::N,hekayə,narratio
274,Nachricht::N,xəbər,nuntius
275,Neuigkeit::N,xəbər,novitas
276,Neuigkeit::N,yenilik,novitas
277,Name::N,ad,nomen
278,Rätsel::N,tapmaca,aenigma
279,Rede::N,nitq,oratio
280,Sprache::N,dil,lingua
281,Stimme::N,səs,vox
282,Wort::N,söz,verbum
283,Wort::N,söz,vocabulum
284,Wort::N,kəlmə,verbum
285,Wort::N,kəlmə,vocabulum
286,Zeichen::N,nişan,signum
287,Ruf::N,çığırtı,clamor
288,Lärm::N,gurultu,strepitus
289,Laut::N,səs,sonus
290,Ton::N,ton,sonus
291,Lied::N,mahnı,carmen
292,Ruhe::N,sakitlik,quies
293,Leute::N,xalq,homines
294,Volk::N,millət,populus
295,Arbeit::N,iş,labor
296,Arbeit::N,əmək,labor
297,Gast::N,qonaq,hospes
298,Gast::N,qonaq,conviva
299,Gast::N,müsafir,hospes
300,Gast::N,müsafir,conviva
301,Geschenk::N,hədiyyə,munus
302,Spiel::N,oyun,ludus
