,Concept_ID,de,se
0,Auge::N,Auge,tjelmie
1,Auge::N,Auge,tjalmme
2,Auge::N,Auge,čalbmi
3,Auge::N,Auge,čalme
4,Auge::N,Auge,čâ´lmm
5,Auge::N,Auge,ча̄лльм
6,Ohr::N,Ohr,bieljie
7,Ohr::N,Ohr,biellje
8,Ohr::N,Ohr,beallji
9,Ohr::N,Ohr,pelji
10,Ohr::N,Ohr,pe´llj
11,Ohr::N,Ohr,пе̄лльй
12,Nase::N,Nase,njuenie
13,Nase::N,Nase,njunnje
14,Nase::N,Nase,njunni
15,Nase::N,Nase,njuṇe
16,Nase::N,Nase,njuu´nn
17,Nase::N,Nase,нюннҍ
18,Mund::N,Mund,njaelmie
19,Mund::N,Mund,njálmme
20,Mund::N,Mund,njálbmi
21,Mund::N,Mund,njälmi
22,Mund::N,Mund,njä´lmm
23,Mund::N,Mund,ня̄лльм
24,Zahn::N,Zahn,baenie
25,Zahn::N,Zahn,bádne
26,Zahn::N,Zahn,bátni
27,Zahn::N,Zahn,pääṇi
28,Zahn::N,Zahn,pää´nn
29,Zahn::N,Zahn,па̄ннҍ
30,Zunge::N,Zunge,njoektjeme
31,Zunge::N,Zunge,njuovtjav
32,Zunge::N,Zunge,njuovčča
33,Zunge::N,Zunge,njuovčâ
34,Zunge::N,Zunge,njuhččâm
35,Zunge::N,Zunge,нюхчем
36,Lippe::N,Lippe,bangseme
37,Lippe::N,Lippe,njálmmerabdda
38,Lippe::N,Lippe,bavssa
39,Lippe::N,Lippe,poovsâ
40,Lippe::N,Lippe,põõus
41,Lippe::N,Lippe,пэ̄кс
42,Wange::N,Wange,skiehrie
43,Wange::N,Wange,nierra
44,Wange::N,Wange,muohtu
45,Wange::N,Wange,nieṛâ
46,Wange::N,Wange,njiõrr
47,Wange::N,Wange,нӣрр
48,Gesicht::N,Gesicht,ååredæjja
49,Gesicht::N,Gesicht,muohto
50,Gesicht::N,Gesicht,muođut
51,Gesicht::N,Gesicht,ámadadju
52,Gesicht::N,Gesicht,muáđuh
53,Gesicht::N,Gesicht,muâđ
54,Gesicht::N,Gesicht,ка̄ссв
55,Stirn::N,Stirn,gaalloe
56,Stirn::N,Stirn,gállo
57,Stirn::N,Stirn,gállu
58,Stirn::N,Stirn,kállu
59,Stirn::N,Stirn,käll
60,Stirn::N,Stirn,вуэххьц
61,Haar::N,Haar,voepte
62,Haar::N,Haar,vuoppta
63,Haar::N,Haar,vuokta
64,Haar::N,Haar,vuop'tâ
65,Haar::N,Haar,vuõpt
66,Haar::N,Haar,вӯппт
67,Schnurrbart::N,Schnurrbart,bijjie-skaavtjoe
68,Schnurrbart::N,Schnurrbart,njunjevuolskávttjá
69,Schnurrbart::N,Schnurrbart,seamu
70,Schnurrbart::N,Schnurrbart,siämu
71,Schnurrbart::N,Schnurrbart,ää´bben
72,Schnurrbart::N,Schnurrbart,о̄а̄бпан
73,Bart::N,Bart,skaavtja
74,Bart::N,Bart,skaavtjoe
75,Bart::N,Bart,skávttjá
76,Bart::N,Bart,seamu
77,Bart::N,Bart,siämu
