,Concept_ID,uk,be
0,Auge::N,око,вока
1,Ohr::N,вухо,вуха
2,Nase::N,ніс,нос
3,Mund::N,рот,рот
4,Zahn::N,зуб,зуб
5,Zunge::N,язик,язык
6,Lippe::N,губа,губа
7,Wange::N,щока,шчака
8,Gesicht::N,обличчя,твар
9,Stirn::N,лоб,лоб
10,Haar::N,волосся,волас
11,Haar::N,волосся,валасы
12,Schnurrbart::N,вуса,вус
13,Schnurrbart::N,вуса,вусы
14,Bart::N,борода,барада
15,Kinn::N,підборіддя,падбародак
16,Kiefer[Anatomie]::N,щелепа,сківіца
17,Kehle::N,горло,горла
18,Hals::N,шия,шыя
19,Genick::N,потилиця,патыліца
20,Kopf::N,голова,галава
21,Rücken::N,спина,спіна
22,Bauch::N,живіт,жывот
23,Nabel::N,пупок,пупок
24,Busen::N,груди,грудзі
25,Brust::N,груди,грудзі
26,Schulter::N,плече,плячо
27,Arm::N,рука,рука
28,Ellenbogen::N,лікоть,локаць
29,Hand::N,рука,кісць
30,Handfläche::N,долоня,далонь
31,Finger::N,палець,палец
32,Fingernagel::N,ніготь,ногаць
33,Nagel[Anatomie]::N,ніготь,ногаць
34,Zeh::N,палець на нозі,палец
35,Fuß::N,нога,нага
36,Ferse::N,п’ятка,пята
37,Ferse::N,п’ятка,пятка
38,Knie::N,коліно,калена
39,Oberschenkel::N,стегно,бядро
40,Oberschenkel::N,стегно,сцягно
41,Bein::N,нога,нага
42,Körper::N,тіло,цела
43,Haut::N,шкіра,скура
44,Blut::N,кров,кроў
45,Ader::N,вена,вена
46,Ader::N,вена,сасуд
47,Sehne::N,сухожилля,жыла
48,Sehne::N,сухожилля,цеціва
49,Sehne::N,сухожилля,сухажылле
50,Knochen::N,кістка,косць
51,Gehirn::N,мозок,мозг
52,Herz::N,серце,сэрца
53,Magen::N,шлунок,страўнік
54,Leber::N,печінка,печань
55,Atem::N,дихання,дыханне
56,Hunger::N,голод,голад
57,Träne::N,сльоза,сляза
58,Geschmack::N,смак,смак
59,Geruch::N,запах,пах
60,Schlaf::N,сон,сон
61,Schlaf::N,сплячка,сон
62,Traum::N,сон,сон
63,Himmel::N,небо,неба
64,Sonne::N,сонце,сонца
65,Mond::N,місяць,месяц
66,Stern::N,зірка,зорка
67,Luft::N,повітря,паветра
68,Wind::N,вітер,вецер
69,Welle::N,хвиля,хваля
70,Wasser::N,вода,вада
71,Stein::N,камінь,камень
72,Boden::N,ґрунт,глеба
73,Erde::N,земля,зямля
74,Staub::N,пил,пыл
75,Rauch::N,дим,дым
76,Funke::N,іскра,іскра
77,Feuer::N,вогонь,агонь
78,Licht::N,світло,святло
79,Schatten::N,тінь,цень
80,Wetter::N,погода,пагода
81,Wetter::N,погода,надворʼе
82,Nebel::N,туман,туман
83,Wolke::N,хмара,воблака
84,Regen::N,дощ,дождж
85,Schnee::N,сніг,снег
86,Eis::N,лід,лёд
87,Frost::N,мороз,мароз
88,Kälte::N,холод,холад
89,Hitze::N,жар,спёка
90,Raureif::N,іній,іней
91,Regenbogen::N,райдуга,вясёлка
92,Donner::N,грім,гром
93,Strömung::N,струмина,цячэнне
94,Tropfen::N,крапля,кропля
95,Schaum::N,піна,пена
96,Schmutz::N,бруд,гразь
97,See::N,озеро,возера
98,Sumpf::N,драговина,багна
99,Moor::N,болото,балота
100,Wiese::N,луг,луг
101,Wiese::N,лука,луг
102,Wald::N,ліс,лес
103,Hügel::N,горб,узгорак
104,Anhöhe::N,височина,узвышша
105,Berg::N,гора,гара
106,Gipfel::N,вершина,вяршыня
107,Höhle::N,печера,пячора
108,Abhang::N,схил,схіл
109,Quelle::N,джерело,крыніца
110,Bach::N,струмок,ручай
111,Fluss::N,річка,рака
112,Ufer::N,берег,бераг
113,Küste::N,узбережжя,узбярэжжа
114,Festland::N,суша,суша
115,Meer::N,море,мора
116,Bucht::N,бухта,бухта
117,Bucht::N,затока,бухта
118,Insel::N,острів,востраў
119,Blume::N,квітка,кветка
120,Gras::N,трава,трава
121,Wurzel::N,корінь,корань
122,Baum::N,дерево,дрэва
123,Stamm::N,стовбур,ствол
124,Rinde::N,кора,кара
125,Ast::N,гілка,сук
126,Zweig::N,галузь,галіна
127,Blatt::N,лист,ліст
128,Birke::N,береза,бяроза
129,Kiefer[Baum]::N,сосна,хвоя
130,Kiefer[Baum]::N,сосна,сасна
131,Weide[Baum]::N,верба,вярба
132,Tanne::N,ялиця,яліна
133,Horn::N,ріг,рог
134,Feder::N,перо,пяро
135,Fell::N,хутро,шкура
136,Flügel::N,крило,крыло
137,Klaue::N,кіготь,кіпцюр
138,Kralle::N,лапа,лапа
