,Concept_ID,os,ro
0,Auge::N,цӕст,ochi
1,Ohr::N,хъус,ureche
2,Nase::N,фындз,nas
3,Mund::N,дзых,gură
4,Zahn::N,дӕндаг,dinte
5,Zunge::N,ӕвзаг,limbă
6,Lippe::N,был,buză
7,Wange::N,рус,bucă
8,Wange::N,рус,obraz
9,Wange::N,уадул,bucă
10,Wange::N,уадул,obraz
11,Wange::N,ӕхсӕрфарс,bucă
12,Wange::N,ӕхсӕрфарс,obraz
13,Gesicht::N,цӕсгом,față
14,Gesicht::N,цӕсгом,figură
15,Stirn::N,ных,frunte
16,Haar::N,хил,păr
17,Schnurrbart::N,рихи,mustață
18,Bart::N,зачъе,barbă
19,Kinn::N,роцъо,bărbie
20,Kiefer[Anatomie]::N,ӕфсӕр,falcă
21,Kehle::N,хъуыр,beregată
22,Hals::N,къубал,gât
23,Genick::N,къӕбут,ceafă
24,Kopf::N,сӕр,cap
25,Rücken::N,фӕсонтӕ,dos
26,Rücken::N,фӕсонтӕ,spate
27,Rücken::N,фӕсонтӕ,spinare
28,Bauch::N,гуыбын,burtă
29,Bauch::N,гуыбын,pântece
30,Nabel::N,бикъ,buric
31,Busen::N,дзидзи,sân
32,Brust::N,риу,piept
33,Schulter::N,уӕхск,umăr
34,Schulter::N,уӕхск,spate
35,Arm::N,цонг,braț
36,Ellenbogen::N,рæмбын,cot
37,Hand::N,къух,mână
38,Handfläche::N,армытъӕпӕн,palmă
39,Finger::N,ӕнруылдз,deget
40,Fingernagel::N,ных,unghie
41,Nagel[Anatomie]::N,ных,unghie
42,Zeh::N,къух,deget de la picior
43,Fuß::N,фад,picior
44,Ferse::N,зӕвӕт,călcâi
45,Knie::N,уӕраг,genunchi
46,Oberschenkel::N,агъд,coapsă
47,Bein::N,зӕнг,picior
48,Körper::N,буар,corp
49,Haut::N,царм,piele
50,Blut::N,туг,sânge
51,Ader::N,дадзин,vână
52,Ader::N,дадзин,arteră
53,Ader::N,тугдадзин,vână
54,Ader::N,тугдадзин,arteră
55,Sehne::N,хъиутæ,tendon
56,Sehne::N,нуар,tendon
57,Knochen::N,стӕг,os
58,Gehirn::N,магъз,creier
59,Herz::N,зӕрдӕ,inimă
60,Magen::N,ахсӕн,stomac
61,Leber::N,игæр,ficat
