,Concept_ID,ps,se
0,Auge::N,سترګه,tjelmie
1,Auge::N,سترګه,tjalmme
2,Auge::N,سترګه,čalbmi
3,Auge::N,سترګه,čalme
4,Auge::N,سترګه,čâ´lmm
5,Auge::N,سترګه,ча̄лльм
6,Ohr::N,غوږ,bieljie
7,Ohr::N,غوږ,biellje
8,Ohr::N,غوږ,beallji
9,Ohr::N,غوږ,pelji
10,Ohr::N,غوږ,pe´llj
11,Ohr::N,غوږ,пе̄лльй
12,Nase::N,پوزه,njuenie
13,Nase::N,پوزه,njunnje
14,Nase::N,پوزه,njunni
15,Nase::N,پوزه,njuṇe
16,Nase::N,پوزه,njuu´nn
17,Nase::N,پوزه,нюннҍ
18,Mund::N,خوله,njaelmie
19,Mund::N,خوله,njálmme
20,Mund::N,خوله,njálbmi
21,Mund::N,خوله,njälmi
22,Mund::N,خوله,njä´lmm
23,Mund::N,خوله,ня̄лльм
24,Zahn::N,غاښ,baenie
25,Zahn::N,غاښ,bádne
26,Zahn::N,غاښ,bátni
27,Zahn::N,غاښ,pääṇi
28,Zahn::N,غاښ,pää´nn
29,Zahn::N,غاښ,па̄ннҍ
30,Zunge::N,جبه,njoektjeme
31,Zunge::N,جبه,njuovtjav
32,Zunge::N,جبه,njuovčča
33,Zunge::N,جبه,njuovčâ
34,Zunge::N,جبه,njuhččâm
35,Zunge::N,جبه,нюхчем
36,Lippe::N,شونډه,bangseme
37,Lippe::N,شونډه,njálmmerabdda
38,Lippe::N,شونډه,bavssa
39,Lippe::N,شونډه,poovsâ
40,Lippe::N,شونډه,põõus
41,Lippe::N,شونډه,пэ̄кс
42,Wange::N,باړخو,skiehrie
43,Wange::N,باړخو,nierra
44,Wange::N,باړخو,muohtu
45,Wange::N,باړخو,nieṛâ
46,Wange::N,باړخو,njiõrr
47,Wange::N,باړخو,нӣрр
48,Gesicht::N,مخ,ååredæjja
49,Gesicht::N,مخ,muohto
50,Gesicht::N,مخ,muođut
51,Gesicht::N,مخ,ámadadju
52,Gesicht::N,مخ,muáđuh
53,Gesicht::N,مخ,muâđ
54,Gesicht::N,مخ,ка̄ссв
55,Stirn::N,تندی,gaalloe
56,Stirn::N,تندی,gállo
57,Stirn::N,تندی,gállu
58,Stirn::N,تندی,kállu
59,Stirn::N,تندی,käll
60,Stirn::N,تندی,вуэххьц
61,Stirn::N,وچولی,gaalloe
62,Stirn::N,وچولی,gállo
63,Stirn::N,وچولی,gállu
64,Stirn::N,وچولی,kállu
65,Stirn::N,وچولی,käll
66,Stirn::N,وچولی,вуэххьц
67,Haar::N,وېښته,voepte
68,Haar::N,وېښته,vuoppta
69,Haar::N,وېښته,vuokta
70,Haar::N,وېښته,vuop'tâ
71,Haar::N,وېښته,vuõpt
72,Haar::N,وېښته,вӯппт
73,Schnurrbart::N,برېت,bijjie-skaavtjoe
74,Schnurrbart::N,برېت,njunjevuolskávttjá
75,Schnurrbart::N,برېت,seamu
76,Schnurrbart::N,برېت,siämu
77,Schnurrbart::N,برېت,ää´bben
78,Schnurrbart::N,برېت,о̄а̄бпан
79,Bart::N,ږیره,skaavtja
80,Bart::N,ږیره,skaavtjoe
81,Bart::N,ږیره,skávttjá
82,Bart::N,ږیره,seamu
83,Bart::N,ږیره,siämu
84,Bart::N,ږیره,seäm
85,Bart::N,ږیره,ся̄м
86,Kinn::N,زنه,gaejpie
87,Kinn::N,زنه,gájbbe
88,Kinn::N,زنه,gáibi
89,Kinn::N,زنه,käibi
90,Kinn::N,زنه,käi´bb
91,Kinn::N,زنه,ка̄ййп
92,Kiefer[Anatomie]::N,جامه,gaejpie
93,Kiefer[Anatomie]::N,جامه,oalol
94,Kiefer[Anatomie]::N,جامه,oaloldákte
95,Kiefer[Anatomie]::N,جامه,gáibi
96,Kiefer[Anatomie]::N,جامه,uá'lultähti
97,Kiefer[Anatomie]::N,جامه,vuâl'lõš
98,Kiefer[Anatomie]::N,جامه,вуаллнешш
99,Kehle::N,غاړه,gealoe
100,Kehle::N,غاړه,tjåttå
101,Kehle::N,غاړه,njiello
102,Kehle::N,غاړه,čotta
103,Kehle::N,غاړه,čuudâ
104,Kehle::N,غاړه,čoodd
105,Kehle::N,غاړه,чонт
106,Kehle::N,غاړه,кэ̄ҏс
107,Hals::N,غاړه,tjeapohke
108,Hals::N,غاړه,tjiebet
109,Hals::N,غاړه,čeabet
110,Hals::N,غاړه,čiäppát
111,Hals::N,غاړه,čeäppat
112,Hals::N,غاړه,ча̄пэх
113,Genick::N,ورمېږ,tjovrese
114,Genick::N,ورمېږ,nisske
115,Genick::N,ورمېږ,niehkki
116,Genick::N,ورمېږ,niski
117,Genick::N,ورمېږ,niek'ki
118,Genick::N,ورمېږ,nji´šǩǩmaadd
119,Genick::N,ورمېږ,нышшькмоант
120,Kopf::N,سر,åejjie
121,Kopf::N,سر,oajvve
122,Kopf::N,سر,oaivi
123,Kopf::N,سر,uái'vi
124,Kopf::N,سر,vuei´vv
125,Kopf::N,سر,вуэййв
126,Rücken::N,شا,rudtje
127,Rücken::N,شا,hárddo
128,Rücken::N,شا,tjavelk
129,Rücken::N,شا,sealgi
130,Rücken::N,شا,selgi
131,Rücken::N,شا,čielgi
132,Rücken::N,شا,seä´lǧǧ
133,Rücken::N,شا,се̄лльк
134,Bauch::N,نس,tjåejjie
135,Bauch::N,نس,tjoajvve
136,Bauch::N,نس,čoavji
137,Bauch::N,نس,čuáv'ji
138,Bauch::N,نس,čåu´jj
139,Bauch::N,نس,чо̄ввьй
140,Bauch::N,ګېډه,tjåejjie
141,Bauch::N,ګېډه,tjoajvve
142,Bauch::N,ګېډه,čoavji
143,Bauch::N,ګېډه,čuáv'ji
144,Bauch::N,ګېډه,čåu´jj
145,Bauch::N,ګېډه,чо̄ввьй
146,Nabel::N,نوم,naepie
147,Nabel::N,نوم,náhpe
148,Nabel::N,نوم,náhpi
149,Nabel::N,نوم,nääpi
