,Concept_ID,os,cv
0,Auge::N,цӕст,куҫ
1,Ohr::N,хъус,хӑлха
2,Nase::N,фындз,сӑмса
3,Mund::N,дзых,ҫӑвар
4,Zahn::N,дӕндаг,шӑл
5,Zunge::N,ӕвзаг,чӗлхе
6,Lippe::N,был,тута
7,Wange::N,рус,пит ҫӑмарти
8,Wange::N,уадул,пит ҫӑмарти
9,Wange::N,ӕхсӕрфарс,пит ҫӑмарти
10,Gesicht::N,цӕсгом,пит
11,Gesicht::N,цӕсгом,пит-куҫ
12,Stirn::N,ных,ҫамка
13,Haar::N,хил,ҫӳҫ
14,Schnurrbart::N,рихи,усси
15,Bart::N,зачъе,сухал
16,Kinn::N,роцъо,янах
17,Kiefer[Anatomie]::N,ӕфсӕр,янах
18,Kehle::N,хъуыр,пыр
19,Kehle::N,хъуыр,карланкӑ
20,Hals::N,къубал,пыр
21,Genick::N,къӕбут,ӗнсе
22,Kopf::N,сӕр,пуҫ
23,Rücken::N,фӕсонтӕ,ҫурӑм
24,Bauch::N,гуыбын,
25,Nabel::N,бикъ,кӑвапа
26,Busen::N,дзидзи,кӑкӑр
27,Brust::N,риу,умӗ
28,Schulter::N,уӕхск,хул пуҫҫи
29,Arm::N,цонг,алӑ
30,Ellenbogen::N,рæмбын,чавса
31,Hand::N,къух,алӑ сыппи
32,Handfläche::N,армытъӕпӕн,ал лаппи
33,Finger::N,ӕнруылдз,пӳрне
34,Fingernagel::N,ных,чӗрне
35,Nagel[Anatomie]::N,ных,чӗрне
36,Zeh::N,къух,пӳрне
37,Fuß::N,фад,ура лаппи
38,Ferse::N,зӕвӕт,кӗле
39,Knie::N,уӕраг,чӗркуҫҫи
40,Oberschenkel::N,агъд,пӗҫӗ
41,Bein::N,зӕнг,ура
42,Körper::N,буар,ӳт
43,Körper::N,буар,ӳт-пӳ
44,Haut::N,царм,тир
45,Blut::N,туг,юн
46,Ader::N,дадзин,вена
47,Ader::N,тугдадзин,вена
48,Sehne::N,хъиутæ,шӑнӑр
49,Sehne::N,нуар,шӑнӑр
50,Knochen::N,стӕг,шӑмӑ
51,Gehirn::N,магъз,миме
52,Herz::N,зӕрдӕ,чӗре
53,Magen::N,ахсӕн,хырӑмлӑх
54,Leber::N,игæр,пӗвер
55,Atem::N,улӕфт,сывлав
56,Hunger::N,стонг,выҫлӑх
57,Träne::N,цæссыг,куҫҫуль
58,Geschmack::N,ад,техӗм
59,Geruch::N,смаг,шӑршӑ
60,Schlaf::N,хуыссӕг,ыйхӑ
61,Traum::N,фын,тӗлӗк
62,Himmel::N,арв,пӗлӗт
63,Himmel::N,уӕларв,пӗлӗт
64,Sonne::N,хур,хӗвел
65,Mond::N,мӕй,уйӑх
66,Stern::N,стъалы,ҫӑлтӑр
67,Luft::N,уӕлдӕф,сывлӑш
68,Wind::N,дымгӕ,ҫил
69,Welle::N,уылӕн,хум
70,Wasser::N,дон,шыв
71,Wasser::N,дон,шыв-шур
72,Stein::N,дур,чул
73,Boden::N,зӕхх,тӑпра
74,Erde::N,сыджыт,ҫӗр
75,Staub::N,рыг,тусан
76,Rauch::N,фӕздӕг,тӗтӗм
77,Funke::N,цӕхӕр,хӗм
78,Feuer::N,зынг,вут
79,Feuer::N,зынг,ҫулӑм
80,Licht::N,рухс,ҫутӑ
81,Schatten::N,аууон,сулхӑн
82,Wetter::N,боныхъӕд,ҫанталӑк
83,Nebel::N,мигъ,тӗтре
84,Wolke::N,ӕврагъ,пӗлӗт
85,Regen::N,уарын,ҫумӑр
86,Schnee::N,мит,юр
87,Eis::N,их,пӑр
88,Frost::N,ихæн,сивӗ
89,Kälte::N,уазал,сивӗ
90,Hitze::N,ӕнтӕф,вӗри
91,Hitze::N,ӕнтӕф,шӑрӑх
92,Raureif::N,халас,пас
93,Regenbogen::N,арвырон,асамат кӗперӗ
94,Regenbogen::N,арвырдын,асамат кӗперӗ
95,Donner::N,æрвнæрын,аслати
96,Strömung::N,цыд,юхӑ
97,Tropfen::N,æртах,тумлам
98,Schaum::N,фынк,кӑпӑк
99,Schmutz::N,цъыф,пылчӑк
100,See::N,цад,кӳлӗ
101,Sumpf::N,цъыфдзаст,шур
102,Sumpf::N,цъыфдзаст,шурлӑх
103,Moor::N,цъыфдзаст,торфлӑ шурлӑх
104,Wiese::N,уыгӕрдӕн,улӑх
105,Wiese::N,уыгӕрдӕн,ҫаран
106,Wald::N,хъӕд,вӑрман
107,Hügel::N,обау,сӑрт
108,Hügel::N,обау,тӗмеске
109,Hügel::N,къуыбыр,сӑрт
110,Hügel::N,къуыбыр,тӗмеске
111,Anhöhe::N,уæлвæз,сӑрт
112,Anhöhe::N,уæлхох,сӑрт
113,Berg::N,хох,ту
114,Gipfel::N,цъупп,тӳпе
115,Höhle::N,лӕгӕт,ҫӗр хӑвӑлӗ
116,Abhang::N,къул,тӑвайкки
117,Quelle::N,суадон,ҫӑл куҫ
118,Bach::N,мӕсчъыдон,пӗчӗк шыв
