,Concept_ID,az,vep
0,Auge::N,göz,sil'm
1,Ohr::N,qulaq,korv
2,Nase::N,burun,nena
3,Mund::N,ağız,su
4,Zahn::N,diş,pi
5,Zahn::N,diş,hambaz
6,Zunge::N,dil,kel'
7,Lippe::N,dodaq,hul'
8,Wange::N,yanaq,modpolišk
9,Gesicht::N,üz,mod
10,Stirn::N,alın,oc
11,Haar::N,saç,tuk
12,Haar::N,saç,hibuz
13,Schnurrbart::N,bığ,habinod
14,Bart::N,saqqal,bard
15,Kinn::N,çənə,löug
16,Kiefer[Anatomie]::N,çənə,hambazlu
17,Kehle::N,boğaz,kurk
18,Hals::N,boyun,kagl
19,Genick::N,ənsə,tagarai
20,Kopf::N,baş,pä
21,Rücken::N,bel,sel'g
22,Bauch::N,qarın,vac
23,Bauch::N,qarın,koht
24,Nabel::N,göbək,naba
25,Busen::N,məmə,niža
26,Brust::N,döş,rind
27,Schulter::N,çiyin,oug
28,Arm::N,qol,käzi
29,Ellenbogen::N,dirsək,künambruz
30,Hand::N,əl,käzi
31,Hand::N,əl,käzitera
32,Handfläche::N,ovuc,kämen
33,Finger::N,barmaq,sor'm
34,Fingernagel::N,barmaq dırnağı,künz'
35,Nagel[Anatomie]::N,dırnak,künz'
36,Zeh::N,ayaq barmağı,barbaz
37,Fuß::N,ayaq,jaug
38,Ferse::N,daban,kand
39,Knie::N,diz,komb
40,Knie::N,diz,pol'v
41,Oberschenkel::N,bud,riiže
42,Bein::N,qıç,jaug
43,Körper::N,əndam,hibj
44,Haut::N,dəri,nahk
45,Blut::N,qan,čak
46,Blut::N,qan,veri
47,Ader::N,damar,son'
48,Sehne::N,vətər,jände
49,Knochen::N,sümük,lu
50,Gehirn::N,beyin,aivod
51,Herz::N,ürək,südäin
52,Magen::N,mədə,südäikoht
53,Leber::N,qara ciyər,maks
54,Atem::N,nəfəs,hengaiduz
55,Hunger::N,aclıq,näl'g
56,Träne::N,göz yaşı,kündal'
57,Geschmack::N,tam,magu
58,Geschmack::N,ləzzət,magu
59,Geruch::N,qoxu,haju
60,Schlaf::N,yuxu,uni
61,Traum::N,röya,unikuva
62,Himmel::N,göy,taivaz
63,Himmel::N,səma,taivaz
64,Sonne::N,günəş,päiväine
65,Mond::N,ay,kudmaine
66,Stern::N,ulduz,tähtaz
67,Luft::N,hava,il'm
68,Wind::N,yel,döl
69,Wind::N,yel,tullei
70,Wind::N,külək,döl
71,Wind::N,külək,tullei
72,Welle::N,dalğa,ald
73,Welle::N,dalğa,laineh
74,Wasser::N,su,vezi
75,Stein::N,daş,kivi
76,Boden::N,yer,ma
77,Boden::N,yer,pohj
78,Boden::N,zəmin,ma
79,Boden::N,zəmin,pohj
80,Erde::N,yer torpaq,ma
81,Staub::N,toz,pölü
82,Rauch::N,tüstü,savu
83,Funke::N,qığılcım,kibin
84,Feuer::N,od,lämoi
85,Licht::N,işıq,vauktuz
86,Schatten::N,kölgə,pil'vez
87,Schatten::N,kölgə,kuvahaine
88,Wetter::N,hava,sä
89,Nebel::N,duman,sumeg
90,Wolke::N,bulud,pil'v
91,Regen::N,yağış,vihm
92,Regen::N,yağmur,vihm
93,Schnee::N,qar,lumi
94,Eis::N,buz,jä
95,Frost::N,ayaz,hala
96,Frost::N,ayaz,pakaine
97,Kälte::N,soyuq,vilu
