,Concept_ID,vep,os
175,Huhn::N,kana,карк
176,Hahn::N,kukoi,уасӕг
177,Gans::N,hanh',хъаз
178,Adler::N,orl,цӕргӕс
179,Ente::N,sorz,ацц
180,Eule::N,hir'pulo, уыг
181,Eule::N,hir'pulo,сидахъ
182,Kranich::N,kurg,зырнæг
183,Kranich::N,kurg,хърихъупп
184,Krähe::N,variš,халон
185,Kuckuck::N,kägi,гаккук
186,Schwan::N,joucen,доныхъаз
187,Fisch::N,kala,кӕсаг
188,Barsch::N,ahven,окунь
189,Hecht::N,haug',хихор кӕсаг
190,Schlange[Tier]::N,kü,калм
191,Schlange[Tier]::N,mado,калм
192,Wurm::N,mado,зулкъ
193,Wurm::N,mado,къуыдыргалм
194,Spinne::N,hämähouk,хӕлуарӕг
195,Ameise::N,murahaine,мæлдзыг
196,Laus::N,täi,сыст
197,Mücke::N,säs'k,къогъо
198,Fliege::N,kärbhaine,бындз
199,Schmetterling::N,lipkaine,гæлæбу
200,Beere::N,marj,гагадыргъ
201,Apfel::N,jablok,фӕткъуы
202,Pilz::N,sen',зокъо
203,Pilz::N,sen',къозо
204,Pilz::N,babuk,зокъо
205,Pilz::N,babuk,къозо
206,Zwiebel::N,lauk,хъӕдындз
207,Saat::N,semned,тауинаг
208,Saat::N,semned,мыггаг
209,Korn::N,jüvä,мыггаг
210,Korn::N,jüvä,тауинаг
211,Korn::N,vill',мыггаг
212,Korn::N,vill',тауинаг
213,Heu::N,hein,хос
214,Schale::N,kor',цъар
215,Grube::N,kop,урм
216,Grube::N,kop,къахт
217,Grube::N,kop,дзыхъхъ
218,Falle::N,rida,цъысым
219,Falle::N,rida,къӕппӕг
220,Schlinge::N,rihm,цасм
221,Spur::N,jäl'g,фæд
222,Asche::N,tuhk,фӕнык
223,Asche::N,tuhk,ӕртхутӕг
224,Dreck::N,redu,цъыф
225,Dreck::N,pačak,цъыф
226,Eisen::N,raud,ӕфсӕйнаг
227,Gold::N,kuld,сыгъзӕрин
228,Silber::N,hobed,ӕвзист
229,Kohle::N,hil',ӕвзалы
230,Glas::N,stökol,авг
231,Lehm::N,savi,ӕлыг
232,Sand::N,lete,змис
233,Mensch::N,mez',лӕг
234,Mensch::N,mez',адӕймаг
235,Mensch::N,mez',удгоймаг
236,Mensch::N,ristit,лӕг
237,Mensch::N,ristit,адӕймаг
238,Mensch::N,ristit,удгоймаг
239,Mann::N,mez',лӕг
240,Mann::N,mez',нӕлгоймаг
241,Frau::N,naine,сылгоймаг
242,Kind::N,laps',сывӕллон
243,Junge::N,poig,лӕппу
244,Junge::N,prihaine,лӕппу
245,Mädchen::N,neičukaine,чызг
246,Familie::N,kanz,бинонтæ
247,Familie::N,pereh,бинонтæ
248,Großvater::N,ded,фыдыфыд
249,Großvater::N,ded,мадыфыд
250,Großmutter::N,bab,фыды мад
251,Großmutter::N,bab,мады мад
252,Eltern::N,vanhembad,ныййарджытæ
253,Eltern::N,kazvatajad,ныййарджытæ
254,Vater::N,tat,фыд
255,Mutter::N,mam,мад
256,Sohn::N,poig,фырт
257,Tochter::N,tütär,чызг
258,Bruder::N,veik,ӕфсымӕр
259,Bruder::N,vell',ӕфсымӕр
260,Schwester::N,čiža,хо
261,Schwester::N,sizar,хо
262,Onkel::N,däd',фыдыфсымӕр
263,Tante::N,tädi,мадыхо
264,Ehemann::N,mužik,мой
265,Ehefrau::N,ak,ус
266,Freude::N,ilo,цин
267,Freude::N,ilo,циндзинад
