,Concept_ID,ta,hu
0,Auge::N,கண்,szem
1,Ohr::N,காது,fül
2,Nase::N,மூக்கு,orr
3,Mund::N,வாய்,száj
4,Zahn::N,பல்,fog
5,Zunge::N,நாக்கு,nyelv
6,Lippe::N,உதடு,ajak
7,Wange::N,கன்னம்,orca
8,Gesicht::N,முகம்,arc
9,Stirn::N,முன்னெற்றி,homlok
10,Haar::N,முடி,haj
11,Schnurrbart::N,மீசை,bajusz
12,Bart::N,தாடி,szakáll
13,Kinn::N,கீழதாடை,áll
14,Kiefer[Anatomie]::N,தாடை,állkapocs
15,Kehle::N,தொண்டை,gége
16,Kehle::N,தொண்டை,torok
17,Hals::N,கழுத்து,nyak
18,Genick::N,கழுத்து,tarkó
19,Kopf::N,தலை,fő
20,Kopf::N,தலை,fej
21,Rücken::N,முதுகு,hát
22,Bauch::N,வயிறு,has
23,Nabel::N,தொப்புள்,köldök
24,Busen::N,மார்பகம்,mell
25,Busen::N,மார்பகம்,kebel
26,Brust::N, மார்பு,mell
27,Schulter::N,தோள்பட்டை,váll
28,Arm::N,கரம்,kar
29,Ellenbogen::N,முழங்கை,könyök
30,Hand::N,கை,kéz
31,Handfläche::N,உள்ளங்கை,tenyér
32,Finger::N,விரல்,ujj
33,Fingernagel::N,விரல் நகம்,köröm
34,Nagel[Anatomie]::N,நகம்,köröm
35,Zeh::N,கால்விரல்,lábujj
36,Fuß::N,கால்,láb
37,Ferse::N,குதிகால்,sarok
38,Knie::N,முழங்கால்,térd
39,Oberschenkel::N,தொடை,comb
40,Bein::N,கால்,láb
41,Bein::N,கால்,lábszár
42,Körper::N,உடல்,test
43,Haut::N,சருமம்,bőr
44,Blut::N,இரத்தம்,vér
45,Ader::N,நாளம்,ér
46,Sehne::N,தசைநார்,ín
47,Knochen::N,எலுமபு,csont
48,Gehirn::N,மூனை,agy
49,Gehirn::N,மூனை,agyvelő
50,Herz::N,இதயம,szív
51,Magen::N,வயிறு,gyomor
52,Leber::N,கல்லீரல்,máj
53,Atem::N,மூச்சு,lehelet
