,Concept_ID,sah,hu
0,Auge::N,харах,szem
1,Ohr::N,кулгаах,fül
2,Nase::N,мурун,orr
3,Mund::N,айах,száj
4,Zahn::N,тиис,fog
5,Zunge::N,тыл,nyelv
6,Lippe::N,уос,ajak
7,Wange::N,иэдэс,orca
8,Gesicht::N,сирэй,arc
9,Stirn::N,сүүс,homlok
10,Haar::N,баттах,haj
11,Schnurrbart::N,уос бытыга,bajusz
12,Bart::N,сэҥийэ бытыга,szakáll
13,Kinn::N,сэҥийэ,áll
14,Kiefer[Anatomie]::N,сыҥаах,állkapocs
15,Kehle::N,тамах,gége
16,Kehle::N,тамах,torok
17,Kehle::N,күөмэй,gége
18,Kehle::N,күөмэй,torok
19,Hals::N,моой,nyak
20,Genick::N,кэтэх,tarkó
21,Kopf::N,бас,fő
22,Kopf::N,бас,fej
23,Rücken::N,көҕүс,hát
24,Bauch::N,ис,has
25,Nabel::N,киин,köldök
26,Busen::N,эмиий,mell
27,Busen::N,эмиий,kebel
28,Brust::N,түөс,mell
29,Schulter::N,сарын,váll
30,Arm::N,илии,kar
31,Ellenbogen::N,тоҕонох,könyök
32,Hand::N,илии,kéz
33,Handfläche::N,ытыс,tenyér
34,Finger::N,тарбах,ujj
35,Fingernagel::N,тыҥырах,köröm
36,Nagel[Anatomie]::N,тыҥырах,köröm
37,Zeh::N,тарбах,lábujj
38,Fuß::N,уллуҥах,láb
39,Ferse::N,тилэх,sarok
40,Knie::N,тобук,térd
41,Knie::N,дьилбэк,térd
42,Oberschenkel::N,уллук,comb
43,Oberschenkel::N,өттүк,comb
44,Bein::N,атах,láb
45,Bein::N,атах,lábszár
46,Körper::N,бэйэ,test
47,Haut::N,тирии,bőr
48,Blut::N,хаан,vér
49,Ader::N,вена,ér
50,Ader::N,күөх_тымыр,ér
51,Sehne::N,иҥиир,ín
52,Knochen::N,уҥуох,csont
53,Knochen::N,уҥгуох,csont
54,Gehirn::N,мэйии,agy
55,Gehirn::N,мэйии,agyvelő
56,Herz::N,сүрэх,szív
57,Magen::N,куртах,gyomor
58,Leber::N,быар,máj
59,Atem::N,тыын,lehelet
60,Atem::N,тыын,lélegzet
61,Hunger::N,аас,éhség
62,Träne::N,харах уута,könny
63,Geschmack::N,амтан,íz
64,Geruch::N,сыт,szag
65,Schlaf::N,утуйуу,álom
66,Schlaf::N,утуйуу,alvás
67,Traum::N,түүл,álom
68,Himmel::N,халлаан,ég
69,Himmel::N,халлаан,menny
70,Sonne::N,күн,nap
71,Mond::N,ый,hold
72,Stern::N,сулус,csillag
73,Luft::N,салгын,levegő
74,Wind::N,тыал,szél
75,Welle::N,долгун,hullám
76,Welle::N,балхаан,hullám
77,Wasser::N,уу,víz
78,Stein::N,таас,kő
79,Boden::N,сир,föld
80,Boden::N,сир,talaj
81,Erde::N,буор,föld
82,Staub::N,быыл,por
83,Rauch::N,буруо,füst
84,Funke::N,кыым,szikra
85,Feuer::N,уот,tűz
86,Licht::N,уот,fény
87,Schatten::N,күлүк,árnyék
88,Wetter::N,күн-дьыл,idő
89,Wetter::N,күн-дьыл,időjárás
90,Nebel::N,туман,köd
91,Wolke::N,былыт,felhő
92,Regen::N,самыыр,eső
93,Schnee::N,хаар,hó
94,Eis::N,муус,jég
95,Frost::N,тымныы,fagy
96,Kälte::N,тымныы,hideg
97,Hitze::N,куйаас,hő
98,Hitze::N,куйаас,hőség
99,Raureif::N,кырыа,zúzmara
100,Regenbogen::N,кустук,szivárvány
101,Donner::N,этиҥ,dörgés
102,Donner::N,этиҥ,mennydörgés
103,Strömung::N,сүүрүк,áramlat
104,Tropfen::N,таммах,csepp
105,Tropfen::N,хааппыла,csepp
106,Schaum::N,күүгэн,hab
107,Schaum::N,күүгэн,tajték
108,Schmutz::N,кир,piszok
109,See::N,күөл,tó
110,Sumpf::N,бадараан,mocsár
111,Moor::N,дьэбэрэ,láp
112,Wiese::N,ходуһа,rét
113,Wiese::N,ходуһа,mező
114,Wald::N,ойуур,erdő
115,Hügel::N,булгунньах,domb
116,Anhöhe::N,үрдэл,magaslat
117,Berg::N,хайа,hegy
118,Gipfel::N,чыпчаал,csúcs
119,Höhle::N,хайа_хаспаҕа,barlang
120,Höhle::N,көҥүс,barlang
121,Abhang::N,эниэ,lejtő
122,Quelle::N,дьүүктэ,forrás
123,Bach::N,үрүйэ,patak
124,Fluss::N,өрүс,folyó
125,Ufer::N,биэрэк,part
126,Küste::N,кытыл,tengerpart
127,Festland::N,кураанах сир,szárazföld
128,Meer::N,муора,tenger
129,Bucht::N,хомо,öböl
130,Bucht::N,бухта,öböl
131,Insel::N,арыы,sziget
132,Blume::N,сибэкки,virág
133,Gras::N,от,fű
134,Wurzel::N,силис,gyökér
135,Baum::N,мас,fa
136,Stamm::N,умнас,tő
137,Stamm::N,умнас,törzs
138,Rinde::N,хатырык,kéreg
139,Ast::N,мутук,ág
140,Zweig::N,лабаа,gally
141,Blatt::N,сэбирдэх,levél
142,Birke::N,хатыҥ,nyír
143,Kiefer[Baum]::N,бэс,fenyő
144,Weide[Baum]::N,үөт,fűz
145,Weide[Baum]::N,талах,fűz
146,Tanne::N,харыйа,fenyő
147,Horn::N,муос,szarv
148,Feder::N,куорсун,toll
149,Fell::N,тирии,szőr
150,Fell::N,тирии,bunda
151,Flügel::N,кынат,szárny
152,Klaue::N,тыҥырах,köröm
153,Kralle::N,баппаҕай,karom
154,Schwanz::N,кутурук,farok
155,Ei::N,сымыыт,tojás
156,Nest::N,уйа,fészek
157,Bau::N,хороон,odú
158,Tier::N,кыыл,állat
159,Tier::N,харамай,állat
160,Herde::N,үөр,nyáj
161,Herde::N,үөр,csorda
162,Kuh::N,ынах,tehén
163,Bulle::N,оҕус,bika
164,Pferd::N,сылгы,ló
165,Schaf::N,овца,juh
166,Schaf::N,овца,birka
167,Schwein::N,сибиинньэ,sertés
168,Hund::N,ыт,eb
169,Hund::N,ыт,kutya
170,Katze::N,куоска,macska
171,Bär::N,эһэ,medve
172,Eichhörnchen::N,тииҥ,mókus
173,Elch::N,тайах,jávorszarvas
174,Fuchs::N,саһыл,róka
175,Hase::N,куобах,nyúl
176,Maus::N,кутуйах,egér
177,Wolf::N,бөрө,farkas
178,Vogel::N,көтөр,madár
179,Schwarm::N,бөлөх,raj
180,Huhn::N,куурусса,tyúk
181,Hahn::N,бөтүүк,kakas
182,Gans::N,хаас,lúd
183,Gans::N,хаас,liba
184,Adler::N,хотой,sas
185,Ente::N,кус,kacsa
186,Eule::N,мэкчиргэ,bagoly
187,Kranich::N,туруйа,daru
188,Krähe::N,тураах,varjú
189,Kuckuck::N,кэҕэ,kakukk
190,Schwan::N,куба,hattyú
191,Fisch::N,балык,hal
192,Barsch::N,алыһар,sügér
193,Hecht::N,сордон,csuka
194,Schlange[Tier]::N,моҕой,kígyó
195,Schlange[Tier]::N,эриэн үөн,kígyó
196,Wurm::N,үөн,kukac
197,Spinne::N,ооҕуй,pók
198,Ameise::N,кымырдаҕас,hangya
199,Laus::N,быт,tetű
200,Mücke::N,кумаар,szúnyog
201,Fliege::N,сахсырҕа,légy
202,Schmetterling::N,лыах,lepke
203,Schmetterling::N,лыах,pillangó
204,Schmetterling::N,үрүмэччи,lepke
205,Schmetterling::N,үрүмэччи,pillangó
206,Beere::N,отон,bogyó
207,Apfel::N,яблоко,alma
208,Pilz::N,тэллэй,gomba
209,Zwiebel::N,луук,hagyma
210,Saat::N,сиэмэ,vetőmag
211,Korn::N,сиэмэ,mag
212,Korn::N,сиэмэ,szem
213,Heu::N,от,széna
214,Schale::N,хах,héj
215,Grube::N,дьаама,verem
216,Falle::N,сохсо,csapda
217,Schlinge::N,уктаа,tőr
218,Spur::N,суол,nyom
219,Asche::N,күл,hamu
220,Dreck::N,бадараан,sár
221,Dreck::N,бадараан,piszok
222,Eisen::N,тимир,vas
223,Gold::N,көмүс,arany
224,Gold::N,кыһыл көмүс,arany
225,Silber::N,көмүс,ezüst
226,Silber::N,үрүҥ көмүс,ezüst
227,Kohle::N,чох,szén
228,Glas::N,өстүөкүлэ,üveg
229,Lehm::N,туой,agyag
