,Concept_ID,ml,ml
0,Auge::N,കണ്ണ്,കണ്ണ്
1,Ohr::N,ചെവി,ചെവി
2,Nase::N,മൂക്ക്,മൂക്ക്
3,Mund::N,വായ,വായ
4,Zahn::N,പല്ല്,പല്ല്
5,Zunge::N,നാക്ക്,നാക്ക്
6,Lippe::N,ചുണ്ട്,ചുണ്ട്
7,Wange::N,കവിൾത്തടം,കവിൾത്തടം
8,Gesicht::N,മുഖം,മുഖം
9,Stirn::N,നെറ്റി,നെറ്റി
10,Haar::N,തലമുടി,തലമുടി
11,Schnurrbart::N,മീശ,മീശ
12,Bart::N,താടിരോമം,താടിരോമം
13,Kinn::N,താടി,താടി
14,Kiefer[Anatomie]::N,താടിയെല്ല്,താടിയെല്ല്
15,Kehle::N,കണ്ഠനാളം,കണ്ഠനാളം
16,Hals::N,കഴുത്ത്,കഴുത്ത്
17,Genick::N,പിടലി,പിടലി
18,Kopf::N,തല,തല
19,Rücken::N,മുതുക്,മുതുക്
20,Bauch::N,നയറ്,നയറ്
21,Nabel::N,നാഭി,നാഭി
22,Busen::N,സ്തനം,സ്തനം
23,Brust::N,സ്തനം,സ്തനം
24,Schulter::N,തോൾ,തോൾ
25,Arm::N,കൈ,കൈ
26,Ellenbogen::N,കൈമുട്ട്,കൈമുട്ട്
27,Hand::N,കൈ,കൈ
28,Handfläche::N,ഉള്ളം കൈ,ഉള്ളം കൈ
29,Finger::N,വിരൽ,വിരൽ
30,Fingernagel::N,നഖം,നഖം
31,Nagel[Anatomie]::N,നഖം,നഖം
32,Zeh::N,കാൽവിരൽ,കാൽവിരൽ
33,Fuß::N,കാൽപ്പാദം,കാൽപ്പാദം
34,Ferse::N,ഉപ്പൂറ്റി,ഉപ്പൂറ്റി
35,Knie::N,കാൽമുട്ട്,കാൽമുട്ട്
36,Oberschenkel::N,തുട,തുട
37,Bein::N,കാൽ,കാൽ
38,Körper::N,ശരീരം,ശരീരം
39,Haut::N,ചർമ്മം,ചർമ്മം
40,Blut::N,രക്തം,രക്തം
41,Ader::N,ഞരമ്പ്,ഞരമ്പ്
42,Sehne::N,സ്നായു,സ്നായു
43,Knochen::N,അസ്ഥി,അസ്ഥി
44,Gehirn::N,തലച്ചോറ്,തലച്ചോറ്
45,Herz::N,ഹൃദയം,ഹൃദയം
46,Magen::N,വയർ,വയർ
47,Leber::N,കരൾ,കരൾ
48,Atem::N,ശ്വാസം,ശ്വാസം
49,Hunger::N,വിശപ്പ്,വിശപ്പ്
50,Träne::N,കണ്ണീർ,കണ്ണീർ
51,Geschmack::N,രുചി,രുചി
52,Geruch::N,ഗന്ധം,ഗന്ധം
53,Schlaf::N,ഉറകും,ഉറകും
54,Traum::N,സ്വപ്നം,സ്വപ്നം
55,Himmel::N,ആകാശം,ആകാശം
56,Sonne::N,സൂര്യൻ,സൂര്യൻ
57,Mond::N,ചന്ദ്രൻ,ചന്ദ്രൻ
58,Stern::N,നക്ഷത്രം,നക്ഷത്രം
59,Luft::N,കാറ്റ്,കാറ്റ്
60,Wind::N,കാറ്റ്,കാറ്റ്
61,Welle::N,തിരമാല,തിരമാല
62,Wasser::N,വെള്ളം,വെള്ളം
63,Stein::N,ശില,ശില
64,Stein::N,ശില,കല്ല്
65,Stein::N,കല്ല്,ശില
66,Stein::N,കല്ല്,കല്ല്
67,Boden::N,തറ,തറ
68,Boden::N,തറ,നിലം
69,Boden::N,നിലം,തറ
70,Boden::N,നിലം,നിലം
71,Erde::N,മണ്ണ്,മണ്ണ്
72,Staub::N,പൊടി,പൊടി
73,Rauch::N,പുക,പുക
74,Funke::N,തീപ്പൊരി,തീപ്പൊരി
75,Feuer::N,തീ,തീ
76,Licht::N,വിളക്ക്,വിളക്ക്
77,Licht::N,വിളക്ക്,സൂര്യപ്രകാശം
78,Licht::N,സൂര്യപ്രകാശം,വിളക്ക്
79,Licht::N,സൂര്യപ്രകാശം,സൂര്യപ്രകാശം
80,Schatten::N,തണൽ,തണൽ
81,Wetter::N,കാലാവസ്ഥ,കാലാവസ്ഥ
82,Nebel::N,മൂടൽമഞ്ഞ്,മൂടൽമഞ്ഞ്
83,Wolke::N,മേഘം,മേഘം
84,Regen::N,മഴ,മഴ
85,Schnee::N,മഞ്ഞ്,മഞ്ഞ്
86,Eis::N,ഐസ്,ഐസ്
87,Frost::N,മൂടൽമഞ്ഞ്,മൂടൽമഞ്ഞ്
88,Kälte::N,തണുപ്പ്,തണുപ്പ്
89,Hitze::N,ചൂട്,ചൂട്
90,Raureif::N,കോടമഞ്ഞ്,കോടമഞ്ഞ്
91,Regenbogen::N,മഴവില്ല്,മഴവില്ല്
92,Donner::N,ഇടി,ഇടി
93,Strömung::N,പ്രവാഹം,പ്രവാഹം
94,Tropfen::N,തുള്ളി,തുള്ളി
95,Schaum::N,നുര,നുര
96,Schmutz::N,അഴുക്ക്,അഴുക്ക്
97,See::N,തടാകം,തടാകം
98,Sumpf::N,ചതുപ്പുനിലം,ചതുപ്പുനിലം
99,Moor::N,പാഴ്നിലം,പാഴ്നിലം
100,Wiese::N,പുൽത്തകിടി,പുൽത്തകിടി
101,Wald::N,വനം,വനം
102,Wald::N,വനം,കാട്
103,Wald::N,കാട്,വനം
104,Wald::N,കാട്,കാട്
105,Hügel::N,കുന്ന്,കുന്ന്
106,Anhöhe::N,ഉയർന്ന ഭൂമി,ഉയർന്ന ഭൂമി
107,Berg::N,പർവ്വതം,പർവ്വതം
108,Gipfel::N,ഉച്ചകോടി,ഉച്ചകോടി
109,Höhle::N,ഗുഹ,ഗുഹ
110,Abhang::N,ചരിവ്,ചരിവ്
111,Quelle::N,ഉറവിടം,ഉറവിടം
112,Bach::N,അരുവി,അരുവി
113,Fluss::N,നദി,നദി
114,Ufer::N,തീരം,തീരം
115,Küste::N,കടൽത്തീരം,കടൽത്തീരം
116,Festland::N,കര,കര
117,Meer::N,കടൽ,കടൽ
118,Bucht::N,ഉൾക്കടല്,ഉൾക്കടല്
119,Insel::N,ദ്വീപ്,ദ്വീപ്
120,Blume::N,പൂവ്,പൂവ്
121,Gras::N,പുല്ല്,പുല്ല്
122,Wurzel::N,വേര്,വേര്
123,Baum::N,മരം,മരം
124,Stamm::N,തായ്ത്തടി,തായ്ത്തടി
125,Rinde::N,പട്ട,പട്ട
126,Ast::N,ശാഖ,ശാഖ
127,Zweig::N,ശാഖ,ശാഖ
128,Blatt::N,ഇല,ഇല
129,Birke::N,പൂവരശ്,പൂവരശ്
130,Kiefer[Baum]::N,പൈൻമരം,പൈൻമരം
131,Weide[Baum]::N,വില്ലോ,വില്ലോ
132,Tanne::N,ദേവദാരു,ദേവദാരു
133,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,മൃഗത്തിൻറെ കൊമ്പ്
134,Feder::N,തൂവൽ,തൂവൽ
135,Fell::N,മൃദുരോമം,മൃദുരോമം
136,Flügel::N,ചിറക്,ചിറക്
137,Klaue::N,നഖം,നഖം
138,Kralle::N,നഖം,നഖം
139,Schwanz::N,വാൽ,വാൽ
140,Ei::N,മുട്ട,മുട്ട
141,Nest::N,കൂട്,കൂട്
142,Bau::N,മാളം,മാളം
143,Tier::N,മൃഗം,മൃഗം
144,Herde::N,കൂട്ടം,കൂട്ടം
145,Kuh::N,പശു,പശു
146,Bulle::N,കാള,കാള
147,Pferd::N,കുതിര,കുതിര
148,Schaf::N,ആട്,ആട്
149,Schwein::N,പന്നി,പന്നി
150,Hund::N,നായ്,നായ്
151,Katze::N,പൂച്ച,പൂച്ച
152,Bär::N,കരടി,കരടി
153,Eichhörnchen::N,അണ്ണാൻ,അണ്ണാൻ
154,Elch::N,കടമാന്,കടമാന്
155,Fuchs::N,കുറുക്കൻ,കുറുക്കൻ
156,Hase::N,മുയൽ,മുയൽ
157,Maus::N,ചുണ്ടലി,ചുണ്ടലി
158,Wolf::N,ചെന്നായ,ചെന്നായ
159,Vogel::N,പക്ഷി,പക്ഷി
160,Schwarm::N,കൂട്ടം,കൂട്ടം
161,Huhn::N,കോഴി,കോഴി
162,Hahn::N,പൂവൻകോഴി,പൂവൻകോഴി
163,Gans::N,അരയന്നം,അരയന്നം
164,Adler::N,കഴുകൻ,കഴുകൻ
165,Ente::N,താറാവ്,താറാവ്
166,Eule::N,മൂങ്ങ,മൂങ്ങ
167,Kranich::N,കൊക്ക്,കൊക്ക്
168,Krähe::N,കാക്ക,കാക്ക
