,Concept_ID,no,ru
197,Saat::N,sæd,семя
198,Korn::N,korn,зерно
199,Heu::N,høy,сено
200,Schale::N,skall,шелуха
201,Grube::N,grop,яма
202,Falle::N,felle,ловушка
203,Schlinge::N,snare,силок
204,Spur::N,spor,след
205,Asche::N,aske,зола
206,Asche::N,aske,пепел
207,Dreck::N,møkk,грязь
208,Dreck::N,skitt,грязь
209,Eisen::N,jern,железо
210,Gold::N,gull,золото
211,Silber::N,sølv,серебро
212,Kohle::N,kol,уголь
213,Kohle::N,kull,уголь
214,Glas::N,glass,стекло
215,Lehm::N,leire,глина
216,Sand::N,sand,песок
217,Mensch::N,menneske,человек
218,Mann::N,mann,мужчина
219,Frau::N,kvinne,женщина
220,Kind::N,barn,ребенок
221,Junge::N,gutt,мальчик
222,Mädchen::N,pike,девочка
223,Mädchen::N,jente,девочка
224,Familie::N,familie,семья
225,Großvater::N,bestefar,дедушка
226,Großmutter::N,bestemor,бабушка
227,Eltern::N,foreldre,родители
228,Vater::N,far,отец
229,Mutter::N,mor,мать
230,Sohn::N,sønn,сын
231,Tochter::N,datter,дочь
232,Bruder::N,bror,брат
233,Schwester::N,søster,сестра
234,Onkel::N,onkel,дядя
235,Tante::N,tante,тетя
236,Ehemann::N,ektemann,муж
237,Ehefrau::N,hustru,жена
238,Freude::N,glede,радость
239,Gelächter::N,latter,смех
240,Glück::N,lykke,счастье
241,Kummer::N,sorg,горе
242,Wunsch::N,ønske,желание
243,Lust::N,lyst,влечение
244,Geist::N,ånd,дух
245,Gedanke::N,tanke,мысль
246,Gedächtnis::N,minne,память
247,Gedächtnis::N,hukommelse,память
248,Verstand::N,forstand,ум
249,Sinn::N,mening,смысл
250,Sinn::N,betydning,смысл
251,Grund::N,grunn,повод
252,Wahrheit::N,sannhet,правда
253,Gespräch::N,samtale,беседа
254,Märchen::N,eventyr,сказка
255,Erzählung::N,fortelling,рассказ
256,Nachricht::N,melding,сообщение
257,Neuigkeit::N,nyhet,новость
258,Name::N,navn,имя
259,Rätsel::N,gåte,загадка
260,Rede::N,tale,речь
261,Sprache::N,språk,язык
262,Stimme::N,stemme,голос
263,Wort::N,ord,слово
264,Zeichen::N,tegn,знак
265,Ruf::N,rop,зов
266,Lärm::N,bråk,шум
267,Laut::N,lyd,звук
268,Ton::N,tone,звучание
269,Lied::N,vise,песня
270,Ruhe::N,ro,покой
271,Leute::N,folk,люди
272,Volk::N,folk,народ
273,Arbeit::N,arbeid,работа
274,Gast::N,gjest,гость
275,Geschenk::N,gave,подарок
276,Spiel::N,lek,игра
277,Spiel::N,spill,игра
278,Gesellschaft::N,selskap,общество
279,Hilfe::N,hjelp,помощь
280,Freund::N,venn,друг
281,Kamerad::N,kamerat,приятель
282,Angelegenheit::N,sak,дело
283,Angelegenheit::N,anliggende,дело
284,Anzahl::N,antall,количество
285,Art::N,art,вид
286,Art::N,slag,вид
287,Stück::N,stykke,кусок
288,Teil::N,del,часть
289,Hälfte::N,halvdel,половина
290,Kreis::N,ring,круг
291,Kreis::N,sirkel,круг
292,Kreuz::N,kors,крест
293,Kreuz::N,kryss,крест
294,Linie::N,linje,линия
295,Strich::N,strek,черта
296,Abstand::N,avstand,промежуток
297,Entfernung::N,avstand,расстояние
298,Gegend::N,strøk,местность
299,Platz::N,plass,пространство
300,Ort::N,sted,место
301,Seite::N,side,сторона
302,Mitte::N,midte,середина
303,Gegenstand::N,gjenstand,предмет
304,Sache::N,sak,вещь
305,Rand::N,rand,край
306,Kante::N,kant,ребро
307,Ecke::N,hjørne,угол
308,Spitze::N,spiss,кончик
309,Ende::N,ende,конец
310,Loch::N,hull,дыра
311,Winkel::N,vinkel,угол
312,Muster::N,mønster,узор
313,Größe::N,størrelse,размер
314,Länge::N,lengde,длина
315,Höhe::N,høyde,высота
316,Gewicht::N,vekt,вес
317,Menge::N,mengde,количество
318,Haufen::N,haug,куча
319,Haufen::N,bunke,куча
320,Reihe::N,rekke,ряд
321,Boot::N,båt,лодка
322,Ruder::N,åre,весло
323,Schlitten::N,slede,сани
324,Schlitten::N,kjelke,сани
325,Ski::N,ski,лыжа
326,Lagerfeuer::N,leirbål,костер
327,Last::N,bør,тяжесть
328,Last::N,last,тяжесть
329,Gang::N,gang,ход
330,Schritt::N,steg,шаг
331,Schritt::N,skritt,шаг
332,Norden::N,nord,север
333,Süden::N,sør,юг
334,Westen::N,vest,запад
335,Osten::N,øst,восток
336,Holz::N,tre,древесина
337,Brett::N,fjøl,доска
338,Brett::N,brett,доска
339,Platte::N,plate,плита
340,Stütze::N,støtte,подпорка
341,Stange::N,stang,жердь
342,Stock::N,pinne,палка
343,Stab::N,stav,шест
344,Stab::N,kjepp,шест
345,Rohr::N,rør,труба
346,Haus::N,hus,дом
347,Heim::N,hjem,дом
348,Ofen::N,ovn,печь
349,Fußboden::N,gulv,пол
350,Tisch::N,bord,стол
351,Stuhl::N,stol,стул
352,Wiege::N,vogge,колыбель
353,Bett::N,seng,постель
354,Regal::N,reol,полка
355,Regal::N,hylle,полка
356,Kiste::N,kasse,ящик
357,Fenster::N,vindu,окно
358,Tür::N,dør,дверь
359,Tor::N,port,ворота
360,Zaun::N,gjerde,забор
361,Dach::N,tak,крыша
362,Leiter::N,stige,лестница
363,Besen::N,kost,метла
364,Spaten::N,spade,лопата
365,Schaufel::N,skuffe,совок
366,Gabel::N,gaffel,вилка
367,Löffel::N,skje,ложка
368,Messer::N,kniv,нож
369,Nagel::N,spiker,гвоздь
370,Netz::N,nett,сеть
371,Haken::N,krok,крюк
372,Griff::N,tak,ручка
373,Griff::N,håndtak,ручка
374,Schloss::N,lås,замок
375,Bild::N,bilde,картина
376,Figur::N,figur,фигура
377,Puppe::N,dukke,кукла
378,Beutel::N,pose,мешок
379,Bündel::N,bylt,связка
380,Tasche::N,veske,сумка
381,Eimer::N,bøtte,ведро
382,Deckel::N,lokk,крышка
383,Geschirr::N,kjøkkentøy,посуда
384,Sack::N,sekk,мешок
385,Tasse::N,kopp,чашка
386,Topf::N,gryte,кастрюля
387,Kessel::N,kjele,котел
388,Essen::N,mål,еда
389,Nahrung::N,mat,пища
390,Nahrung::N,næring,пища
391,Speise::N,matrett,блюдо
392,Speise::N,matrett,кушанье
393,Fleisch::N,kjøtt,мясо
394,Getreide::N,korn,хлеб
395,Brei::N,grøt,каша
396,Brot::N,brød,хлеб
397,Scheibe::N,skive,ломоть
398,Fett::N,fett,жир
399,Butter::N,smør,масло
400,Öl::N,olje,масло
401,Salz::N,salt,соль
402,Suppe::N,suppe,суп
403,Honig::N,honning,мед
404,Milch::N,melk,молоко
405,Tee::N,te,чай
406,Leder::N,lær,кожа
407,Leder::N,skinn,кожа
408,Wolle::N,ull,шерсть
409,Stoff::N,tøy,ткань
410,Stoff::N,stoff,ткань
411,Nadel::N,nål,игла
412,Faden::N,tråd,нитка
413,Knopf::N,knapp,пуговица
414,Knoten::N,knute,узел
415,Farbe::N,farge,краска
416,Kleidung::N,påkledning,одежда
417,Hemd::N,skjorte,рубашка
418,Kragen::N,krage,воротник
419,Ärmel::N,erme,рукав
420,Hose::N,bukse,брюки
421,Gürtel::N,belte,пояс
422,Mütze::N,lue,шапка
423,Schuh::N,sko,ботинок
424,Stiefel::N,støvel,сапог
425,Ring::N,ring,кольцо
426,Band::N,band,лента
427,Kamm::N,kam,расческа
428,Spiegel::N,speil,зеркало
429,Riemen::N,rem,ремень
430,Schnur::N,snor,веревка
431,Leine::N,line,поводок
432,Decke::N,teppe,одеяло
433,Kissen::N,pute,подушка
434,Tuch::N,tøy,платок
435,Handtuch::N,håndkle,полотенце
436,Kraft::N,kraft,сила
437,Stärke::N,styrke,крепость
438,Gesundheit::N,helse,здоровье
439,Gesundheit::N,sunnhet,здоровье
440,Krankheit::N,syke,болезнь
441,Krankheit::N,sykdom,болезнь
442,Schmerz::N,smerte,боль
443,Wunde::N,sår,рана
444,Fieber::N,feber,лихорадка
445,Fieber::N,feber,температура
446,Arznei::N,medisin,лекарство
447,Arznei::N,legemiddel,лекарство
448,Brücke::N,bro,мост
449,Brunnen::N,brønn,колодец
450,Weide::N,beite,пастбище
451,Pfad::N,sti,тропа
452,Weg::N,vei,путь
453,Weg::N,vei,дорога
454,Straße::N,gate,улица
455,Straße::N,gate,дорога
456,Dorf::N,landsby,деревня
457,Stadt::N,by,город
458,Brief::N,brev,письмо
459,Buch::N,bok,книга
460,Buchstabe::N,bokstav,буква
461,Zeitung::N,avis,газета
462,Leben::N,liv,жизнь
463,Tod::N,død,смерть
464,Grab::N,grav,могила
465,Kirche::N,kirke,церковь
466,Sünde::N,synd,грех
467,Gott::N,gud,бог
468,Arbeiter::N,arbeider,рабочий
469,Chef::N,sjef,начальник
470,Meister::N,mester,мастер
471,Arzt::N,lege,врач
472,Lehrer::N,lærer,учитель
