,Concept_ID,kv,mdf
0,Auge::N,син,сельме
1,Ohr::N,пель,пиле
2,Nase::N,ныр,шалхка
3,Mund::N,ӧм,курга
4,Zahn::N,пинь,пей
5,Zunge::N,кыв,кяль
6,Lippe::N,тырп,търва́
7,Wange::N,рожабан,щёка
8,Gesicht::N,бан,шама
9,Stirn::N,кымӧс,коня
10,Haar::N,юрси,шя́ярь
11,Schnurrbart::N,уссэз,уса́
12,Bart::N,тош,сакал
13,Kinn::N,тшӧка,ула
14,Kiefer[Anatomie]::N,ан,саласка
15,Kehle::N,юан,кълдома
16,Kehle::N,юан,кърга́парь
17,Hals::N,юан,сялдаз
18,Genick::N,юр бӧр,шовонь
19,Kopf::N,юр,пря
20,Rücken::N,мышк,копорь
21,Bauch::N,кынӧм,пеке
22,Nabel::N,гӧг,по́кон
23,Busen::N,морос,потя
24,Brust::N,морос,мяште
25,Schulter::N,пельпон,лафту
26,Arm::N,ки,кядь
27,Ellenbogen::N,гырдзза,кенерьба́карь
28,Hand::N,кикар,кядь
29,Handfläche::N,ки пыдӧс,кядьлапш
30,Finger::N,чунь,сур
31,Fingernagel::N,гыж,кенже
32,Nagel[Anatomie]::N,гыж,кенже
33,Zeh::N,чунь,пильгосу́р
34,Fuß::N,кокпыдӧс,пильге
35,Fuß::N,кокпыдӧс,пильгелапа
36,Ferse::N,кокдзир,кочкяря
37,Knie::N,пидзӧс,эль
38,Knie::N,пидзӧс,пълма́нжа
39,Oberschenkel::N,лядьбей,пильгепукша
40,Bein::N,кок,пильге
41,Körper::N,вывтыр,ро́нга
42,Körper::N,вывтыр,по́нда
43,Haut::N,кучик,киське
44,Blut::N,вир,вер
45,Ader::N,сӧн,сан
46,Ader::N,сӧн,верза́н
47,Sehne::N,жила,коське сан
48,Knochen::N,коска,пакарь
49,Gehirn::N,вем,уй
50,Herz::N,сьӧлӧм,седи
51,Magen::N,жӧвдӧк,коткърдазь
52,Leber::N,мус,макса
53,Atem::N,лолалӧм,лекома
54,Atem::N,лолалӧм,ваймонь тарксема
55,Hunger::N,тшыг,вачеши
56,Träne::N,синва,сельмове́дь
57,Geschmack::N,кӧр,таньф
58,Geruch::N,дук,шине
59,Schlaf::N,он,удома́
60,Traum::N,вӧт,он
61,Himmel::N,небо,менель
62,Sonne::N,шондi,ши
63,Mond::N,тӧлiсь,ков
64,Stern::N,кӧдзыв,тяште
65,Luft::N,ру,кожф
66,Wind::N,тӧв,варма
67,Welle::N,гы,тавла
68,Wasser::N,ва,ведь
69,Stein::N,из,кев
70,Boden::N,му,мода
71,Boden::N,му,потмакс
72,Erde::N,му,мода
73,Erde::N,му,мастор
74,Staub::N,бус,пуль
75,Rauch::N,тшын,качам
76,Funke::N,бичир,ця́тка
77,Feuer::N,би,тол
78,Licht::N,би,ва́лда
79,Schatten::N,вуджӧр,цильф
80,Wetter::N,погоддя,уша
81,Nebel::N,туман,тума́н
82,Wolke::N,кымӧр,ковол
83,Regen::N,зэр,пизем
84,Schnee::N,лым,лов
85,Eis::N,йы,эй
86,Frost::N,мороз,ке́льме
87,Kälte::N,кӧдзыт,якшама
88,Hitze::N,ӧд,пси
89,Raureif::N,кижа,леш
90,Regenbogen::N,енӧшка,а́тямъёнга
91,Donner::N,гым,атям
92,Strömung::N,визывтӧм,шудема́
93,Tropfen::N,тёп,путькс
94,Tropfen::N,тёп,пътняфкс
95,Schaum::N,быг,шов
96,Schmutz::N,нять,ърда́з
97,See::N,ты,эрьхке
98,Sumpf::N,арай,шяй
99,Moor::N,нюр,шяй
100,Wiese::N,видз,луга
101,Wald::N,вӧр,вирь
102,Hügel::N,мыльк,губо́р
103,Hügel::N,мыльк,пандоня
104,Anhöhe::N,вывтас,губо́р
105,Anhöhe::N,вылынін,губо́р
106,Berg::N,керӧс,панда
107,Gipfel::N,йыв,пря
108,Höhle::N,нора,у́нда
109,Abhang::N,покат,па́нда ша́ма
110,Quelle::N,больган,эшиня
111,Bach::N,шор,шудерькс
112,Fluss::N,ю,ляй
113,Ufer::N,берег,търва́
114,Küste::N,берег,ляйтърва́
115,Festland::N,му,мода
116,Meer::N,море,моря
117,Bucht::N,курья,ведьуське
118,Blume::N,цветок,панчф
119,Gras::N,турун,тише
120,Wurzel::N,вуж,юр
121,Wurzel::N,вуж,ункс
122,Baum::N,пу,шуфта
123,Stamm::N,мыр,ро́нга
124,Stamm::N,кер,ро́нга
125,Rinde::N,кач,кер
126,Ast::N,ув,морга
127,Zweig::N,ув,тарад
128,Blatt::N,лист,лопа
129,Birke::N,кыдз,ке́лу
130,Kiefer[Baum]::N,пожум,пиче
131,Weide[Baum]::N,бадь,каль
132,Tanne::N,кӧз,куз
133,Horn::N,сюр,сюра
134,Feder::N,гӧн,толга
135,Fell::N,кучик,кедь
136,Flügel::N,борд,паця
137,Klaue::N,гыж,кенже
138,Kralle::N,кабыр,кенже
139,Schwanz::N,бӧж,пула
140,Ei::N,кольть,ал
141,Nest::N,поз,пиза
142,Bau::N,осьта,пиза
143,Bau::N,нора,пиза
144,Tier::N,зверь,жува́та
145,Herde::N,гурт,нал
146,Herde::N,гурт,стада
147,Kuh::N,мӧс,скал
148,Kuh::N,мӧс,тракс
149,Bulle::N,ӧшка,бука
150,Pferd::N,вӧв,лишме
151,Schaf::N,баля,уча́
152,Schwein::N,порсь,тува
153,Hund::N,пон,пине
154,Katze::N,кань,катоня
155,Katze::N,кань,аваката
156,Bär::N,ош,офта
157,Eichhörnchen::N,ур,ур
158,Elch::N,вӧр мӧс,ся́рда
159,Fuchs::N,руч,келазь
160,Hase::N,кӧч,ну́мол
161,Maus::N,шыр,шеер
162,Wolf::N,кӧин,върьгаз
163,Vogel::N,кай,нармонь
164,Schwarm::N,стая,ко́вол
165,Schwarm::N,стая,ме́швеле
166,Schwarm::N,чукӧр,ко́вол
167,Schwarm::N,чукӧр,ме́швеле
168,Huhn::N,курӧг,сараз
169,Hahn::N,петух,а́тякш
170,Hahn::N,ай курӧг,а́тякш
171,Gans::N,дзодзог,маци
172,Adler::N,куч,куцькан
173,Adler::N,кутш,куцькан
174,Ente::N,утка,яксярга
175,Eule::N,тупка,ко́рож
176,Kranich::N,тури,ка́рга
177,Krähe::N,рака,ва́рси
178,Kuckuck::N,кӧк,ку́ку
179,Schwan::N,юсь,ло́ксти
180,Fisch::N,чери,кал
181,Barsch::N,ёкыш,о́кунь
182,Hecht::N,сирпинь,щу́ка
183,Schlange[Tier]::N,змей,куй
184,Wurm::N,номыр,сукс
185,Spinne::N,черань,унжа́
186,Ameise::N,кӧдзывкар,панжам
187,Laus::N,ляпа той,си
188,Mücke::N,ном,ся́ське
189,Fliege::N,гут,кару
190,Schmetterling::N,бабыв,ме́лав
191,Beere::N,ягӧд,и́мож
192,Apfel::N,яблоко,марь
193,Pilz::N,тшак,панга
194,Zwiebel::N,грез,шурьхкя́
195,Saat::N,кӧдзыс,видьмот
196,Korn::N,сю,сёра
197,Heu::N,турун,тише
198,Schale::N,кыш,кедь
199,Schale::N,киль,кедь
200,Grube::N,яма,лотка
201,Falle::N,нальк,туфкс
202,Falle::N,нальк,кунда́ма
203,Falle::N,кляпча,туфкс
204,Falle::N,кляпча,кунда́ма
205,Schlinge::N,лӧч,килькш
206,Spur::N,туй,пильгоки́
207,Asche::N,пӧим,кулу
208,Dreck::N,нять,ърда́з
209,Eisen::N,кӧрт,кшни
210,Gold::N,зарни,ока
211,Gold::N,зарни,золота
212,Silber::N,язісь,сия́
213,Kohle::N,шом,седь
214,Kohle::N,шом,седьвальмя
215,Kohle::N,уголь,седь
216,Kohle::N,уголь,седьвальмя
217,Glas::N,стекло,кля́нцек
218,Lehm::N,сёй,сёвонь
219,Sand::N,лыа,шува́р
220,Mensch::N,морт,ломань
221,Mann::N,мужик,аля
222,Mann::N,мужик,цёраломань
223,Frau::N,инька,ава
224,Kind::N,кага,идь
225,Kind::N,кага,шаба
226,Junge::N,зонка,цёраня
227,Mädchen::N,нывкаок,стирня́
228,Familie::N,семья,тнал
229,Familie::N,семья,семья
230,Großvater::N,дед,атя
231,Großvater::N,дед,щя́тя
232,Großmutter::N,баб,баба
233,Eltern::N,ай-мам,тя́дят-а́лят
234,Vater::N,ай,аля
235,Mutter::N,мам,ава
236,Mutter::N,мам,тядя
237,Sohn::N,зон,цёра
238,Tochter::N,ныв,стирь
239,Bruder::N,вон,дуган
240,Bruder::N,вон,пяльне
241,Schwester::N,сой,ака
242,Schwester::N,сой,сазор
243,Onkel::N,дядь,оця
244,Onkel::N,дядь,патя
245,Onkel::N,дядь,щеня́
246,Tante::N,айӧлӧн сой,ака
247,Tante::N,айӧлӧн сой,щака
248,Tante::N,ичинь,ака
249,Tante::N,ичинь,щака
250,Ehemann::N,жӧник,мирде
251,Ehefrau::N,инь,ърьвя́
252,Freude::N,гаж,ке́нярдема
253,Freude::N,радъялӧм,ке́нярдема
254,Gelächter::N,сералӧм,рахсема
