,Concept_ID,ru,zh
0,Auge::N,глаз,眼睛
1,Ohr::N,ухо,耳朵
2,Nase::N,нос,鼻子
3,Mund::N,рот,嘴
4,Zahn::N,зуб,牙齿
5,Zunge::N,язык,舌头
6,Lippe::N,губа,嘴唇
7,Wange::N,щека,面颊
8,Gesicht::N,лицо,脸
9,Stirn::N,лоб,额
10,Haar::N,волос,头发
11,Haar::N,волосы,头发
12,Schnurrbart::N,ус,髭须
13,Schnurrbart::N,усы,髭须
14,Bart::N,борода,胡子
15,Kinn::N,подбородок,下巴
16,Kiefer[Anatomie]::N,челюсть,颌
17,Kehle::N,горло,嗓子
18,Hals::N,шея,颈
19,Genick::N,затылок,后颈
20,Kopf::N,голова,头
21,Rücken::N,спина,背
22,Bauch::N,живот,肚子
23,Nabel::N,пупок,肚脐
24,Busen::N,женская грудь,胸脯
25,Brust::N,грудь,胸
26,Schulter::N,плечо,肩膀
27,Arm::N,рука,臂膀
28,Ellenbogen::N,локоть,肘
29,Hand::N,кисть,手
30,Handfläche::N,ладонь,手掌
31,Finger::N,палец,手指
32,Fingernagel::N,ноготь,指甲
33,Nagel[Anatomie]::N,ноготь,指甲
34,Zeh::N,палец,脚趾
35,Fuß::N,ступня,脚
36,Ferse::N,пята,后跟
37,Ferse::N,пятка,后跟
38,Knie::N,колено,膝
39,Oberschenkel::N,бедро,大腿
40,Bein::N,нога,腿
41,Körper::N,тело,身体
42,Haut::N,кожа,皮肤
43,Blut::N,кровь,血
44,Ader::N,вена,血管
45,Ader::N,сосуд,血管
46,Sehne::N,жила,腱
47,Sehne::N,тетива,腱
48,Sehne::N,сухожилие,腱
49,Knochen::N,кость,骨
50,Gehirn::N,мозг,脑
51,Herz::N,сердце,心
52,Magen::N,желудок,胃
53,Leber::N,печень,肝
54,Atem::N,дух,呼吸
55,Atem::N,дыхание,呼吸
56,Hunger::N,голод,饿
57,Träne::N,слеза,眼泪
58,Geschmack::N,вкус,味道
59,Geruch::N,запах,气味
60,Schlaf::N,сон,睡眠
