,Concept_ID,uk,fi
0,Auge::N,око,silmä
1,Ohr::N,вухо,korva
2,Nase::N,ніс,nenä
3,Mund::N,рот,suu
4,Zahn::N,зуб,hammas
5,Zunge::N,язик,kieli
6,Lippe::N,губа,huuli
7,Wange::N,щока,poski
8,Gesicht::N,обличчя,naama
9,Gesicht::N,обличчя,kasvot
10,Stirn::N,лоб,otsa
11,Haar::N,волосся,hius
12,Haar::N,волосся,tukka
13,Schnurrbart::N,вуса,viikset
14,Bart::N,борода,parta
15,Kinn::N,підборіддя,leuka
16,Kiefer[Anatomie]::N,щелепа,leukaluu
17,Kehle::N,горло,kurkku
18,Hals::N,шия,kaula
19,Genick::N,потилиця,niska
20,Kopf::N,голова,pää
21,Rücken::N,спина,selkä
22,Bauch::N,живіт,maha
23,Bauch::N,живіт,vatsa
24,Nabel::N,пупок,napa
25,Busen::N,груди,rinta
26,Brust::N,груди,rinta
27,Schulter::N,плече,olka
28,Schulter::N,плече,hartia
29,Schulter::N,плече,olkapää
30,Arm::N,рука,käsivarsi
31,Ellenbogen::N,лікоть,kyynärpää
32,Hand::N,рука,käsi
33,Handfläche::N,долоня,kämmen
34,Finger::N,палець,sormi
35,Fingernagel::N,ніготь,kynsi
36,Nagel[Anatomie]::N,ніготь,kynsi
37,Zeh::N,палець на нозі,varvas
38,Fuß::N,нога,jalka
39,Ferse::N,п’ятка,kantapää
40,Knie::N,коліно,polvi
41,Oberschenkel::N,стегно,reisi
42,Bein::N,нога,jalka
43,Körper::N,тіло,keho
44,Körper::N,тіло,ruumis
45,Haut::N,шкіра,iho
46,Blut::N,кров,veri
47,Ader::N,вена,suoni
48,Sehne::N,сухожилля,jänne
49,Knochen::N,кістка,luu
50,Gehirn::N,мозок,aivot
51,Herz::N,серце,sydän
52,Magen::N,шлунок,maha
53,Magen::N,шлунок,vatsa
54,Leber::N,печінка,maksa
55,Atem::N,дихання,henki
56,Atem::N,дихання,hengitys
57,Hunger::N,голод,nälkä
58,Träne::N,сльоза,kyynel
59,Geschmack::N,смак,maku
60,Geruch::N,запах,haju
61,Schlaf::N,сон,uni
62,Schlaf::N,сплячка,uni
63,Traum::N,сон,uni
64,Himmel::N,небо,taivas
65,Sonne::N,сонце,aurinko
66,Mond::N,місяць,kuu
67,Stern::N,зірка,tähti
68,Luft::N,повітря,ilma
69,Wind::N,вітер,tuuli
70,Welle::N,хвиля,aalto
71,Wasser::N,вода,vesi
72,Stein::N,камінь,kivi
73,Boden::N,ґрунт,maa
74,Boden::N,ґрунт,maaperä
75,Erde::N,земля,maa
76,Staub::N,пил,pöly
77,Rauch::N,дим,savu
