,Concept_ID,lez,et
140,Feder::N,цӏакул,sulg
141,Fell::N,хам,karvkate
142,Fell::N,хам,karusnahk
143,Flügel::N,лув,tiib
144,Flügel::N,лув,tiivik
145,Klaue::N,къармах,küüs
146,Kralle::N,пац,küünis
147,Kralle::N,тапас,küünis
148,Schwanz::N,ттум,saba
149,Ei::N,кака,muna
150,Nest::N,муг,pesa
151,Bau::N,тӏеквен,urg
152,Tier::N,гьайван,loom
153,Herde::N,суьруь,kari
154,Kuh::N,ккал,lehm
155,Bulle::N,яц,pull
156,Bulle::N,бугъа,pull
157,Pferd::N,балкӏан,hobune
158,Schaf::N,хеб,lammas
159,Schwein::N,вак,siga
160,Hund::N,кицӏ,koer
161,Katze::N,кац,kass
162,Bär::N,сев,karu
163,Eichhörnchen::N,белка,orav
164,Elch::N,лось,põder
165,Fuchs::N,сикӏ,rebane
166,Hase::N,къуьр,jänes
167,Maus::N,кьиф,hiir
168,Wolf::N,жанавур,hunt
169,Vogel::N,луван ничхир,lind
170,Schwarm::N,луж,parv
171,Huhn::N,верч,kana
172,Hahn::N,кӏек,kukk
173,Gans::N,къаз,hani
174,Adler::N,лекь,kotkas
175,Ente::N,пӏатӏ,part
176,Eule::N,тӏиб,kakk
177,Eule::N,тӏиб,öökull
178,Kranich::N,дурна,kurg
179,Krähe::N,къаргъа,vares
180,Kuckuck::N,кукупӏ,kägu
181,Schwan::N,къугь,luik
182,Fisch::N,гъед,kala
183,Barsch::N,окунь,ahven
184,Hecht::N,щука,haug
185,Schlange[Tier]::N,илан,uss
186,Schlange[Tier]::N,гъуьлягъ,uss
187,Wurm::N,квак,uss
188,Wurm::N,квак,vagel
189,Spinne::N,хуьшрекан,ämblik
190,Ameise::N,цегв,sipelgas
191,Laus::N,нет,täi
192,Mücke::N,ветӏ,sääsk
193,Fliege::N,тӏветӏ,kärbes
194,Schmetterling::N,чепелукь,liblikas
195,Beere::N,куьлуь емиш,mari
196,Apfel::N,ич,õun
197,Pilz::N,къарникъуз,seen
198,Zwiebel::N,чичӏек,sibul
199,Saat::N,тумар,seeme
200,Korn::N,твар,iva
201,Korn::N,твар,tera
202,Heu::N,векь,hein
203,Heu::N,векьер,hein
204,Schale::N,пириш,koor
205,Schale::N,хъуьруьш,koor
206,Grube::N,фур,kaevand
207,Falle::N,ракьар,lõks
208,Falle::N,ракьар,püünis
209,Schlinge::N,гьалкъа,aas
210,Spur::N,гел,jälg
211,Asche::N,руьхъ,tuhk
212,Dreck::N,чирк,saast
213,Dreck::N,чирк,mustus
214,Dreck::N,кьуруш,saast
215,Dreck::N,кьуруш,mustus
216,Eisen::N,ракь,raud
217,Gold::N,алтун,kuld
218,Silber::N,гимиш,hõbe
219,Kohle::N,цӏивин,süsi
220,Glas::N,шуьше,klaas
221,Lehm::N,ччеб,savi
222,Sand::N,къум,liiv
223,Mensch::N,инсан,inimene
224,Mann::N,итим,mees
225,Frau::N,паб,naine
226,Frau::N,дишегьли,naine
227,Kind::N,аял,laps
228,Junge::N,гада,poiss
229,Mädchen::N,руш,tüdruk
230,Familie::N,хзан,perekond
231,Familie::N,килфет,perekond
232,Großvater::N,чӏехи буба,vanaisa
233,Großmutter::N,чӏехи диде,vanaema
234,Eltern::N,диде-буба,vanemad
235,Vater::N,буба,isa
236,Mutter::N,диде,ema
237,Sohn::N,хва,poeg
238,Tochter::N,руш,tütar
239,Bruder::N,стха,vend
240,Schwester::N,вах,õde
241,Onkel::N,ими,onu
242,Onkel::N,халу,onu
243,Tante::N,эме,tädi
244,Tante::N,хала,tädi
245,Ehemann::N,гъуьл,mees
246,Ehemann::N,гъуьл,abikaasa
247,Ehefrau::N,паб,naine
248,Ehefrau::N,паб,abikaasa
249,Freude::N,шадвал,rõõm
250,Gelächter::N,хъвер,naer
251,Glück::N,бахт,õnn
252,Kummer::N,дерт,mure
253,Kummer::N,дерт,kurbus
254,Kummer::N,хажалат,mure
255,Kummer::N,хажалат,kurbus
256,Wunsch::N,мурад,soov
257,Lust::N,гьевес,himu
258,Geist::N,руьгь,vaim
259,Gedanke::N,фикир,mõte
260,Verstand::N,акьул,aru
261,Verstand::N,акьул,mõistus
262,Sinn::N,мана,tähendus
263,Grund::N,себеб,põhjus
264,Wahrheit::N,керчек,tõde
265,Wahrheit::N,гьакъикъат,tõde
266,Gespräch::N,ихтилат,kõne
267,Gespräch::N,ихтилат,vestlus
268,Märchen::N,мах,muinasjutt
269,Erzählung::N,кьиса,jutustus
270,Nachricht::N,хабар,teade
271,Neuigkeit::N,цӏийи хабар,uudis
272,Name::N,тӏвар,nimi
273,Rätsel::N,мискӏал,mõistatus
274,Rede::N,рахун,kõne
275,Sprache::N,чӏал,keel
276,Stimme::N,ван,hääl
277,Wort::N,гаф,sõna
278,Zeichen::N,ишара,märk
279,Ruf::N,эвер,hüüe
280,Lärm::N,ван-сес,müra
281,Laut::N,ван,hääl
282,Laut::N,сес,hääl
283,Ton::N,ван-сес,toon
284,Lied::N,мани,laul
285,Ruhe::N,ласвал,rahu
286,Ruhe::N,ласвал,vaikus
287,Ruhe::N,фаракъат,rahu
288,Ruhe::N,фаракъат,vaikus
289,Ruhe::N,асайиш,rahu
290,Ruhe::N,асайиш,vaikus
291,Leute::N,инсанар,inimesed
292,Volk::N,халкь,rahvas
293,Arbeit::N,кӏвалах,töö
294,Gast::N,мугьман,külaline
295,Geschenk::N,савкьат,kingitus
296,Spiel::N,къугъун,mäng
297,Gesellschaft::N,жемят,selts
298,Gesellschaft::N,общество,selts
299,Hilfe::N,куьмек,abi
300,Freund::N,дуст,sõber
301,Kamerad::N,яр-дуст,sõber
302,Angelegenheit::N,кар,asi
303,Anzahl::N,сан,arv
304,Anzahl::N,сан,hulk
305,Anzahl::N,кьадар,arv
306,Anzahl::N,кьадар,hulk
307,Art::N,жуьре,liik
308,Stück::N,кӏус,tükk
309,Teil::N,пай,osa
310,Hälfte::N,зур,pool
311,Hälfte::N,зур пай,pool
312,Kreis::N,круг,ring
313,Kreis::N,чкаяр,ring
314,Kreis::N,элкъвей цӏар,ring
315,Kreuz::N,хаш,rist
316,Linie::N,цӏар,joon
317,Strich::N,цӏар,joon
318,Abstand::N,ара,vahe
319,Entfernung::N,мензил,kaugus
320,Entfernung::N,мензил,vahemaa
321,Gegend::N,чка,ümbrus
322,Platz::N,ара,ruum
323,Ort::N,чка,paik
324,Seite::N,пад,pool
325,Mitte::N,юкь,keskpaik
326,Gegenstand::N,затӏ,ese
327,Sache::N,шей,ese
328,Sache::N,затӏ,ese
329,Rand::N,къерех,äär
330,Rand::N,къерех,serv
331,Kante::N,син,kant
332,Ecke::N,пӏипӏ,nurk
333,Spitze::N,кӏвенкӏв,teravik
334,Ende::N,кьил,ots
335,Ende::N,кьил,jupp
336,Loch::N,тӏеквен,auk
337,Winkel::N,пӏипӏ,nurk
338,Muster::N,гишир,muster
339,Größe::N,кьадар,suurus
340,Länge::N,яргъивал,pikkus
341,Höhe::N,кьакьанвал,kõrgus
342,Gewicht::N,заланвал,kaal
343,Gewicht::N,заланвал,raskus
344,Menge::N,кьадар,arv
345,Menge::N,кьадар,hulk
346,Haufen::N,хара,hunnik
347,Reihe::N,жерге,rivi
348,Boot::N,луьткве,paat
349,Ruder::N,кьусу,aer
350,Schlitten::N,гъелерар,saan
351,Lagerfeuer::N,цӏай,lõke
352,Last::N,заланвал,koorem
353,Gang::N,ериш,käik
354,Schritt::N,къадам,samm
355,Norden::N,кефер,põhi
356,Norden::N,кефер пад,põhi
357,Süden::N,кьибле,lõuna
358,Westen::N,рагъакӏидай пад,lääs
359,Osten::N,рагъэкъечӏдай пад,ida
360,Holz::N,кӏарас,puu
361,Brett::N,кьул,saelaud
362,Brett::N,тахта,saelaud
363,Stütze::N,даях,tugi
364,Stange::N,юрк,latt
365,Stange::N,юрк,teivas
366,Stock::N,лаш,kepp
367,Stab::N,юрк,varras
368,Rohr::N,турба,toru
369,Haus::N,ужагъ,maja
370,Heim::N,кӏвал,kodu
371,Ofen::N,пич,ahi
372,Fußboden::N,кӏвалин ччил,põrand
373,Tisch::N,стол,laud
374,Stuhl::N,стул,tool
375,Wiege::N,кьеб,häll
376,Wiege::N,кьеб,kätki
377,Bett::N,тахт,voodi
378,Regal::N,кьацӏ,riiul
379,Kiste::N,ящик,kast
380,Fenster::N,дакӏар,aken
381,Tür::N,рак,uks
382,Tor::N,варар,värav
383,Zaun::N,пару,aed
384,Zaun::N,пару,tara
385,Dach::N,къав,katus
386,Leiter::N,гурар,redel
387,Besen::N,таран кул,luud
388,Spaten::N,ппер,labidas
389,Schaufel::N,хекендаз,kühvel
390,Gabel::N,шиш,kahvel
391,Löffel::N,тӏур,lusikas
392,Messer::N,чукӏул,nuga
393,Nagel::N,мих,nael
394,Netz::N,чил,võrk
395,Haken::N,къармах,haak
396,Haken::N,къармах,konks
397,Griff::N,ттум,sang
398,Griff::N,ттум,käepide
399,Schloss::N,куьлег,lukk
400,Bild::N,шикил,pilt
401,Bild::N,суьрет,pilt
402,Figur::N,фигура,kuju
403,Figur::N,фигура,kujund
404,Puppe::N,нини,nukk
405,Beutel::N,тагъар,paun
406,Bündel::N,галгам,kimp
407,Tasche::N,чанта,kott
408,Eimer::N,ведре,pang
409,Eimer::N,ведре,ämber
410,Deckel::N,кьил,kaas
411,Deckel::N,къалпагъ,kaas
412,Geschirr::N,къаб-къажах,nõud
413,Sack::N,чувал,kott
414,Tasse::N,сукӏра,tass
415,Topf::N,къажгъан,pada
416,Kessel::N,къажгъан,pada
417,Essen::N,тӏуьн,söök
418,Nahrung::N,тӏуьн,toit
419,Speise::N,хуьрек,roog
420,Fleisch::N,як,liha
421,Getreide::N,техил,teravili
422,Brei::N,хапӏа,puder
423,Brei::N,хешил,puder
424,Brot::N,фу,sai
425,Brot::N,фу,leib
426,Scheibe::N,чӏук,viil
427,Scheibe::N,чӏук,viilukas
428,Fett::N,ягълу,rasv
429,Butter::N,гъери,või
430,Öl::N,ягълу,õli
431,Salz::N,кьел,sool
432,Suppe::N,суп,supp
433,Suppe::N,шурпа,supp
434,Honig::N,вирт,mesi
435,Milch::N,нек,piim
436,Tee::N,чай,tee
437,Leder::N,тумаж,nahk
438,Wolle::N,йис,vill
439,Stoff::N,парча,kangas
440,Nadel::N,раб,nõel
441,Faden::N,гъал,niit
442,Knopf::N,дуьгме,nööp
443,Knoten::N,тӏвал,sõlm
444,Farbe::N,ранг,värv
445,Kleidung::N,партал,riided
446,Kleidung::N,партал,riietus
447,Hemd::N,перем,särk
448,Kragen::N,хев,krae
449,Ärmel::N,хел,varrukas
450,Hose::N,шалвар,püksid
451,Gürtel::N,чӏул,vöö
452,Mütze::N,бармак,müts
453,Mütze::N,бапӏах,müts
454,Schuh::N,ботинка,king
455,Stiefel::N,чекме,saabas
456,Ring::N,тупӏал,sõrmus
457,Band::N,тасма,lint
458,Kamm::N,регъ,kamm
459,Spiegel::N,гуьзгуь,peegel
460,Riemen::N,къайиш,rihm
461,Schnur::N,еб,nöör
462,Decke::N,яргъан,tekk
463,Kissen::N,хъуьцуьган,padi
464,Tuch::N,шал,kalev
465,Handtuch::N,дасмал,käterätik
466,Kraft::N,гуж,jõud
467,Stärke::N,къуват,tugevus
468,Gesundheit::N,сагъвал,tervis
469,Krankheit::N,тӏал,haigus
470,Schmerz::N,тӏал,valu
471,Schmerz::N,тӏарвал,valu
472,Wunde::N,хер,haav
473,Fieber::N,ифин,palavik
474,Arznei::N,дарман,ravim
475,Brücke::N,муьгъ,sild
476,Brunnen::N,къуй,kaev
477,Weide::N,уьруьш,karjamaa
478,Pfad::N,рехъ,rada
479,Weg::N,рехъ,tee
480,Straße::N,рехъ,tee
481,Dorf::N,хуьр,küla
482,Stadt::N,шегьер,linn
483,Brief::N,кагъаз,kiri
484,Buch::N,улуб,raamat
485,Buchstabe::N,гьарф,täht
486,Zeitung::N,газета,ajaleht
487,Leben::N,уьмуьр,elu
488,Tod::N,кьиникь,surm
489,Grab::N,сур,haud
490,Kirche::N,килиса,kirik
491,Sünde::N,гунагь,patt
492,Gott::N,аллагь,jumal
493,Arbeiter::N,фяле,tööline
494,Chef::N,гьаким,ülemus
495,Chef::N,гьаким,juhataja
496,Meister::N,устӏар,meister
497,Arzt::N,доктор,arst
498,Lehrer::N,муаллим,õpetaja
499,Geld::N,пул,raha
500,Laden::N,магазин,pood
501,Laden::N,магазин,kauplus
502,Preis::N,къимет,hind
503,Ware::N,мал,kaup
504,Ware::N,товар,kaup
505,Nutzen::N,хийир,tulu
506,Nutzen::N,хийир,kasulikkus
507,Nutzen::N,менфят,tulu
508,Nutzen::N,менфят,kasulikkus
509,Reichtum::N,девлет,rikkus
510,Welt::N,дуьнья,maailm
511,Land::N,уьлкве,maa
512,Staat::N,пачагьлугъ,riik
513,Staat::N,государство,riik
514,König::N,пачагь,kuningas
515,Macht::N,власть,võim
516,Grenze::N,сергьят,piir
517,Krieg::N,дяве,sõda
518,Feind::N,душман,vaenlane
519,Gewalt::N,гуж,väevõim
520,Kampf::N,женг,võitlus
521,Bogen[Waffe]::N,чӏемерук,vibu
522,Pfeil::N,хьел,nool
523,Gewehr::N,тфенг,püss
524,Fehler::N,гъалатӏ,viga
525,Lüge::N,ттаб,vale
526,Schaden::N,зиян,kahju
527,Schaden::N,зарар,kahju
528,Unglück::N,бала,häda
529,Unglück::N,бала,õnnetus
530,Unglück::N,бедбахтвал,häda
531,Unglück::N,бедбахтвал,õnnetus
532,Schuld::N,тахсир,süü
533,Alter::N,яш,iga
534,Schluss::N,эхир,lõpp
535,Zeit::N,вяде,aeg
536,Tag::N,югъ,päev
537,Morgen::N,пакама,hommik
538,Mittag::N,нисин,lõuna
539,Mittag::N,нисин,keskpäev
540,Abend::N,няни,õhtu
541,Nacht::N,йиф,öö
542,Woche::N,гьафте,nädal
543,Monat::N,варз,kuu
544,Jahr::N,йис,aasta
545,Frühling::N,гатфар,kevad
546,Sommer::N,гад,suvi
547,Herbst::N,зул,sügis
548,Winter::N,кьуьд,talv
549,Januar::N,январь,jaanuar
550,Februar::N,февраль,veebruar
551,März::N,март,märts
552,April::N,апрель,aprill
553,Mai::N,май,mai
554,Juni::N,июнь,juuni
555,Juli::N,июль,juuli
556,August::N,август,august
557,September::N,сентябрь,september
558,Oktober::N,октябрь,oktoober
559,November::N,ноябрь,november
560,Dezember::N,декабрь,detsember
561,Montag::N,ислен,esmaspäev
562,Dienstag::N,саласа,teisipäev
563,Mittwoch::N,арбе,kesknädal
564,Donnerstag::N,хемис югъ,neljapäev
565,Freitag::N,жуьмя,reede
566,Freitag::N,жуьмя югъ,reede
567,Samstag::N,киш,laupäev
568,Sonntag::N,гьяд,pühapäev
569,groß::A,еке,suur
570,groß::A,чӏехи,suur
571,klein::A,гъвечӏи,väike
572,klein::A,гъвечӏи,pisike
573,lang::A,яргъи,pikk
574,kurz::A,куьруь,lühike
575,breit::A,гьяркьуь,lai
576,schmal::A,гуьтӏуь,kitsas
577,dicht::A,къалин,tihe
578,dünn::A,кьелечӏ,õhuke
579,dünn::A,кьелечӏ,peenike
580,fein::A,шуькӏуь,peen
581,fein::A,шуькӏуь,õhuke
582,fest::A,кӏеви,püsiv
583,fest::A,кӏеви,kindel
584,flach::A,кьулу,lame
585,flach::A,кьулу,tasane
586,glatt::A,цӏалцӏам,sile
587,hart::A,кӏеви,kõva
588,weich::A,хъуьтуьл,pehme
589,rund::A,элкъвей,ümar
590,spitz::A,хци,torkav
591,scharf::A,хци,terav
592,stumpf::A,къуьруь,nüri
593,schwer::A,залан,raske
594,schön::A,иер,kena
595,heiß::A,кудай,kuum
596,heiß::A,кудай,palav
597,warm::A,чими,soe
598,kalt::A,мекьи,külm
599,kühl::A,къайи,jahe
600,frisch::A,таза,värske
601,frisch::A,михьи,värske
602,feucht::A,ламу,niiske
603,nass::A,кьежей,märg
604,trocken::A,кьуру,kuiv
605,voll::A,ацӏай,täis
