,Concept_ID,ps,tr
0,Auge::N,سترګه,göz
1,Ohr::N,غوږ,kulak
2,Nase::N,پوزه,burun
3,Mund::N,خوله,ağız
4,Zahn::N,غاښ,diş
5,Zunge::N,جبه,dil
6,Lippe::N,شونډه,dudak
7,Wange::N,باړخو,yanak
8,Gesicht::N,مخ,yüz
9,Stirn::N,تندی,alın
10,Stirn::N,وچولی,alın
11,Haar::N,وېښته,saç
12,Schnurrbart::N,برېت,bıyık
13,Bart::N,ږیره,sakal
14,Kinn::N,زنه,çene
15,Kiefer[Anatomie]::N,جامه,çene
16,Kehle::N,غاړه,boğaz
17,Hals::N,غاړه,boyun
18,Hals::N,غاړه,gerdan
19,Genick::N,ورمېږ,ense
20,Kopf::N,سر,baş
21,Kopf::N,سر,kafa
22,Rücken::N,شا,arka
23,Bauch::N,نس,karın
24,Bauch::N,ګېډه,karın
25,Nabel::N,نوم,göbek
26,Busen::N,تی,koyun
27,Brust::N,سینه,göğüs
28,Schulter::N,اوږه,omuz
29,Arm::N,لاس,kol
30,Ellenbogen::N,څنګل,dirsek
31,Hand::N,لاس,el
32,Handfläche::N,ورغوی,avuç
33,Handfläche::N,ورغوی,el ayası
34,Finger::N,ګوته,parmak
35,Fingernagel::N,نوک,el tırnağı
36,Nagel[Anatomie]::N,نوک,tırnak
37,Zeh::N,ګوته,ayak parmağı
38,Fuß::N,پښه,ayak
39,Ferse::N,پونده,topuk
40,Knie::N,زنګون,diz
41,Oberschenkel::N,پتون,uyluk
42,Bein::N,پښه,bacak
43,Körper::N,ځان,vücut
44,Haut::N,پوټکی,cilt
45,Blut::N,وینه,kan
46,Ader::N,رګ,damar
47,Sehne::N,پله,kiriş
48,Knochen::N,هډوکی,kemik
49,Gehirn::N,ماغزه,beyin
50,Herz::N,زړه,kalp
51,Herz::N,زړه,yürek
52,Magen::N,معده,mide
53,Leber::N,ينه,karaciğer
54,Leber::N,ځیګر,karaciğer
55,Atem::N,نفس,nefes
56,Hunger::N,ولږه,açlık
57,Träne::N,اوښکه,gözyaşı
58,Geschmack::N,مزه,tat
59,Geschmack::N,مزه,lezzet
60,Geschmack::N,خوند,tat
61,Geschmack::N,خوند,lezzet
62,Geruch::N,بوی,koku
63,Schlaf::N,خوب,uyku
64,Traum::N,خوب,düş
65,Traum::N,خوب,rüya
66,Himmel::N,اسمان,gök
67,Sonne::N,لمر,güneş
68,Mond::N,سپوږمۍ,ay
69,Stern::N,ستوری,yıldız
70,Luft::N,هوا,hava
71,Wind::N,ورښ,yel
72,Wind::N,ورښ,rüzgâr
73,Welle::N,موج,dalga
74,Wasser::N,اوبه,su
75,Stein::N,ډبره,taş
76,Boden::N,مځکه,yer
77,Boden::N,مځکه,zemin
78,Erde::N,خاوره,toprak
79,Staub::N,ګرد,toz
80,Staub::N,خاوره,toz
81,Rauch::N,دود,duman
82,Rauch::N,لوګی,duman
83,Funke::N,سپرغۍ,kıvılcım
84,Feuer::N,اور,ateş
85,Licht::N,رڼا,ışık
86,Schatten::N,سیوری,gölge
87,Wetter::N,هوا,hava
88,Nebel::N,لړه,pus
89,Wolke::N,ورېځ,bulut
90,Regen::N,وریا,yağmur
91,Regen::N,باران,yağmur
92,Schnee::N,واوره,kar
93,Eis::N,یخ,buz
94,Eis::N,کنګل,buz
95,Frost::N,یخ,don
96,Kälte::N,ساړه,soğukluk
97,Hitze::N,تودوخي,sıcaklık
98,Raureif::N,سپینه پرخه,kırç
99,Regenbogen::N,بوډۍ ټال,gökkuşağı
100,Regenbogen::N,سره زرغونه,gökkuşağı
101,Donner::N,تالنده,gök gürlemesi
102,Strömung::N,بهېدنه,akıntı
103,Strömung::N,بهېدنه,cereyan
104,Tropfen::N,قطره,damla
105,Tropfen::N,څاڅکی,damla
106,Schaum::N,ځګ,köpük
107,Schmutz::N,ناپاکي,çamur
108,Schmutz::N,ناپاکي,pislik
109,See::N,جهیل,göl
110,Sumpf::N,جبه,batak
111,Moor::N,جبه,cılgıt
112,Wiese::N,چمن,çimen
113,Wiese::N,شنېلی,çimen
114,Wald::N,ځنګل,koru
115,Wald::N,ځنګل,orman
116,Hügel::N,تپه,tepe
117,Anhöhe::N,غونډۍ,tümsek
118,Anhöhe::N,غونډۍ,yükseklik
119,Berg::N,غ‍‍‍‍‍ر,dağ
120,Gipfel::N,څوکه,zirve
121,Höhle::N,کاز,in
122,Höhle::N,کاز,mağara
123,Abhang::N,لمن,bayır
