,Concept_ID,en,te
0,Auge::N,eye,కన్ను
1,Ohr::N,ear,చెవి
2,Nase::N,nose,ముక్కు
3,Mund::N,mouth,నోరు
4,Zahn::N,tooth,పల్లు
5,Zunge::N,tongue,నాలుక
6,Lippe::N,lip,పెదవి
7,Wange::N,cheek,చెంప
8,Gesicht::N,face,ముఖము
9,Stirn::N,forehead,నుదురు
10,Haar::N,hair,వెండ్రుక
11,Schnurrbart::N,moustache,మీసము
12,Bart::N,beard,గడ్డము
13,Kinn::N,chin,గడ్డము
14,Kiefer[Anatomie]::N,jaw,దౌడ
15,Kehle::N,throat,గొంతు
16,Hals::N,neck,మెడ
17,Genick::N,nape,మూపు
18,Kopf::N,head,తల
19,Rücken::N,back,వెన్ను
20,Rücken::N,spine,వెన్ను
21,Bauch::N,belly,కడుపు
22,Nabel::N,navel,బొడ్డు
23,Busen::N,bosom,స్తనము
24,Brust::N,chest,ఱొమ్ము
25,Brust::N,breast,ఱొమ్ము
26,Schulter::N,shoulder,భుజము
27,Arm::N,arm,చేయి
28,Ellenbogen::N,elbow,మోచేయి
29,Hand::N,hand,చేయి
30,Handfläche::N,palm,అరచేయు
31,Finger::N,finger,చేతిప్రేలు
32,Fingernagel::N,fingernail,గోరు
33,Nagel[Anatomie]::N,nail,గోరు
34,Zeh::N,toe,కాలిప్రేలు
35,Fuß::N,foot,అడుగు
36,Ferse::N,heel,మడమ
37,Knie::N,knee,మోకాలు
38,Oberschenkel::N,thigh,తొడ
39,Bein::N,leg,కాలు
40,Körper::N,body,కాయము
41,Haut::N,skin,చర్మము
42,Blut::N,blood,రక్తము
43,Ader::N,vein,సిర
44,Sehne::N,sinew,స్నాయువు
45,Knochen::N,bone,ఎముక
46,Gehirn::N,brain,మెదడు
47,Herz::N,heart,హృదయము
48,Magen::N,stomach,కడుపు
49,Leber::N,liver,కాలేయము
50,Atem::N,breath,ఉపిరి
51,Hunger::N,hunger,ఆకలి
52,Träne::N,tear,కన్నీటిచుక్క
53,Geschmack::N,flavour,రుచి
54,Geschmack::N,flavor,రుచి
55,Geruch::N,odour,వాసన
56,Geruch::N,odor,వాసన
57,Schlaf::N,sleep,నిద్ర
58,Traum::N,dream,కల
59,Himmel::N,sky,ఆకాశము
60,Sonne::N,sun,సూర్యుడు
61,Mond::N,moon,చంద్రుడు
62,Stern::N,star,నక్షత్రము
63,Luft::N,air,గాలి
64,Wind::N,wind,వీచుచున్నగాలి
65,Welle::N,wave,అల
66,Wasser::N,water,నీరు
67,Stein::N,stone,ఱాయి
68,Boden::N,soil,నేల
69,Boden::N,ground,నేల
70,Erde::N,earth,మన్ను
71,Staub::N,dust,దుమ్ము
72,Rauch::N,smoke,పొగ
73,Funke::N,spark,అగ్నికణము
74,Feuer::N,fire,అగ్ని
75,Licht::N,light,కాంతి
76,Schatten::N,shadow,నీడ
77,Wetter::N,weather,వాతావరణ స్థితి
78,Nebel::N,fog,పొగమంచు
79,Wolke::N,cloud,మేఘము
80,Regen::N,rain,వాన
81,Schnee::N,snow,హిమము
82,Eis::N,ice,మంచుగడ్డ
83,Frost::N,frost,పేరిన మంచు
84,Kälte::N,chill,చలి
85,Hitze::N,heat,వేడిమి
86,Raureif::N,hoarfrost,మంచు
87,Regenbogen::N,rainbow,ఇంద్రధనుస్సు
88,Donner::N,thunder,ఉరుము
89,Strömung::N,current,ప్రవాహము
90,Tropfen::N,drop,చుక్క
91,Schaum::N,foam,నురుగు
92,Schmutz::N,dirt,మైల
93,See::N,lake,సరస్సు
94,Sumpf::N,swamp,చిత్తడినేల
95,Moor::N,moor,చిత్తడినేల
96,Wiese::N,meadow,పచ్చిక బయలు
97,Wald::N,forest,అడవి
98,Hügel::N,hill,చివ్నకొండ
99,Anhöhe::N,elevation,కొండ
100,Berg::N,mountain,పర్వతము
101,Gipfel::N,summit,శిఖరము
102,Höhle::N,cave,గుహ
103,Abhang::N,slope,ఏటవాలు
104,Quelle::N,source,మూలము
105,Bach::N,brook,కాలువ
