,Concept_ID,kk,he
0,Auge::N,көз,עין
1,Ohr::N,құлақ,אזן
2,Nase::N,мұрын,אף
3,Nase::N,мұрын,חטם
4,Mund::N,ауыз,פה
5,Zahn::N,тіс,שן
6,Zunge::N,тіл,לשון
7,Lippe::N,ерін,שפה
8,Wange::N,ұрт,לחי
9,Gesicht::N,бет-аузы,פנים
10,Stirn::N,маңдай,מצח
11,Haar::N,қыл,שערה
12,Schnurrbart::N,мұрт,שפם
13,Bart::N,сақал,זקן
14,Kinn::N,иек,סנטר
15,Kiefer[Anatomie]::N,жақ,לסת
16,Kehle::N,алқым,גרון
17,Hals::N,мойын,צואר
18,Genick::N,желке,ערף
19,Kopf::N,кәллә,ראש
20,Rücken::N,арқа,גב
21,Bauch::N,қарын,בטן
22,Nabel::N,кіндік,טבור
23,Busen::N,омырау,שד
24,Brust::N,кеуде,חזה
25,Schulter::N,иық,כתף
26,Arm::N,қол,זרוע
27,Ellenbogen::N,шынтақ,מרפק
28,Hand::N,қол,יד
29,Handfläche::N,алақан,כף יד
30,Finger::N,саусақ,אצבע
31,Fingernagel::N,тырнақ,צפרן
32,Nagel[Anatomie]::N,тырнақ,צפרן
33,Zeh::N,тырнақ,אצבע
34,Zeh::N,тұяқ,אצבע
35,Fuß::N,аяқ-басы,רגל
36,Ferse::N,өкше,עקב
37,Ferse::N,өкшелік,עקב
38,Knie::N,тізе,ברך
39,Oberschenkel::N,жамбас,ירך
40,Bein::N,аяқ,רגל
41,Körper::N,дене,גוף
42,Haut::N,тері,עור
43,Blut::N,қан,דם
44,Ader::N,көктамыр,וריד
45,Ader::N,күретамыр,וריד
46,Sehne::N,сіңір,גיד
47,Knochen::N,жілік,עצם
48,Gehirn::N,ми,מוח
49,Herz::N,жүрек,לב
50,Magen::N,асқазан,קבה
51,Leber::N,бауыр,כבד
52,Atem::N,леп,נשימה
53,Hunger::N,ашаршылық,רעב
54,Träne::N,жас,דמעה
55,Geschmack::N,дәм,טעם
56,Geschmack::N,татым,טעם
57,Geschmack::N,талғам,טעם
58,Geruch::N,иіс,ריח
59,Schlaf::N,ұйқы,שנה
60,Schlaf::N,ұйықтау,שנה
61,Traum::N,түс,חלום
62,Himmel::N,аспан,שמים
63,Himmel::N,көқ,שמים
64,Himmel::N,таңдай,שמים
65,Sonne::N,күн,שמש
66,Mond::N,ай,ירח
67,Stern::N,жұлдыз,כוכב
68,Luft::N,әуе,אויר
69,Wind::N,жел,רוח
70,Welle::N,толқын,גל
71,Wasser::N,су,מים
72,Stein::N,тас,אבן
73,Boden::N,қыртыс,קרקע
74,Erde::N,топырақ,אדמה
75,Staub::N,шаң,אבק
76,Rauch::N,түтін,עשן
77,Funke::N,ұшқын,ניצוץ
78,Feuer::N,алау,אש
79,Licht::N,шұғыла,אור
80,Schatten::N,көлеңке,צל
81,Wetter::N,ауа райы,מזג אויר
82,Nebel::N,тұман,ערפל
83,Wolke::N,бұлт,ענן
84,Regen::N,жаңбыр,גשם
85,Schnee::N,қар,שלג
86,Eis::N,мұз,קרח
87,Frost::N,суық,צנה
88,Kälte::N,ызғар,קר
89,Kälte::N,суықтық,קר
90,Hitze::N,аптап,חם
91,Raureif::N,қырау,כפור
92,Regenbogen::N,кемпірқосақ,קשת
93,Donner::N,күн күркіреу,רעם
94,Strömung::N,ағын,זרימה
95,Tropfen::N,тамшы,טפה
96,Schaum::N,көбік,קצף
97,Schmutz::N,кір,לכלוך
98,See::N,көл,אגם
99,Sumpf::N,саз,בצה
100,Moor::N,саз,בצה
101,Wiese::N,шалғын,מרעה
102,Wald::N,орман,יער
103,Hügel::N,төбе,תל
104,Hügel::N,белес,תל
105,Hügel::N,белес-белес,תל
106,Anhöhe::N,дөң,מעלה
107,Anhöhe::N,адыр,מעלה
108,Anhöhe::N,қырат,מעלה
109,Berg::N,тау,הר
110,Gipfel::N,төбе,פסגה
111,Höhle::N,үңгір,מערה
112,Abhang::N,бауыр,מדרון
113,Abhang::N,бауыр,שפוע
114,Quelle::N,қайнар,מעין
115,Bach::N,жылға,נחל
116,Fluss::N,өзен,נהר
117,Ufer::N,жиек,גדה
118,Küste::N,жиегі,חוף
119,Küste::N,жағалау,חוף
120,Festland::N,құрылық,יבשה
121,Meer::N,теңіз,ים
122,Bucht::N,шығанақ,מפרץ
123,Insel::N,арал,אי
124,Blume::N,гүл,פרח
125,Gras::N,от,דשא
126,Wurzel::N,түбір,שרש
127,Baum::N,ағаш,עץ
128,Baum::N,дарақ,עץ
129,Stamm::N,сояу,גזע
130,Stamm::N,оқпан,גזע
131,Rinde::N,қабық,קלפת עץ
132,Ast::N,бұтақ,ענף
133,Zweig::N,шыбық,ענף
134,Blatt::N,жапырақ,עלה
135,Birke::N,қайың,שדר
136,Kiefer[Baum]::N,қарағай,ארן
137,Weide[Baum]::N,тал,ערבה
138,Tanne::N,шырша,אשוח
139,Horn::N,мүйіз,קרן
140,Feder::N,қаламұш,נוצה
141,Fell::N,тері,פרוה
142,Flügel::N,қанат,כנף
143,Klaue::N,тырнақ,טלף
144,Kralle::N,аяқ,טפר
145,Schwanz::N,құйрық,זנב
146,Ei::N,жұмыртқа,ביצה
147,Nest::N,ұя,קן
148,Bau::N,жатақ,מחלה
149,Tier::N,айуан,חיה
150,Tier::N,жануар,חיה
151,Herde::N,пада,עדר
152,Kuh::N,сиыр,פרה
153,Bulle::N,өгіз,פר
154,Pferd::N,жылқы,סוס
155,Schaf::N,қой,כבשה
156,Schwein::N,шошқа,חזיר
157,Hund::N,ит,כלב
158,Katze::N,мысық,חתול
159,Bär::N,аю,דב
160,Eichhörnchen::N,тиін,סנאי
161,Elch::N,бұғы,דישון
162,Fuchs::N,түлкі,שועל
163,Hase::N,қоян,ארנב
164,Maus::N,қаптесер,עכבר
165,Wolf::N,бөрі,זאב
166,Wolf::N,қасқыр,זאב
167,Vogel::N,құс,צפור
168,Schwarm::N,топ,נחיל
169,Schwarm::N,топ,להקה
170,Schwarm::N,үйір,נחיל
171,Schwarm::N,үйір,להקה
172,Huhn::N,тауық,תרנגלת
173,Huhn::N,мекиен,תרנגלת
174,Hahn::N,әтеш,תרנגול
175,Hahn::N,қораз,תרנגול
176,Gans::N,қаз,אוז
177,Adler::N,бүркіт,עיט
178,Ente::N,үйрек,ברוז
179,Eule::N,жапалақ,ינשוף
180,Kranich::N,тырна,עגור
181,Kranich::N,тырна,כרוכיה
182,Krähe::N,қарға,עורב
183,Kuckuck::N,көкек,קוקיה
184,Schwan::N,аққу,ברבור
185,Fisch::N,балық,דג
186,Barsch::N,алабұға,אוקונוס
187,Hecht::N,шортан,זאב הים
188,Schlange[Tier]::N,жылан,נחש
189,Wurm::N,шұбалшаң,תולעת
190,Spinne::N,өрмекші,עכביש
191,Ameise::N,қүмырска,נמלה
192,Laus::N,бит,כנה
193,Mücke::N,маса,יתוש
194,Fliege::N,шыбын,זבוב
195,Schmetterling::N,көбелек,פרפר
196,Beere::N,жидек,ענבה
197,Apfel::N,алма,תפוח
198,Pilz::N,қозықұйрық,פטריה
199,Pilz::N,саңыраукулақ,פטריה
200,Zwiebel::N,жуа,בצל
201,Saat::N,тұқым,זרעים
202,Korn::N,дән,גרעין
203,Heu::N,шөп,חציר
204,Schale::N,қабық,קלפה
205,Schale::N,қабығы,קלפה
206,Grube::N,ор,בור
207,Grube::N,ор,שוחה
208,Falle::N,дұзақ,מלכדת
209,Falle::N,қақпан,מלכדת
210,Schlinge::N,ілмек,לולאה
211,Spur::N,із,עקבה
212,Asche::N,күл,אפר
213,Dreck::N,былғаныш,זהמה
214,Eisen::N,темір,ברזל
215,Gold::N,алтын,זהב
216,Silber::N,күміс,כסף
217,Kohle::N,көмір,פחם
218,Glas::N,шыны,זכוכית
219,Lehm::N,балшық,חרסית
220,Sand::N,құм,חול
221,Mensch::N,адам,אדם
222,Mann::N,еркек,איש
223,Mann::N,еркек,גבר
224,Mann::N,ер адам,איש
225,Mann::N,ер адам,גבר
226,Frau::N,бике,אשה
227,Frau::N,бике,גברת
