,Concept_ID,fr,fr
0,Auge::N,œil,œil
1,Ohr::N,oreille,oreille
2,Nase::N,nez,nez
3,Mund::N,bouche,bouche
4,Zahn::N,dent,dent
5,Zunge::N,langue,langue
6,Lippe::N,lèvre,lèvre
7,Wange::N,joue,joue
8,Gesicht::N,face,face
9,Gesicht::N,face,visage
10,Gesicht::N,visage,face
11,Gesicht::N,visage,visage
12,Stirn::N,front,front
13,Haar::N,cheveu,cheveu
14,Schnurrbart::N,moustache,moustache
15,Bart::N,barbe,barbe
16,Kinn::N,menton,menton
17,Kiefer[Anatomie]::N,mâchoire,mâchoire
18,Kehle::N,gorge,gorge
19,Hals::N,cou,cou
20,Genick::N,nuque,nuque
21,Kopf::N,tête,tête
22,Rücken::N,dos,dos
23,Bauch::N,ventre,ventre
24,Nabel::N,nombril,nombril
25,Busen::N,sein,sein
26,Brust::N,poitrine,poitrine
27,Schulter::N,épaule,épaule
28,Arm::N,bras,bras
29,Ellenbogen::N,coude,coude
30,Hand::N,main,main
31,Handfläche::N,paume,paume
32,Finger::N,doigt,doigt
33,Fingernagel::N,ongle,ongle
34,Nagel[Anatomie]::N,ongle,ongle
35,Zeh::N,orteil,orteil
36,Zeh::N,orteil,doigt de pied
37,Zeh::N,doigt de pied,orteil
38,Zeh::N,doigt de pied,doigt de pied
39,Fuß::N,pied,pied
40,Ferse::N,talon,talon
41,Knie::N,genou,genou
42,Oberschenkel::N,cuisse,cuisse
43,Bein::N,jambe,jambe
44,Körper::N,corps,corps
45,Haut::N,peau,peau
46,Blut::N,sang,sang
47,Ader::N,veine,veine
48,Sehne::N,tendon,tendon
49,Knochen::N,os,os
50,Gehirn::N,cerveau,cerveau
51,Herz::N,cœur,cœur
52,Magen::N,estomac,estomac
53,Leber::N,foie,foie
54,Atem::N,haleine,haleine
55,Hunger::N,faim,faim
56,Träne::N,larme,larme
57,Geschmack::N,goût,goût
58,Geschmack::N,goût,saveur
59,Geschmack::N,saveur,goût
60,Geschmack::N,saveur,saveur
61,Geruch::N,odeur,odeur
62,Schlaf::N,sommeil,sommeil
63,Traum::N,songe,songe
64,Himmel::N,ciel,ciel
65,Sonne::N,soleil,soleil
66,Mond::N,lune,lune
67,Stern::N,étoile,étoile
68,Luft::N,air,air
69,Wind::N,vent,vent
70,Welle::N,vague,vague
71,Wasser::N,eau,eau
72,Stein::N,pierre,pierre
73,Boden::N,sol,sol
74,Boden::N,sol,terrain
75,Boden::N,terrain,sol
76,Boden::N,terrain,terrain
77,Erde::N,terre,terre
78,Staub::N,poussière,poussière
79,Rauch::N,fumée,fumée
80,Funke::N,étincelle,étincelle
81,Feuer::N,feu,feu
82,Licht::N,lumière,lumière
83,Schatten::N,ombre,ombre
84,Wetter::N,temps,temps
85,Nebel::N,brume,brume
86,Nebel::N,brume,brouillard
87,Nebel::N,brouillard,brume
88,Nebel::N,brouillard,brouillard
89,Wolke::N,nuage,nuage
90,Regen::N,pluie,pluie
91,Schnee::N,neige,neige
92,Eis::N,glace,glace
93,Frost::N,gel,gel
94,Frost::N,gel,gelée
95,Frost::N,gelée,gel
