,Concept_ID,ka,kk
0,Auge::N,თვალი,көз
1,Ohr::N,ყური,құлақ
2,Nase::N,ცხვირი,мұрын
3,Mund::N,პირი,ауыз
4,Zahn::N,კბილი,тіс
5,Zunge::N,ენა,тіл
6,Lippe::N,ბაგე,ерін
7,Wange::N,ლოყა,ұрт
8,Gesicht::N,სახე,бет-аузы
9,Stirn::N,შუბლი,маңдай
10,Haar::N,თმა,қыл
11,Schnurrbart::N,ულვაში,мұрт
12,Bart::N,წვერი,сақал
13,Kinn::N,ნიკაპი,иек
14,Kiefer[Anatomie]::N,ყბა,жақ
15,Kehle::N,ყელი,алқым
16,Hals::N,ყელი,мойын
17,Hals::N,კისერი,мойын
18,Genick::N,კეფა,желке
19,Kopf::N,თავი,кәллә
20,Rücken::N,ზურგი,арқа
21,Bauch::N,მუცელი,қарын
22,Nabel::N,ჭიპი,кіндік
23,Busen::N,ძუძუ,омырау
24,Brust::N,მკერდი,кеуде
25,Schulter::N,მხარი,иық
26,Schulter::N,მკლავი,иық
27,Arm::N,ხელი,қол
28,Ellenbogen::N,იდაყვი,шынтақ
29,Hand::N,ხელი,қол
30,Handfläche::N,ნები,алақан
31,Handfläche::N,ხელისგული,алақан
32,Finger::N,თითი,саусақ
33,Fingernagel::N,ფრჩხილი,тырнақ
34,Nagel[Anatomie]::N,ფრჩხილი,тырнақ
35,Zeh::N,ფეხის თითი,тырнақ
36,Zeh::N,ფეხის თითი,тұяқ
37,Fuß::N,ტერფი,аяқ-басы
38,Fuß::N,ფეხისგული,аяқ-басы
39,Ferse::N,ქუსლი,өкше
40,Ferse::N,ქუსლი,өкшелік
41,Knie::N,მუხლი,тізе
42,Oberschenkel::N,ბარძაყი,жамбас
43,Bein::N,ფეხი,аяқ
44,Körper::N,ტანი,дене
45,Körper::N,სხეული,дене
46,Haut::N,კანი,тері
47,Blut::N,სისხლი,қан
48,Ader::N,ძარღვი,көктамыр
49,Ader::N,ძარღვი,күретамыр
50,Sehne::N,მყესი,сіңір
51,Knochen::N,ძვალი,жілік
52,Gehirn::N,ტვინი,ми
53,Herz::N,გული,жүрек
54,Magen::N,კუჭი,асқазан
55,Leber::N,ღვიძლი,бауыр
56,Atem::N,სუნთქვა,леп
57,Hunger::N,შიმშილი,ашаршылық
58,Träne::N,ცრემლი,жас
59,Geschmack::N,გემო,дәм
60,Geschmack::N,გემო,татым
61,Geschmack::N,გემო,талғам
62,Geruch::N,სუნი,иіс
63,Schlaf::N,ძილი,ұйқы
64,Schlaf::N,ძილი,ұйықтау
65,Traum::N,სიზმარი,түс
66,Himmel::N,ცა,аспан
67,Himmel::N,ცა,көқ
68,Himmel::N,ცა,таңдай
69,Sonne::N,მზე,күн
70,Mond::N,მთვარე,ай
71,Stern::N,ვარსკვლავი,жұлдыз
72,Luft::N,ჰაერი,әуе
73,Wind::N,ქარი,жел
74,Welle::N,ტალღა,толқын
75,Wasser::N,წყალი,су
76,Stein::N,ქვა,тас
77,Boden::N,მიწა,қыртыс
78,Erde::N,ნიადაგი,топырақ
79,Staub::N,მტვერი,шаң
80,Rauch::N,ბოლი,түтін
81,Rauch::N,კვამლი,түтін
82,Funke::N,ნაკვესი,ұшқын
83,Feuer::N,ცეცხლი,алау
84,Licht::N,შუქი,шұғыла
85,Licht::N,სინათლე,шұғыла
86,Schatten::N,ლანდი,көлеңке
87,Schatten::N,ჩრდილი,көлеңке
88,Wetter::N,ამინდი,ауа райы
89,Nebel::N,ნისლი,тұман
90,Wolke::N,ღრუბელი,бұлт
91,Regen::N,წვიმა,жаңбыр
92,Schnee::N,თოვლი,қар
93,Eis::N,თოში,мұз
94,Eis::N,ყინული,мұз
95,Frost::N,ყინვა,суық
96,Kälte::N,სიცივე,ызғар
97,Kälte::N,სიცივე,суықтық
98,Hitze::N,სიცხე,аптап
99,Raureif::N,ჭირხლი,қырау
100,Raureif::N,თრთვილი,қырау
101,Regenbogen::N,ცისარტყელა,кемпірқосақ
102,Donner::N,ქუხილი,күн күркіреу
103,Strömung::N,დინება,ағын
104,Tropfen::N,წვეთი,тамшы
105,Schaum::N,ქაფი,көбік
106,Schaum::N,დორბლი,көбік
107,Schmutz::N,ჭუჭყი,кір
108,Schmutz::N,ტალახი,кір
109,See::N,ტბა,көл
110,Sumpf::N,ჭაობი,саз
111,Moor::N,ტორფნარი,саз
112,Wiese::N,ველი,шалғын
113,Wiese::N,მდელო,шалғын
114,Wald::N,ტყე,орман
115,Hügel::N,ბორცვი,төбе
116,Hügel::N,ბორცვი,белес
117,Hügel::N,ბორცვი,белес-белес
118,Anhöhe::N,მაღლობი,дөң
119,Anhöhe::N,მაღლობი,адыр
120,Anhöhe::N,მაღლობი,қырат
121,Berg::N,მთა,тау
122,Gipfel::N,მწვერვალი,төбе
123,Höhle::N,მღვიმე,үңгір
124,Höhle::N,გამოქვებული,үңгір
125,Abhang::N,ფერდობი,бауыр
126,Quelle::N,წყარო,қайнар
127,Quelle::N,სათავე,қайнар
128,Bach::N,რუ,жылға
129,Bach::N,ნაკადული,жылға
130,Fluss::N,მდინარე,өзен
131,Ufer::N,კიდე,жиек
132,Ufer::N,ნაპირი,жиек
133,Küste::N,ნაპირი,жиегі
134,Küste::N,ნაპირი,жағалау
135,Festland::N,ხმელეთი,құрылық
136,Meer::N,ზღვა,теңіз
137,Bucht::N,ყურე,шығанақ
138,Insel::N,კუნძული,арал
139,Blume::N,ყვავილი,гүл
140,Gras::N,ბალახი,от
141,Wurzel::N,ძირი,түбір
142,Wurzel::N,ფესვი,түбір
143,Baum::N,ხე,ағаш
144,Baum::N,ხე,дарақ
145,Stamm::N,ტანი,сояу
146,Stamm::N,ტანი,оқпан
147,Rinde::N,ქერქი,қабық
148,Ast::N,ტოტი,бұтақ
149,Zweig::N,შტო,шыбық
150,Blatt::N,ფოთოლი,жапырақ
151,Birke::N,არყი,қайың
152,Kiefer[Baum]::N,ფიჭვი,қарағай
153,Weide[Baum]::N,ტირიფი,тал
154,Tanne::N,ნაძვი,шырша
155,Horn::N,რქა,мүйіз
156,Feder::N,ფრთა,қаламұш
157,Fell::N,ტყავი,тері
158,Flügel::N,ფრთა,қанат
159,Klaue::N,კლანჭი,тырнақ
160,Kralle::N,ტორი,аяқ
161,Schwanz::N,კუდი,құйрық
162,Ei::N,კვერცხი,жұмыртқа
163,Nest::N,ბუდე,ұя
164,Bau::N,სორო,жатақ
165,Tier::N,ნადირი,айуан
166,Tier::N,ნადირი,жануар
167,Tier::N,ცხოველი,айуан
168,Tier::N,ცხოველი,жануар
169,Herde::N,ფარა,пада
170,Kuh::N,ფური,сиыр
171,Kuh::N,ძროხა,сиыр
172,Bulle::N,ხარი,өгіз
173,Pferd::N,რაში,жылқы
174,Pferd::N,ცხენი,жылқы
175,Schaf::N,ცხვარი,қой
176,Schwein::N,ღორი,шошқа
177,Hund::N,ძაღლი,ит
178,Katze::N,კატა,мысық
179,Bär::N,დათვი,аю
180,Eichhörnchen::N,ციყვი,тиін
181,Elch::N,ცხენ-ირემი,бұғы
182,Fuchs::N,მელა,түлкі
183,Hase::N,კურდღელი,қоян
184,Maus::N,თაგვი,қаптесер
185,Wolf::N,მგელი,бөрі
186,Wolf::N,მგელი,қасқыр
187,Vogel::N,ჩიტი,құс
188,Vogel::N,ფრინველი,құс
189,Schwarm::N,გუნდი,топ
190,Schwarm::N,გუნდი,үйір
191,Huhn::N,დედალი,тауық
192,Huhn::N,დედალი,мекиен
193,Hahn::N,მამალი,әтеш
194,Hahn::N,მამალი,қораз
195,Gans::N,ბატი,қаз
196,Adler::N,არწივი,бүркіт
197,Ente::N,იხვი,үйрек
198,Eule::N,ბუ,жапалақ
199,Kranich::N,წერო,тырна
200,Krähe::N,ყვავი,қарға
201,Kuckuck::N,გუგული,көкек
202,Schwan::N,გედი,аққу
203,Fisch::N,თევზი,балық
204,Barsch::N,ქორჭილა,алабұға
205,Hecht::N,ქარიყლაპია,шортан
206,Schlange[Tier]::N,გველი,жылан
207,Wurm::N,ჭია,шұбалшаң
208,Spinne::N,ობობა,өрмекші
209,Ameise::N,ჭიანჭველა,қүмырска
210,Laus::N,ტილი,бит
211,Laus::N,მკბენარი,бит
212,Mücke::N,კოღო,маса
213,Fliege::N,ბუზი,шыбын
214,Schmetterling::N,პეპელა,көбелек
215,Beere::N,კენკრა,жидек
216,Apfel::N,ვაშლი,алма
217,Pilz::N,სოკო,қозықұйрық
218,Pilz::N,სოკო,саңыраукулақ
219,Zwiebel::N,ხახვი,жуа
