,Concept_ID,nl,lv
0,Auge::N,oog,син
1,Auge::N,oog,acs
2,Ohr::N,oor,пель
3,Ohr::N,oor,auss
4,Nase::N,neus,ныр
5,Nase::N,neus,deguns
6,Mund::N,mond,вом
7,Mund::N,mond,mute
8,Zahn::N,tand,пинь
9,Zahn::N,tand,zobs
10,Zunge::N,tong,кыв
11,Zunge::N,tong,mēle
12,Lippe::N,lip,вом дор
13,Lippe::N,lip,lūpa
14,Wange::N,wang,бан
15,Wange::N,wang,vaigs
16,Gesicht::N,gelaat,чужӧм
17,Gesicht::N,gelaat,seja
18,Gesicht::N,gelaat,ģīmis
19,Gesicht::N,gezicht,чужӧм
20,Gesicht::N,gezicht,seja
21,Gesicht::N,gezicht,ģīmis
22,Stirn::N,voorhoofd,плеш
23,Stirn::N,voorhoofd,кымӧс
24,Stirn::N,voorhoofd,piere
25,Haar::N,haar,си
26,Haar::N,haar,юрси
27,Haar::N,haar,mats
28,Schnurrbart::N,snor,ус
29,Schnurrbart::N,snor,пыртсим
30,Schnurrbart::N,snor,ūsas
31,Bart::N,baard,тош
32,Bart::N,baard,bārda
33,Kinn::N,kin,тшӧка
34,Kinn::N,kin,zods
35,Kinn::N,kin,smakrs
36,Kiefer[Anatomie]::N,kaak,черлы
37,Kiefer[Anatomie]::N,kaak,алака лы
38,Kiefer[Anatomie]::N,kaak,вомкӧтш лы
39,Kiefer[Anatomie]::N,kaak,žoklis
40,Kehle::N,keel,голя
41,Kehle::N,keel,rīkle
42,Kehle::N,strot,голя
43,Kehle::N,strot,rīkle
44,Hals::N,hals,сьылі
45,Hals::N,hals,kakls
46,Genick::N,nek,юрбӧр
47,Genick::N,nek,балябӧж
48,Genick::N,nek,sprands
49,Kopf::N,hoofd,юр
50,Kopf::N,hoofd,galva
51,Rücken::N,rug,мыш
52,Rücken::N,rug,mugura
53,Bauch::N,buik,рушку
54,Bauch::N,buik,vēders
55,Nabel::N,navel,гӧг
56,Nabel::N,navel,naba
57,Busen::N,boezem,морӧс
58,Busen::N,boezem,krūts
59,Brust::N,borst,морӧс
60,Brust::N,borst,krūts
61,Schulter::N,schouder,пельпом
62,Schulter::N,schouder,plecs
63,Arm::N,arm,ки
64,Arm::N,arm,roka
65,Arm::N,arm,delms
66,Ellenbogen::N,elleboog,гырддза
67,Ellenbogen::N,elleboog,elkonis
68,Hand::N,hand,ки
69,Hand::N,hand,roka
70,Hand::N,hand,plauksta
71,Handfläche::N,handpalm,ки пыдӧс
72,Handfläche::N,handpalm,delna
73,Handfläche::N,handpalm,plauksta
74,Finger::N,vinger,чунь
75,Finger::N,vinger,pirksts
76,Fingernagel::N,nagel,гыж
77,Fingernagel::N,nagel,nags
78,Nagel[Anatomie]::N,nagel,гыж
79,Nagel[Anatomie]::N,nagel,nags
80,Zeh::N,teen,кок чунь
81,Zeh::N,teen,pirksts
82,Fuß::N,voet,кок
83,Fuß::N,voet,kāja
84,Ferse::N,hak,кокбӧр
85,Ferse::N,hak,papēdis
86,Ferse::N,hiel,кокбӧр
87,Ferse::N,hiel,papēdis
88,Knie::N,knie,пидзӧс
89,Knie::N,knie,celis
90,Oberschenkel::N,dij,лядьвей
91,Oberschenkel::N,dij,бек
92,Oberschenkel::N,dij,ciska
93,Oberschenkel::N,dij,augšstilbs
94,Bein::N,been,кок
95,Bein::N,been,kāja
96,Körper::N,lichaam,туша
97,Körper::N,lichaam,вывтыр
98,Körper::N,lichaam,miesa
99,Körper::N,lichaam,ķermenis
100,Haut::N,huid,ку
101,Haut::N,huid,āda
102,Blut::N,bloed,вир
103,Blut::N,bloed,asins
104,Ader::N,ader,сӧн
105,Ader::N,ader,asinsvads
106,Sehne::N,pees,вез
107,Sehne::N,pees,dzīsla
108,Knochen::N,bot,лы
109,Knochen::N,bot,kauls
110,Knochen::N,been,лы
111,Knochen::N,been,kauls
112,Knochen::N,knook,лы
113,Knochen::N,knook,kauls
114,Gehirn::N,hersenen,вем
115,Gehirn::N,hersenen,smadzenes
116,Herz::N,hart,сьӧлӧм
117,Herz::N,hart,sirds
118,Magen::N,maag,кынӧм
119,Magen::N,maag,kuņģis
120,Leber::N,lever,мус
121,Leber::N,lever,aknas
122,Atem::N,adem,лов
123,Atem::N,adem,elpa
124,Hunger::N,honger,тшыг
125,Hunger::N,honger,bads
126,Hunger::N,honger,izsalkums
127,Träne::N,traan,синва
128,Träne::N,traan,asara
129,Geschmack::N,smaak,кӧр
130,Geschmack::N,smaak,чӧсмӧс
131,Geschmack::N,smaak,garša
132,Geruch::N,geur,зын
133,Geruch::N,geur,дук
134,Geruch::N,geur,smaka
135,Schlaf::N,slaap,узьӧм
136,Schlaf::N,slaap,miegs
137,Traum::N,droom,вӧт
138,Traum::N,droom,вӧтасьӧм
139,Traum::N,droom,sapnis
140,Himmel::N,hemel,енэж
141,Himmel::N,hemel,debess
142,Sonne::N,zon,шонді
143,Sonne::N,zon,saule
144,Mond::N,maan,тӧлысь
145,Mond::N,maan,mēness
146,Stern::N,ster,кодзув
147,Stern::N,ster,zvaigzne
148,Luft::N,lucht,сынӧд
149,Luft::N,lucht,gaiss
150,Wind::N,wind,тӧв
151,Wind::N,wind,vējš
152,Welle::N,golf,гы
153,Welle::N,golf,vilnis
154,Wasser::N,water,ва
155,Wasser::N,water,ūdens
156,Stein::N,steen,из
157,Stein::N,steen,akmens
158,Boden::N,grond,му
159,Boden::N,grond,augsne
160,Erde::N,aarde,му
161,Erde::N,aarde,му-ва
162,Erde::N,aarde,zeme
163,Staub::N,stof,бус
164,Staub::N,stof,putekļi
165,Rauch::N,rook,тшын
166,Rauch::N,rook,dūmi
167,Funke::N,vonk,кинь
168,Funke::N,vonk,би кинь
169,Funke::N,vonk,dzirkstele
170,Feuer::N,vuur,би
171,Feuer::N,vuur,uguns
172,Licht::N,licht,югӧр
173,Licht::N,licht,gaisma
174,Schatten::N,schaduw,вуджӧр
175,Schatten::N,schaduw,ēna
176,Wetter::N,weer,поводдя
177,Wetter::N,weer,laiks
178,Nebel::N,mist,ру
