,Concept_ID,sl,hu
0,Auge::N,okó,szem
1,Ohr::N,uhó,fül
2,Nase::N,nós,orr
3,Mund::N,ústa,száj
4,Zahn::N,zób,fog
5,Zunge::N,jêzik,nyelv
6,Lippe::N,ústnica,ajak
7,Wange::N,líce,orca
8,Gesicht::N,oblíčje,arc
9,Stirn::N,čêlo,homlok
10,Haar::N,lás,haj
11,Schnurrbart::N,bŕki,bajusz
12,Bart::N,bráda,szakáll
13,Kinn::N,bráda,áll
14,Kiefer[Anatomie]::N,čeljúst,állkapocs
15,Kehle::N,gŕlo,gége
16,Kehle::N,gŕlo,torok
17,Hals::N,vrát,nyak
18,Genick::N,zatílnik,tarkó
19,Kopf::N,gláva,fő
20,Kopf::N,gláva,fej
21,Rücken::N,hrbèt,hát
22,Bauch::N,trébuh,has
23,Nabel::N,pópek,köldök
24,Busen::N,nédrja,mell
25,Busen::N,nédrja,kebel
26,Brust::N,pŕsi,mell
27,Schulter::N,ráma,váll
28,Schulter::N,plêče,váll
29,Arm::N,rôka,kar
30,Ellenbogen::N,komólec,könyök
31,Hand::N,rôka,kéz
32,Handfläche::N,dlán,tenyér
33,Finger::N,pŕst,ujj
34,Fingernagel::N,nóht na rôki,köröm
35,Nagel[Anatomie]::N,nóht,köröm
36,Zeh::N,pŕst na nôgi,lábujj
37,Fuß::N,nôga,láb
38,Ferse::N,pêta,sarok
39,Knie::N,koléno,térd
40,Oberschenkel::N,stêgno,comb
41,Bein::N,nôga,láb
42,Bein::N,nôga,lábszár
43,Körper::N,teló,test
44,Haut::N,kóža,bőr
45,Blut::N,krí,vér
46,Ader::N,žíla,ér
47,Sehne::N,kíta,ín
48,Knochen::N,kóst,csont
49,Gehirn::N,možgáni,agy
50,Gehirn::N,možgáni,agyvelő
51,Herz::N,srcé,szív
52,Magen::N,želódec,gyomor
53,Leber::N,jétra,máj
54,Atem::N,díh,lehelet
55,Atem::N,díh,lélegzet
56,Hunger::N,glád,éhség
57,Träne::N,sólza,könny
58,Geschmack::N,okús,íz
59,Geruch::N,vónj,szag
60,Schlaf::N,sèn,álom
61,Schlaf::N,sèn,alvás
62,Schlaf::N,spánec,álom
63,Schlaf::N,spánec,alvás
64,Traum::N,sánje,álom
65,Himmel::N,nebó,ég
66,Himmel::N,nebó,menny
67,Sonne::N,sónce,nap
68,Mond::N,lúna,hold
69,Mond::N,mésec,hold
70,Stern::N,zvézda,csillag
71,Luft::N,zràk,levegő
72,Wind::N,véter,szél
73,Welle::N,vál,hullám
74,Wasser::N,vôda,víz
75,Stein::N,kámen,kő
76,Boden::N,tlà,föld
77,Boden::N,tlà,talaj
78,Erde::N,pŕst,föld
79,Erde::N,zêmlja,föld
80,Staub::N,práh,por
81,Rauch::N,dìm,füst
82,Funke::N,ískra,szikra
83,Feuer::N,ôgenj,tűz
84,Licht::N,lúč,fény
85,Schatten::N,sénca,árnyék
86,Wetter::N,vrême,idő
87,Wetter::N,vrême,időjárás
88,Nebel::N,meglà,köd
89,Wolke::N,oblák,felhő
90,Regen::N,dèž,eső
91,Schnee::N,snég,hó
92,Eis::N,léd,jég
93,Frost::N,zmrzál,fagy
94,Kälte::N,mràz,hideg
95,Hitze::N,pripéka,hő
96,Hitze::N,pripéka,hőség
97,Raureif::N,ívje,zúzmara
98,Raureif::N,slána,zúzmara
99,Regenbogen::N,mávrica,szivárvány
100,Donner::N,gròm,dörgés
101,Donner::N,gròm,mennydörgés
102,Strömung::N,strúja,áramlat
103,Tropfen::N,káplja,csepp
104,Schaum::N,péna,hab
105,Schaum::N,péna,tajték
106,Schmutz::N,nesnága,piszok
107,See::N,jézero,tó
108,Sumpf::N,močvírje,mocsár
109,Moor::N,bárje,láp
110,Wiese::N,trávnik,rét
111,Wiese::N,trávnik,mező
112,Wald::N,lés,erdő
113,Wald::N,gòzd,erdő
114,Hügel::N,brég,domb
115,Hügel::N,goríca,domb
116,Anhöhe::N,gríč,magaslat
117,Anhöhe::N,višína,magaslat
118,Berg::N,gôra,hegy
119,Berg::N,planína,hegy
120,Gipfel::N,vŕh,csúcs
121,Höhle::N,jáma,barlang
122,Höhle::N,votlína,barlang
123,Abhang::N,pobóčje,lejtő
124,Quelle::N,izvír,forrás
125,Bach::N,pôtok,patak
126,Fluss::N,réka,folyó
127,Ufer::N,brég,part
128,Küste::N,obála,tengerpart
129,Küste::N,obréžje,tengerpart
130,Festland::N,celína,szárazföld
131,Festland::N,kopnína,szárazföld
132,Meer::N,mórje,tenger
133,Bucht::N,zalív,öböl
134,Insel::N,ôtok,sziget
135,Blume::N,cvetlíca,virág
136,Gras::N,tráva,fű
137,Wurzel::N,korenína,gyökér
138,Baum::N,drevó,fa
139,Stamm::N,dêblo,tő
140,Stamm::N,dêblo,törzs
141,Rinde::N,lúbje,kéreg
142,Rinde::N,skórja,kéreg
143,Ast::N,véja,ág
144,Zweig::N,véja,gally
145,Blatt::N,líst,levél
146,Birke::N,bréza,nyír
147,Kiefer[Baum]::N,bòr,fenyő
148,Weide[Baum]::N,vŕba,fűz
149,Tanne::N,hója,fenyő
150,Horn::N,róg,szarv
151,Feder::N,peró,toll
152,Fell::N,kŕzno,szőr
153,Fell::N,kŕzno,bunda
154,Flügel::N,krílo,szárny
155,Klaue::N,párkelj,köröm
156,Kralle::N,krémpelj,karom
157,Schwanz::N,rèp,farok
158,Ei::N,jájce,tojás
159,Nest::N,gnézdo,fészek
160,Bau::N,brlòg,odú
161,Tier::N,živál,állat
162,Herde::N,čréda,nyáj
163,Herde::N,čréda,csorda
164,Kuh::N,kráva,tehén
165,Bulle::N,bìk,bika
166,Pferd::N,kònj,ló
167,Schaf::N,ôvca,juh
168,Schaf::N,ôvca,birka
169,Schwein::N,svínja,sertés
170,Hund::N,pès,eb
171,Hund::N,pès,kutya
172,Katze::N,máčka,macska
173,Bär::N,mêdved,medve
174,Eichhörnchen::N,véverica,mókus
175,Elch::N,lós,jávorszarvas
176,Fuchs::N,lisíca,róka
177,Hase::N,zájec,nyúl
178,Maus::N,mìš,egér
179,Wolf::N,vólk,farkas
180,Vogel::N,ptìč,madár
181,Vogel::N,ptíca,madár
182,Schwarm::N,játa,raj
183,Huhn::N,kokóš,tyúk
184,Hahn::N,petêlin,kakas
185,Gans::N,gós,lúd
186,Gans::N,gós,liba
187,Adler::N,ôrel,sas
188,Ente::N,ráca,kacsa
189,Eule::N,sôva,bagoly
190,Kranich::N,žerjàv,daru
191,Krähe::N,vrána,varjú
192,Kuckuck::N,kúkavica,kakukk
193,Schwan::N,labód,hattyú
194,Fisch::N,ríba,hal
195,Barsch::N,ostríž,sügér
196,Hecht::N,ščúka,csuka
197,Schlange[Tier]::N,káča,kígyó
198,Wurm::N,čr̀v,kukac
199,Wurm::N,glísta,kukac
200,Spinne::N,pájek,pók
201,Ameise::N,mrávlja,hangya
202,Laus::N,úš,tetű
203,Mücke::N,komár,szúnyog
204,Fliege::N,múha,légy
205,Schmetterling::N,metúlj,lepke
206,Schmetterling::N,metúlj,pillangó
207,Beere::N,jágoda,bogyó
208,Apfel::N,jábolko,alma
209,Pilz::N,góba,gomba
210,Zwiebel::N,čebúla,hagyma
211,Saat::N,séme,vetőmag
212,Korn::N,zŕno,mag
213,Korn::N,zŕno,szem
214,Heu::N,senó,széna
215,Schale::N,lupína,héj
216,Grube::N,jáma,verem
217,Falle::N,pást,csapda
218,Schlinge::N,zánka,tőr
219,Schlinge::N,pêtlja,tőr
220,Spur::N,sléd,nyom
221,Asche::N,pepél,hamu
222,Dreck::N,bláto,sár
223,Dreck::N,bláto,piszok
224,Eisen::N,želézo,vas
225,Gold::N,zlató,arany
226,Silber::N,srebró,ezüst
227,Kohle::N,ógel,szén
228,Glas::N,stêklo,üveg
229,Lehm::N,ílo,agyag
230,Lehm::N,ílo,vályog
231,Sand::N,pések,homok
232,Mensch::N,člôvek,ember
233,Mann::N,móž,úr
234,Mann::N,móž,férfi
235,Mann::N,môški,úr
236,Mann::N,môški,férfi
237,Frau::N,gospá,nő
238,Frau::N,gospá,asszony
239,Frau::N,žénska,nő
240,Frau::N,žénska,asszony
241,Kind::N,déte,gyerek
242,Kind::N,déte,gyermek
243,Kind::N,otròk,gyerek
244,Kind::N,otròk,gyermek
245,Junge::N,fànt,fiú
246,Junge::N,déček,fiú
247,Mädchen::N,deklè,lány
248,Mädchen::N,déklica,lány
249,Familie::N,družína,család
250,Großvater::N,dèd,nagyapa
251,Großvater::N,dédek,nagyapa
252,Großmutter::N,bábica,nagyanya
253,Eltern::N,stárši,szülők
254,Vater::N,ôče,apa
255,Vater::N,ôče,atya
256,Mutter::N,máma,anya
257,Sohn::N,sín,fiú
258,Tochter::N,hčí,lány
259,Tochter::N,hčérka,lány
260,Bruder::N,bràt,fivér
261,Bruder::N,bràt,testvér
262,Schwester::N,sêstra,nővér
263,Schwester::N,sêstra,lánytestvér
264,Onkel::N,újec,nagybácsi
265,Onkel::N,stríc,nagybácsi
266,Tante::N,têta,nagynéni
267,Tante::N,strína,nagynéni
268,Ehemann::N,móž,férj
269,Ehemann::N,sopróg,férj
270,Ehefrau::N,žêna,feleség
271,Ehefrau::N,sopróga,feleség
272,Freude::N,rádost,öröm
273,Freude::N,vesêlje,öröm
274,Gelächter::N,sméh,nevetés
275,Gelächter::N,sméh,hahotázás
276,Gelächter::N,grohòt,nevetés
277,Gelächter::N,grohòt,hahotázás
278,Glück::N,sréča,boldogság
279,Kummer::N,gorjé,bánat
280,Wunsch::N,žêlja,óhaj
281,Lust::N,poželênje,kedv
282,Geist::N,dúša,elme
283,Geist::N,dúša,szellem
284,Gedanke::N,mísel,gondolat
285,Gedächtnis::N,pámet,emlékezet
286,Sinn::N,pomèn,értelem
287,Sinn::N,smísel,értelem
288,Grund::N,vzròk,ok
289,Grund::N,vzròk,alap
290,Wahrheit::N,resníca,igaz
291,Wahrheit::N,resníca,igazság
292,Gespräch::N,pogóvor,beszélgetés
293,Märchen::N,právljica,mese
294,Erzählung::N,povést,elbeszélés
295,Nachricht::N,sporočílo,hír
296,Nachricht::N,sporočílo,híradás
297,Neuigkeit::N,novóst,újság
298,Name::N,imé,név
299,Rätsel::N,ugánka,rejtvény
300,Rede::N,góvor,beszéd
301,Rede::N,góvor,szónoklat
302,Sprache::N,jêzik,nyelv
303,Stimme::N,glás,hang
304,Wort::N,beséda,szó
305,Zeichen::N,znák,jel
306,Ruf::N,klíc,kiáltás
307,Lärm::N,hrúp,zaj
308,Lärm::N,trúšč,zaj
309,Laut::N,glás,hang
310,Ton::N,tón,hang
311,Lied::N,pésem,dal
312,Lied::N,pésem,ének
313,Ruhe::N,pokòj,csend
314,Ruhe::N,pokòj,nyugalom
