,Concept_ID,hr,da
0,Auge::N,oko,øje
1,Ohr::N,uho,øre
2,Nase::N,nos,næse
3,Mund::N,usta,mund
4,Zahn::N,zub,tand
5,Zunge::N,jezik,tunge
6,Lippe::N,usna,læbe
7,Wange::N,obraz,kind
8,Gesicht::N,lice,ansigt
9,Stirn::N,čelo,pande
10,Haar::N,kosa,hår
11,Schnurrbart::N,brkovi,overskæg
12,Bart::N,brada,skæg
13,Kinn::N,brada,hage
14,Kinn::N,podbradak,hage
15,Kiefer[Anatomie]::N,čeljust,kæbe
16,Kehle::N,grlo,strube
17,Hals::N,vrat,hals
18,Genick::N,zatiljak,nakke
19,Kopf::N,glava,hoved
20,Rücken::N,leđa,ryg
21,Rücken::N,hrbat,ryg
22,Bauch::N,trbuh,mave
23,Nabel::N,pupak,navle
24,Busen::N,sisa,barm
25,Busen::N,njedra,barm
26,Brust::N,prsa,bryst
27,Schulter::N,rame,skulder
28,Schulter::N,pleći,skulder
29,Arm::N,ruka,arm
30,Ellenbogen::N,lakat,albue
31,Hand::N,ruka,hånd
32,Handfläche::N,dlan,håndflade
33,Finger::N,prst,finger
34,Fingernagel::N,nokat,fingernegl
35,Nagel[Anatomie]::N,nokat,negl
36,Zeh::N,nozni prst,tå
37,Fuß::N,noga,fod
38,Fuß::N,stopalo,fod
39,Ferse::N,peta,hæl
40,Knie::N,koljeno,knæ
41,Oberschenkel::N,bedro,lår
42,Bein::N,noga,ben
43,Körper::N,tijelo,krop
44,Körper::N,tijelo,legeme
45,Haut::N,put,hud
46,Haut::N,koža,hud
47,Blut::N,krv,blod
48,Ader::N,žila,åre
49,Sehne::N,tetiva,sene
50,Knochen::N,kost,ben
51,Herz::N,srce,hjerte
52,Magen::N,stomak,mave
53,Magen::N,želudac,mave
54,Leber::N,jetra,lever
55,Atem::N,dah,ånde
56,Hunger::N,glad,sult
57,Träne::N,suza,tåre
58,Geschmack::N,ukus,smag
59,Geruch::N,njuh,lugt
60,Geruch::N,miris,lugt
61,Schlaf::N,san,søvn
62,Traum::N,san,drøm
63,Himmel::N,nebo,himmel
64,Sonne::N,sunce,sol
65,Mond::N,mjesec,måne
66,Stern::N,zvijezda,stjerne
67,Luft::N,zrak,luft
68,Wind::N,vjetar,vind
69,Welle::N,val,bølge
70,Welle::N,talas,bølge
71,Wasser::N,voda,vand
72,Stein::N,kamen,sten
73,Boden::N,tlo,jord
74,Boden::N,zemlja,jord
75,Erde::N,zemlja,jord
76,Staub::N,prah,støv
77,Staub::N,prašina,støv
78,Rauch::N,dim,røg
79,Funke::N,iskra,gnist
80,Funke::N,varnica,gnist
81,Feuer::N,vatra,ild
82,Licht::N,svjetlo,lys
83,Schatten::N,hlad,skygge
84,Schatten::N,sjena,skygge
85,Wetter::N,vrijeme,vejr
86,Nebel::N,magla,tåge
87,Wolke::N,oblak,sky
88,Regen::N,kiša,regn
89,Schnee::N,snijeg,sne
90,Eis::N,led,is
91,Frost::N,mraz,frost
92,Kälte::N,studen,kulde
93,Kälte::N,hladnoća,kulde
94,Hitze::N,vrućina,hede
95,Raureif::N,inje,rimfrost
96,Regenbogen::N,duga,regnbue
97,Donner::N,grom,torden
98,Donner::N,grmljavina,torden
99,Strömung::N,struja,strømning
100,Strömung::N,strujanje,strømning
101,Tropfen::N,kap,dråbe
102,Tropfen::N,kaplja,dråbe
103,Schaum::N,pjena,skum
104,Schmutz::N,nečistoća,snavs
