,Concept_ID,tr,te
0,Auge::N,göz,కన్ను
1,Ohr::N,kulak,చెవి
2,Nase::N,burun,ముక్కు
3,Mund::N,ağız,నోరు
4,Zahn::N,diş,పల్లు
5,Zunge::N,dil,నాలుక
6,Lippe::N,dudak,పెదవి
7,Wange::N,yanak,చెంప
8,Gesicht::N,yüz,ముఖము
9,Stirn::N,alın,నుదురు
10,Haar::N,saç,వెండ్రుక
11,Schnurrbart::N,bıyık,మీసము
12,Bart::N,sakal,గడ్డము
13,Kinn::N,çene,గడ్డము
14,Kiefer[Anatomie]::N,çene,దౌడ
15,Kehle::N,boğaz,గొంతు
16,Hals::N,boyun,మెడ
17,Hals::N,gerdan,మెడ
18,Genick::N,ense,మూపు
19,Kopf::N,baş,తల
20,Kopf::N,kafa,తల
21,Rücken::N,arka,వెన్ను
22,Bauch::N,karın,కడుపు
23,Nabel::N,göbek,బొడ్డు
24,Busen::N,koyun,స్తనము
25,Brust::N,göğüs,ఱొమ్ము
26,Schulter::N,omuz,భుజము
27,Arm::N,kol,చేయి
28,Ellenbogen::N,dirsek,మోచేయి
29,Hand::N,el,చేయి
30,Handfläche::N,avuç,అరచేయు
31,Handfläche::N,el ayası,అరచేయు
32,Finger::N,parmak,చేతిప్రేలు
33,Fingernagel::N,el tırnağı,గోరు
34,Nagel[Anatomie]::N,tırnak,గోరు
35,Zeh::N,ayak parmağı,కాలిప్రేలు
36,Fuß::N,ayak,అడుగు
37,Ferse::N,topuk,మడమ
38,Knie::N,diz,మోకాలు
39,Oberschenkel::N,uyluk,తొడ
40,Bein::N,bacak,కాలు
41,Körper::N,vücut,కాయము
42,Haut::N,cilt,చర్మము
43,Blut::N,kan,రక్తము
44,Ader::N,damar,సిర
45,Sehne::N,kiriş,స్నాయువు
46,Knochen::N,kemik,ఎముక
47,Gehirn::N,beyin,మెదడు
48,Herz::N,kalp,హృదయము
49,Herz::N,yürek,హృదయము
50,Magen::N,mide,కడుపు
51,Leber::N,karaciğer,కాలేయము
52,Atem::N,nefes,ఉపిరి
53,Hunger::N,açlık,ఆకలి
54,Träne::N,gözyaşı,కన్నీటిచుక్క
55,Geschmack::N,tat,రుచి
56,Geschmack::N,lezzet,రుచి
57,Geruch::N,koku,వాసన
58,Schlaf::N,uyku,నిద్ర
59,Traum::N,düş,కల
60,Traum::N,rüya,కల
61,Himmel::N,gök,ఆకాశము
62,Sonne::N,güneş,సూర్యుడు
63,Mond::N,ay,చంద్రుడు
64,Stern::N,yıldız,నక్షత్రము
65,Luft::N,hava,గాలి
66,Wind::N,yel,వీచుచున్నగాలి
67,Wind::N,rüzgâr,వీచుచున్నగాలి
68,Welle::N,dalga,అల
69,Wasser::N,su,నీరు
70,Stein::N,taş,ఱాయి
71,Boden::N,yer,నేల
72,Boden::N,zemin,నేల
73,Erde::N,toprak,మన్ను
74,Staub::N,toz,దుమ్ము
75,Rauch::N,duman,పొగ
76,Funke::N,kıvılcım,అగ్నికణము
77,Feuer::N,ateş,అగ్ని
78,Licht::N,ışık,కాంతి
79,Schatten::N,gölge,నీడ
80,Wetter::N,hava,వాతావరణ స్థితి
81,Nebel::N,pus,పొగమంచు
82,Wolke::N,bulut,మేఘము
83,Regen::N,yağmur,వాన
84,Schnee::N,kar,హిమము
85,Eis::N,buz,మంచుగడ్డ
86,Frost::N,don,పేరిన మంచు
87,Kälte::N,soğukluk,చలి
88,Hitze::N,sıcaklık,వేడిమి
89,Raureif::N,kırç,మంచు
90,Regenbogen::N,gökkuşağı,ఇంద్రధనుస్సు
91,Donner::N,gök gürlemesi,ఉరుము
92,Strömung::N,akıntı,ప్రవాహము
93,Strömung::N,cereyan,ప్రవాహము
94,Tropfen::N,damla,చుక్క
95,Schaum::N,köpük,నురుగు
96,Schmutz::N,çamur,మైల
97,Schmutz::N,pislik,మైల
98,See::N,göl,సరస్సు
99,Sumpf::N,batak,చిత్తడినేల
100,Moor::N,cılgıt,చిత్తడినేల
101,Wiese::N,çimen,పచ్చిక బయలు
102,Wald::N,koru,అడవి
103,Wald::N,orman,అడవి
104,Hügel::N,tepe,చివ్నకొండ
105,Anhöhe::N,tümsek,కొండ
106,Anhöhe::N,yükseklik,కొండ
107,Berg::N,dağ,పర్వతము
108,Gipfel::N,zirve,శిఖరము
109,Höhle::N,in,గుహ
110,Höhle::N,mağara,గుహ
111,Abhang::N,bayır,ఏటవాలు
112,Quelle::N,pınar,మూలము
113,Quelle::N,kaynak,మూలము
114,Bach::N,çay,కాలువ
115,Bach::N,dere,కాలువ
116,Fluss::N,nehir,నది
117,Ufer::N,kıyı,తీరము
118,Ufer::N,sahil,తీరము
119,Küste::N,kıyı,తీరము
120,Küste::N,sahil,తీరము
121,Festland::N,kara,భూమి
122,Meer::N,deniz,సముద్రము
123,Bucht::N,koy,మరుగు
124,Bucht::N,körfez,మరుగు
125,Insel::N,ada,దీవి
126,Blume::N,çiçek,పుష్పము
127,Gras::N,ot,పచ్చగడ్డి
128,Gras::N,çim,పచ్చగడ్డి
129,Wurzel::N,kök,వేరు
130,Baum::N,ağaç,చెట్టు
131,Stamm::N,gövde,చెట్టుబోదె
132,Rinde::N,kabuk,చెట్టుపట్ట
133,Ast::N,dal,కొమ్మ
134,Ast::N,budak,కొమ్మ
135,Zweig::N,dal,చివుకు
136,Blatt::N,yaprak,ఆకు
137,Birke::N,huş,తరహా చెట్టు
138,Kiefer[Baum]::N,çam,దేవదారు చెట్టు
139,Weide[Baum]::N,söğüt,జాతిచెట్టు
140,Tanne::N,çam,దేవదారుచెట్టు
141,Tanne::N,köknar,దేవదారుచెట్టు
142,Horn::N,boynuz,కొమ్ము
143,Feder::N,tüy,ఈక
144,Fell::N,post,తోలు
145,Flügel::N,kanat,ఱెక్క
146,Klaue::N,pençe,వంకరగోరు
147,Kralle::N,tırnak,వంకరగోరు
148,Schwanz::N,kuyruk,తోక
149,Ei::N,yumurta,గ్రుడ్డు
150,Nest::N,yuva,పక్షిగూడు
151,Bau::N,in,గుహ
152,Tier::N,hayvan,జంతువు
153,Herde::N,sürü,మంద
154,Kuh::N,inek,ఆవు
155,Bulle::N,boğa,గిత్త
156,Pferd::N,at,గుఱ్ఱము
157,Pferd::N,beygir,గుఱ్ఱము
158,Schaf::N,koyun,గొఱ్ఱె
159,Schwein::N,domuz,పంది
160,Hund::N,it,కుక్క
161,Hund::N,köpek,కుక్క
162,Katze::N,kedi,పిల్లి
163,Bär::N,ayı,ఎలుగుబంటి
164,Eichhörnchen::N,sincap,ఉడుత
165,Elch::N,büyük kuzey geyiği,కణంజు
166,Fuchs::N,tilki,గుంటనక్క
167,Hase::N,tavşan,కుందేలు
168,Maus::N,fare,చిట్టెలుక
169,Maus::N,sıçan,చిట్టెలుక
170,Wolf::N,kurt,తోడేలు
171,Vogel::N,kuş,పక్షి
172,Schwarm::N,sürü,గుంపు
173,Huhn::N,tavuk,కోడిపిల్ల
174,Hahn::N,horoz,కోడివుంజు
175,Gans::N,kaz,ఆడుబాతు
176,Adler::N,kartal,గ్రద్ద
177,Adler::N,karakuş,గ్రద్ద
178,Ente::N,ördek,పాట్టిబాతు
179,Eule::N,baykuş,గ్రుడ్లగూబ
180,Kranich::N,turna,కొంగ
181,Krähe::N,karga,కాకి
182,Kuckuck::N,guguk,కోయల
183,Schwan::N,kuğu,హంస
184,Fisch::N,balık,చేప
185,Barsch::N,hani,ఒకచేఁప
186,Barsch::N,levrek,ఒకచేఁప
187,Hecht::N,turnabalığı,గండుమీను
188,Schlange[Tier]::N,yılan,పాము
189,Wurm::N,kurt,పురుగు
190,Wurm::N,solucan,పురుగు
191,Spinne::N,örümcek,సాలె పురుగు
192,Ameise::N,karınca,చీమ
193,Laus::N,bit,పేను
194,Mücke::N,sivrisinek,చీకటీగ
195,Fliege::N,sinek,ఈగ
196,Schmetterling::N,kelebek,సీతాకోకచిలుక
197,Beere::N,tane,కాయ
198,Apfel::N,elma,ఆపిల్ పండు
199,Pilz::N,mantar,కుక్కగొడుగు
200,Zwiebel::N,soğan,నీరుల్లి
201,Saat::N,ekin,విత్తనము
202,Korn::N,tane,గింజ
203,Heu::N,kuru ot,ఎండుగడ్డి
204,Schale::N,kabuk,పొట్టు
205,Grube::N,çukur,గొయ్యి
206,Falle::N,tuzak,బోను
207,Schlinge::N,ilmik,ఉరి
208,Spur::N,iz,జాడ
209,Asche::N,kül,బూడిద
210,Dreck::N,pislik,ముఱికి
211,Eisen::N,demir,ఇనుము
212,Gold::N,altın,బంగారము
213,Silber::N,gümüş,వెండి
214,Kohle::N,kömür,నేలబొగ్గు
