,Concept_ID,mdf,ps
0,Auge::N,сельме,سترګه
1,Ohr::N,пиле,غوږ
2,Nase::N,шалхка,پوزه
3,Mund::N,курга,خوله
4,Zahn::N,пей,غاښ
5,Zunge::N,кяль,جبه
6,Lippe::N,търва́,شونډه
7,Wange::N,щёка,باړخو
8,Gesicht::N,шама,مخ
9,Stirn::N,коня,تندی
10,Stirn::N,коня,وچولی
11,Haar::N,шя́ярь,وېښته
12,Schnurrbart::N,уса́,برېت
13,Bart::N,сакал,ږیره
14,Kinn::N,ула,زنه
15,Kiefer[Anatomie]::N,саласка,جامه
16,Kehle::N,кълдома,غاړه
17,Kehle::N,кърга́парь,غاړه
18,Hals::N,сялдаз,غاړه
19,Genick::N,шовонь,ورمېږ
20,Kopf::N,пря,سر
21,Rücken::N,копорь,شا
22,Bauch::N,пеке,نس
23,Bauch::N,пеке,ګېډه
24,Nabel::N,по́кон,نوم
25,Busen::N,потя,تی
26,Brust::N,мяште,سینه
27,Schulter::N,лафту,اوږه
28,Arm::N,кядь,لاس
29,Ellenbogen::N,кенерьба́карь,څنګل
30,Hand::N,кядь,لاس
31,Handfläche::N,кядьлапш,ورغوی
32,Finger::N,сур,ګوته
33,Fingernagel::N,кенже,نوک
34,Nagel[Anatomie]::N,кенже,نوک
35,Zeh::N,пильгосу́р,ګوته
36,Fuß::N,пильге,پښه
37,Fuß::N,пильгелапа,پښه
38,Ferse::N,кочкяря,پونده
39,Knie::N,эль,زنګون
40,Knie::N,пълма́нжа,زنګون
41,Oberschenkel::N,пильгепукша,پتون
42,Bein::N,пильге,پښه
43,Körper::N,ро́нга,ځان
44,Körper::N,по́нда,ځان
45,Haut::N,киське,پوټکی
46,Blut::N,вер,وینه
47,Ader::N,сан,رګ
48,Ader::N,верза́н,رګ
49,Sehne::N,коське сан,پله
50,Knochen::N,пакарь,هډوکی
51,Gehirn::N,уй,ماغزه
52,Herz::N,седи,زړه
53,Magen::N,коткърдазь,معده
54,Leber::N,макса,ينه
55,Leber::N,макса,ځیګر
56,Atem::N,лекома,نفس
57,Atem::N,ваймонь тарксема,نفس
58,Hunger::N,вачеши,ولږه
59,Träne::N,сельмове́дь,اوښکه
60,Geschmack::N,таньф,مزه
61,Geschmack::N,таньф,خوند
62,Geruch::N,шине,بوی
63,Schlaf::N,удома́,خوب
64,Traum::N,он,خوب
65,Himmel::N,менель,اسمان
66,Sonne::N,ши,لمر
67,Mond::N,ков,سپوږمۍ
68,Stern::N,тяште,ستوری
69,Luft::N,кожф,هوا
70,Wind::N,варма,ورښ
71,Welle::N,тавла,موج
72,Wasser::N,ведь,اوبه
73,Stein::N,кев,ډبره
74,Boden::N,мода,مځکه
75,Boden::N,потмакс,مځکه
76,Erde::N,мода,خاوره
77,Erde::N,мастор,خاوره
78,Staub::N,пуль,ګرد
79,Staub::N,пуль,خاوره
80,Rauch::N,качам,دود
81,Rauch::N,качам,لوګی
82,Funke::N,ця́тка,سپرغۍ
83,Feuer::N,тол,اور
84,Licht::N,ва́лда,رڼا
85,Schatten::N,цильф,سیوری
86,Wetter::N,уша,هوا
87,Nebel::N,тума́н,لړه
88,Wolke::N,ковол,ورېځ
89,Regen::N,пизем,وریا
90,Regen::N,пизем,باران
91,Schnee::N,лов,واوره
92,Eis::N,эй,یخ
93,Eis::N,эй,کنګل
94,Frost::N,ке́льме,یخ
95,Kälte::N,якшама,ساړه
96,Hitze::N,пси,تودوخي
97,Raureif::N,леш,سپینه پرخه
98,Regenbogen::N,а́тямъёнга,بوډۍ ټال
99,Regenbogen::N,а́тямъёнга,سره زرغونه
100,Donner::N,атям,تالنده
101,Strömung::N,шудема́,بهېدنه
102,Tropfen::N,путькс,قطره
103,Tropfen::N,путькс,څاڅکی
104,Tropfen::N,пътняфкс,قطره
105,Tropfen::N,пътняфкс,څاڅکی
106,Schaum::N,шов,ځګ
107,Schmutz::N,ърда́з,ناپاکي
108,See::N,эрьхке,جهیل
109,Sumpf::N,шяй,جبه
110,Moor::N,шяй,جبه
111,Wiese::N,луга,چمن
112,Wiese::N,луга,شنېلی
113,Wald::N,вирь,ځنګل
114,Hügel::N,губо́р,تپه
115,Hügel::N,пандоня,تپه
116,Anhöhe::N,губо́р,غونډۍ
117,Berg::N,панда,غ‍‍‍‍‍ر
118,Gipfel::N,пря,څوکه
119,Höhle::N,у́нда,کاز
120,Abhang::N,па́нда ша́ма,لمن
121,Quelle::N,эшиня,چینه
122,Bach::N,шудерькс,واله
123,Fluss::N,ляй,سیند
124,Ufer::N,търва́,غاړه
125,Küste::N,ляйтърва́,ساحل
126,Festland::N,мода,وچه
127,Meer::N,моря,بحر
128,Meer::N,моря,سمندر
129,Bucht::N,ведьуське,کارۍ
130,Insel::N,цёнга,ټاپو
131,Insel::N,цёнга,جزيره
132,Blume::N,панчф,ګل
133,Gras::N,тише,واښه
134,Wurzel::N,юр,ریښه
135,Wurzel::N,ункс,ریښه
136,Baum::N,шуфта,ونه
137,Stamm::N,ро́нга,ډډ
138,Rinde::N,кер,پوستکی
139,Ast::N,морга,ښاخ
140,Zweig::N,тарад,څانګه
141,Blatt::N,лопа,پاڼه
142,Birke::N,ке́лу,توس
143,Kiefer[Baum]::N,пиче,نښتر
144,Weide[Baum]::N,каль,وله
145,Tanne::N,куз,ناجو
146,Horn::N,сюра,ښکر
147,Feder::N,толга,بڼکه
148,Fell::N,кедь,پوستکی
149,Flügel::N,паця,وزر
150,Klaue::N,кенже,پنجه
151,Klaue::N,кенже,منګول
152,Kralle::N,кенже,پنجه
153,Kralle::N,кенже,منګول
154,Schwanz::N,пула,لکۍ
155,Ei::N,ал,وۍ
156,Ei::N,ал,هګۍ
157,Nest::N,пиза,جاله
158,Bau::N,пиза,کاز
159,Tier::N,жува́та,ژوی
160,Tier::N,жува́та,حیوان
161,Herde::N,нал,رمه
162,Herde::N,нал,غېله
163,Herde::N,стада,رمه
164,Herde::N,стада,غېله
165,Kuh::N,скал,غوا
166,Kuh::N,тракс,غوا
167,Bulle::N,бука,غوئی
168,Pferd::N,лишме,آس
169,Schaf::N,уча́,پسه
170,Schwein::N,тува,سرکوزی
171,Hund::N,пине,سپی
172,Katze::N,катоня,پشه
173,Katze::N,аваката,پشه
174,Bär::N,офта,خرس
175,Eichhörnchen::N,ур,خړ لمی
176,Elch::N,ся́рда,ګوزن
177,Fuchs::N,келазь,سپلم
178,Hase::N,ну́мол,سوی
179,Maus::N,шеер,مږک
180,Wolf::N,върьгаз,لېوه
181,Vogel::N,нармонь,مرغه
182,Schwarm::N,ко́вол,سېل
183,Schwarm::N,ме́швеле,سېل
184,Huhn::N,сараз,چرګه
185,Hahn::N,а́тякш,چرګ
186,Gans::N,маци,بته
187,Adler::N,куцькан,عقاب
188,Ente::N,яксярга,ایلۍ
189,Eule::N,ко́рож,ګونګی
190,Kranich::N,ка́рга,کلنګ
191,Krähe::N,ва́рси,کارغه
192,Kuckuck::N,ку́ку,فاخته
