,Concept_ID,ku,ba
0,Auge::N,çav,күҙ
1,Ohr::N,guh,ҡолаҡ
2,Nase::N,bêvil,танау
3,Mund::N,dev,ауыҙ
4,Zahn::N,didan,теш
5,Zunge::N,ziman,тел
6,Lippe::N,lêv,ирен
7,Wange::N,dêm,яцаҡтар
8,Wange::N,hinarik,яцаҡтар
9,Gesicht::N,rû,бит
10,Stirn::N,enî,маңлай
11,Haar::N,por,сәс
12,Schnurrbart::N,simbêl,мылтыҡ
13,Bart::N,rih,һаҡал
14,Kinn::N,zenî,эйэк
15,Kiefer[Anatomie]::N,arguşk,яңаҡ һөйәге
16,Kehle::N,qirik,тамаҡ
17,Hals::N,stû,муйын
18,Hals::N,qirik,муйын
19,Genick::N,stû,соңҡа
20,Kopf::N,serî,баш
21,Rücken::N,pişt,арҡа
22,Bauch::N,ûr,ҡорһаҡ
23,Bauch::N,zik,ҡорһаҡ
24,Nabel::N,navik,кендек
25,Busen::N,sîng,күкрәк
26,Brust::N,sîng,түш
27,Schulter::N,mil,яурын
28,Arm::N,çepil,ҡул
29,Ellenbogen::N,enîşk,терһәк
30,Hand::N,dest,ҡул
31,Hand::N,dest,ҡул суғы
32,Handfläche::N,kefadest,ус төбө
33,Finger::N,tilî,бармаҡ
34,Fingernagel::N,neynuk,тырнаҡ
35,Nagel[Anatomie]::N,bizmar,тырнаҡ
36,Zeh::N,tilî linga,бармаҡ
37,Fuß::N,ling,табан
38,Ferse::N,pahnî,үксә
39,Knie::N,kabok,тубыҡ
40,Oberschenkel::N,rahn,сандыр
41,Bein::N,çip,аяҡ
42,Körper::N,laş,тән
43,Körper::N,gowde,тән
44,Haut::N,çerm,тире
45,Blut::N,xwîn,ҡан
46,Ader::N,reh,тамыр
47,Sehne::N,reh,һеңер
48,Sehne::N,reh,тарамыш
49,Knochen::N,hestî,һойәк
50,Gehirn::N,mêjî,мейе
51,Herz::N,dil,йорәк
52,Magen::N,navêş,ашҡаҙан
53,Leber::N,kezeb,бауыр
54,Atem::N,hilm,һулыш
55,Hunger::N,birçîtî,аслыҡ
56,Träne::N,hêstir,күҙ иәше
57,Geschmack::N,tam,тәм
58,Geruch::N,bêhn,еҫ
59,Schlaf::N,xew,йоҡлау
60,Traum::N,xewn,төш
61,Himmel::N,ezman,күк
62,Sonne::N,roj,ҡояш
63,Mond::N,heyv,ай
64,Stern::N,stêrk,йондоҙ
65,Luft::N,ba,һауа
66,Wind::N,ba,ел
67,Welle::N,şewl,тулҡын
68,Wasser::N,av,һыу
69,Stein::N,kevir,таш
70,Boden::N,herd,тупраҡ
71,Erde::N,ax,балсҡ
72,Staub::N,toz,туҙан
73,Rauch::N,dû,төтөн
74,Funke::N,çirûşk,осҡон
75,Feuer::N,agir,ут
76,Licht::N,ronahî,яҡтылыҡ
77,Schatten::N,sî,күләгә
78,Wetter::N,hewa,һауа торошо
79,Nebel::N,mij,төман
80,Wolke::N,ewr,болот
81,Regen::N,baran,ямғыр
82,Schnee::N,berf,ҡар
83,Eis::N,qeşa,боҙ
84,Frost::N,xûsik,һалҡын
85,Kälte::N,serma,һыуыҡ
86,Hitze::N,germayî,томра
87,Hitze::N,germayî,эҫелек
88,Raureif::N,şext,ҡырау
89,Regenbogen::N,heftreng,йәйғор
90,Donner::N,gire-gir,күк күкрәү
91,Strömung::N,şewl,ағым
92,Tropfen::N,dilop,тамсы
93,Schaum::N,kef,күбек
94,Schmutz::N,gemar,батҡаҡ
95,See::N,gol,күл
96,Sumpf::N,hezek,һаҙлык
97,Moor::N,mafêl,һаҙ
98,Wiese::N,sûrik,болон
99,Wald::N,çiya,урман
100,Wald::N,daristan,урман
101,Hügel::N,gir,түбә
102,Anhöhe::N,sere gir,түбә
103,Anhöhe::N,sere gir,ҡалҡыулыҡ
104,Berg::N,kaş,тау
105,Gipfel::N,sere gir,түбә
106,Höhle::N,şikeft,мәмерйә
107,Abhang::N,kaş,ипкен
108,Quelle::N,kanî,шишмә
109,Bach::N,çem,шишмә
110,Fluss::N,çem,йылға
111,Fluss::N,rûbar,йылға
112,Ufer::N,kevî,яр
113,Küste::N,berav,яр буйы
114,Festland::N,bejahî,ҡоро ер
115,Meer::N,behr,диңгез
116,Bucht::N,derav,бухта
117,Insel::N,girav,үтрау
118,Blume::N,kulînk,сәскә
119,Gras::N,giha,үлән
120,Wurzel::N,reh,тамыр
121,Baum::N,dar,ағас
122,Stamm::N,bavik,олон
123,Stamm::N,bavik,көбәк
124,Rinde::N,qaqil,ҡабыҡ
125,Ast::N,gulî,ботаҡ
126,Zweig::N,şax,ботаҡ
127,Zweig::N,şax,тармаҡ
128,Blatt::N,pel,япраҡ
129,Birke::N,dara sipî,ҡайын
130,Kiefer[Baum]::N,dara bî,ҡарғай
131,Weide[Baum]::N,dara belalûk,тал
132,Tanne::N,merx,шыршы
133,Horn::N,strô,мөғөҙ
134,Feder::N,pîrtîk,ҡауырһын
135,Fell::N,heyar,тире
136,Flügel::N,per,ҡанат
137,Klaue::N,napîk,тырнаҡ
138,Kralle::N,dinik,аяҡ
139,Kralle::N,dirnax,аяҡ
140,Schwanz::N,dûv,ҡойроҡ
141,Ei::N,hêk,йомортҡа
142,Nest::N,hêlîn,оя
143,Bau::N,avahî,оң
144,Tier::N,heywan,жайуан
145,Tier::N,heywan,йыртҡыс
146,Herde::N,hoz,көтөү
147,Kuh::N,çêlek,һыйыр
148,Bulle::N,ga,үгеҙ
149,Pferd::N,hesp,ат
150,Schaf::N,mîh,һарыҡ
151,Schwein::N,beraz,сусҡа
152,Hund::N,seh,эт
153,Katze::N,pişîk,бесәй
154,Bär::N,hirç,айыу
155,Eichhörnchen::N,pilûr,тейен
156,Elch::N,pazkovî,мышы
157,Fuchs::N,rovî,төлкө
158,Hase::N,kîroşk,ҡуян
159,Maus::N,mişk,сысҡан
160,Wolf::N,gur,бүре
161,Vogel::N,çûk,ҡош
162,Schwarm::N,lufik,көтөү
163,Huhn::N,mirîşk,тауыҡ
