,Concept_ID,kk,el
0,Auge::N,көз,μάτι
1,Auge::N,көз,οφθαλμός
2,Ohr::N,құлақ,αυτί
3,Nase::N,мұрын,μύτη
4,Mund::N,ауыз,στόμα
5,Zahn::N,тіс,δόντι
6,Zunge::N,тіл,γλώσσα
7,Lippe::N,ерін,χείλος
8,Wange::N,ұрт,παρειά
9,Wange::N,ұрт,μάγουλο
10,Gesicht::N,бет-аузы,πρόσωπο
11,Stirn::N,маңдай,μέτωπο
12,Haar::N,қыл,μαλλιά
13,Schnurrbart::N,мұрт,μουστάκι
14,Bart::N,сақал,γένια
15,Kinn::N,иек,πιγούνι
16,Kiefer[Anatomie]::N,жақ,σαγόνι
17,Kehle::N,алқым,λαρύγγι
18,Hals::N,мойын,λαιμός
19,Genick::N,желке,σβέρκος
20,Kopf::N,кәллә,κεφάλι
21,Rücken::N,арқа,ράχη
22,Bauch::N,қарын,κοιλιά
23,Nabel::N,кіндік,αφαλός
24,Busen::N,омырау,στήθος
25,Brust::N,кеуде,στήθος
26,Schulter::N,иық,ώμος
27,Arm::N,қол,χέρι
28,Arm::N,қол,μπράτςο
29,Ellenbogen::N,шынтақ,αγκώνας
30,Hand::N,қол,χέρι
31,Handfläche::N,алақан,παλάμη
32,Finger::N,саусақ,δάχτυλο
33,Fingernagel::N,тырнақ,νύχι
34,Nagel[Anatomie]::N,тырнақ,νύχι
35,Zeh::N,тырнақ,δάχτυλο του ποδιού
36,Zeh::N,тұяқ,δάχτυλο του ποδιού
37,Fuß::N,аяқ-басы,πόδι
38,Ferse::N,өкше,φτέρνα
39,Ferse::N,өкшелік,φτέρνα
40,Knie::N,тізе,γόνατο
41,Oberschenkel::N,жамбас,μηρός
42,Bein::N,аяқ,πόδι
43,Körper::N,дене,σώμα
44,Körper::N,дене,κορμί
45,Haut::N,тері,πετσί
46,Blut::N,қан,αίμα
47,Ader::N,көктамыр,φλέβα
48,Ader::N,күретамыр,φλέβα
49,Sehne::N,сіңір,νεύρο
50,Sehne::N,сіңір,τένοντας
51,Knochen::N,жілік,οστό
52,Knochen::N,жілік,κόκκαλο
53,Gehirn::N,ми,μυαλό
54,Gehirn::N,ми,εγκέφαλος
55,Herz::N,жүрек,καρδιά
56,Magen::N,асқазан,στομάχι
57,Leber::N,бауыр,ήπαρ
58,Leber::N,бауыр,συκωτί
59,Atem::N,леп,αναπνοή
60,Hunger::N,ашаршылық,πείνα
61,Träne::N,жас,δάκρυ
62,Geschmack::N,дәм,γεύση
63,Geschmack::N,татым,γεύση
64,Geschmack::N,талғам,γεύση
65,Geruch::N,иіс,οσμή
66,Geruch::N,иіс,μυρωδία
67,Schlaf::N,ұйқы,ύπνος
68,Schlaf::N,ұйықтау,ύπνος
69,Traum::N,түс,όνειρο
70,Himmel::N,аспан,ουρανός
71,Himmel::N,көқ,ουρανός
72,Himmel::N,таңдай,ουρανός
73,Sonne::N,күн,ήλιος
74,Mond::N,ай,σελήνη
75,Mond::N,ай,φεγγάρι
76,Stern::N,жұлдыз,άστρο
77,Stern::N,жұлдыз,αστέρι
78,Luft::N,әуе,αέρας
79,Wind::N,жел,αέρας
80,Wind::N,жел,άνεμος
81,Welle::N,толқын,κύμα
82,Wasser::N,су,νερό
83,Stein::N,тас,πέτρα
84,Boden::N,қыртыс,χώμα
85,Erde::N,топырақ,γη
86,Staub::N,шаң,σκόνη
87,Rauch::N,түтін,καπνός
88,Funke::N,ұшқын,σπίθα
89,Funke::N,ұшқын,σπινθήρας
90,Feuer::N,алау,φωτιά
91,Licht::N,шұғыла,φως
92,Schatten::N,көлеңке,σκιά
93,Schatten::N,көлеңке,ίσκιος
94,Wetter::N,ауа райы,καιρός
95,Nebel::N,тұман,ομίχλη
96,Wolke::N,бұлт,σύννεφο
97,Regen::N,жаңбыр,βροχή
98,Schnee::N,қар,χιόνι
99,Eis::N,мұз,πάγος
100,Frost::N,суық,παγωνία
101,Kälte::N,ызғар,κρύο
102,Kälte::N,ызғар,ψύχος
103,Kälte::N,суықтық,κρύο
104,Kälte::N,суықтық,ψύχος
105,Hitze::N,аптап,ζέστη
106,Raureif::N,қырау,πάχνη
107,Regenbogen::N,кемпірқосақ,ουράνιο τόξο
108,Donner::N,күн күркіреу,βροντή
109,Strömung::N,ағын,ρεύμα
110,Tropfen::N,тамшы,στάλα
111,Schaum::N,көбік,αφρός
112,Schmutz::N,кір,βρωμιά
113,See::N,көл,λίμνη
114,Sumpf::N,саз,βάλτος
115,Moor::N,саз,έλος
116,Wiese::N,шалғын,λιβάδι
117,Wald::N,орман,δάσος
118,Hügel::N,төбе,λόφος
119,Hügel::N,белес,λόφος
120,Hügel::N,белес-белес,λόφος
121,Anhöhe::N,дөң,ύψωμα
122,Anhöhe::N,адыр,ύψωμα
123,Anhöhe::N,қырат,ύψωμα
124,Berg::N,тау,όρος
125,Berg::N,тау,βουνό
126,Gipfel::N,төбе,κορυφή
