,Concept_ID,ab,ady
0,Auge::N,ала,нэ
1,Ohr::N,алымҳа,тхьакӏу́м
2,Nase::N,аҧынҵа,пэ
3,Mund::N,аҧышə,жэ
4,Zahn::N,ахаҧыц,цэ
5,Zunge::N,абз,бзэгу
6,Lippe::N,ақьышə,ӏупшӏэ́
7,Wange::N,аӡамҩа,нэкӏу́шъу
8,Gesicht::N,аҿы,нэ́гу
9,Stirn::N,алахь,натӏэ́
10,Haar::N,ахəыц,шъхьацы́
11,Schnurrbart::N,аҧаҵа,
12,Bart::N,ажакьа,жакӏэ́
13,Kinn::N,ацламкəыгə,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,ацламҳəа,жэпкъы́
15,Kehle::N,ахəда,чый
16,Hals::N,ахəда,пшъэ
17,Genick::N,ахəдаџьал,шъхьэпхэтыку
18,Kopf::N,ахы,шъхьэ́
19,Rücken::N,азқəа,кӏыбы́
20,Bauch::N,амгəа,ныбэ́
21,Nabel::N,аҷапан,
22,Busen::N,агəыҧҳəы,бгъэ́
23,Brust::N,агəышҧы,бгъэ́
24,Schulter::N,ажəҩахыр,блыпкъ
25,Arm::N,амахəар,ӏэ
26,Ellenbogen::N,амашьхəылҵ,ӏэнтэ́гъу
27,Hand::N,анапы,ӏэтхьэцу
28,Handfläche::N,анапсаргəыҵа,ӏэ́гу
29,Finger::N,анацəа,ӏэхъуа́мб
30,Fingernagel::N,анапхыц,ӏэбжъа́н
31,Nagel[Anatomie]::N,ашьапхыц,ӏэбжъа́н
32,Zeh::N,ашьацəа,ӏэхъуа́мб
33,Fuß::N,ашьапсыргəыҵа,лъэгу
34,Ferse::N,ашьхəа,лъэдакъэ
35,Knie::N,ашьамхы,лъагуа́ндж
36,Oberschenkel::N,ауаҭəа,ко
37,Bein::N,ашьапы,лъакъо́
38,Körper::N,ацəеижь,пкъышъол
39,Haut::N,ацəа,кӏы́шъу
40,Blut::N,ашьа,лъы
41,Ader::N,ада,льытф
42,Sehne::N,адаш,фэ
43,Knochen::N,абаҩ,къупшъхьэ́
44,Gehirn::N,ахшлыбаҩ,куцӏы
45,Gehirn::N,ахшыбаҩ,куцӏы
46,Herz::N,агəы,гу
47,Magen::N,аца,мышкӏу
48,Magen::N,ацар,мышкӏу
49,Leber::N,агəаҵəа,шӏу
50,Atem::N,аҧсыҧлагаҩгара,къэщэныр
51,Hunger::N,амла,гъаблэ́
52,Träne::N,алабжыш,нэпсы
53,Geschmack::N,агьама,ӏэшӏугъа́кӏ
54,Geruch::N,афҩы,мэ
55,Schlaf::N,ацəа,пчыхьы́пӏ
56,Traum::N,аҧхыӡ,пчыхьы́пӏ
57,Himmel::N,ажəҩан,уашъо́
58,Sonne::N,амра,тыгъэ
59,Mond::N,амза,мазэ
60,Stern::N,аеҵəа,жъуагъо́
61,Luft::N,аҳаир,жьы
62,Wind::N,аҧша,жьыбгъэ́
63,Welle::N,ацəқəырҧа,ор
64,Welle::N,ацəқəырҧа,оры
65,Wasser::N,аӡы,псы
66,Stein::N,ахаҳə,мыжъо́
67,Boden::N,адгьыл,чӏ́ыгу
68,Erde::N,адгьыл,чӏ́ыгу
69,Staub::N,асаба,сап
70,Rauch::N,алҩа,ӏугъо́
71,Funke::N,акəиц,мэшӏуа́ч
72,Funke::N,ацҧхь,мэшӏуа́ч
73,Feuer::N,амца,машӏо́
74,Licht::N,алашара,нэфы
75,Licht::N,алашара,нэфын
76,Schatten::N,ашəшьыра,жьау́
77,Schatten::N,ашəшьыра,ныбжьыкъу
78,Wetter::N,амш,
79,Nebel::N,анаҟəа,пща́гъу
80,Wolke::N,аҧсҭҳəа,ошъуапщэ
81,Regen::N,ақəа,ощхы
82,Schnee::N,асы,осы́
83,Eis::N,аҵаа,мылы
84,Frost::N,аҵаа,
85,Kälte::N,ахьҭа,чъыӏэ́
86,Hitze::N,ашоура,фэба́е
87,Raureif::N,аҵааҧшқа,
