,Concept_ID,kv,hy
0,Auge::N,син,աչք
1,Ohr::N,пель,ականջ
2,Nase::N,ныр,քիթ
3,Mund::N,ӧм,բերան
4,Zahn::N,пинь,ատամ
5,Zunge::N,кыв,լեզու
6,Lippe::N,тырп,շրթունք
7,Wange::N,рожабан,այտ
8,Wange::N,рожабан,թուշ
9,Gesicht::N,бан,դեմք
10,Stirn::N,кымӧс,ճակատ
11,Haar::N,юрси,մազ
12,Schnurrbart::N,уссэз,բեղ
13,Bart::N,тош,մորուք
14,Kinn::N,тшӧка,կզակ
15,Kiefer[Anatomie]::N,ан,ծնոտ
16,Kehle::N,юан,կոկորդ
17,Hals::N,юан,վիզ
18,Hals::N,юан,պարանոց
19,Genick::N,юр бӧр,ծոծրակ
20,Kopf::N,юр,գլուխ
21,Rücken::N,мышк,մեջք
22,Bauch::N,кынӧм,փոր
23,Bauch::N,кынӧм,որովայն
24,Nabel::N,гӧг,պորտ
25,Busen::N,морос,ծոց
26,Brust::N,морос,կուրծք
27,Schulter::N,пельпон,ուս
28,Arm::N,ки,թեւ
29,Arm::N,ки,բազուկ
30,Ellenbogen::N,гырдзза,արմունկ
31,Hand::N,кикар,ձեռք
32,Handfläche::N,ки пыдӧс,ափ
33,Finger::N,чунь,մատ
34,Fingernagel::N,гыж,եղունգ
35,Nagel[Anatomie]::N,гыж,եղունգ
36,Zeh::N,чунь,ոտքի մատ
37,Fuß::N,кокпыдӧс,ոտք
38,Ferse::N,кокдзир,գարշապար
39,Knie::N,пидзӧс,ծունկ
40,Oberschenkel::N,лядьбей,ազդր
41,Bein::N,кок,ոտք
42,Körper::N,вывтыр,մարմին
43,Haut::N,кучик,մաշկ
44,Blut::N,вир,արյուն
45,Ader::N,сӧн,երակ
46,Sehne::N,жила,ջիղ
47,Sehne::N,жила,ձգտան
48,Knochen::N,коска,ոսկոր
49,Gehirn::N,вем,խելք
50,Herz::N,сьӧлӧм,սիրտ
51,Magen::N,жӧвдӧк,ստամոքս
52,Leber::N,мус,լյարդ
53,Atem::N,лолалӧм,շունչ
54,Hunger::N,тшыг,քաղց
55,Träne::N,синва,արտասուք
56,Geschmack::N,кӧр,համ
57,Geschmack::N,кӧр,բուրմունք
58,Geruch::N,дук,հոտ
59,Geruch::N,дук,բուրում
60,Schlaf::N,он,քուն
