,Concept_ID,uz,cv
0,Auge::N,ko'z,куҫ
1,Ohr::N,quloq,хӑлха
2,Nase::N,burun,сӑмса
3,Mund::N,og'iz,ҫӑвар
4,Zahn::N,tish,шӑл
5,Zunge::N,til,чӗлхе
6,Lippe::N,dudoq,тута
7,Wange::N,bet,пит ҫӑмарти
8,Gesicht::N,yuz,пит
9,Gesicht::N,yuz,пит-куҫ
10,Stirn::N,manglay,ҫамка
11,Haar::N,soch,ҫӳҫ
12,Schnurrbart::N,mo'ylov,усси
13,Bart::N,soqol,сухал
14,Kinn::N,ängak,янах
15,Kiefer[Anatomie]::N,iyak,янах
16,Kehle::N,bo'g'iz,пыр
17,Kehle::N,bo'g'iz,карланкӑ
18,Hals::N,bo'yin,пыр
19,Genick::N,gardan,ӗнсе
20,Kopf::N,bosh,пуҫ
21,Rücken::N,orqa,ҫурӑм
22,Bauch::N,qorin,
23,Nabel::N,kindik,кӑвапа
24,Busen::N,ämchak,кӑкӑр
25,Brust::N,ko'krak,умӗ
26,Schulter::N,elka,хул пуҫҫи
27,Arm::N,bilak,алӑ
28,Ellenbogen::N,tirsak,чавса
29,Hand::N,qo'l,алӑ сыппи
30,Handfläche::N,kaft,ал лаппи
31,Finger::N,barmoq,пӳрне
32,Fingernagel::N,tirnoq,чӗрне
33,Nagel[Anatomie]::N,tirnoq,чӗрне
34,Zeh::N,oyoq barmog'i,пӳрне
35,Fuß::N,oyoq,ура лаппи
36,Ferse::N,tovon,кӗле
37,Knie::N,tiz,чӗркуҫҫи
38,Oberschenkel::N,son,пӗҫӗ
39,Bein::N,oyoq,ура
40,Körper::N,badna,ӳт
41,Körper::N,badna,ӳт-пӳ
42,Haut::N,teri,тир
43,Blut::N,qon,юн
44,Ader::N,qon tomir,вена
45,Sehne::N,tomir,шӑнӑр
46,Knochen::N,suyak,шӑмӑ
47,Gehirn::N,miya,миме
48,Herz::N,qalb,чӗре
49,Magen::N,oshqozon,хырӑмлӑх
50,Leber::N,bag'ir,пӗвер
51,Atem::N,dam,сывлав
52,Hunger::N,ochlik,выҫлӑх
53,Träne::N,yosh,куҫҫуль
54,Geschmack::N,tam,техӗм
55,Geruch::N,jid,шӑршӑ
56,Schlaf::N,uyqu,ыйхӑ
57,Traum::N,tush,тӗлӗк
58,Himmel::N,osmon,пӗлӗт
59,Sonne::N,quyosh,хӗвел
60,Mond::N,oy,уйӑх
61,Stern::N,yulduz,ҫӑлтӑр
62,Luft::N,havo,сывлӑш
63,Wind::N,el,ҫил
64,Welle::N,to'lqin,хум
65,Wasser::N,suv,шыв
66,Wasser::N,suv,шыв-шур
67,Stein::N,tosh,чул
68,Boden::N,tuproq,тӑпра
69,Erde::N,er,ҫӗр
70,Staub::N,chang,тусан
71,Rauch::N,tutun,тӗтӗм
72,Funke::N,yalt,хӗм
73,Feuer::N,o't,вут
74,Feuer::N,o't,ҫулӑм
75,Licht::N,yorug',ҫутӑ
76,Schatten::N,soya,сулхӑн
77,Wetter::N,havo,ҫанталӑк
78,Nebel::N,tuman,тӗтре
79,Wolke::N,bulut,пӗлӗт
80,Regen::N,yomg'ir,ҫумӑр
81,Schnee::N,qor,юр
82,Eis::N,muz,пӑр
83,Frost::N,ajoz,сивӗ
84,Kälte::N,ajoz,сивӗ
85,Hitze::N,issiq,вӗри
86,Hitze::N,issiq,шӑрӑх
87,Raureif::N,qirov,пас
88,Regenbogen::N,kamalak,асамат кӗперӗ
89,Donner::N,guldur,аслати
90,Strömung::N,oqim,юхӑ
91,Tropfen::N,tomchi,тумлам
92,Schaum::N,ko'pik,кӑпӑк
93,Schmutz::N,gard,пылчӑк
94,See::N,ko'l,кӳлӗ
95,Sumpf::N,botqoq,шур
96,Sumpf::N,botqoq,шурлӑх
97,Moor::N,qir-adir,торфлӑ шурлӑх
98,Wiese::N,o'tzor,улӑх
99,Wiese::N,o'tzor,ҫаран
100,Wald::N,o'rmon,вӑрман
101,Hügel::N,tepa,сӑрт
102,Hügel::N,tepa,тӗмеске
103,Anhöhe::N,adir,сӑрт
104,Berg::N,tog',ту
105,Gipfel::N,cho'qqi,тӳпе
106,Höhle::N,kavak,ҫӗр хӑвӑлӗ
107,Abhang::N,to'sh,тӑвайкки
108,Quelle::N,buloq,ҫӑл куҫ
109,Bach::N,o'zan,пӗчӗк шыв
110,Fluss::N,daryo,юхан шыв
111,Ufer::N,sohil,ҫыран
112,Küste::N,qirg'oq,тинӗс ҫыранӗ
113,Festland::N,materik,тип ҫӗр
114,Meer::N,dengiz,тинӗс
115,Bucht::N,qo'ltiq,тинӗс кукӑрӗ
116,Insel::N,orol,утрав
117,Blume::N,gul,чечек
118,Gras::N,sabza,курӑк
119,Wurzel::N,tub,тымар
120,Wurzel::N,tomir,тымар
121,Baum::N,daraxt,йывӑҫ
122,Stamm::N,o'simta,вулӑ
123,Rinde::N,qobiq,хуйӑр
124,Ast::N,shox,турат
125,Zweig::N,butoq,турат
126,Blatt::N,barg,ҫулҫӑ
127,Birke::N,qayin,хурӑн
128,Kiefer[Baum]::N,qarag'ay,хыр
129,Weide[Baum]::N,shum,хӑва
130,Tanne::N,archa,чӑрӑш
131,Horn::N,mugiz,мӑйрака
132,Feder::N,par,тӗк
133,Fell::N,mo'yna,ҫӑм
134,Flügel::N,qanot,ҫунат
135,Klaue::N,tirnoq,чӗрне
136,Kralle::N,tirnoq,ура
137,Schwanz::N,quyruq,хӳре
138,Ei::N,tuxum,ҫӑмарта
139,Nest::N,oshyon,йӑва
140,Bau::N,o'pqon,йӗнӗ
141,Tier::N,hayvon,выльӑх
142,Herde::N,gala,кӗтӳ
143,Kuh::N,inak,ӗне
144,Bulle::N,ho'kiz,вӑкӑр
145,Pferd::N,ot,лаша
146,Schaf::N,qo'y,сурӑх
147,Schwein::N,cho'chqa,сысна
148,Hund::N,it,йытӑ
149,Katze::N,mushuk,кушак
150,Bär::N,ayiq,упа
151,Eichhörnchen::N,tiyin,пакша
152,Elch::N,los,пӑши
153,Fuchs::N,tulki,тилӗ
154,Hase::N,kuyon,куян
155,Hase::N,kuyon,мулкач
156,Maus::N,sichqon,шӑши
157,Wolf::N,bo'ri,кашкӑр
158,Vogel::N,qush,кайӑк
159,Vogel::N,qush,вӗҫен кайӑк
160,Schwarm::N,to'da,ушкӑн
161,Huhn::N,tovuq,чӑх
162,Huhn::N,tovuq,чӑхӑ
163,Hahn::N,xo'roz,автан
164,Gans::N,g'oz,хур
165,Adler::N,burgut,ӑмӑрт кайӑк
166,Ente::N,o'rdak,кӑвакал
167,Eule::N,boyo'g'li,тӑмана
168,Kranich::N,turna,тӑрна
169,Krähe::N,qarg'a,ула курак
170,Kuckuck::N,kakku,куккук
171,Schwan::N,oqkush,акӑш
172,Fisch::N,baliq,пулӑ
173,Barsch::N,olabug'a,уланкӑ
174,Hecht::N,cho'rtan,ҫӑрттан
175,Schlange[Tier]::N,ilon,ҫӗлен
176,Wurm::N,qurt,ӑман
177,Spinne::N,o'rgimchak,эрешмен
178,Ameise::N,chumoli,кӑткӑ
179,Laus::N,bit,пыйтӑ
180,Mücke::N,chivin,вӑрӑм туна
181,Fliege::N,pashsha,шӑна
182,Schmetterling::N,kapalak,лӗпӗш
183,Beere::N,meva,ҫырла
184,Apfel::N,olma,улма
185,Apfel::N,olma,пан улми
186,Pilz::N,qo'ziqorin,кӑмпа
187,Zwiebel::N,piyoz,сухан
188,Saat::N,äkin,вӑрӑ
189,Korn::N,zarra,тӗшӗ
190,Korn::N,zarra,пӗрчӗ
191,Heu::N,xashak,утӑ
192,Schale::N,po'choq,хупӑ
193,Grube::N,co'ra,шӑтӑк
194,Falle::N,qopqon,тапӑ
195,Falle::N,qopqon,капкӑн
196,Schlinge::N,sirtmoq,йӑлӑ
197,Spur::N,iz,йӗр
198,Asche::N,kul,кӗл
199,Dreck::N,kir,пылчӑк
200,Eisen::N,temir,тимӗр
201,Gold::N,tilla,ылтӑн
202,Silber::N,kumush,кӗмӗл
203,Kohle::N,ko'mir,кӑмрӑк
204,Glas::N,oyna,кӗленче
205,Lehm::N,loy,тӑм
206,Sand::N,qum,хӑйӑр
207,Mensch::N,odam,ҫын
208,Mensch::N,odam,этем
209,Mann::N,ärkak,ар
210,Frau::N,ayol,хӗрарӑм
211,Kind::N,bola,ача
212,Kind::N,kichkintoy,ача
213,Junge::N,bola,ача
214,Junge::N,bola,ар ҫын ача
215,Mädchen::N,qiz,хӗр ача
216,Familie::N,oila,ҫемье
