,Concept_ID,ml,el
0,Auge::N,കണ്ണ്,μάτι
1,Auge::N,കണ്ണ്,οφθαλμός
2,Ohr::N,ചെവി,αυτί
3,Nase::N,മൂക്ക്,μύτη
4,Mund::N,വായ,στόμα
5,Zahn::N,പല്ല്,δόντι
6,Zunge::N,നാക്ക്,γλώσσα
7,Lippe::N,ചുണ്ട്,χείλος
8,Wange::N,കവിൾത്തടം,παρειά
9,Wange::N,കവിൾത്തടം,μάγουλο
10,Gesicht::N,മുഖം,πρόσωπο
11,Stirn::N,നെറ്റി,μέτωπο
12,Haar::N,തലമുടി,μαλλιά
13,Schnurrbart::N,മീശ,μουστάκι
14,Bart::N,താടിരോമം,γένια
15,Kinn::N,താടി,πιγούνι
16,Kiefer[Anatomie]::N,താടിയെല്ല്,σαγόνι
17,Kehle::N,കണ്ഠനാളം,λαρύγγι
18,Hals::N,കഴുത്ത്,λαιμός
19,Genick::N,പിടലി,σβέρκος
20,Kopf::N,തല,κεφάλι
21,Rücken::N,മുതുക്,ράχη
22,Bauch::N,നയറ്,κοιλιά
23,Nabel::N,നാഭി,αφαλός
24,Busen::N,സ്തനം,στήθος
25,Brust::N,സ്തനം,στήθος
26,Schulter::N,തോൾ,ώμος
27,Arm::N,കൈ,χέρι
28,Arm::N,കൈ,μπράτςο
29,Ellenbogen::N,കൈമുട്ട്,αγκώνας
30,Hand::N,കൈ,χέρι
31,Handfläche::N,ഉള്ളം കൈ,παλάμη
32,Finger::N,വിരൽ,δάχτυλο
33,Fingernagel::N,നഖം,νύχι
34,Nagel[Anatomie]::N,നഖം,νύχι
35,Zeh::N,കാൽവിരൽ,δάχτυλο του ποδιού
36,Fuß::N,കാൽപ്പാദം,πόδι
37,Ferse::N,ഉപ്പൂറ്റി,φτέρνα
38,Knie::N,കാൽമുട്ട്,γόνατο
39,Oberschenkel::N,തുട,μηρός
40,Bein::N,കാൽ,πόδι
41,Körper::N,ശരീരം,σώμα
42,Körper::N,ശരീരം,κορμί
43,Haut::N,ചർമ്മം,πετσί
44,Blut::N,രക്തം,αίμα
45,Ader::N,ഞരമ്പ്,φλέβα
46,Sehne::N,സ്നായു,νεύρο
47,Sehne::N,സ്നായു,τένοντας
48,Knochen::N,അസ്ഥി,οστό
49,Knochen::N,അസ്ഥി,κόκκαλο
50,Gehirn::N,തലച്ചോറ്,μυαλό
51,Gehirn::N,തലച്ചോറ്,εγκέφαλος
52,Herz::N,ഹൃദയം,καρδιά
53,Magen::N,വയർ,στομάχι
54,Leber::N,കരൾ,ήπαρ
55,Leber::N,കരൾ,συκωτί
56,Atem::N,ശ്വാസം,αναπνοή
57,Hunger::N,വിശപ്പ്,πείνα
58,Träne::N,കണ്ണീർ,δάκρυ
59,Geschmack::N,രുചി,γεύση
60,Geruch::N,ഗന്ധം,οσμή
61,Geruch::N,ഗന്ധം,μυρωδία
62,Schlaf::N,ഉറകും,ύπνος
63,Traum::N,സ്വപ്നം,όνειρο
64,Himmel::N,ആകാശം,ουρανός
65,Sonne::N,സൂര്യൻ,ήλιος
66,Mond::N,ചന്ദ്രൻ,σελήνη
67,Mond::N,ചന്ദ്രൻ,φεγγάρι
68,Stern::N,നക്ഷത്രം,άστρο
69,Stern::N,നക്ഷത്രം,αστέρι
70,Luft::N,കാറ്റ്,αέρας
71,Wind::N,കാറ്റ്,αέρας
72,Wind::N,കാറ്റ്,άνεμος
73,Welle::N,തിരമാല,κύμα
74,Wasser::N,വെള്ളം,νερό
75,Stein::N,ശില,πέτρα
76,Stein::N,കല്ല്,πέτρα
77,Boden::N,തറ,χώμα
78,Boden::N,നിലം,χώμα
79,Erde::N,മണ്ണ്,γη
80,Staub::N,പൊടി,σκόνη
81,Rauch::N,പുക,καπνός
82,Funke::N,തീപ്പൊരി,σπίθα
