,Concept_ID,br,da
0,Auge::N,lagad,øje
1,Ohr::N,skouarn,øre
2,Nase::N,fri,næse
3,Mund::N,genoù,mund
4,Zahn::N,dant,tand
5,Zunge::N,teod,tunge
6,Lippe::N,muzell,læbe
7,Wange::N,chot,kind
8,Gesicht::N,dremm,ansigt
9,Stirn::N,tal,pande
10,Haar::N,blev,hår
11,Schnurrbart::N,mourenn,overskæg
12,Bart::N,barv,skæg
13,Kinn::N,groñj,hage
14,Kiefer[Anatomie]::N,javed,kæbe
15,Kehle::N,gouzoug,strube
16,Hals::N,gouzoug,hals
17,Genick::N,choug,nakke
18,Kopf::N,penn,hoved
19,Rücken::N,kein,ryg
20,Bauch::N,kof,mave
21,Nabel::N,begel,navle
22,Busen::N,bronn,barm
23,Brust::N,bruched,bryst
24,Schulter::N,skoaz,skulder
25,Arm::N,brec'h,arm
26,Ellenbogen::N,ilin,albue
27,Hand::N,dorn,hånd
28,Handfläche::N,palv,håndflade
29,Finger::N,biz,finger
30,Fingernagel::N,ivin,fingernegl
31,Nagel[Anatomie]::N,ivin,negl
32,Zeh::N,biz-troad,tå
33,Fuß::N,troad,fod
34,Ferse::N,seul,hæl
35,Knie::N,glin,knæ
36,Oberschenkel::N,morzhed,lår
37,Bein::N,gar,ben
38,Körper::N,korf,krop
39,Körper::N,korf,legeme
40,Haut::N,kroc'hen,hud
41,Blut::N,gwad,blod
42,Ader::N,gwazhi,åre
43,Sehne::N,stir,sene
44,Knochen::N,askorn,ben
45,Gehirn::N,empenn,hjerne
46,Herz::N,kalon,hjerte
47,Magen::N,stomog,mave
48,Leber::N,avu,lever
49,Atem::N,anal,ånde
50,Hunger::N,naon,sult
51,Träne::N,daer,tåre
52,Geschmack::N,blaz,smag
53,Geruch::N,c'hwezh,lugt
54,Schlaf::N,kousked,søvn
55,Traum::N,hune,drøm
56,Himmel::N,oabl,himmel
57,Sonne::N,heol,sol
58,Mond::N,loar,måne
59,Stern::N,steredenn,stjerne
60,Luft::N,aer,luft
61,Wind::N,avel,vind
62,Welle::N,houlenn,bølge
63,Wasser::N,dour,vand
64,Stein::N,maen,sten
65,Boden::N,tachenn,jord
66,Erde::N,douar,jord
67,Staub::N,poultr,støv
68,Rauch::N,moged,røg
69,Funke::N,ful,gnist
70,Feuer::N,tan,ild
71,Licht::N,gouloù,lys
72,Schatten::N,disheol,skygge
73,Wetter::N,amzer,vejr
74,Nebel::N,brumenn,tåge
75,Wolke::N,koumoulenn,sky
76,Regen::N,glav,regn
77,Schnee::N,erc'h,sne
78,Eis::N,skorn,is
79,Frost::N,rev,frost
80,Kälte::N,yen,kulde
81,Hitze::N,tommder,hede
82,Raureif::N,frim,rimfrost
83,Regenbogen::N,gwareg-ar-glav,regnbue
84,Donner::N,kurun,torden
85,Strömung::N,red,strømning
86,Tropfen::N,bannac'h,dråbe
87,Tropfen::N,takenn,dråbe
88,Schaum::N,spoum,skum
89,Schmutz::N,fank,snavs
90,See::N,lenn,sø
91,Sumpf::N,gwern,sump
92,Moor::N,taouarc'heg,mose
93,Wiese::N,prad,eng
94,Wald::N,koad,skov
95,Hügel::N,torgenn,høj
96,Hügel::N,torgenn,bakke
97,Anhöhe::N,run,høj
98,Anhöhe::N,run,bakke
99,Berg::N,menez,bjerg
100,Gipfel::N,barr,top
101,Höhle::N,kav,hule
102,Abhang::N,naou,skrænt
103,Abhang::N,naou,skråning
104,Quelle::N,feunteun,kilde
105,Bach::N,gwazh,bæk
106,Fluss::N,stêr,flod
107,Ufer::N,ribl,bred
108,Küste::N,aod,kyst
109,Festland::N,douar,fastland
110,Meer::N,mor,hav
111,Bucht::N,mor-bihan,bugt
112,Insel::N,enez,ø
113,Blume::N,bleunienn,blomst
114,Gras::N,geot,græs
115,Wurzel::N,gwrizienn,rod
116,Baum::N,gwezenn,træ
117,Stamm::N,kef,stamme
118,Rinde::N,rusk,bark
119,Ast::N,barr,gren
120,Zweig::N,bod,kvist
121,Blatt::N,delienn,blad
122,Birke::N,bezvenn,birk
123,Kiefer[Baum]::N,pinenn,fyrretræ
124,Weide[Baum]::N,halegenn,piletræ
125,Tanne::N,sapenn,gran
126,Horn::N,korn,horn
127,Feder::N,pluñv,fjer
128,Fell::N,kreoñ,skind
129,Flügel::N,askell,vinge
130,Klaue::N,skilf,klov
131,Kralle::N,skilf,klo
132,Schwanz::N,lost,hale
133,Ei::N,vi,æg
134,Nest::N,neizh,rede
135,Bau::N,douarenn,bo
136,Tier::N,loen,dyr
137,Herde::N,tropell,flok
138,Kuh::N,buoc'h,ko
139,Bulle::N,tarv,tyr
140,Pferd::N,marc'h,hest
141,Schaf::N,dañvad,får
