,Concept_ID,uz,is
0,Auge::N,ko'z,auga
1,Ohr::N,quloq,eyra
2,Nase::N,burun,nef
3,Mund::N,og'iz,munnur
4,Zahn::N,tish,tönn
5,Zunge::N,til,tunga
6,Lippe::N,dudoq,vör
7,Wange::N,bet,kinn
8,Wange::N,bet,vangi
9,Gesicht::N,yuz,andlit
10,Stirn::N,manglay,enni
11,Haar::N,soch,hár
12,Schnurrbart::N,mo'ylov,yfirskegg
13,Bart::N,soqol,skegg
14,Kinn::N,ängak,haka
15,Kiefer[Anatomie]::N,iyak,kjálki
16,Kiefer[Anatomie]::N,iyak,skoltur
17,Kehle::N,bo'g'iz,kverk
18,Hals::N,bo'yin,háls
19,Genick::N,gardan,hnakki
20,Kopf::N,bosh,höfuð
21,Rücken::N,orqa,hryggur
22,Bauch::N,qorin,kviður
23,Nabel::N,kindik,nafli
24,Busen::N,ämchak,barmur
25,Brust::N,ko'krak,brjóst
26,Schulter::N,elka,öxl
27,Arm::N,bilak,armur
28,Ellenbogen::N,tirsak,olnbogi
29,Hand::N,qo'l,hönd
30,Handfläche::N,kaft,lófi
31,Finger::N,barmoq,fingur
32,Fingernagel::N,tirnoq,fingurnögl
33,Nagel[Anatomie]::N,tirnoq,nögl
34,Zeh::N,oyoq barmog'i,tá
35,Fuß::N,oyoq,fótur
36,Ferse::N,tovon,hæll
37,Knie::N,tiz,kné
38,Oberschenkel::N,son,læri
39,Bein::N,oyoq,fótleggur
40,Körper::N,badna,búkur
41,Körper::N,badna,líkami
42,Haut::N,teri,húð
43,Haut::N,teri,skinn
44,Blut::N,qon,blóð
45,Ader::N,qon tomir,æð
46,Sehne::N,tomir,sin
47,Knochen::N,suyak,bein
48,Gehirn::N,miya,heili
49,Herz::N,qalb,hjarta
50,Magen::N,oshqozon,magi
51,Leber::N,bag'ir,lifur
52,Atem::N,dam,andi
53,Atem::N,dam,andardráttur
54,Hunger::N,ochlik,hungur
55,Träne::N,yosh,tár
56,Geschmack::N,tam,smekkur
57,Geruch::N,jid,lykt
58,Schlaf::N,uyqu,svefn
59,Traum::N,tush,draumur
60,Himmel::N,osmon,himinn
61,Sonne::N,quyosh,sól
62,Mond::N,oy,tungl
63,Stern::N,yulduz,stjarna
64,Luft::N,havo,loft
65,Wind::N,el,vindur
66,Welle::N,to'lqin,alda
67,Welle::N,to'lqin,bylgja
68,Wasser::N,suv,vatn
69,Stein::N,tosh,steinn
70,Boden::N,tuproq,botn
71,Erde::N,er,jörð
72,Staub::N,chang,ryk
73,Staub::N,chang,duft
74,Rauch::N,tutun,reykur
75,Funke::N,yalt,neisti
76,Feuer::N,o't,eldur
77,Licht::N,yorug',ljós
78,Schatten::N,soya,skuggi
79,Wetter::N,havo,veður
80,Nebel::N,tuman,þoka
81,Wolke::N,bulut,ský
82,Regen::N,yomg'ir,regn
83,Schnee::N,qor,snjór
84,Eis::N,muz,ís
85,Frost::N,ajoz,frost
86,Kälte::N,ajoz,kuldi
87,Hitze::N,issiq,hiti
88,Raureif::N,qirov,hrím
89,Regenbogen::N,kamalak,regnbogi
90,Donner::N,guldur,þruma
91,Strömung::N,oqim,straumur
92,Tropfen::N,tomchi,dropi
93,Schaum::N,ko'pik,froða
94,Schmutz::N,gard,óhreinindi
95,See::N,ko'l,stöðuvatn
96,Sumpf::N,botqoq,fen
97,Moor::N,qir-adir,mýri
98,Wiese::N,o'tzor,engi
99,Wald::N,o'rmon,skógur
100,Hügel::N,tepa,hæð
101,Hügel::N,tepa,hóll
102,Anhöhe::N,adir,hæð
103,Anhöhe::N,adir,hóll
104,Berg::N,tog',fell
105,Berg::N,tog',fjall
106,Gipfel::N,cho'qqi,tindur
107,Höhle::N,kavak,hellir
108,Abhang::N,to'sh,hlíð
109,Abhang::N,to'sh,brekka
110,Quelle::N,buloq,lind
111,Quelle::N,buloq,uppspretta
112,Bach::N,o'zan,lækur
113,Fluss::N,daryo,á
114,Fluss::N,daryo,fljót
115,Ufer::N,sohil,árbakki
116,Ufer::N,sohil,sjávarbakki
117,Küste::N,qirg'oq,strönd
118,Festland::N,materik,meginland
119,Meer::N,dengiz,haf
120,Meer::N,dengiz,sjór
121,Bucht::N,qo'ltiq,vík
122,Insel::N,orol,eyja
123,Blume::N,gul,blóm
124,Gras::N,sabza,gras
125,Wurzel::N,tub,rót
126,Wurzel::N,tomir,rót
127,Baum::N,daraxt,tré
128,Stamm::N,o'simta,stofn
129,Rinde::N,qobiq,börkur
130,Ast::N,shox,grein
131,Zweig::N,butoq,angi
132,Zweig::N,butoq,kvistur
133,Blatt::N,barg,blað
134,Birke::N,qayin,birki
135,Kiefer[Baum]::N,qarag'ay,fura
136,Weide[Baum]::N,shum,víðir
137,Tanne::N,archa,greni
138,Horn::N,mugiz,horn
139,Feder::N,par,fjöður
140,Fell::N,mo'yna,skinn
141,Flügel::N,qanot,vængur
142,Klaue::N,tirnoq,kló
143,Kralle::N,tirnoq,kló
144,Schwanz::N,quyruq,rófa
145,Schwanz::N,quyruq,skott
146,Ei::N,tuxum,egg
147,Nest::N,oshyon,hreiður
148,Bau::N,o'pqon,greni
149,Bau::N,o'pqon,bæli
150,Tier::N,hayvon,dýr
151,Herde::N,gala,hjörð
152,Kuh::N,inak,kýr
153,Bulle::N,ho'kiz,boli
154,Pferd::N,ot,hestur
155,Schaf::N,qo'y,kind
156,Schwein::N,cho'chqa,svín
157,Hund::N,it,hundur
158,Katze::N,mushuk,köttur
159,Bär::N,ayiq,björn
160,Eichhörnchen::N,tiyin,íkorni
161,Elch::N,los,elgur
162,Fuchs::N,tulki,refur
163,Hase::N,kuyon,héri
164,Maus::N,sichqon,mús
165,Wolf::N,bo'ri,úlfur
166,Vogel::N,qush,fugl
167,Schwarm::N,to'da,sægur
168,Huhn::N,tovuq,hæna
169,Hahn::N,xo'roz,hani
170,Gans::N,g'oz,gæs
171,Adler::N,burgut,örn
172,Ente::N,o'rdak,önd
173,Eule::N,boyo'g'li,uggla
174,Kranich::N,turna,trana
175,Krähe::N,qarg'a,kráka
176,Kuckuck::N,kakku,gaukur
177,Schwan::N,oqkush,svanur
178,Fisch::N,baliq,fiskur
179,Barsch::N,olabug'a,aborri
180,Hecht::N,cho'rtan,gedda
181,Schlange[Tier]::N,ilon,naðra
182,Wurm::N,qurt,ormur
183,Spinne::N,o'rgimchak,kónguló
184,Ameise::N,chumoli,maur
185,Laus::N,bit,lús
186,Mücke::N,chivin,mý
187,Mücke::N,chivin,mýfluga
188,Fliege::N,pashsha,fluga
189,Schmetterling::N,kapalak,fiðrildi
190,Beere::N,meva,ber
191,Apfel::N,olma,epli
192,Pilz::N,qo'ziqorin,sveppur
193,Zwiebel::N,piyoz,laukur
194,Saat::N,äkin,fræ
195,Saat::N,äkin,útsæði
196,Korn::N,zarra,korn
197,Heu::N,xashak,hey
198,Schale::N,po'choq,hýði
199,Grube::N,co'ra,gryfja
200,Falle::N,qopqon,gildra
201,Schlinge::N,sirtmoq,snara
202,Spur::N,iz,spor
203,Asche::N,kul,aska
204,Dreck::N,kir,óþverri
205,Eisen::N,temir,járn
206,Gold::N,tilla,gull
207,Silber::N,kumush,silfur
208,Kohle::N,ko'mir,kol
209,Glas::N,oyna,gler
210,Lehm::N,loy,leir
211,Sand::N,qum,sandur
212,Mensch::N,odam,maður
213,Mensch::N,odam,manneskja
214,Mann::N,ärkak,maður
215,Mann::N,ärkak,karlmaður
216,Frau::N,ayol,kona
217,Kind::N,bola,barn
218,Kind::N,bola,krakki
219,Kind::N,kichkintoy,barn
220,Kind::N,kichkintoy,krakki
221,Junge::N,bola,drengur
222,Mädchen::N,qiz,stelpa
223,Familie::N,oila,fjölskylda
224,Großvater::N,buva,afi
225,Großvater::N,katta ota,afi
226,Großmutter::N,buvi,amma
227,Großmutter::N,katta oyi,amma
228,Eltern::N,ota-ona,foreldrar
229,Vater::N,ota,faðir
230,Mutter::N,ona,móðir
231,Sohn::N,o'g'il,sonur
232,Tochter::N,qiz,dóttir
233,Bruder::N,og'a,bróðir
234,Bruder::N,uka,bróðir
235,Schwester::N,opa,systir
236,Schwester::N,singil,systir
237,Onkel::N,amaki,föðurbróðir
238,Tante::N,amma,frænka
239,Tante::N,amma,móðursystir
240,Tante::N,xola,frænka
241,Tante::N,xola,móðursystir
242,Ehemann::N,är,eiginmaður
243,Ehefrau::N,rafiqa,eiginkona
244,Freude::N,ayish,gleði
245,Gelächter::N,kulgi,hlátur
246,Glück::N,saodat,gæfa
247,Kummer::N,g'am,sorg
248,Wunsch::N,orzu,ósk
249,Lust::N,rag'bat,fýsn
250,Lust::N,rag'bat,löngun
251,Geist::N,ruh,andi
252,Gedanke::N,fikr,hugsun
253,Gedächtnis::N,äs,minni
254,Verstand::N,aql,vit
255,Sinn::N,ma'ni,merking
256,Grund::N,sabab,ástæða
257,Wahrheit::N,haq,sannleikur
258,Gespräch::N,gap,samtal
259,Märchen::N,ärtak,ævintýri
260,Erzählung::N,rivoyat,saga
261,Nachricht::N,xabar,frétt
262,Neuigkeit::N,yangilik,frétt
263,Name::N,ot,nafn
264,Rätsel::N,topishmoq,gáta
265,Rede::N,nutq,ræða
266,Sprache::N,til,mál
267,Sprache::N,til,tungumál
268,Stimme::N,ovoz,rödd
269,Wort::N,so'z,orð
270,Zeichen::N,alomat,tákn
271,Zeichen::N,alomat,merki
272,Ruf::N,chaqiriq,kall
273,Lärm::N,taraq,hávaði
274,Laut::N,tovush,hljóð
275,Ton::N,un,tónn
276,Lied::N,ashula,ljóð
277,Lied::N,ashula,söngur
278,Ruhe::N,tinchlik,ró
279,Ruhe::N,tinchlik,kyrrð
280,Leute::N,xaloyiq,fólk
281,Volk::N,xalq,þjóð
282,Arbeit::N,ish,vinna
283,Gast::N,mehmon,gestur
284,Geschenk::N,hadya,gjöf
285,Spiel::N,o'yin,leikur
286,Gesellschaft::N,jamiyat,selskapur
287,Hilfe::N,yordam,hjálp
288,Freund::N,do'st,vinur
289,Kamerad::N,yo'ldosh,félagi
290,Angelegenheit::N,daxl,mál
291,Angelegenheit::N,daxl,málefni
292,Anzahl::N,son,tala
293,Anzahl::N,son,fjöldi
294,Art::N,tur,tegund
295,Stück::N,parcha,biti
296,Stück::N,parcha,stykki
297,Teil::N,bo'lak,hluti
298,Teil::N,bo'lak,partur
299,Hälfte::N,yarim,helmingur
300,Kreis::N,aylana,hringur
301,Kreuz::N,xoch,kross
302,Kreuz::N,xoch,krossmark
303,Linie::N,liniya,lína
304,Strich::N,chiziq,strik
305,Abstand::N,oralik,millibil
306,Entfernung::N,uzoqlik,fjarlægð
307,Gegend::N,yer,hérað
308,Platz::N,oralig,pláss
309,Ort::N,joy,staður
310,Seite::N,yon,hlið
311,Mitte::N,o'rta,miðja
312,Gegenstand::N,ashyo,hlutur
313,Sache::N,buyum,mál
314,Rand::N,chek,brún
315,Kante::N,tig',rönd
316,Ecke::N,burchak,horn
317,Spitze::N,uch,oddur
318,Ende::N,oxir,endi
319,Loch::N,teshik,gat
320,Loch::N,teshik,hola
321,Winkel::N,go'sha,skot
322,Winkel::N,go'sha,krókur
323,Muster::N,nusha,munstur
324,Größe::N,kattalik,stærð
325,Länge::N,uzunlik,lengd
326,Höhe::N,yuksaklik,hæð
327,Gewicht::N,solmoq,vigt
328,Gewicht::N,solmoq,þyngd
329,Menge::N,miqdor,magn
330,Haufen::N,uyum,hrúga
331,Haufen::N,uyum,haugur
332,Reihe::N,saf,röð
333,Boot::N,qayiq,bátur
334,Ruder::N,äshkak,ár
335,Schlitten::N,chana,sleði
336,Ski::N,chang'i,skíði
337,Lagerfeuer::N,gulxan,varðeldur
338,Last::N,yuk,byrði
339,Last::N,yuk,farmur
340,Gang::N,yurish,ganga
341,Schritt::N,qadam,skref
342,Norden::N,shimol,norður
343,Süden::N,janub,suður
344,Westen::N,g'arb,vestur
345,Osten::N,sharq,austur
346,Holz::N,yog'och,viður
347,Brett::N,taxta,fjöl
348,Platte::N,tabaqa,flötur
349,Stütze::N,tayanchi,stoð
350,Stange::N,qo'noq,stöng
351,Stock::N,tayoq,prik
352,Stock::N,tayoq,stafur
353,Stab::N,gavron,prik
354,Stab::N,gavron,stafur
355,Rohr::N,tarnov,rör
356,Rohr::N,tarnov,pípa
357,Haus::N,uy,hús
358,Heim::N,makon,heimili
359,Ofen::N,pechka,ofn
360,Fußboden::N,pol,gólf
361,Tisch::N,mosa,borð
362,Stuhl::N,o'rindiq,stóll
363,Wiege::N,beshik,vagga
364,Bett::N,yotoq,rúm
365,Bett::N,yotoq,hvíla
366,Regal::N,tokcha,hilla
367,Kiste::N,sandiq,kassi
368,Fenster::N,deraza,gluggi
369,Tür::N,äshik,dyr
370,Tür::N,äshik,hurð
371,Tor::N,darvoza,hlið
372,Zaun::N,panjara,girðing
373,Zaun::N,panjara,limgarður
374,Dach::N,tom,þak
375,Leiter::N,narvon,stigi
376,Besen::N,supurgi,sópur
377,Spaten::N,bel,spaði
378,Schaufel::N,kurak,skófla
379,Gabel::N,bilka,gaffall
380,Löffel::N,qoshiq,skeið
381,Messer::N,pichoq,hnífur
382,Nagel::N,mix,nögl
383,Netz::N,to'r,net
384,Haken::N,ilgak,krókur
385,Griff::N,sop,tak
386,Griff::N,tutqich,tak
387,Schloss::N,qulf,lás
388,Bild::N,rasm,mynd
389,Figur::N,shakl,stytta
390,Puppe::N,ko'g'irchoq,brúða
391,Beutel::N,to'rva,poki
392,Beutel::N,to'rva,baggi
393,Bündel::N,bog'lam,böggull
394,Tasche::N,kissa,veski
395,Eimer::N,chelak,fata
396,Deckel::N,qopqoq,lok
397,Geschirr::N,idish,leirtau
398,Sack::N,qop,sekkur
399,Tasse::N,piyola,bolli
400,Topf::N,tuvak,pottur
401,Kessel::N,qozon,ketill
402,Essen::N,tomoq,matur
403,Nahrung::N,emak,fæða
404,Speise::N,taom,réttur
405,Speise::N,taom,matarréttur
406,Fleisch::N,go'sht,kjöt
407,Getreide::N,g'alla,korn
408,Brei::N,bo'tqa,grautur
409,Brot::N,non,brauð
410,Scheibe::N,disk,sneið
411,Fett::N,moy,fita
412,Butter::N,yog',smjör
413,Öl::N,moy,olía
414,Salz::N,tuz,salt
415,Suppe::N,sho'rva,súpa
416,Honig::N,asal,hunang
417,Milch::N,sut,mjólk
418,Tee::N,choy,te
419,Leder::N,charm,skinn
420,Wolle::N,jun,ull
421,Stoff::N,mato,dúkur
422,Nadel::N,igna,nál
423,Faden::N,ip,þráður
424,Knopf::N,tugma,tala
425,Knopf::N,tugma,hnappur
426,Knoten::N,tugun,hnútur
427,Farbe::N,bo'yok,málning
428,Kleidung::N,kiyim,búningur
429,Kleidung::N,kiyim,klæðnaður
430,Hemd::N,ko'ylak,skyrta
431,Kragen::N,yoqa,kragi
432,Kragen::N,yoqa,flibbi
433,Ärmel::N,yeng,ermi
434,Hose::N,shim,buxur
435,Gürtel::N,tasma,belti
436,Mütze::N,shapka,húfa
437,Schuh::N,but,skór
438,Stiefel::N,botinka,stígvél
439,Ring::N,yuzuk,hringur
440,Band::N,rishta,band
441,Kamm::N,taroq,greiða
442,Spiegel::N,ko'zgu,spegill
443,Riemen::N,qayish,ól
444,Riemen::N,qayish,reim
445,Schnur::N,bog'ich,snúra
446,Leine::N,etak,band
447,Decke::N,odyol,teppi
448,Kissen::N,yostiq,koddi
449,Tuch::N,gazlama,klútur
450,Handtuch::N,sochiq,þurrka
451,Handtuch::N,sochiq,handklæði
452,Kraft::N,kuch,afl
453,Kraft::N,kuch,kraftur
454,Stärke::N,quvvat,styrkur
455,Gesundheit::N,sog'lik,heilsa
456,Gesundheit::N,sog'lik,heilbrigði
457,Krankheit::N,kasallik,sjúkdómur
458,Schmerz::N,og'riq,sársauki
459,Wunde::N,yara,sár
460,Fieber::N,bezgak,hitasótt
461,Arznei::N,dori,lyf
462,Brücke::N,ko'prik,brú
463,Brunnen::N,buloq,brunnur
464,Weide::N,yaylov,hagi
465,Pfad::N,dorojka,stígur
466,Weg::N,yo'l,vegur
467,Straße::N,ko'cha,gata
468,Straße::N,ko'cha,stræti
469,Dorf::N,ovul,þorp
470,Stadt::N,shahar,borg
471,Brief::N,maktub,bréf
472,Buch::N,kitob,bók
473,Buchstabe::N,harf,bókstafur
474,Zeitung::N,gazet,dagblað
475,Leben::N,hayot,líf
476,Tod::N,o'lim,dauði
477,Grab::N,go'r,gröf
478,Kirche::N,cherkov,kirkja
479,Sünde::N,gunoh,synd
480,Gott::N,olloh,guð
481,Arbeiter::N,ishchi,verkamaður
482,Chef::N,rais,yfirmaður
483,Meister::N,usta,meistari
484,Arzt::N,hakim,læknir
485,Lehrer::N,muallim,kennari
486,Geld::N,pul,peningar
487,Geschäft::N,savdo,viðskipti
488,Laden::N,do'kon,búð
489,Laden::N,do'kon,verslun
490,Preis::N,baho,verð
491,Ware::N,mol,vara
492,Nutzen::N,foyda,gagn
493,Reichtum::N,boylik,auður
494,Welt::N,olam,veröld
495,Land::N,o'lka,land
496,Staat::N,davlat,ríki
497,König::N,qirol,konungur
498,Macht::N,iqtidor,vald
499,Grenze::N,chegara,landamæri
500,Krieg::N,harb,stríð
501,Feind::N,dushman,fjandmaður
502,Gewalt::N,zo'rlik,ofbeldi
503,Kampf::N,kurash,bardagi
504,Bogen[Waffe]::N,yoy,bogi
505,Pfeil::N,o'q,ör
506,Gewehr::N,vintovka,byssa
507,Fehler::N,xato,villa
508,Lüge::N,yolg'on,lygi
509,Schaden::N,ziyon,skemmd
510,Unglück::N,balo,óhamingja
511,Schuld::N,ayb,sök
512,Alter::N,yosh,aldur
513,Schluss::N,tamom,lok
514,Schluss::N,tamom,endir
515,Zeit::N,vaqt,tími
516,Tag::N,kun,dagur
517,Morgen::N,saboh,morgunn
518,Mittag::N,kun tushlik,hádegi
519,Abend::N,oqshom,kvöld
520,Nacht::N,tun,nótt
521,Woche::N,hafta,vika
522,Monat::N,oy,mánuður
523,Jahr::N,yil,ár
524,Frühling::N,bahor,vor
525,Sommer::N,yoz,sumar
526,Herbst::N,kuz,haust
527,Herbst::N,xazon,haust
528,Winter::N,qish,vetur
529,Januar::N,yanvar',janúar
530,Februar::N,fevral',február
531,März::N,mart,mars
532,April::N,aprel',apríl
533,Mai::N,may,maí
534,Juni::N,iyun',júní
535,Juli::N,iyul',júlí
536,August::N,avgust,ágúst
537,September::N,sentyabr',september
538,Oktober::N,oktyabr',október
539,November::N,noyabr',nóvember
540,Dezember::N,dekabr',desember
541,Montag::N,dushanba,mánudagur
542,Dienstag::N,seshanba,þriðjudagur
543,Mittwoch::N,chorshanba,miðvikudagur
544,Donnerstag::N,payshanba,fimmtudagur
545,Freitag::N,juma,föstudagur
546,Samstag::N,shanba,laugardagur
547,Sonntag::N,yakshanba,sunnudagur
548,groß::A,buyuk,stór
549,klein::A,kichik,lítill
550,lang::A,uzun,langur
551,kurz::A,qisqa,stuttur
552,breit::A,keng,breiður
553,schmal::A,änsiz,mjór
554,dicht::A,quyuq,þéttur
555,dick[Gegenstand]::A,qalin,þykkur
556,dünn::A,ingichka,þunnur
