,Concept_ID,el,hi
0,Auge::N,μάτι,आँख
1,Auge::N,μάτι,चक्षु
2,Auge::N,οφθαλμός,आँख
3,Auge::N,οφθαλμός,चक्षु
4,Ohr::N,αυτί,कान
5,Ohr::N,αυτί,कर्ण
6,Nase::N,μύτη,नाक
7,Nase::N,μύτη,नासा
8,Mund::N,στόμα,मुख
9,Mund::N,στόμα,मुँह
10,Zahn::N,δόντι,दंत
11,Zahn::N,δόντι,दाँत
12,Zunge::N,γλώσσα,जीभ
13,Zunge::N,γλώσσα,ज़बान
14,Zunge::N,γλώσσα,जिह्वा
15,Lippe::N,χείλος,ओंठ
16,Lippe::N,χείλος,होंठ
17,Wange::N,παρειά,गाल
18,Wange::N,παρειά,कपोल
19,Wange::N,μάγουλο,गाल
20,Wange::N,μάγουλο,कपोल
21,Gesicht::N,πρόσωπο,मुँह
22,Gesicht::N,πρόσωπο,चेहरा
23,Stirn::N,μέτωπο,माथा
24,Stirn::N,μέτωπο,मस्तक
25,Haar::N,μαλλιά,बाल
26,Schnurrbart::N,μουστάκι,मूँछें
27,Bart::N,γένια,दाढ़ी
28,Kinn::N,πιγούνι,चिबुक
29,Kiefer[Anatomie]::N,σαγόνι,जबड़ा
30,Kehle::N,λαρύγγι,गला
31,Hals::N,λαιμός,गला
32,Hals::N,λαιμός,गरदन
33,Genick::N,σβέρκος,गरदन
34,Genick::N,σβέρκος,ग्रीवा
35,Kopf::N,κεφάλι,सिर
36,Kopf::N,κεφάλι,शीर्ष
37,Rücken::N,ράχη,पीठ
38,Bauch::N,κοιλιά,उदर
39,Nabel::N,αφαλός,नाभि
40,Nabel::N,αφαλός,ढोंढी
41,Busen::N,στήθος,कुच
42,Busen::N,στήθος,स्तन
43,Brust::N,στήθος,वक्ष
44,Schulter::N,ώμος,कंधा
45,Schulter::N,ώμος,स्कंध
46,Arm::N,χέρι,बाँह
47,Arm::N,χέρι,बाज़ू
48,Arm::N,μπράτςο,बाँह
49,Arm::N,μπράτςο,बाज़ू
50,Ellenbogen::N,αγκώνας,कुहनी
51,Hand::N,χέρι,हाथ
52,Hand::N,χέρι,हस्त
53,Handfläche::N,παλάμη,हथेली
54,Finger::N,δάχτυλο,उँगली
55,Finger::N,δάχτυλο,अँगुली
56,Fingernagel::N,νύχι,नख
57,Fingernagel::N,νύχι,नाख़ून
58,Nagel[Anatomie]::N,νύχι,नख
59,Nagel[Anatomie]::N,νύχι,नाख़ून
60,Zeh::N,δάχτυλο του ποδιού,उँगली
61,Zeh::N,δάχτυλο του ποδιού,पाँव की उँगली
62,Fuß::N,πόδι,चरण
63,Fuß::N,πόδι,पाँव
64,Ferse::N,φτέρνα,एड़ी
65,Knie::N,γόνατο,जानु
66,Knie::N,γόνατο,घुटना
67,Oberschenkel::N,μηρός,उरु
68,Bein::N,πόδι,टाँग
69,Körper::N,σώμα,तन
70,Körper::N,σώμα,देह
71,Körper::N,σώμα,शरीर
72,Körper::N,κορμί,तन
73,Körper::N,κορμί,देह
74,Körper::N,κορμί,शरीर
75,Haut::N,πετσί,चर्म
76,Haut::N,πετσί,त्वचा
77,Blut::N,αίμα,लहू
78,Blut::N,αίμα,ख़ून
79,Ader::N,φλέβα,रग
80,Ader::N,φλέβα,शिरा
81,Sehne::N,νεύρο,कंडरा
82,Sehne::N,νεύρο,स्नायु
83,Sehne::N,τένοντας,कंडरा
84,Sehne::N,τένοντας,स्नायु
85,Knochen::N,οστό,अस्थि
86,Knochen::N,κόκκαλο,अस्थि
87,Gehirn::N,μυαλό,दिमाग़
88,Gehirn::N,μυαλό,मस्तिष्क
89,Gehirn::N,εγκέφαλος,दिमाग़
90,Gehirn::N,εγκέφαλος,मस्तिष्क
91,Herz::N,καρδιά,दिल
92,Herz::N,καρδιά,हृदय
93,Magen::N,στομάχι,मेदा
94,Magen::N,στομάχι,अमाशय
95,Leber::N,ήπαρ,जिगर
96,Leber::N,ήπαρ,यकृत्
97,Leber::N,συκωτί,जिगर
98,Leber::N,συκωτί,यकृत्
99,Atem::N,αναπνοή,दम
100,Atem::N,αναπνοή,साँस
101,Atem::N,αναπνοή,श्वास
102,Hunger::N,πείνα,भूख
103,Hunger::N,πείνα,क्षुधा
104,Träne::N,δάκρυ,आँसू
105,Träne::N,δάκρυ,अश्रु
106,Geschmack::N,γεύση,स्वाद
107,Geschmack::N,γεύση,ज़ायक़ा
108,Geruch::N,οσμή,बू
109,Geruch::N,οσμή,गंध
110,Geruch::N,μυρωδία,बू
111,Geruch::N,μυρωδία,गंध
112,Schlaf::N,ύπνος,नींद
113,Schlaf::N,ύπνος,निद्रा
114,Traum::N,όνειρο,सपना
115,Traum::N,όνειρο,स्वप्न
116,Himmel::N,ουρανός,आकाश
117,Himmel::N,ουρανός,आसमान
118,Sonne::N,ήλιος,रवि
119,Sonne::N,ήλιος,सूरज
120,Sonne::N,ήλιος,सूर्य
121,Mond::N,σελήνη,चाँद
122,Mond::N,σελήνη,चंद्र
123,Mond::N,φεγγάρι,चाँद
124,Mond::N,φεγγάρι,चंद्र
125,Stern::N,άστρο,तारा
126,Stern::N,άστρο,सितारा
127,Stern::N,αστέρι,तारा
128,Stern::N,αστέρι,सितारा
129,Luft::N,αέρας,हवा
130,Luft::N,αέρας,वायु
131,Wind::N,αέρας,पाद
132,Wind::N,άνεμος,पाद
133,Welle::N,κύμα,लहर
134,Welle::N,κύμα,तरंग
135,Wasser::N,νερό,जल
136,Wasser::N,νερό,पानी
137,Stein::N,πέτρα,पत्थर
138,Boden::N,χώμα,मिट्टी
139,Erde::N,γη,भूमि
140,Erde::N,γη,ज़मीन
141,Staub::N,σκόνη,धूल
142,Rauch::N,καπνός,धूआँ
143,Rauch::N,καπνός,धुम्र
144,Funke::N,σπίθα,चिनगारी
145,Funke::N,σπίθα,स्फुलिंग
146,Funke::N,σπινθήρας,चिनगारी
147,Funke::N,σπινθήρας,स्फुलिंग
148,Feuer::N,φωτιά,आग
149,Feuer::N,φωτιά,आतिश
150,Feuer::N,φωτιά,अग्नि
151,Licht::N,φως,रोशनी
152,Licht::N,φως,प्रकाश
153,Schatten::N,σκιά,छाया
154,Schatten::N,σκιά,परछाई
155,Schatten::N,ίσκιος,छाया
156,Schatten::N,ίσκιος,परछाई
157,Wetter::N,καιρός,ऋतु
158,Wetter::N,καιρός,मौसम
159,Nebel::N,ομίχλη,धुँध
160,Nebel::N,ομίχλη,कुहरा
161,Wolke::N,σύννεφο,मेघ
162,Wolke::N,σύννεφο,अभ्र
163,Regen::N,βροχή,मेंह
164,Regen::N,βροχή,बारिश
