,Concept_ID,he,te
0,Auge::N,עין,కన్ను
1,Ohr::N,אזן,చెవి
2,Nase::N,אף,ముక్కు
3,Nase::N,חטם,ముక్కు
4,Mund::N,פה,నోరు
5,Zahn::N,שן,పల్లు
6,Zunge::N,לשון,నాలుక
7,Lippe::N,שפה,పెదవి
8,Wange::N,לחי,చెంప
9,Gesicht::N,פנים,ముఖము
10,Stirn::N,מצח,నుదురు
11,Haar::N,שערה,వెండ్రుక
12,Schnurrbart::N,שפם,మీసము
13,Bart::N,זקן,గడ్డము
14,Kinn::N,סנטר,గడ్డము
15,Kiefer[Anatomie]::N,לסת,దౌడ
16,Kehle::N,גרון,గొంతు
17,Hals::N,צואר,మెడ
18,Genick::N,ערף,మూపు
19,Kopf::N,ראש,తల
20,Rücken::N,גב,వెన్ను
21,Bauch::N,בטן,కడుపు
22,Nabel::N,טבור,బొడ్డు
23,Busen::N,שד,స్తనము
24,Brust::N,חזה,ఱొమ్ము
25,Schulter::N,כתף,భుజము
26,Arm::N,זרוע,చేయి
27,Ellenbogen::N,מרפק,మోచేయి
28,Hand::N,יד,చేయి
29,Handfläche::N,כף יד,అరచేయు
30,Finger::N,אצבע,చేతిప్రేలు
31,Fingernagel::N,צפרן,గోరు
32,Nagel[Anatomie]::N,צפרן,గోరు
33,Zeh::N,אצבע,కాలిప్రేలు
34,Fuß::N,רגל,అడుగు
35,Ferse::N,עקב,మడమ
36,Knie::N,ברך,మోకాలు
37,Oberschenkel::N,ירך,తొడ
38,Bein::N,רגל,కాలు
39,Körper::N,גוף,కాయము
40,Haut::N,עור,చర్మము
41,Blut::N,דם,రక్తము
42,Ader::N,וריד,సిర
43,Sehne::N,גיד,స్నాయువు
44,Knochen::N,עצם,ఎముక
45,Gehirn::N,מוח,మెదడు
46,Herz::N,לב,హృదయము
47,Magen::N,קבה,కడుపు
48,Leber::N,כבד,కాలేయము
49,Atem::N,נשימה,ఉపిరి
50,Hunger::N,רעב,ఆకలి
51,Träne::N,דמעה,కన్నీటిచుక్క
52,Geschmack::N,טעם,రుచి
53,Geruch::N,ריח,వాసన
54,Schlaf::N,שנה,నిద్ర
55,Traum::N,חלום,కల
56,Himmel::N,שמים,ఆకాశము
57,Sonne::N,שמש,సూర్యుడు
58,Mond::N,ירח,చంద్రుడు
59,Stern::N,כוכב,నక్షత్రము
60,Luft::N,אויר,గాలి
61,Wind::N,רוח,వీచుచున్నగాలి
62,Welle::N,גל,అల
63,Wasser::N,מים,నీరు
64,Stein::N,אבן,ఱాయి
65,Boden::N,קרקע,నేల
66,Erde::N,אדמה,మన్ను
67,Staub::N,אבק,దుమ్ము
68,Rauch::N,עשן,పొగ
69,Funke::N,ניצוץ,అగ్నికణము
70,Feuer::N,אש,అగ్ని
71,Licht::N,אור,కాంతి
