,Concept_ID,fi,pt
0,Auge::N,silmä,olho
1,Ohr::N,korva,orelha
2,Nase::N,nenä,nariz
3,Mund::N,suu,boca
4,Zahn::N,hammas,dente
5,Zunge::N,kieli,língua
6,Lippe::N,huuli,lábio
7,Wange::N,poski,face
8,Gesicht::N,naama,cara
9,Gesicht::N,naama,rosto
10,Gesicht::N,kasvot,cara
11,Gesicht::N,kasvot,rosto
12,Stirn::N,otsa,testa
13,Haar::N,hius,cabelo
14,Haar::N,tukka,cabelo
15,Schnurrbart::N,viikset,bigode
16,Bart::N,parta,barba
17,Kinn::N,leuka,queixo
18,Kiefer[Anatomie]::N,leukaluu,maxila
19,Kiefer[Anatomie]::N,leukaluu,mandíbula
20,Kehle::N,kurkku,garganta
21,Hals::N,kaula,colo
22,Hals::N,kaula,pescoço
23,Genick::N,niska,nuca
24,Kopf::N,pää,cabeça
25,Rücken::N,selkä,dorso
26,Rücken::N,selkä,costas
27,Bauch::N,maha,ventre
28,Bauch::N,maha,barriga
29,Bauch::N,vatsa,ventre
30,Bauch::N,vatsa,barriga
31,Nabel::N,napa,umbigo
32,Busen::N,rinta,seio
33,Brust::N,rinta,peito
34,Schulter::N,olka,ombro
35,Schulter::N,hartia,ombro
36,Schulter::N,olkapää,ombro
37,Arm::N,käsivarsi,braço
38,Ellenbogen::N,kyynärpää,cotovelo
39,Hand::N,käsi,mão
40,Handfläche::N,kämmen,palma
41,Handfläche::N,kämmen,palma da mão
42,Finger::N,sormi,dedo
43,Fingernagel::N,kynsi,unha
44,Nagel[Anatomie]::N,kynsi,unha
45,Zeh::N,varvas,dedo do pé
46,Fuß::N,jalka,pé
47,Ferse::N,kantapää,calcanhar
48,Knie::N,polvi,joelho
49,Oberschenkel::N,reisi,coxa
50,Bein::N,jalka,perna
51,Körper::N,keho,corpo
52,Körper::N,ruumis,corpo
53,Haut::N,iho,pele
54,Blut::N,veri,sangue
55,Ader::N,suoni,veia
56,Sehne::N,jänne,tendão
57,Knochen::N,luu,osso
58,Gehirn::N,aivot,cérebro
59,Herz::N,sydän,coração
60,Magen::N,maha,estômago
61,Magen::N,vatsa,estômago
62,Leber::N,maksa,fígado
63,Atem::N,henki,fôlego
64,Atem::N,hengitys,fôlego
65,Hunger::N,nälkä,fome
66,Träne::N,kyynel,lágrima
67,Geschmack::N,maku,gosto
68,Geruch::N,haju,odor
69,Geruch::N,haju,cheiro
70,Schlaf::N,uni,sono
71,Traum::N,uni,sonho
72,Himmel::N,taivas,céu
73,Sonne::N,aurinko,sol
74,Mond::N,kuu,lua
75,Stern::N,tähti,estrela
76,Luft::N,ilma,ar
77,Wind::N,tuuli,vento
78,Welle::N,aalto,onda
79,Wasser::N,vesi,água
80,Stein::N,kivi,pedra
81,Boden::N,maa,solo
82,Boden::N,maaperä,solo
83,Erde::N,maa,terra
84,Staub::N,pöly,pó
85,Rauch::N,savu,fumo
86,Funke::N,kipinä,faísca
87,Funke::N,kipinä,centelha
88,Feuer::N,tuli,fogo
89,Licht::N,valo,luz
90,Schatten::N,varjo,sombra
91,Wetter::N,sää,tempo
92,Nebel::N,sumu,nevoeiro
93,Wolke::N,pilvi,nuvem
94,Regen::N,sade,chuva
95,Schnee::N,lumi,neve
96,Eis::N,jää,gelo
97,Frost::N,halla,gelo
98,Frost::N,halla,geada
99,Frost::N,pakkanen,gelo
100,Frost::N,pakkanen,geada
101,Kälte::N,vilu,frio
102,Kälte::N,kylmyys,frio
103,Hitze::N,helle,ardor
104,Hitze::N,kuumuus,ardor
105,Raureif::N,huurre,geada
106,Regenbogen::N,sateenkaari,arco-iris
107,Donner::N,jyrinä,trovão
108,Strömung::N,virtaus,corrente
109,Tropfen::N,tippa,gota
110,Tropfen::N,pisara,gota
111,Schaum::N,vaahto,espuma
112,Schmutz::N,loka,sujidade
113,Schmutz::N,loka,imundície
114,See::N,järvi,lago
115,Sumpf::N,suo,charco
116,Sumpf::N,suo,pântano
117,Moor::N,räme,pântano
118,Wiese::N,niitty,prado
119,Wald::N,metsä,bosque
120,Wald::N,metsä,floresta
121,Hügel::N,mäki,colina
122,Hügel::N,kumpu,colina
123,Hügel::N,kukkula,colina
124,Anhöhe::N,mäki,alto
125,Anhöhe::N,mäki,outeiro
126,Anhöhe::N,kumpare,alto
127,Anhöhe::N,kumpare,outeiro
128,Berg::N,mäki,monte
129,Berg::N,mäki,montanha
130,Berg::N,vuori,monte
131,Berg::N,vuori,montanha
132,Gipfel::N,laki,pico
133,Gipfel::N,huippu,pico
134,Höhle::N,luola,caverna
135,Abhang::N,rinne,encosta
136,Quelle::N,lähde,fonte
137,Bach::N,puro,regato
138,Bach::N,puro,ribeiro
139,Fluss::N,joki,rio
140,Ufer::N,ranta,beira
141,Küste::N,rannikko,costa
142,Festland::N,manner,terra firme
143,Meer::N,meri,mar
144,Bucht::N,lahti,baía
145,Insel::N,saari,ilha
146,Blume::N,kukka,flor
147,Gras::N,ruoho,erva
148,Wurzel::N,juuri,raiz
149,Baum::N,puu,árvore
150,Stamm::N,runko,tronco
151,Rinde::N,kuori,casca
152,Rinde::N,parkki,casca
153,Ast::N,oksa,ramo
154,Zweig::N,haara,galho
155,Blatt::N,lehti,folha
156,Birke::N,koivu,bétula
157,Kiefer[Baum]::N,mänty,pinheiro
158,Kiefer[Baum]::N,petäjä,pinheiro
159,Weide[Baum]::N,paju,salgueiro
160,Tanne::N,kuusi,abeto
161,Horn::N,sarvi,corno
162,Horn::N,sarvi,chifre
163,Feder::N,sulka,pena
164,Feder::N,höyhen,pena
165,Fell::N,talja,pele
166,Flügel::N,siipi,asa
167,Klaue::N,kynsi,pata
168,Kralle::N,kynsi,unha
169,Kralle::N,kynsi,garra
170,Schwanz::N,häntä,rabo
171,Schwanz::N,häntä,cauda
172,Schwanz::N,pyrstö,rabo
173,Schwanz::N,pyrstö,cauda
174,Ei::N,muna,ovo
175,Nest::N,pesä,ninho
176,Bau::N,pesä,toca
177,Bau::N,pesä,covil
178,Tier::N,eläin,animal
179,Herde::N,lauma,rebanho
180,Kuh::N,lehmä,vaca
181,Bulle::N,sonni,touro
182,Pferd::N,hevonen,cavalo
183,Schaf::N,lammas,ovelha
184,Schwein::N,sika,porco
185,Hund::N,koira,cão
186,Katze::N,kissa,gata
187,Bär::N,karhu,urso
188,Eichhörnchen::N,orava,esquilo
189,Elch::N,hirvi,alce
190,Fuchs::N,kettu,raposa
191,Hase::N,jänis,lebre
192,Maus::N,hiiri,rato
193,Wolf::N,susi,lobo
194,Vogel::N,lintu,ave
195,Vogel::N,lintu,pássaro
196,Schwarm::N,parvi,bando
197,Schwarm::N,parvi,enxame
198,Huhn::N,kana,galinha
199,Hahn::N,kukko,galo
200,Gans::N,hanhi,ganso
201,Adler::N,kotka,águia
202,Ente::N,ankka,pata
203,Eule::N,pöllö,mocho
204,Eule::N,pöllö,coruja
205,Kranich::N,kurki,grou
206,Krähe::N,varis,gralha
207,Kuckuck::N,käki,cuco
208,Schwan::N,joutsen,cisne
209,Fisch::N,kala,peixe
210,Barsch::N,ahven,perca
211,Hecht::N,hauki,lúcio
212,Schlange[Tier]::N,käärme,serpente
213,Wurm::N,mato,verme
214,Spinne::N,hämähäkki,aranha
215,Ameise::N,muurahainen,formiga
216,Laus::N,täi,piolho
217,Mücke::N,sääski,mosquito
218,Mücke::N,hyttynen,mosquito
219,Fliege::N,kärpänen,mosca
220,Schmetterling::N,perhonen,borboleta
221,Beere::N,marja,bago
222,Apfel::N,omena,maçã
223,Pilz::N,sieni,fungo
224,Pilz::N,sieni,cogumelo
225,Zwiebel::N,sipuli,cebola
226,Saat::N,siemenet,sementeira
227,Korn::N,jyvä,grão
228,Korn::N,vilja,grão
229,Heu::N,heinä,feno
230,Schale::N,kuori,casca
231,Grube::N,kuoppa,cova
232,Grube::N,kuoppa,fossa
233,Falle::N,loukku,armadilha
234,Schlinge::N,ansa,laço
235,Spur::N,jälki,pista
236,Spur::N,jälki,vestígio
237,Asche::N,tuhka,cinza
238,Dreck::N,lika,sujidade
239,Eisen::N,rauta,ferro
240,Gold::N,kulta,ouro
241,Silber::N,hopea,prata
242,Kohle::N,hiili,carvão
243,Glas::N,lasi,vidro
244,Lehm::N,savi,barro
245,Lehm::N,savi,argila
246,Sand::N,hiekka,areia
247,Mensch::N,ihminen,homem
248,Mensch::N,ihminen,pessoa
249,Mann::N,mies,homem
250,Frau::N,nainen,mulher
251,Kind::N,lapsi,filho
252,Kind::N,lapsi,criança
253,Junge::N,poika,rapaz
254,Junge::N,poika,menino
255,Mädchen::N,tyttö,menina
256,Mädchen::N,tyttö,rapariga
257,Familie::N,perhe,família
258,Großvater::N,isoisä,avô
259,Großmutter::N,isoäiti,avó
260,Eltern::N,vanhemmat,pais
261,Vater::N,isä,pai
262,Mutter::N,äiti,mãe
263,Sohn::N,poika,filho
264,Tochter::N,tytär,filha
265,Bruder::N,veli,irmão
266,Schwester::N,sisko,irmã
267,Onkel::N,eno,tio
268,Onkel::N,setä,tio
269,Tante::N,täti,tia
270,Ehemann::N,mies,esposo
271,Ehemann::N,aviomies,esposo
272,Ehefrau::N,vaimo,esposa
273,Ehefrau::N,aviovaimo,esposa
274,Freude::N,ilo,prazer
275,Freude::N,ilo,alegria
276,Freude::N,riemu,prazer
277,Freude::N,riemu,alegria
278,Gelächter::N,nauru,risada
279,Gelächter::N,nauru,gargalhada
280,Glück::N,onni,felicidade
281,Kummer::N,suru,aflição
282,Kummer::N,suru,desgosto
283,Kummer::N,murhe,aflição
284,Kummer::N,murhe,desgosto
285,Wunsch::N,toive,desejo
286,Wunsch::N,toivomus,desejo
287,Lust::N,himo,vontade
288,Geist::N,henki,mente
289,Geist::N,henki,espírito
290,Gedanke::N,aate,ideia
291,Gedanke::N,aate,pensamento
292,Gedanke::N,ajatus,ideia
293,Gedanke::N,ajatus,pensamento
294,Gedächtnis::N,muisti,memória
295,Verstand::N,äly,razão
296,Verstand::N,äly,inteligência
297,Verstand::N,järki,razão
298,Verstand::N,järki,inteligência
299,Verstand::N,ymmärrys,razão
300,Verstand::N,ymmärrys,inteligência
301,Sinn::N,merkitys,sentido
302,Sinn::N,merkitys,significado
303,Grund::N,syy,causa
304,Grund::N,syy,motivo
305,Grund::N,peruste,causa
306,Grund::N,peruste,motivo
307,Wahrheit::N,tosi,verdade
308,Wahrheit::N,totuus,verdade
309,Gespräch::N,puhelu,conversa
310,Gespräch::N,puhelu,conversação
311,Gespräch::N,keskustelu,conversa
312,Gespräch::N,keskustelu,conversação
313,Märchen::N,satu,conto
314,Erzählung::N,tarina,conto
315,Erzählung::N,tarina,narrativa
316,Erzählung::N,kertomus,conto
317,Erzählung::N,kertomus,narrativa
