,Concept_ID,cy,ba
0,Auge::N,llygad,күҙ
1,Ohr::N,clust,ҡолаҡ
2,Nase::N,trwyn,танау
3,Mund::N,ceg,ауыҙ
4,Zahn::N,dant,теш
5,Zunge::N,tafod,тел
6,Lippe::N,gwefus,ирен
7,Wange::N,boch,яцаҡтар
8,Gesicht::N,wyneb,бит
9,Stirn::N,talcen,маңлай
10,Haar::N,blew,сәс
11,Schnurrbart::N,mwstas,мылтыҡ
12,Bart::N,barf,һаҡал
13,Kinn::N,gên,эйэк
14,Kiefer[Anatomie]::N,gên,яңаҡ һөйәге
15,Kehle::N,gwddf,тамаҡ
16,Hals::N,gwddf,муйын
17,Genick::N,gwar,соңҡа
18,Genick::N,gwegil,соңҡа
19,Kopf::N,pen,баш
20,Rücken::N,cefn,арҡа
21,Bauch::N,bol,ҡорһаҡ
22,Nabel::N,bogail,кендек
23,Busen::N,bron,күкрәк
24,Brust::N,brest,түш
25,Schulter::N,ysgwydd,яурын
26,Arm::N,braich,ҡул
27,Ellenbogen::N,penelin,терһәк
28,Hand::N,llaw,ҡул
29,Hand::N,llaw,ҡул суғы
30,Handfläche::N,palf,ус төбө
31,Finger::N,bys,бармаҡ
32,Fingernagel::N,ewin,тырнаҡ
33,Nagel[Anatomie]::N,ewin,тырнаҡ
34,Zeh::N,bys troed,бармаҡ
35,Fuß::N,troed,табан
36,Ferse::N,sawdl,үксә
37,Knie::N,glin,тубыҡ
38,Oberschenkel::N,clun,сандыр
39,Bein::N,coes,аяҡ
40,Körper::N,corff,тән
41,Haut::N,croen,тире
42,Blut::N,gwaed,ҡан
43,Ader::N,gwythïen,тамыр
44,Sehne::N,gewyn,һеңер
45,Sehne::N,gewyn,тарамыш
46,Knochen::N,asgwrn,һойәк
47,Gehirn::N,ymennydd,мейе
48,Herz::N,calon,йорәк
49,Magen::N,cylla,ашҡаҙан
50,Magen::N,stumog,ашҡаҙан
51,Leber::N,iau,бауыр
52,Atem::N,anadl,һулыш
53,Hunger::N,newyn,аслыҡ
54,Träne::N,deigryn,күҙ иәше
55,Geschmack::N,cyflas,тәм
56,Geruch::N,aroglau,еҫ
57,Schlaf::N,cwsg,йоҡлау
58,Traum::N,breuddwyd,төш
59,Himmel::N,awyr,күк
60,Sonne::N,haul,ҡояш
61,Mond::N,lleuad,ай
62,Stern::N,seren,йондоҙ
63,Luft::N,awyr,һауа
64,Wind::N,gwynt,ел
65,Welle::N,ton,тулҡын
66,Wasser::N,dŵr,һыу
67,Stein::N,carreg,таш
68,Boden::N,llawr,тупраҡ
69,Erde::N,pridd,балсҡ
70,Staub::N,llwch,туҙан
71,Rauch::N,mwg,төтөн
72,Funke::N,gwreichioni,осҡон
73,Feuer::N,tân,ут
74,Licht::N,golau,яҡтылыҡ
75,Schatten::N,cysgod,күләгә
76,Wetter::N,tywydd,һауа торошо
77,Nebel::N,niwl,төман
78,Wolke::N,cwmwl,болот
79,Regen::N,glaw,ямғыр
80,Schnee::N,ôd,ҡар
81,Schnee::N,eira,ҡар
82,Eis::N,iâ,боҙ
83,Frost::N,rhew,һалҡын
84,Kälte::N,oerni,һыуыҡ
85,Kälte::N,annwyd,һыуыҡ
86,Hitze::N,gwres,томра
87,Hitze::N,gwres,эҫелек
88,Raureif::N,barrug,ҡырау
89,Regenbogen::N,enfys,йәйғор
90,Donner::N,tyrfau,күк күкрәү
91,Strömung::N,cerrynt,ағым
92,Tropfen::N,dafn,тамсы
93,Tropfen::N,diferyn,тамсы
94,Schaum::N,ewyn,күбек
95,Schmutz::N,baw,батҡаҡ
96,Schmutz::N,budreddi,батҡаҡ
97,See::N,llyn,күл
98,Sumpf::N,cors,һаҙлык
99,Moor::N,rhos,һаҙ
100,Wiese::N,dôl,болон
101,Wald::N,coedwig,урман
102,Hügel::N,bryn,түбә
103,Anhöhe::N,bryn,түбә
