,Concept_ID,ta,ca
0,Auge::N,கண்,ull
1,Ohr::N,காது,orella
2,Nase::N,மூக்கு,nas
3,Mund::N,வாய்,boca
4,Zahn::N,பல்,dent
5,Zunge::N,நாக்கு,llēngua
6,Lippe::N,உதடு,llavi
7,Wange::N,கன்னம்,galta
8,Gesicht::N,முகம்,cara
9,Stirn::N,முன்னெற்றி,front
10,Haar::N,முடி,cabēll
11,Schnurrbart::N,மீசை,bigoti
12,Bart::N,தாடி,barba
13,Kinn::N,கீழதாடை,mentó
14,Kinn::N,கீழதாடை,barbeta
15,Kiefer[Anatomie]::N,தாடை,queix
16,Kiefer[Anatomie]::N,தாடை,mandíbula
17,Kehle::N,தொண்டை,gola
18,Kehle::N,தொண்டை,gorja
19,Hals::N,கழுத்து,coll
20,Genick::N,கழுத்து,nuca
21,Kopf::N,தலை,cap
22,Rücken::N,முதுகு,esquena
23,Bauch::N,வயிறு,panxa
24,Nabel::N,தொப்புள்,llombrígol
25,Busen::N,மார்பகம்,pit
26,Busen::N,மார்பகம்,mama
27,Brust::N, மார்பு,pit
28,Schulter::N,தோள்பட்டை,espatlla
29,Arm::N,கரம்,braç
30,Ellenbogen::N,முழங்கை,colze
31,Hand::N,கை,mà
32,Handfläche::N,உள்ளங்கை,palma
33,Finger::N,விரல்,dit
34,Fingernagel::N,விரல் நகம்,ungla
35,Nagel[Anatomie]::N,நகம்,ungla
36,Zeh::N,கால்விரல்,dit del peu
37,Fuß::N,கால்,peu
38,Ferse::N,குதிகால்,taló
39,Knie::N,முழங்கால்,genoll
40,Oberschenkel::N,தொடை,cuixa
41,Bein::N,கால்,cama
42,Körper::N,உடல்,cos
43,Haut::N,சருமம்,pell
44,Blut::N,இரத்தம்,sang
45,Ader::N,நாளம்,vena
46,Sehne::N,தசைநார்,tendó
47,Knochen::N,எலுமபு,os
48,Gehirn::N,மூனை,cervell
49,Herz::N,இதயம,cor
50,Magen::N,வயிறு,estómac
51,Leber::N,கல்லீரல்,fetge
52,Atem::N,மூச்சு,alè
53,Atem::N,மூச்சு,hàlit
54,Hunger::N,பசி,fam
55,Hunger::N,பசி,gana
56,Träne::N,கண்ணீர்,llàgrima
57,Geschmack::N,நறுமணம்,gust
58,Geschmack::N,நறுமணம்,sabor
59,Geruch::N,துர்நாற்றம்,olor
60,Schlaf::N,தூக்கம்,son
61,Traum::N,கனவு,somni
62,Himmel::N,வானம்,celm
63,Sonne::N,சூரியன்,sol
64,Mond::N,சந்திரன்,lluna
65,Stern::N,நட்சத்திரம்,estel
66,Stern::N,நட்சத்திரம்,estrella
67,Luft::N,காறறு,aire
68,Wind::N,காற்று,vent
69,Welle::N,அலை,ona
70,Wasser::N,நீர்,āigua
71,Stein::N,கல்,pedra
72,Boden::N,தரை,sòl
73,Erde::N,மண்,terra
74,Staub::N,தூசி,pols
75,Rauch::N,புகை,fum
76,Funke::N,தீப்பொறி,guspira
77,Funke::N,தீப்பொறி,centella
78,Feuer::N,தீ,foc
79,Licht::N,வெளிச்சம்,llum
80,Schatten::N,நிழல்,ombra
81,Wetter::N,வானிலை,temps
82,Nebel::N,பனிமூட்டம்,boira
83,Wolke::N,மேகம்,núvol
84,Regen::N,மழை,pluja
85,Schnee::N,உறைபனி,neu
86,Eis::N,பனிக்கட்டி,gel
87,Eis::N,பனிக்கட்டி,glaç
88,Frost::N,உறைபனி,glaçada
89,Kälte::N,குளிர்ந்த,fred
90,Hitze::N,சூடு,calor
91,Raureif::N,உறைபனி வெண்திரை,gebre
92,Regenbogen::N,வானவில்,arc iris
93,Donner::N,இடி,tro
94,Strömung::N,நீரோட்டம்,corrent
95,Tropfen::N,துளி,gota
96,Schaum::N,நுரை,escuma
97,Schmutz::N,அழுக்கு,brutícia
98,See::N,ஏரி,llac
99,Sumpf::N,சதுப்பு நிலம்,pantà
100,Moor::N,முட்புதற்காடு,pantà
101,Wiese::N,பசும் புல்தரை,prat
102,Wiese::N,பசும் புல்தரை,prada
103,Wald::N,காடு,bosc
104,Hügel::N,குன்று,puig
105,Hügel::N,குன்று,pujol
106,Anhöhe::N,பதுக்கை,turó
107,Berg::N,மலை,muntanya
108,Gipfel::N,உச்சி மாநாடு,cim
109,Höhle::N,குகை,cova
110,Abhang::N,சரிவு,coster
111,Quelle::N,மூலம்,font
112,Bach::N,ஓடை,riera
113,Fluss::N,ஆறு,riu
114,Ufer::N,நீர்க்கரை,riba
115,Küste::N,கடற்கரை,costa
116,Festland::N,நிலம்,terra ferma
117,Meer::N,கடல்,mar
118,Bucht::N,சிறுகுடா,cala
119,Bucht::N,சிறுகுடா,badia
120,Insel::N,தீவு,illa
121,Blume::N,பூ,flor
122,Gras::N,புல்தரை,herba
123,Wurzel::N,வேர்,rel
124,Wurzel::N,வேர்,arrel
125,Baum::N,மரம்,arbre
126,Stamm::N,அடிமரம்,tronc
127,Rinde::N,பட்டை,escorça
128,Rinde::N,மரப்பட்டை,escorça
129,Ast::N,கினை,branca
130,Zweig::N,குச்சி,ram
131,Blatt::N,இலை,fulla
132,Birke::N,பிர்ச் மரம்,bedoll
133,Kiefer[Baum]::N,தேவதாரு மரம்,pi
134,Weide[Baum]::N,மர வகைகளுள் ஒன்று,salze
135,Tanne::N,சாதிக்கய்,avet
136,Horn::N,கொம்பு,corn
137,Horn::N,கொம்பு,banya
138,Feder::N,இறகு,ploma
139,Fell::N,மென்முடி,pell
140,Flügel::N,இறக்கை,ala
141,Klaue::N,நகம்,urpa
142,Kralle::N,நகம்,grapa
143,Schwanz::N,வால்,cua
144,Ei::N,முட்டை,ou
145,Nest::N,கூடு,niu
146,Bau::N,குகை,cau
147,Tier::N,விலங்கு,animāl
148,Herde::N,கூட்டம்,ramat
149,Kuh::N,பசு,vaca
150,Bulle::N,காளை,toro
151,Pferd::N,குதிரை,cavāll
152,Schaf::N,செம்மறிஆடு,be
153,Schaf::N,செம்மறிஆடு,ovella
154,Schwein::N,பன்றி,bacó
155,Hund::N,நாய்,ca
156,Hund::N,நாய்,gos
157,Katze::N,பூனை,gat
158,Bär::N,கரடி,ós
159,Eichhörnchen::N,அணில்,esquirol
160,Elch::N,கடம்பை,ant
161,Fuchs::N,நரி,guilla
162,Hase::N,முயல்,llebre
163,Maus::N,எலி,ratolí
164,Wolf::N,ஓநாய்,llop
165,Vogel::N,பறவை,au
166,Vogel::N,பறவை,ocēll
167,Schwarm::N,தொகுதி,bandada
168,Huhn::N,கோழிக்குஞசு,gallina
169,Hahn::N,சேவல்,gall
170,Gans::N,பெண் வாத்து,oca
171,Adler::N,பருநது,àguila
172,Ente::N,வாத்து,ànec
173,Eule::N,ஆந்தை,òliba
174,Eule::N,ஆந்தை,mussol
175,Kranich::N,நாரை,grua
176,Krähe::N,காகம்,cornella
177,Kuckuck::N,குயில்,cucut
178,Schwan::N,அன்னம்,cigne
179,Fisch::N,மீன்,peix
180,Barsch::N,பேர்ச்,perca
181,Hecht::N,கோலாச்சி மீன்,lluç
182,Schlange[Tier]::N,பாம்பு,serp
183,Wurm::N,புழு,cuc
184,Spinne::N,சிலந்தி,aranya
185,Ameise::N,எறும்பு,formiga
186,Laus::N,பேன்,poll
187,Mücke::N,கொசுவினப்பூச்சி,mosquit
188,Fliege::N,ஈ,mosca
189,Schmetterling::N,வண்ணத்துப்பூச்சி,papallona
190,Beere::N,சதைப்பழம்,baia
191,Apfel::N,ஆப்பிள பழம்,poma
192,Pilz::N,காளான்,bolet
193,Zwiebel::N,வெங்காயம்,ceba
194,Saat::N,விதை,sembra
195,Korn::N,தானியம்,gra
196,Heu::N,வைக்கோல்,fenc
197,Schale::N,தோல்,closca
198,Grube::N,குழி,sot
199,Grube::N,குழி,clot
200,Falle::N,பொறி,trampa
201,Schlinge::N,கண்ணி,baga
202,Spur::N,சுவடு,traça
203,Asche::N,சாம்பல்,cendra
204,Dreck::N,அழுக்கு,llot
205,Eisen::N,இரும்பு,ferro
206,Gold::N,தங்கம்,or
207,Silber::N,வெள்ளி,plata
208,Kohle::N,நிலக்கரி,carbó
209,Glas::N,கண்ணாடி,vidre
210,Lehm::N,களிமண்,fang
211,Lehm::N,களிமண்,argila
212,Sand::N,மணல்,arena
213,Mensch::N,மனிதர்கள்,humà
214,Mensch::N,மனிதர்கள்,persona
215,Mann::N,மனிதன்,home
216,Frau::N,பெண்,dona
217,Kind::N,குழந்தை,nen
218,Junge::N,பையன்,noi
219,Mädchen::N,சிறுமி,noia
220,Familie::N,குடும்பம்,família
221,Großvater::N,தாத்தா,avi
222,Großmutter::N,பாட்டி,àvia
223,Eltern::N,பெற்றோர்,pares
224,Vater::N,தந்தை,pare
225,Mutter::N,தாய்,mare
226,Sohn::N,மகன்,fill
227,Tochter::N,மகள்,filla
228,Bruder::N,சகோதரன்,germà
229,Schwester::N,அக்கா,germana
230,Onkel::N,தாய் மாமன்,oncle
231,Tante::N,அத்தை,tia
232,Ehemann::N,கணவன்,espòs
233,Ehefrau::N,மனைவி,muller
234,Freude::N,கொண்டாட்டம்,goig
235,Freude::N,கொண்டாட்டம்,alegria
236,Gelächter::N,சிரிப்பு,riallada
237,Glück::N,மகிழ்ச்சி,felicitat
238,Kummer::N,துயரம்,pena
239,Wunsch::N,விருப்பம்,desig
240,Lust::N,விருப்பம்,ganes
241,Geist::N,ஆன்மா,ment
242,Geist::N,ஆன்மா,esperit
243,Gedanke::N,எண்ணம்,pensament
244,Gedächtnis::N,ஞாபகம்,memòria
245,Verstand::N,மனம்,raó
246,Verstand::N,மனம்,seny
247,Sinn::N,அர்த்தம்,solta
248,Sinn::N,அர்த்தம்,sentit
249,Grund::N,காரணம்,raó
250,Grund::N,காரணம்,causa
251,Wahrheit::N,உண்நை,veritāt
252,Gespräch::N,பெசு,conversa
253,Märchen::N,நம்பத்தகாத கதை,conte
254,Erzählung::N,கதை,narració
255,Nachricht::N,செய்தி,missatge
256,Neuigkeit::N,செய்தி,novetat
257,Name::N,பெயர்,nom
258,Rätsel::N,புதிர்,endevinalla
259,Rede::N,பேச்சு,discurs
260,Sprache::N,மொழி,llēngua
