,Concept_ID,kl,bn
0,Auge::N,isi,চক্ষু
1,Ohr::N,siut,কর্ণ
2,Mund::N,paaq,মুখ
3,Mund::N,qaneq,মুখ
4,Zahn::N,kigut,দাঁত
5,Zunge::N,oqaq,জিহবা
6,Lippe::N,qarloq,অধর
7,Wange::N,ersaq,গণ্ড
8,Gesicht::N,kiinaq,মুখমণ্ডল
9,Stirn::N,qaaq,কপাল
10,Haar::N,meqqoq,চুল
11,Bart::N,umik,শ্মশ্রু
12,Kinn::N,talloq,চিবুক
13,Kiefer[Anatomie]::N,alleroq,চোয়াল
14,Kehle::N,malaq,কণ্ঠ
15,Hals::N,qungaseq,গল
16,Genick::N,pukusuk,ঘাড়
17,Kopf::N,niaqoq,মাথা
18,Rücken::N,qimerlut,পৃষ্ঠ
19,Bauch::N,naaq,উদর
20,Nabel::N,qalaseq,নাভি
21,Busen::N,iviangeq,স্তন
22,Brust::N,iviangeq,বুক
23,Schulter::N,ersik,স্কন্ধ
24,Schulter::N,assaqqoq,স্কন্ধ
25,Arm::N,taleq,বাহু
26,Ellenbogen::N,ikusik,কনুই
27,Hand::N,assak,হাত
28,Handfläche::N,itumak,করতল
29,Finger::N,inuak,আঙ্গুল
30,Fingernagel::N,kikiak,হাতের নখ
31,Nagel[Anatomie]::N,kukik,নখ
32,Zeh::N,isigak,আঙ্গুল
33,Ferse::N,kimmik,গোড়ালি
34,Knie::N,seeqqoq,হাঁটু
35,Oberschenkel::N,uppat,ঊরু
36,Oberschenkel::N,quttoraq,ঊরু
37,Bein::N,isigak,পা
38,Körper::N,timi,দেহ
39,Haut::N,mattak,ত্বক
40,Blut::N,aak,রক্ত
41,Ader::N,taqaq,শিরা
42,Sehne::N,ujalu,কণ্ডরা
43,Sehne::N,ujaloq,কণ্ডরা
44,Knochen::N,saanikut,অস্থি
45,Gehirn::N,qarasaq,মস্তিষ্ক
46,Herz::N,uummat,হৃৎপিণ্ড
47,Magen::N,aqajaroq,পাকস্থলী
48,Leber::N,tinguk,যকৃৎ
49,Atem::N,anerneq,শ্বাস
50,Hunger::N,kaanneq,ক্ষুধা
51,Träne::N,qia,অশ্রু
52,Träne::N,qiak,অশ্রু
53,Geschmack::N,qilanaartuut,স্বাদ
54,Geruch::N,tipi,গন্ধ
55,Geruch::N,tipik,গন্ধ
56,Traum::N,sinnattoq,স্বপ্ন
57,Traum::N,sinnattugaq,স্বপ্ন
58,Himmel::N,qilak,আকাশ
59,Sonne::N,seqineq,সূর্য
60,Mond::N,qaammat,চন্দ্র
61,Stern::N,ulloriaq,নক্ষত্র
62,Luft::N,silaannaq,বায়ু
63,Wind::N,anori,বাতাস
64,Wind::N,anorsarik,বাতাস
65,Welle::N,aalappaa,ঢেউ
