,Concept_ID,sv,ab
0,Auge::N,öga,ала
1,Ohr::N,öra,алымҳа
2,Nase::N,näsa,аҧынҵа
3,Mund::N,mun,аҧышə
4,Zahn::N,tand,ахаҧыц
5,Zunge::N,tunga,абз
6,Lippe::N,läpp,ақьышə
7,Wange::N,kind,аӡамҩа
8,Gesicht::N,syn,аҿы
9,Gesicht::N,ansikte,аҿы
10,Stirn::N,panna,алахь
11,Haar::N,hår,ахəыц
12,Schnurrbart::N,mustasch,аҧаҵа
13,Bart::N,skägg,ажакьа
14,Kinn::N,haka,ацламкəыгə
15,Kiefer[Anatomie]::N,käke,ацламҳəа
16,Kehle::N,strupe,ахəда
17,Hals::N,hals,ахəда
18,Genick::N,nacke,ахəдаџьал
19,Kopf::N,huvud,ахы
20,Rücken::N,rygg,азқəа
21,Bauch::N,buk,амгəа
22,Bauch::N,mage,амгəа
23,Nabel::N,navel,аҷапан
24,Busen::N,barm,агəыҧҳəы
25,Brust::N,bröst,агəышҧы
26,Schulter::N,skuldra,ажəҩахыр
27,Arm::N,arm,амахəар
28,Ellenbogen::N,armbåge,амашьхəылҵ
29,Hand::N,hand,анапы
30,Handfläche::N,handflata,анапсаргəыҵа
31,Finger::N,finger,анацəа
32,Fingernagel::N,fingernagel,анапхыц
33,Nagel[Anatomie]::N,nagel,ашьапхыц
34,Zeh::N,tå,ашьацəа
35,Fuß::N,fot,ашьапсыргəыҵа
36,Ferse::N,häl,ашьхəа
37,Knie::N,knä,ашьамхы
38,Oberschenkel::N,lår,ауаҭəа
39,Bein::N,ben,ашьапы
40,Körper::N,kropp,ацəеижь
41,Haut::N,hud,ацəа
42,Haut::N,skinn,ацəа
43,Blut::N,blod,ашьа
44,Ader::N,åder,ада
45,Sehne::N,sena,адаш
46,Knochen::N,ben,абаҩ
47,Gehirn::N,hjärna,ахшлыбаҩ
48,Gehirn::N,hjärna,ахшыбаҩ
49,Herz::N,hjärta,агəы
50,Magen::N,mage,аца
51,Magen::N,mage,ацар
52,Leber::N,lever,агəаҵəа
53,Atem::N,anda,аҧсыҧлагаҩгара
54,Atem::N,andedräkt,аҧсыҧлагаҩгара
55,Hunger::N,svält,амла
56,Hunger::N,hunger,амла
57,Träne::N,tår,алабжыш
58,Geschmack::N,smak,агьама
59,Geruch::N,lukt,афҩы
60,Schlaf::N,sömn,ацəа
61,Traum::N,dröm,аҧхыӡ
62,Himmel::N,himmel,ажəҩан
