,Concept_ID,ka,ba
0,Auge::N,თვალი,күҙ
1,Ohr::N,ყური,ҡолаҡ
2,Nase::N,ცხვირი,танау
3,Mund::N,პირი,ауыҙ
4,Zahn::N,კბილი,теш
5,Zunge::N,ენა,тел
6,Lippe::N,ბაგე,ирен
7,Wange::N,ლოყა,яцаҡтар
8,Gesicht::N,სახე,бит
9,Stirn::N,შუბლი,маңлай
10,Haar::N,თმა,сәс
11,Schnurrbart::N,ულვაში,мылтыҡ
12,Bart::N,წვერი,һаҡал
13,Kinn::N,ნიკაპი,эйэк
14,Kiefer[Anatomie]::N,ყბა,яңаҡ һөйәге
15,Kehle::N,ყელი,тамаҡ
16,Hals::N,ყელი,муйын
17,Hals::N,კისერი,муйын
18,Genick::N,კეფა,соңҡа
19,Kopf::N,თავი,баш
20,Rücken::N,ზურგი,арҡа
21,Bauch::N,მუცელი,ҡорһаҡ
22,Nabel::N,ჭიპი,кендек
23,Busen::N,ძუძუ,күкрәк
24,Brust::N,მკერდი,түш
25,Schulter::N,მხარი,яурын
26,Schulter::N,მკლავი,яурын
27,Arm::N,ხელი,ҡул
28,Ellenbogen::N,იდაყვი,терһәк
29,Hand::N,ხელი,ҡул
30,Hand::N,ხელი,ҡул суғы
31,Handfläche::N,ნები,ус төбө
32,Handfläche::N,ხელისგული,ус төбө
33,Finger::N,თითი,бармаҡ
34,Fingernagel::N,ფრჩხილი,тырнаҡ
35,Nagel[Anatomie]::N,ფრჩხილი,тырнаҡ
36,Zeh::N,ფეხის თითი,бармаҡ
37,Fuß::N,ტერფი,табан
38,Fuß::N,ფეხისგული,табан
39,Ferse::N,ქუსლი,үксә
40,Knie::N,მუხლი,тубыҡ
41,Oberschenkel::N,ბარძაყი,сандыр
42,Bein::N,ფეხი,аяҡ
43,Körper::N,ტანი,тән
44,Körper::N,სხეული,тән
45,Haut::N,კანი,тире
46,Blut::N,სისხლი,ҡан
47,Ader::N,ძარღვი,тамыр
48,Sehne::N,მყესი,һеңер
49,Sehne::N,მყესი,тарамыш
50,Knochen::N,ძვალი,һойәк
51,Gehirn::N,ტვინი,мейе
52,Herz::N,გული,йорәк
53,Magen::N,კუჭი,ашҡаҙан
54,Leber::N,ღვიძლი,бауыр
55,Atem::N,სუნთქვა,һулыш
56,Hunger::N,შიმშილი,аслыҡ
57,Träne::N,ცრემლი,күҙ иәше
58,Geschmack::N,გემო,тәм
59,Geruch::N,სუნი,еҫ
60,Schlaf::N,ძილი,йоҡлау
61,Traum::N,სიზმარი,төш
62,Himmel::N,ცა,күк
63,Sonne::N,მზე,ҡояш
64,Mond::N,მთვარე,ай
65,Stern::N,ვარსკვლავი,йондоҙ
66,Luft::N,ჰაერი,һауа
67,Wind::N,ქარი,ел
68,Welle::N,ტალღა,тулҡын
69,Wasser::N,წყალი,һыу
70,Stein::N,ქვა,таш
71,Boden::N,მიწა,тупраҡ
72,Erde::N,ნიადაგი,балсҡ
73,Staub::N,მტვერი,туҙан
74,Rauch::N,ბოლი,төтөн
75,Rauch::N,კვამლი,төтөн
76,Funke::N,ნაკვესი,осҡон
77,Feuer::N,ცეცხლი,ут
78,Licht::N,შუქი,яҡтылыҡ
79,Licht::N,სინათლე,яҡтылыҡ
80,Schatten::N,ლანდი,күләгә
81,Schatten::N,ჩრდილი,күләгә
82,Wetter::N,ამინდი,һауа торошо
83,Nebel::N,ნისლი,төман
84,Wolke::N,ღრუბელი,болот
85,Regen::N,წვიმა,ямғыр
86,Schnee::N,თოვლი,ҡар
87,Eis::N,თოში,боҙ
88,Eis::N,ყინული,боҙ
89,Frost::N,ყინვა,һалҡын
90,Kälte::N,სიცივე,һыуыҡ
91,Hitze::N,სიცხე,томра
92,Hitze::N,სიცხე,эҫелек
93,Raureif::N,ჭირხლი,ҡырау
94,Raureif::N,თრთვილი,ҡырау
95,Regenbogen::N,ცისარტყელა,йәйғор
96,Donner::N,ქუხილი,күк күкрәү
97,Strömung::N,დინება,ағым
98,Tropfen::N,წვეთი,тамсы
99,Schaum::N,ქაფი,күбек
