,Concept_ID,uz,pt
0,Auge::N,ko'z,olho
1,Ohr::N,quloq,orelha
2,Nase::N,burun,nariz
3,Mund::N,og'iz,boca
4,Zahn::N,tish,dente
5,Zunge::N,til,língua
6,Lippe::N,dudoq,lábio
7,Wange::N,bet,face
8,Gesicht::N,yuz,cara
9,Gesicht::N,yuz,rosto
10,Stirn::N,manglay,testa
11,Haar::N,soch,cabelo
12,Schnurrbart::N,mo'ylov,bigode
13,Bart::N,soqol,barba
14,Kinn::N,ängak,queixo
15,Kiefer[Anatomie]::N,iyak,maxila
16,Kiefer[Anatomie]::N,iyak,mandíbula
17,Kehle::N,bo'g'iz,garganta
18,Hals::N,bo'yin,colo
19,Hals::N,bo'yin,pescoço
20,Genick::N,gardan,nuca
21,Kopf::N,bosh,cabeça
22,Rücken::N,orqa,dorso
23,Rücken::N,orqa,costas
24,Bauch::N,qorin,ventre
25,Bauch::N,qorin,barriga
26,Nabel::N,kindik,umbigo
27,Busen::N,ämchak,seio
28,Brust::N,ko'krak,peito
29,Schulter::N,elka,ombro
30,Arm::N,bilak,braço
31,Ellenbogen::N,tirsak,cotovelo
32,Hand::N,qo'l,mão
33,Handfläche::N,kaft,palma
34,Handfläche::N,kaft,palma da mão
35,Finger::N,barmoq,dedo
36,Fingernagel::N,tirnoq,unha
37,Nagel[Anatomie]::N,tirnoq,unha
38,Zeh::N,oyoq barmog'i,dedo do pé
39,Fuß::N,oyoq,pé
40,Ferse::N,tovon,calcanhar
41,Knie::N,tiz,joelho
42,Oberschenkel::N,son,coxa
43,Bein::N,oyoq,perna
44,Körper::N,badna,corpo
45,Haut::N,teri,pele
46,Blut::N,qon,sangue
47,Ader::N,qon tomir,veia
48,Sehne::N,tomir,tendão
49,Knochen::N,suyak,osso
50,Gehirn::N,miya,cérebro
51,Herz::N,qalb,coração
52,Magen::N,oshqozon,estômago
53,Leber::N,bag'ir,fígado
54,Atem::N,dam,fôlego
55,Hunger::N,ochlik,fome
56,Träne::N,yosh,lágrima
57,Geschmack::N,tam,gosto
58,Geruch::N,jid,odor
59,Geruch::N,jid,cheiro
60,Schlaf::N,uyqu,sono
61,Traum::N,tush,sonho
62,Himmel::N,osmon,céu
63,Sonne::N,quyosh,sol
64,Mond::N,oy,lua
65,Stern::N,yulduz,estrela
66,Luft::N,havo,ar
67,Wind::N,el,vento
68,Welle::N,to'lqin,onda
69,Wasser::N,suv,água
70,Stein::N,tosh,pedra
71,Boden::N,tuproq,solo
72,Erde::N,er,terra
73,Staub::N,chang,pó
74,Rauch::N,tutun,fumo
75,Funke::N,yalt,faísca
76,Funke::N,yalt,centelha
77,Feuer::N,o't,fogo
78,Licht::N,yorug',luz
79,Schatten::N,soya,sombra
80,Wetter::N,havo,tempo
81,Nebel::N,tuman,nevoeiro
82,Wolke::N,bulut,nuvem
83,Regen::N,yomg'ir,chuva
84,Schnee::N,qor,neve
85,Eis::N,muz,gelo
86,Frost::N,ajoz,gelo
87,Frost::N,ajoz,geada
88,Kälte::N,ajoz,frio
89,Hitze::N,issiq,ardor
90,Raureif::N,qirov,geada
91,Regenbogen::N,kamalak,arco-iris
92,Donner::N,guldur,trovão
93,Strömung::N,oqim,corrente
94,Tropfen::N,tomchi,gota
95,Schaum::N,ko'pik,espuma
96,Schmutz::N,gard,sujidade
97,Schmutz::N,gard,imundície
98,See::N,ko'l,lago
99,Sumpf::N,botqoq,charco
100,Sumpf::N,botqoq,pântano
101,Moor::N,qir-adir,pântano
102,Wiese::N,o'tzor,prado
103,Wald::N,o'rmon,bosque
104,Wald::N,o'rmon,floresta
105,Hügel::N,tepa,colina
106,Anhöhe::N,adir,alto
107,Anhöhe::N,adir,outeiro
108,Berg::N,tog',monte
109,Berg::N,tog',montanha
110,Gipfel::N,cho'qqi,pico
111,Höhle::N,kavak,caverna
112,Abhang::N,to'sh,encosta
113,Quelle::N,buloq,fonte
114,Bach::N,o'zan,regato
115,Bach::N,o'zan,ribeiro
116,Fluss::N,daryo,rio
117,Ufer::N,sohil,beira
118,Küste::N,qirg'oq,costa
119,Festland::N,materik,terra firme
120,Meer::N,dengiz,mar
121,Bucht::N,qo'ltiq,baía
122,Insel::N,orol,ilha
123,Blume::N,gul,flor
124,Gras::N,sabza,erva
125,Wurzel::N,tub,raiz
126,Wurzel::N,tomir,raiz
127,Baum::N,daraxt,árvore
128,Stamm::N,o'simta,tronco
129,Rinde::N,qobiq,casca
130,Ast::N,shox,ramo
131,Zweig::N,butoq,galho
132,Blatt::N,barg,folha
133,Birke::N,qayin,bétula
134,Kiefer[Baum]::N,qarag'ay,pinheiro
135,Weide[Baum]::N,shum,salgueiro
136,Tanne::N,archa,abeto
137,Horn::N,mugiz,corno
138,Horn::N,mugiz,chifre
139,Feder::N,par,pena
140,Fell::N,mo'yna,pele
141,Flügel::N,qanot,asa
142,Klaue::N,tirnoq,pata
143,Kralle::N,tirnoq,unha
144,Kralle::N,tirnoq,garra
145,Schwanz::N,quyruq,rabo
146,Schwanz::N,quyruq,cauda
147,Ei::N,tuxum,ovo
148,Nest::N,oshyon,ninho
149,Bau::N,o'pqon,toca
150,Bau::N,o'pqon,covil
151,Tier::N,hayvon,animal
152,Herde::N,gala,rebanho
153,Kuh::N,inak,vaca
154,Bulle::N,ho'kiz,touro
155,Pferd::N,ot,cavalo
156,Schaf::N,qo'y,ovelha
157,Schwein::N,cho'chqa,porco
158,Hund::N,it,cão
159,Katze::N,mushuk,gata
160,Bär::N,ayiq,urso
161,Eichhörnchen::N,tiyin,esquilo
162,Elch::N,los,alce
163,Fuchs::N,tulki,raposa
164,Hase::N,kuyon,lebre
165,Maus::N,sichqon,rato
166,Wolf::N,bo'ri,lobo
167,Vogel::N,qush,ave
168,Vogel::N,qush,pássaro
169,Schwarm::N,to'da,bando
170,Schwarm::N,to'da,enxame
171,Huhn::N,tovuq,galinha
172,Hahn::N,xo'roz,galo
173,Gans::N,g'oz,ganso
174,Adler::N,burgut,águia
175,Ente::N,o'rdak,pata
176,Eule::N,boyo'g'li,mocho
177,Eule::N,boyo'g'li,coruja
178,Kranich::N,turna,grou
179,Krähe::N,qarg'a,gralha
180,Kuckuck::N,kakku,cuco
181,Schwan::N,oqkush,cisne
182,Fisch::N,baliq,peixe
183,Barsch::N,olabug'a,perca
184,Hecht::N,cho'rtan,lúcio
185,Schlange[Tier]::N,ilon,serpente
186,Wurm::N,qurt,verme
187,Spinne::N,o'rgimchak,aranha
188,Ameise::N,chumoli,formiga
189,Laus::N,bit,piolho
190,Mücke::N,chivin,mosquito
191,Fliege::N,pashsha,mosca
192,Schmetterling::N,kapalak,borboleta
193,Beere::N,meva,bago
194,Apfel::N,olma,maçã
195,Pilz::N,qo'ziqorin,fungo
196,Pilz::N,qo'ziqorin,cogumelo
197,Zwiebel::N,piyoz,cebola
198,Saat::N,äkin,sementeira
199,Korn::N,zarra,grão
200,Heu::N,xashak,feno
201,Schale::N,po'choq,casca
202,Grube::N,co'ra,cova
203,Grube::N,co'ra,fossa
204,Falle::N,qopqon,armadilha
205,Schlinge::N,sirtmoq,laço
206,Spur::N,iz,pista
207,Spur::N,iz,vestígio
208,Asche::N,kul,cinza
209,Dreck::N,kir,sujidade
210,Eisen::N,temir,ferro
211,Gold::N,tilla,ouro
212,Silber::N,kumush,prata
213,Kohle::N,ko'mir,carvão
214,Glas::N,oyna,vidro
215,Lehm::N,loy,barro
216,Lehm::N,loy,argila
217,Sand::N,qum,areia
218,Mensch::N,odam,homem
219,Mensch::N,odam,pessoa
220,Mann::N,ärkak,homem
221,Frau::N,ayol,mulher
222,Kind::N,bola,filho
223,Kind::N,bola,criança
224,Kind::N,kichkintoy,filho
225,Kind::N,kichkintoy,criança
226,Junge::N,bola,rapaz
227,Junge::N,bola,menino
228,Mädchen::N,qiz,menina
229,Mädchen::N,qiz,rapariga
230,Familie::N,oila,família
231,Großvater::N,buva,avô
232,Großvater::N,katta ota,avô
233,Großmutter::N,buvi,avó
234,Großmutter::N,katta oyi,avó
235,Eltern::N,ota-ona,pais
236,Vater::N,ota,pai
237,Mutter::N,ona,mãe
238,Sohn::N,o'g'il,filho
239,Tochter::N,qiz,filha
240,Bruder::N,og'a,irmão
241,Bruder::N,uka,irmão
242,Schwester::N,opa,irmã
243,Schwester::N,singil,irmã
244,Onkel::N,amaki,tio
245,Tante::N,amma,tia
246,Tante::N,xola,tia
247,Ehemann::N,är,esposo
248,Ehefrau::N,rafiqa,esposa
249,Freude::N,ayish,prazer
250,Freude::N,ayish,alegria
251,Gelächter::N,kulgi,risada
252,Gelächter::N,kulgi,gargalhada
253,Glück::N,saodat,felicidade
254,Kummer::N,g'am,aflição
255,Kummer::N,g'am,desgosto
256,Wunsch::N,orzu,desejo
257,Lust::N,rag'bat,vontade
258,Geist::N,ruh,mente
259,Geist::N,ruh,espírito
260,Gedanke::N,fikr,ideia
261,Gedanke::N,fikr,pensamento
262,Gedächtnis::N,äs,memória
263,Verstand::N,aql,razão
264,Verstand::N,aql,inteligência
265,Sinn::N,ma'ni,sentido
266,Sinn::N,ma'ni,significado
267,Grund::N,sabab,causa
268,Grund::N,sabab,motivo
269,Wahrheit::N,haq,verdade
270,Gespräch::N,gap,conversa
271,Gespräch::N,gap,conversação
272,Märchen::N,ärtak,conto
273,Erzählung::N,rivoyat,conto
274,Erzählung::N,rivoyat,narrativa
275,Nachricht::N,xabar,mensagem
276,Neuigkeit::N,yangilik,notícia
277,Neuigkeit::N,yangilik,novidade
278,Name::N,ot,nome
279,Rätsel::N,topishmoq,adivinha
280,Rede::N,nutq,oração
281,Rede::N,nutq,discurso
282,Sprache::N,til,língua
283,Stimme::N,ovoz,voz
284,Wort::N,so'z,palavra
285,Zeichen::N,alomat,marca
286,Ruf::N,chaqiriq,grito
287,Ruf::N,chaqiriq,chamada
288,Lärm::N,taraq,ruído
289,Lärm::N,taraq,barulho
290,Laut::N,tovush,som
291,Ton::N,un,tom
292,Lied::N,ashula,canção
293,Ruhe::N,tinchlik,calma
294,Ruhe::N,tinchlik,silêncio
295,Leute::N,xaloyiq,gente
296,Leute::N,xaloyiq,pessoas
297,Volk::N,xalq,povo
298,Volk::N,xalq,nação
299,Arbeit::N,ish,trabalho
300,Gast::N,mehmon,hóspede
301,Gast::N,mehmon,convidado
302,Geschenk::N,hadya,prenda
303,Geschenk::N,hadya,presente
304,Spiel::N,o'yin,jogo
305,Gesellschaft::N,jamiyat,companhia
306,Hilfe::N,yordam,ajuda
307,Hilfe::N,yordam,socorro
308,Freund::N,do'st,amigo
309,Kamerad::N,yo'ldosh,camarada
310,Angelegenheit::N,daxl,assunto
