,Concept_ID,kl,fr
0,Auge::N,isi,œil
1,Ohr::N,siut,oreille
2,Mund::N,paaq,bouche
3,Mund::N,qaneq,bouche
4,Zahn::N,kigut,dent
5,Zunge::N,oqaq,langue
6,Lippe::N,qarloq,lèvre
7,Wange::N,ersaq,joue
8,Gesicht::N,kiinaq,face
9,Gesicht::N,kiinaq,visage
10,Stirn::N,qaaq,front
11,Haar::N,meqqoq,cheveu
12,Bart::N,umik,barbe
13,Kinn::N,talloq,menton
14,Kiefer[Anatomie]::N,alleroq,mâchoire
15,Kehle::N,malaq,gorge
16,Hals::N,qungaseq,cou
17,Genick::N,pukusuk,nuque
18,Kopf::N,niaqoq,tête
19,Rücken::N,qimerlut,dos
20,Bauch::N,naaq,ventre
21,Nabel::N,qalaseq,nombril
22,Busen::N,iviangeq,sein
23,Brust::N,iviangeq,poitrine
24,Schulter::N,ersik,épaule
25,Schulter::N,assaqqoq,épaule
26,Arm::N,taleq,bras
27,Ellenbogen::N,ikusik,coude
28,Hand::N,assak,main
29,Handfläche::N,itumak,paume
30,Finger::N,inuak,doigt
31,Fingernagel::N,kikiak,ongle
32,Nagel[Anatomie]::N,kukik,ongle
33,Zeh::N,isigak,orteil
34,Zeh::N,isigak,doigt de pied
35,Ferse::N,kimmik,talon
36,Knie::N,seeqqoq,genou
37,Oberschenkel::N,uppat,cuisse
38,Oberschenkel::N,quttoraq,cuisse
39,Bein::N,isigak,jambe
40,Körper::N,timi,corps
41,Haut::N,mattak,peau
42,Blut::N,aak,sang
43,Ader::N,taqaq,veine
44,Sehne::N,ujalu,tendon
45,Sehne::N,ujaloq,tendon
46,Knochen::N,saanikut,os
47,Gehirn::N,qarasaq,cerveau
48,Herz::N,uummat,cœur
49,Magen::N,aqajaroq,estomac
50,Leber::N,tinguk,foie
51,Atem::N,anerneq,haleine
52,Hunger::N,kaanneq,faim
53,Träne::N,qia,larme
54,Träne::N,qiak,larme
55,Geschmack::N,qilanaartuut,goût
56,Geschmack::N,qilanaartuut,saveur
57,Geruch::N,tipi,odeur
58,Geruch::N,tipik,odeur
59,Traum::N,sinnattoq,songe
60,Traum::N,sinnattugaq,songe
61,Himmel::N,qilak,ciel
62,Sonne::N,seqineq,soleil
63,Mond::N,qaammat,lune
64,Stern::N,ulloriaq,étoile
65,Luft::N,silaannaq,air
66,Wind::N,anori,vent
67,Wind::N,anorsarik,vent
68,Welle::N,aalappaa,vague
69,Wasser::N,imeq,eau
70,Stein::N,ujarak,pierre
71,Boden::N,nateq,sol
72,Boden::N,nateq,terrain
73,Erde::N,issoq,terre
74,Staub::N,pujualanerit,poussière
75,Staub::N,pujoralanerit,poussière
76,Rauch::N,iseq,fumée
77,Rauch::N,pujoq,fumée
78,Funke::N,illoorneq,étincelle
79,Feuer::N,inneq,feu
80,Licht::N,qaamaneq,lumière
81,Schatten::N,tarraq,ombre
82,Wetter::N,sila,temps
83,Nebel::N,pujoq,brume
84,Nebel::N,pujoq,brouillard
85,Wolke::N,nuia,nuage
86,Regen::N,sialuk,pluie
87,Schnee::N,aput,neige
88,Eis::N,siku,glace
89,Frost::N,issi,gel
90,Frost::N,issi,gelée
91,Frost::N,issik,gel
92,Frost::N,issik,gelée
93,Kälte::N,issi,froid
94,Hitze::N,kianneq,chaleur
95,Hitze::N,kiassuseq,chaleur
96,Raureif::N,kaneq,givre
97,Regenbogen::N,neriusaaq,arc-en-ciel
98,Donner::N,kalleq,tonnerre
99,Tropfen::N,kuseriarneq,goutte
100,Schaum::N,qapuk,écume
101,Schaum::N,qapuk,mousse
102,Schmutz::N,minguk,boue
103,Schmutz::N,minguk,saleté
104,See::N,taseq,lac
105,Sumpf::N,maqulluk,marais
106,Sumpf::N,maqulluk,marécage
107,Wiese::N,masarsuk,pré
108,Hügel::N,qattuneq,coteau
109,Hügel::N,qattuneq,colline
110,Hügel::N,majuariaq,coteau
111,Hügel::N,majuariaq,colline
112,Hügel::N,majorajaaq,coteau
113,Hügel::N,majorajaaq,colline
114,Hügel::N,qaqqannguaq,coteau
115,Hügel::N,qaqqannguaq,colline
116,Berg::N,qaqqaq,mont
117,Berg::N,qaqqaq,montagne
