,Concept_ID,myv,myv
0,Auge::N,сельме,сельме
1,Ohr::N,пиле,пиле
2,Nase::N,судо,судо
3,Mund::N,курго,курго
4,Zahn::N,пей,пей
5,Zunge::N,кель,кель
6,Lippe::N,турва,турва
7,Wange::N,чамабока,чамабока
8,Wange::N,чамабока,чамаумарь
9,Wange::N,чамаумарь,чамабока
10,Wange::N,чамаумарь,чамаумарь
11,Gesicht::N,чама,чама
12,Stirn::N,коня,коня
13,Haar::N,черь,черь
14,Schnurrbart::N,ус,ус
15,Schnurrbart::N,ус,муюк
16,Schnurrbart::N,муюк,ус
17,Schnurrbart::N,муюк,муюк
18,Bart::N,сакал,сакал
19,Kinn::N,уло,уло
20,Kiefer[Anatomie]::N,пейпакар,пейпакар
21,Kiefer[Anatomie]::N,пейпакар,пейловажа
22,Kiefer[Anatomie]::N,пейловажа,пейпакар
23,Kiefer[Anatomie]::N,пейловажа,пейловажа
24,Kehle::N,кирьгапарь,кирьгапарь
25,Hals::N,кирьга,кирьга
26,Genick::N,човонь,човонь
27,Kopf::N,пря,пря
28,Rücken::N,копорь,копорь
29,Bauch::N,пеке,пеке
30,Nabel::N,почо,почо
31,Busen::N,поте,поте
32,Brust::N,меште,меште
33,Schulter::N,лавтов,лавтов
34,Arm::N,кедь,кедь
35,Ellenbogen::N,кенерепакарь,кенерепакарь
36,Hand::N,кедь,кедь
37,Handfläche::N,кедькуншка,кедькуншка
38,Handfläche::N,кедькуншка,кедьлапушка
39,Handfläche::N,кедьлапушка,кедькуншка
40,Handfläche::N,кедьлапушка,кедьлапушка
41,Finger::N,сур,сур
42,Fingernagel::N,кенже,кенже
43,Nagel[Anatomie]::N,кенже,кенже
44,Zeh::N,пильге сур,пильге сур
45,Fuß::N,пильге,пильге
46,Ferse::N,кочкаря,кочкаря
47,Knie::N,эле,эле
48,Knie::N,эле,эзне
49,Knie::N,эле,кумажа
50,Knie::N,эзне,эле
51,Knie::N,эзне,эзне
52,Knie::N,эзне,кумажа
53,Knie::N,кумажа,эле
54,Knie::N,кумажа,эзне
55,Knie::N,кумажа,кумажа
56,Oberschenkel::N,качо,качо
57,Bein::N,пильге,пильге
58,Körper::N,рунго,рунго
59,Haut::N,киське,киське
60,Blut::N,верь,верь
61,Ader::N,сан,сан
62,Sehne::N,коське сан,коське сан
63,Knochen::N,пакарь,пакарь
64,Gehirn::N,удем,удем
65,Herz::N,седей,седей
66,Magen::N,пеке,пеке
67,Leber::N,максо,максо
68,Atem::N,лексема,лексема
69,Atem::N,лексема,оймень таргсема
70,Atem::N,оймень таргсема,лексема
71,Atem::N,оймень таргсема,оймень таргсема
72,Hunger::N,вачочи,вачочи
73,Träne::N,селведь,селведь
74,Geschmack::N,тансть,тансть
75,Geruch::N,чине,чине
76,Schlaf::N,удома,удома
77,Traum::N,он,он
78,Himmel::N,менель,менель
79,Sonne::N,чи,чи
80,Mond::N,ков,ков
81,Stern::N,теште,теште
82,Luft::N,кошт,кошт
83,Wind::N,варма,варма
84,Welle::N,толкун,толкун
85,Wasser::N,ведь,ведь
