,Concept_ID,ko,sl
0,Auge::N,눈,okó
1,Ohr::N,귀,uhó
2,Nase::N,코,nós
3,Mund::N,입,ústa
4,Zahn::N,이,zób
5,Zunge::N,혀,jêzik
6,Lippe::N,입술,ústnica
7,Wange::N,뺨,líce
8,Gesicht::N,얼굴,oblíčje
9,Stirn::N,이마,čêlo
10,Haar::N,털,lás
11,Schnurrbart::N,윗수몀,bŕki
12,Schnurrbart::N,코밑수염,bŕki
13,Bart::N,수엄,bráda
14,Kinn::N,아래턱,bráda
15,Kiefer[Anatomie]::N,턱,čeljúst
16,Kehle::N,인후,gŕlo
17,Hals::N,목,vrát
18,Genick::N,먹덜이,zatílnik
19,Kopf::N,머리,gláva
20,Rücken::N,든,hrbèt
21,Bauch::N,배,trébuh
22,Nabel::N,배꼽,pópek
23,Busen::N,가슴속,nédrja
24,Brust::N,가슴,pŕsi
25,Schulter::N,어깨,ráma
26,Schulter::N,어깨,plêče
27,Arm::N,팔,rôka
28,Ellenbogen::N,팔쿰치,komólec
29,Hand::N,손,rôka
30,Handfläche::N,손바닥,dlán
31,Finger::N,속가락,pŕst
32,Fingernagel::N,손톱,nóht na rôki
33,Nagel[Anatomie]::N,손톱,nóht
34,Zeh::N,발가락,pŕst na nôgi
35,Fuß::N,발,nôga
36,Ferse::N,발꿈치,pêta
37,Knie::N,무릎,koléno
38,Oberschenkel::N,허벅다리,stêgno
39,Bein::N,다리,nôga
40,Körper::N,구간,teló
41,Haut::N,살갗,kóža
42,Blut::N,피,krí
43,Ader::N,정맥,žíla
44,Sehne::N,현,kíta
45,Knochen::N,뼈,kóst
46,Gehirn::N,뇌,možgáni
47,Gehirn::N,뇌수,možgáni
48,Herz::N,염통,srcé
49,Magen::N,위,želódec
50,Leber::N,간,jétra
51,Atem::N,기식,díh
52,Hunger::N,공복,glád
53,Träne::N,눈물,sólza
54,Geschmack::N,기호,okús
55,Geruch::N,냄새,vónj
56,Schlaf::N,수면,sèn
57,Schlaf::N,수면,spánec
58,Traum::N,쿰,sánje
59,Himmel::N,하늘,nebó
60,Sonne::N,해,sónce
61,Mond::N,달,lúna
62,Mond::N,달,mésec
63,Stern::N,별,zvézda
64,Luft::N,동준,zràk
65,Luft::N,가스채,zràk
66,Wind::N,바람,véter
67,Welle::N,물결,vál
68,Wasser::N,물,vôda
69,Stein::N,돌,kámen
70,Boden::N,바닥,tlà
71,Erde::N,흙,pŕst
72,Erde::N,흙,zêmlja
73,Staub::N,먼지,práh
74,Rauch::N,연기,dìm
75,Funke::N,불티,ískra
76,Feuer::N,불,ôgenj
77,Licht::N,불,lúč
78,Schatten::N,어스레함,sénca
79,Wetter::N,기상,vrême
80,Nebel::N,안개,meglà
81,Wolke::N,구름,oblák
82,Regen::N,비,dèž
83,Schnee::N,눈,snég
84,Eis::N,얼음,léd
85,Frost::N,혹한,zmrzál
86,Kälte::N,추위,mràz
87,Kälte::N,차가움,mràz
88,Hitze::N,고온,pripéka
89,Hitze::N,더위,pripéka
90,Regenbogen::N,무지개,mávrica
91,Donner::N,뇌명,gròm
92,Strömung::N,유동,strúja
93,Tropfen::N,물방울,káplja
94,Schaum::N,포말,péna
95,Schmutz::N,때,nesnága
96,See::N,호수,jézero
97,Sumpf::N,습지,močvírje
98,Moor::N,저습지,bárje
99,Wiese::N,목초지,trávnik
100,Wald::N,숲,lés
101,Wald::N,숲,gòzd
102,Hügel::N,언덕,brég
103,Hügel::N,언덕,goríca
104,Anhöhe::N,언덕,gríč
105,Anhöhe::N,언덕,višína
106,Berg::N,산,gôra
107,Berg::N,산,planína
108,Gipfel::N,졀졍,vŕh
109,Höhle::N,공동,jáma
110,Höhle::N,공동,votlína
111,Abhang::N,몰매,pobóčje
112,Quelle::N,근원,izvír
113,Bach::N,내,pôtok
114,Fluss::N,강,réka
115,Ufer::N,강변,brég
116,Ufer::N,바닷가,brég
117,Küste::N,해변,obála
118,Küste::N,해변,obréžje
119,Küste::N,해변가,obála
120,Küste::N,해변가,obréžje
121,Festland::N,본토,celína
122,Festland::N,본토,kopnína
123,Meer::N,바다,mórje
124,Bucht::N,협만,zalív
125,Insel::N,섬,ôtok
126,Blume::N,꽃,cvetlíca
127,Gras::N,풀,tráva
128,Wurzel::N,뿌리,korenína
129,Baum::N,나무,drevó
130,Stamm::N,대,dêblo
131,Rinde::N,나무껍질,lúbje
132,Rinde::N,나무껍질,skórja
133,Ast::N,가지,véja
134,Zweig::N,가지,véja
135,Blatt::N,잎,líst
136,Birke::N,자작나무,bréza
137,Kiefer[Baum]::N,소나무,bòr
138,Weide[Baum]::N,쉬양버들,vŕba
139,Tanne::N,전나무,hója
140,Horn::N,뿔,róg
141,Feder::N,깃털,peró
142,Fell::N,피혁모피,kŕzno
143,Flügel::N,날개,krílo
144,Klaue::N,갈고리 발톺,párkelj
145,Kralle::N,발툭,krémpelj
