,Concept_ID,es,sq
0,Auge::N,ojo,sy
1,Ohr::N,oreja,vesh
2,Nase::N,nariz,hundë
3,Mund::N,boca,gojë
4,Zahn::N,diente,dhëmb
5,Zunge::N,lengua,gjuhë
6,Lippe::N,labio,buzë
7,Wange::N,mejilla,faqe
8,Wange::N,mejilla,mollëz
9,Gesicht::N,cara,fytyrë
10,Stirn::N,frente,ballë
11,Haar::N,cabello,flokë
12,Schnurrbart::N,bigote,mustaqe
13,Bart::N,barba,mjekër
14,Kinn::N,barbilla,mjekër
15,Kiefer[Anatomie]::N,mandíbula,nofull
16,Kehle::N,garganta,fyt
17,Kehle::N,garganta,grykë
18,Hals::N,cuello,qafë
19,Genick::N,nuca,arrëz
20,Genick::N,cerviz,arrëz
21,Kopf::N,cabeza,kokë
22,Rücken::N,espalda,kurriz
23,Bauch::N,vientre,bark
24,Nabel::N,ombligo,kërthizë
25,Busen::N,pecho,gji
26,Brust::N,pecho,gjoks
27,Brust::N,pecho,kraharor
28,Schulter::N,hombro,sup
29,Schulter::N,hombro,krah
30,Arm::N,brazo,krah
31,Ellenbogen::N,codo,bërryl
32,Hand::N,mano,dorë
33,Handfläche::N,palma,pëllëmbë
34,Finger::N,dedo,gisht
35,Fingernagel::N,uña,thua
36,Nagel[Anatomie]::N,uña,thua
37,Zeh::N,dedo del pie,gisht i këmbës
38,Fuß::N,pie,këmbë
39,Ferse::N,talón,thembër
40,Knie::N,rodilla,gju
41,Oberschenkel::N,muslo,kofshë
42,Bein::N,pierna,këmbë
43,Körper::N,cuerpo,trup
44,Haut::N,piel,lëkurë
45,Blut::N,sangre,gjak
46,Ader::N,vena,venë
47,Sehne::N,tendón,dell
48,Knochen::N,hueso,asht
49,Knochen::N,hueso,kockë
50,Gehirn::N,cerebro,tru
51,Gehirn::N,encéfalo,tru
52,Herz::N,corazón,zemër
53,Magen::N,estómago,stomak
54,Leber::N,hígado,mëlçi
55,Atem::N,aliento,frymë
56,Hunger::N,hambre,uri
57,Träne::N,lágrima,lot
58,Geschmack::N,gusto,shije
59,Geruch::N,olor,erë
60,Schlaf::N,sueño,gjumë
61,Traum::N,sueño,ëndërr
62,Traum::N,ensueño,ëndërr
63,Himmel::N,cielo,qiell
64,Sonne::N,sol,diell
65,Mond::N,luna,hënë
66,Stern::N,estrella,yll
67,Luft::N,aire,ajër
68,Wind::N,viento,erë
69,Welle::N,ola,valë
70,Welle::N,ola,dallgë
71,Welle::N,onda,valë
72,Welle::N,onda,dallgë
73,Wasser::N,agua,ujë
74,Stein::N,piedra,gur
75,Boden::N,suelo,tokë
76,Boden::N,suelo,truall
77,Erde::N,tierra,dhe
78,Erde::N,tierra,baltë
79,Staub::N,polvo,pluhur
80,Rauch::N,humo,tym
81,Funke::N,chispa,xixë
82,Funke::N,chispa,shkëndijë
83,Feuer::N,fuego,zjarr
84,Licht::N,luz,dritë
85,Schatten::N,sombra,hije
86,Wetter::N,tiempo,mot
87,Nebel::N,niebla,mjegull
88,Wolke::N,nube,re
89,Regen::N,lluvia,shi
90,Schnee::N,nieve,borë
91,Eis::N,hielo,akull
92,Frost::N,helada,ngricë
93,Kälte::N,frío,të ftohtë
94,Hitze::N,calor,vapë
95,Hitze::N,calor,nxehtësi
96,Raureif::N,escarcha,cikmë
97,Regenbogen::N,arco iris,ylber
98,Donner::N,trueno,gjëmim
99,Donner::N,trueno,bubullimë
100,Strömung::N,corriente,rrymë
101,Tropfen::N,gota,pikë
102,Schaum::N,espuma,shkumë
103,Schmutz::N,suciedad,baltë
104,See::N,lago,liqen
105,Sumpf::N,pantano,batak
106,Moor::N,turbera,kënetë
107,Wiese::N,prado,livadh
108,Wiese::N,pradera,livadh
109,Wald::N,bosque,pyll
110,Hügel::N,colina,kodër
111,Anhöhe::N,cerro,bregore
112,Berg::N,monte,mal
113,Berg::N,montaña,mal
114,Gipfel::N,cima,kulm
115,Gipfel::N,cumbre,kulm
116,Höhle::N,cueva,shpellë
117,Höhle::N,cueva,zgafelle
118,Höhle::N,caverna,shpellë
119,Höhle::N,caverna,zgafelle
120,Abhang::N,cuesta,shpat
121,Abhang::N,cuesta,tatëpjetë
122,Abhang::N,declive,shpat
123,Abhang::N,declive,tatëpjetë
124,Quelle::N,fuente,krua
125,Quelle::N,fuente,burim
126,Quelle::N,manantial,krua
127,Quelle::N,manantial,burim
128,Bach::N,arroyo,virua
129,Fluss::N,río,lumë
130,Ufer::N,orilla,breg
131,Küste::N,costa,anëdet
132,Küste::N,costa,bregdet
133,Festland::N,tierra firme,kontinent
134,Meer::N,mar,det
135,Bucht::N,cala,gji deti
136,Bucht::N,bahía,gji deti
137,Insel::N,isla,ishull
138,Insel::N,isla,ujdhesë
139,Blume::N,flor,lule
140,Gras::N,hierba,bar
141,Wurzel::N,raíz,rrënjë
142,Baum::N,árbol,pemë
143,Stamm::N,tronco,trung
144,Rinde::N,corteza,lëvore
145,Ast::N,rama,degë
146,Zweig::N,ramo,bisk
147,Blatt::N,hoja,fletë
148,Blatt::N,hoja,gjethe
149,Birke::N,abedul,mështekën
150,Kiefer[Baum]::N,pino,pishë
151,Weide[Baum]::N,sauce,shelg
152,Tanne::N,abeto,bredh
153,Horn::N,asta,bri
154,Horn::N,cuerno,bri
155,Feder::N,pluma,pupël
156,Fell::N,piel,lëkurë
157,Flügel::N,ala,krah
158,Flügel::N,ala,fletë
159,Klaue::N,garra,kthetër
160,Kralle::N,uña,thua
161,Kralle::N,uña,kthetër
162,Kralle::N,garra,thua
163,Kralle::N,garra,kthetër
164,Schwanz::N,cola,bisht
165,Ei::N,huevo,vezë
166,Nest::N,nido,fole
167,Bau::N,madriguera,strofkë
168,Tier::N,animal,kafshë
169,Herde::N,rebaño,kope
170,Herde::N,rebaño,grigjë
171,Kuh::N,vaca,lopë
172,Bulle::N,toro,dem
173,Pferd::N,caballo,kalë
174,Schaf::N,oveja,dele
175,Schwein::N,cerdo,derr
176,Hund::N,perro,qen
177,Katze::N,gato,mace
178,Bär::N,oso,ari
179,Eichhörnchen::N,ardilla,ketër
180,Elch::N,alce,dre brilopatë
181,Fuchs::N,zorro,dhelpër
182,Hase::N,liebre,lepur
183,Maus::N,ratón,mi
184,Wolf::N,lobo,ujk
185,Vogel::N,ave,zog
186,Vogel::N,ave,shpend
187,Vogel::N,pájaro,zog
188,Vogel::N,pájaro,shpend
189,Schwarm::N,bandada,luzmë
190,Huhn::N,gallina,pulë
191,Hahn::N,gallo,gjel
192,Hahn::N,gallo,këndes
193,Gans::N,oca,patë
194,Gans::N,ganso,patë
195,Adler::N,águila,shqiponjë
196,Ente::N,pato,rosë
197,Eule::N,lechuza,buf
198,Kranich::N,grulla,lejlek
199,Kranich::N,grulla,kurrillë
200,Krähe::N,corneja,sorrë
201,Kuckuck::N,cuco,qyqe
202,Schwan::N,cisne,mjellmë
203,Fisch::N,pez,peshk
204,Barsch::N,perca,purtekë
205,Hecht::N,lucio,mlysh
206,Schlange[Tier]::N,serpiente,gjarpër
207,Wurm::N,gusano,krimb
208,Spinne::N,araña,marimangë
209,Ameise::N,hormiga,thnegël
210,Ameise::N,hormiga,milingonë
211,Laus::N,piojo,morr
212,Mücke::N,mosquito,kunup
213,Mücke::N,mosquito,mushkonjë
214,Fliege::N,mosca,mizë
215,Schmetterling::N,mariposa,flutur
216,Beere::N,baya,frutë
217,Beere::N,baya,manaferrë
218,Apfel::N,manzana,mollë
219,Pilz::N,seta,kërpudhë
220,Pilz::N,hongo,kërpudhë
221,Zwiebel::N,cebolla,qepë
222,Saat::N,siembra,farë
223,Korn::N,grano,grurë
224,Korn::N,grano,kokërr
225,Heu::N,heno,sanë
226,Schale::N,cáscara,lëkurë
227,Grube::N,foso,gropë
228,Falle::N,trampa,kurth
229,Falle::N,trampa,grackë
230,Schlinge::N,lazo,nyjë
231,Spur::N,huella,gjurmë
232,Asche::N,ceniza,hi
233,Dreck::N,suciedad,baltë
234,Eisen::N,hierro,hekur
235,Gold::N,oro,ar
236,Gold::N,oro,flori
237,Silber::N,plata,argjend
238,Kohle::N,carbón,qymyr
239,Glas::N,vidrio,qelq
240,Glas::N,cristal,qelq
241,Lehm::N,barro,argjilë
242,Sand::N,arena,rërë
243,Mensch::N,hombre,njeri
244,Mensch::N,ser humano,njeri
245,Mann::N,hombre,burrë
246,Mann::N,hombre,mashkull
247,Frau::N,mujer,grua
248,Frau::N,mujer,femër
249,Kind::N,niño,kalama
250,Junge::N,chico,djalë
251,Junge::N,muchacho,djalë
252,Mädchen::N,chica,gocë
253,Mädchen::N,chica,vajzë
254,Mädchen::N,muchacha,gocë
255,Mädchen::N,muchacha,vajzë
256,Familie::N,familia,familje
257,Großvater::N,abuelo,gjysh
258,Großmutter::N,abuela,gjyshe
259,Eltern::N,padres,prindër
260,Vater::N,padre,atë
261,Mutter::N,madre,nënë
262,Sohn::N,hijo,bir
263,Tochter::N,hija,bijë
264,Bruder::N,hermano,vëlla
265,Schwester::N,hermana,motër
266,Onkel::N,tío,dajë
267,Onkel::N,tío,xhaxha
268,Tante::N,tía,teze
269,Tante::N,tía,hallë
270,Ehemann::N,esposo,burrë
271,Ehemann::N,esposo,bashkëshort
272,Ehefrau::N,esposa,grua
273,Ehefrau::N,esposa,bashkëshorte
274,Freude::N,placer,gaz
275,Freude::N,placer,gëzim
276,Freude::N,alegría,gaz
277,Freude::N,alegría,gëzim
278,Gelächter::N,risa,qeshje
279,Gelächter::N,carcajada,qeshje
280,Glück::N,felicidad,lumturi
281,Kummer::N,pena,brengë
282,Kummer::N,pena,pikëllim
283,Wunsch::N,deseo,dëshirë
284,Lust::N,ganas,epsh
285,Lust::N,ganas,dashuri
286,Geist::N,mente,frymë
287,Geist::N,mente,shpirt
288,Geist::N,espíritu,frymë
289,Geist::N,espíritu,shpirt
290,Gedanke::N,idea,ide
291,Gedanke::N,idea,mendim
292,Gedanke::N,pensamiento,ide
293,Gedanke::N,pensamiento,mendim
294,Gedächtnis::N,memoria,kujtesë
295,Verstand::N,razón,mend
296,Verstand::N,entendimiento,mend
297,Sinn::N,sentido,kuptim
298,Sinn::N,significado,kuptim
299,Grund::N,causa,arsye
300,Wahrheit::N,verdad,vërtetë
301,Gespräch::N,conversación,bisedim
302,Märchen::N,cuento,përrallë
303,Erzählung::N,cuento,tregim
304,Erzählung::N,narración,tregim
305,Nachricht::N,mensaje,lajm
306,Neuigkeit::N,noticia,risi
307,Name::N,nombre,emër
308,Rätsel::N,acertijo,gjëzë
309,Rätsel::N,acertijo,gjëegjëzë
310,Rätsel::N,adivinanza,gjëzë
311,Rätsel::N,adivinanza,gjëegjëzë
312,Rede::N,discurso,fjalim
313,Sprache::N,lengua,gjuhë
314,Stimme::N,voz,zë
315,Wort::N,palabra,fjalë
316,Zeichen::N,señal,shenjë
317,Ruf::N,llamada,thirrmë
318,Lärm::N,ruido,zhurmë
319,Lärm::N,barullo,zhurmë
320,Laut::N,sonido,tingull
321,Ton::N,tono,ton
322,Lied::N,canción,këngë
323,Ruhe::N,calma,qetësi
324,Ruhe::N,silencio,qetësi
325,Leute::N,gente,botë
326,Leute::N,gente,njerëz
327,Volk::N,pueblo,popull
328,Arbeit::N,trabajo,punë
329,Gast::N,huésped,mik
330,Gast::N,huésped,mysafir
331,Gast::N,invitado,mik
332,Gast::N,invitado,mysafir
333,Geschenk::N,regalo,dhuratë
334,Geschenk::N,regalo,peshqesh
335,Spiel::N,juego,lojë
336,Gesellschaft::N,compañía,shoqëri
337,Hilfe::N,ayuda,ndihmë
338,Hilfe::N,socorro,ndihmë
339,Freund::N,amigo,mik
340,Kamerad::N,camarada,shok
341,Kamerad::N,compañero,shok
342,Angelegenheit::N,asunto,punë
343,Anzahl::N,cantidad,sasi
344,Art::N,tipo,lloj
345,Art::N,clase,lloj
346,Stück::N,pieza,copë
347,Teil::N,parte,pjesë
348,Hälfte::N,mitad,gjysmë
349,Kreis::N,círculo,qark
350,Kreis::N,círculo,rreth
351,Kreuz::N,cruz,kryq
352,Linie::N,línea,vijë
353,Strich::N,raya,vizë
354,Strich::N,trazo,vizë
355,Abstand::N,distancia,distancë
356,Entfernung::N,distancia,largim
357,Gegend::N,región,vise
358,Gegend::N,región,krahinë
359,Gegend::N,comarca,vise
360,Gegend::N,comarca,krahinë
361,Platz::N,espacio,shesh
362,Ort::N,sitio,vend
363,Seite::N,lado,anë
364,Seite::N,costado,anë
365,Mitte::N,medio,mes
366,Mitte::N,centro,mes
367,Gegenstand::N,objeto,send
368,Sache::N,cosa,gjë
369,Sache::N,cosa,send
370,Rand::N,borde,qoshe
371,Kante::N,borde,teh
372,Ecke::N,esquina,qoshe
373,Spitze::N,punta,majë
374,Ende::N,cabo,skaj
375,Ende::N,cabo,bisht
376,Ende::N,extremo,skaj
377,Ende::N,extremo,bisht
378,Loch::N,agujero,vrimë
379,Loch::N,abertura,vrimë
380,Winkel::N,ángulo,kënd
381,Muster::N,dibujo,mostër
382,Größe::N,tamaño,madhësi
383,Länge::N,longitud,gjatësi
384,Höhe::N,altura,lartësi
385,Höhe::N,altitud,lartësi
386,Gewicht::N,peso,peshë
387,Menge::N,cantidad,sasi
388,Haufen::N,montón,grumbull
389,Reihe::N,fila,radhë
390,Reihe::N,fila,rresht
391,Boot::N,bote,barkë
392,Boot::N,bote,lundër
393,Boot::N,barca,barkë
394,Boot::N,barca,lundër
395,Ruder::N,remo,rrem
396,Schlitten::N,trineo,sajë
397,Ski::N,esquí,ski
398,Lagerfeuer::N,hoguera,flakadan
399,Lagerfeuer::N,hoguera,zjarr i madh
400,Last::N,carga,barrë
401,Gang::N,marcha,ecje
402,Schritt::N,paso,hap
403,Norden::N,norte,veri
404,Süden::N,sur,jug
405,Westen::N,oeste,perëndim
406,Osten::N,este,lindje
407,Holz::N,madera,dru
408,Brett::N,tabla,dërrasë
409,Platte::N,placa,pllakë
410,Platte::N,plancha,pllakë
411,Stütze::N,sostén,shtyllë
412,Stütze::N,sostén,mbështetesë
413,Stütze::N,soporte,shtyllë
414,Stütze::N,soporte,mbështetesë
415,Stange::N,vara,shufër
416,Stange::N,percha,shufër
417,Stock::N,palo,dajak
418,Stock::N,bastón,dajak
419,Stab::N,vara,shkop
420,Stab::N,bastón,shkop
